,open,high,low,close,volume,datetime
0,2.65,2.65,2.65,2.65,210,2022-05-27 13:30:00
1,2.64,2.73,2.64,2.73,7860,2022-05-27 13:31:00
2,2.71,2.71,2.71,2.71,2142,2022-05-27 13:32:00
3,2.72,2.73,2.72,2.73,847,2022-05-27 13:33:00
4,2.715,2.715,2.715,2.715,100,2022-05-27 13:36:00
5,2.7299,2.7299,2.7299,2.7299,999,2022-05-27 13:39:00
6,2.715,2.715,2.715,2.715,100,2022-05-27 13:40:00
7,2.72,2.72,2.71,2.71,600,2022-05-27 13:43:00
8,2.72,2.72,2.7,2.7,383,2022-05-27 13:44:00
9,2.71,2.71,2.71,2.71,100,2022-05-27 13:48:00
10,2.7,2.7,2.69,2.7,800,2022-05-27 13:51:00
11,2.69,2.69,2.69,2.69,400,2022-05-27 13:52:00
12,2.695,2.695,2.695,2.695,100,2022-05-27 13:58:00
13,2.7,2.7,2.7,2.7,100,2022-05-27 14:06:00
14,2.71,2.72,2.71,2.72,804,2022-05-27 14:11:00
15,2.71,2.71,2.71,2.71,522,2022-05-27 14:13:00
16,2.7,2.7,2.7,2.7,600,2022-05-27 14:14:00
17,2.6907,2.6907,2.6907,2.6907,3715,2022-05-27 14:16:00
18,2.71,2.71,2.7,2.7,200,2022-05-27 14:17:00
19,2.71,2.7199,2.71,2.7199,2850,2022-05-27 14:22:00
20,2.72,2.72,2.72,2.72,165,2022-05-27 14:28:00
21,2.72,2.72,2.72,2.72,100,2022-05-27 14:30:00
22,2.715,2.715,2.715,2.715,100,2022-05-27 14:32:00
23,2.72,2.72,2.72,2.72,300,2022-05-27 14:34:00
24,2.72,2.73,2.72,2.73,1050,2022-05-27 14:35:00
25,2.73,2.73,2.73,2.73,125,2022-05-27 14:36:00
26,2.73,2.73,2.73,2.73,165,2022-05-27 14:37:00
27,2.73,2.73,2.73,2.73,200,2022-05-27 14:39:00
28,2.72,2.72,2.71,2.71,1000,2022-05-27 14:40:00
29,2.715,2.715,2.715,2.715,100,2022-05-27 14:41:00
30,2.72,2.72,2.72,2.72,101,2022-05-27 14:43:00
31,2.71,2.71,2.71,2.71,600,2022-05-27 14:45:00
32,2.71,2.71,2.71,2.71,295,2022-05-27 14:47:00
33,2.7146,2.7146,2.7146,2.7146,203,2022-05-27 14:49:00
34,2.7101,2.7101,2.7101,2.7101,500,2022-05-27 14:54:00
35,2.71,2.71,2.7,2.7,300,2022-05-27 14:56:00
36,2.7,2.7,2.69,2.7,600,2022-05-27 14:57:00
37,2.695,2.7,2.695,2.7,200,2022-05-27 14:58:00
38,2.69,2.695,2.69,2.69,300,2022-05-27 15:03:00
39,2.7,2.72,2.7,2.72,2243,2022-05-27 15:06:00
40,2.725,2.725,2.725,2.725,100,2022-05-27 15:07:00
41,2.7243,2.7243,2.7243,2.7243,700,2022-05-27 15:09:00
42,2.72,2.72,2.72,2.72,100,2022-05-27 15:11:00
43,2.72,2.72,2.72,2.72,815,2022-05-27 15:13:00
44,2.725,2.73,2.725,2.73,700,2022-05-27 15:16:00
45,2.73,2.73,2.73,2.73,501,2022-05-27 15:17:00
46,2.73,2.73,2.73,2.73,1500,2022-05-27 15:18:00
47,2.73,2.73,2.7259,2.7259,1326,2022-05-27 15:19:00
48,2.725,2.725,2.725,2.725,100,2022-05-27 15:22:00
49,2.73,2.74,2.73,2.73,11238,2022-05-27 15:25:00
50,2.73,2.73,2.73,2.73,994,2022-05-27 15:26:00
51,2.74,2.745,2.74,2.74,3005,2022-05-27 15:31:00
52,2.745,2.745,2.74,2.74,700,2022-05-27 15:32:00
53,2.74,2.74,2.74,2.74,200,2022-05-27 15:35:00
54,2.7301,2.7301,2.7301,2.7301,1000,2022-05-27 15:37:00
55,2.735,2.735,2.735,2.735,100,2022-05-27 15:39:00
56,2.75,2.75,2.75,2.75,1400,2022-05-27 15:40:00
57,2.74,2.74,2.74,2.74,100,2022-05-27 15:48:00
58,2.74,2.74,2.73,2.73,700,2022-05-27 15:51:00
59,2.73,2.73,2.72,2.73,600,2022-05-27 15:57:00
60,2.73,2.73,2.73,2.73,200,2022-05-27 15:59:00
61,2.74,2.74,2.74,2.74,100,2022-05-27 16:01:00
62,2.74,2.74,2.74,2.74,700,2022-05-27 16:05:00
63,2.7406,2.7406,2.74,2.74,200,2022-05-27 16:06:00
64,2.7405,2.7405,2.74,2.74,300,2022-05-27 16:14:00
65,2.745,2.745,2.745,2.745,100,2022-05-27 16:15:00
66,2.74,2.7412,2.74,2.7412,400,2022-05-27 16:16:00
67,2.74,2.7401,2.74,2.7401,1657,2022-05-27 16:20:00
68,2.7411,2.7411,2.7411,2.7411,500,2022-05-27 16:22:00
69,2.74,2.74,2.74,2.74,100,2022-05-27 16:24:00
70,2.735,2.735,2.73,2.73,1357,2022-05-27 16:27:00
71,2.73,2.7361,2.73,2.7361,1400,2022-05-27 16:35:00
72,2.73,2.735,2.73,2.73,1718,2022-05-27 16:41:00
73,2.73,2.73,2.73,2.73,100,2022-05-27 16:47:00
