,open,high,low,close,volume,datetime
0,19.36,19.41,19.36,19.41,18661,2022-05-27 13:30:00
1,19.44,19.47,19.41,19.41,1428,2022-05-27 13:31:00
2,19.455,19.455,19.455,19.455,100,2022-05-27 13:32:00
3,19.47,19.49,19.41,19.41,2006,2022-05-27 13:33:00
4,19.4,19.42,19.395,19.395,450,2022-05-27 13:34:00
5,19.38,19.44,19.37,19.44,7932,2022-05-27 13:35:00
6,19.43,19.5,19.43,19.44,9890,2022-05-27 13:36:00
7,19.43,19.43,19.41,19.41,3537,2022-05-27 13:37:00
8,19.4,19.44,19.4,19.42,5750,2022-05-27 13:38:00
9,19.43,19.45,19.42,19.43,5702,2022-05-27 13:39:00
10,19.42,19.46,19.41,19.45,12026,2022-05-27 13:40:00
11,19.44,19.47,19.43,19.43,11011,2022-05-27 13:41:00
12,19.42,19.42,19.39,19.41,3100,2022-05-27 13:42:00
13,19.43,19.45,19.42,19.43,10073,2022-05-27 13:43:00
14,19.4483,19.465,19.43,19.43,5647,2022-05-27 13:44:00
15,19.43,19.49,19.41,19.41,12376,2022-05-27 13:45:00
16,19.42,19.43,19.41,19.41,4860,2022-05-27 13:46:00
17,19.41,19.44,19.41,19.44,5278,2022-05-27 13:47:00
18,19.45,19.45,19.435,19.435,2225,2022-05-27 13:48:00
19,19.43,19.43,19.41,19.41,3255,2022-05-27 13:49:00
20,19.42,19.43,19.405,19.43,2671,2022-05-27 13:50:00
21,19.4203,19.455,19.41,19.455,7826,2022-05-27 13:51:00
22,19.43,19.435,19.41,19.425,5424,2022-05-27 13:52:00
23,19.425,19.48,19.425,19.48,3400,2022-05-27 13:53:00
24,19.485,19.495,19.475,19.475,3639,2022-05-27 13:54:00
25,19.4815,19.505,19.4815,19.49,8841,2022-05-27 13:55:00
26,19.5,19.5,19.4721,19.48,6035,2022-05-27 13:56:00
27,19.48,19.49,19.465,19.47,6673,2022-05-27 13:57:00
28,19.46,19.48,19.46,19.46,2131,2022-05-27 13:58:00
29,19.46,19.46,19.455,19.46,1105,2022-05-27 13:59:00
30,19.46,19.47,19.45,19.46,6146,2022-05-27 14:00:00
31,19.455,19.475,19.44,19.475,2504,2022-05-27 14:01:00
32,19.48,19.4901,19.46,19.46,1206,2022-05-27 14:02:00
33,19.46,19.46,19.445,19.445,677,2022-05-27 14:03:00
34,19.46,19.465,19.44,19.46,1769,2022-05-27 14:04:00
35,19.465,19.47,19.46,19.47,900,2022-05-27 14:05:00
36,19.46,19.46,19.45,19.455,2300,2022-05-27 14:06:00
37,19.45,19.45,19.42,19.42,1175,2022-05-27 14:07:00
