,open,high,low,close,volume,datetime
0,9.78,9.78,9.78,9.78,10075,2022-05-27 13:47:00
1,9.79,9.79,9.79,9.79,6538,2022-05-27 13:54:00
2,9.79,9.79,9.79,9.79,200,2022-05-27 14:02:00
3,9.79,9.79,9.79,9.79,5794,2022-05-27 14:07:00
4,9.79,9.79,9.79,9.79,6740,2022-05-27 14:08:00
5,9.79,9.79,9.79,9.79,220216,2022-05-27 14:10:00
6,9.7998,9.7998,9.7998,9.7998,500,2022-05-27 14:24:00
7,9.82,9.82,9.82,9.82,100,2022-06-06 15:05:00
8,9.86,9.86,9.86,9.86,242,2022-06-07 19:59:00
9,9.82,9.82,9.82,9.82,200,2022-06-08 15:43:00
10,9.79,9.79,9.79,9.79,200,2022-06-08 15:52:00
11,9.81,9.81,9.81,9.81,2650,2022-06-09 13:30:00
