,open,high,low,close,volume,datetime
0,152.61,152.61,152.47,152.47,3421,2022-05-27 13:30:00
1,152.43,152.43,152.37,152.39,400,2022-05-27 13:31:00
2,152.415,152.415,152.415,152.415,100,2022-05-27 13:32:00
3,152.39,152.39,152.39,152.39,200,2022-05-27 13:33:00
4,152.238,152.238,152.238,152.238,100,2022-05-27 13:34:00
5,152.035,152.035,152.035,152.035,100,2022-05-27 13:35:00
6,151.69,151.69,151.69,151.69,100,2022-05-27 13:36:00
7,152.19,152.39,152.19,152.39,1375,2022-05-27 13:38:00
8,152.12,152.12,152.11,152.11,300,2022-05-27 13:39:00
9,152.37,152.37,152.37,152.37,100,2022-05-27 13:42:00
10,152.39,152.39,152.39,152.39,400,2022-05-27 13:43:00
11,152.08,152.08,152.08,152.08,100,2022-05-27 13:44:00
12,151.77,151.77,151.77,151.77,100,2022-05-27 13:45:00
13,151.5,151.5,151.5,151.5,100,2022-05-27 13:46:00
14,151.63,151.63,151.63,151.63,100,2022-05-27 13:47:00
15,151.77,151.77,151.77,151.77,200,2022-05-27 13:49:00
16,151.855,151.855,151.595,151.595,500,2022-05-27 13:52:00
17,151.81,151.81,151.81,151.81,100,2022-05-27 13:53:00
18,152.3,152.39,152.069,152.069,900,2022-05-27 13:55:00
19,152.06,152.06,152.06,152.06,100,2022-05-27 13:56:00
20,151.89,151.89,151.89,151.89,100,2022-05-27 13:58:00
21,151.84,152.08,151.84,152.07,938,2022-05-27 13:59:00
22,152.07,152.07,151.85,151.85,330,2022-05-27 14:00:00
23,151.9,151.9,151.9,151.9,100,2022-05-27 14:01:00
24,151.59,151.71,151.52,151.6794,3115,2022-05-27 14:05:00
25,151.74,151.74,151.64,151.64,200,2022-05-27 14:06:00
26,151.41,151.555,151.41,151.53,500,2022-05-27 14:07:00
27,151.62,151.67,151.53,151.53,300,2022-05-27 14:08:00
28,151.78,151.78,151.57,151.57,400,2022-05-27 14:10:00
29,151.64,151.64,151.31,151.53,1323,2022-05-27 14:11:00
30,151.34,151.34,151.34,151.34,100,2022-05-27 14:12:00
31,151.4,151.4,151.34,151.4,812,2022-05-27 14:13:00
32,151.21,151.21,151.21,151.21,100,2022-05-27 14:14:00
33,151.29,151.29,151.29,151.29,100,2022-05-27 14:16:00
34,151.21,151.21,151.21,151.21,100,2022-05-27 14:18:00
35,151.23,151.23,151.23,151.23,100,2022-05-27 14:19:00
36,151.55,151.55,151.55,151.55,100,2022-05-27 14:21:00
37,151.54,151.54,151.54,151.54,100,2022-05-27 14:22:00
38,151.875,151.875,151.875,151.875,149,2022-05-27 14:24:00
39,151.78,151.78,151.735,151.735,300,2022-05-27 14:25:00
40,151.665,151.74,151.665,151.69,600,2022-05-27 14:28:00
41,151.67,151.67,151.57,151.57,200,2022-05-27 14:30:00
42,151.57,151.68,151.57,151.68,200,2022-05-27 14:31:00
43,151.71,151.71,151.71,151.71,100,2022-05-27 14:32:00
44,151.56,151.56,151.51,151.55,575,2022-05-27 14:33:00
45,151.5,151.5,150.59,150.59,4121,2022-05-27 14:34:00
46,150.7,150.7,150.7,150.7,200,2022-05-27 14:35:00
47,150.81,150.9,150.73,150.79,420,2022-05-27 14:36:00
48,150.88,150.9,150.88,150.9,200,2022-05-27 14:37:00
49,150.78,150.89,150.78,150.815,832,2022-05-27 14:38:00
50,150.81,150.81,150.7175,150.73,1012,2022-05-27 14:39:00
51,150.715,150.87,150.715,150.85,2271,2022-05-27 14:40:00
52,150.855,150.855,150.78,150.78,2200,2022-05-27 14:41:00
53,150.89,151.39,150.89,151.3,5603,2022-05-27 14:42:00
54,151.17,151.18,151.17,151.17,300,2022-05-27 14:43:00
55,151.31,151.31,151.22,151.22,200,2022-05-27 14:45:00
56,151.22,151.22,151.22,151.22,100,2022-05-27 14:46:00
57,151.3,151.3,150.975,151.005,1800,2022-05-27 14:47:00
58,151.0,151.0,151.0,151.0,100,2022-05-27 14:49:00
59,150.995,150.995,150.995,150.995,100,2022-05-27 14:50:00
60,150.985,150.985,150.985,150.985,100,2022-05-27 14:51:00
61,150.98,150.98,150.815,150.815,800,2022-05-27 14:52:00
62,150.8,150.845,150.72,150.79,1000,2022-05-27 14:53:00
63,150.73,150.73,150.73,150.73,100,2022-05-27 14:54:00
64,150.75,150.82,150.75,150.755,1397,2022-05-27 14:55:00
65,150.77,150.77,150.6,150.6,300,2022-05-27 14:56:00
66,150.47,150.535,150.47,150.535,200,2022-05-27 14:57:00
67,150.68,150.68,150.64,150.64,200,2022-05-27 14:58:00
68,150.61,150.655,150.61,150.6175,500,2022-05-27 14:59:00
69,150.84,150.84,150.81,150.81,300,2022-05-27 15:00:00
70,150.71,150.72,150.685,150.685,800,2022-05-27 15:01:00
71,150.69,150.69,150.47,150.51,900,2022-05-27 15:02:00
72,150.41,150.41,150.41,150.41,100,2022-05-27 15:03:00
73,150.525,150.525,150.525,150.525,100,2022-05-27 15:04:00
74,150.41,150.48,150.38,150.48,400,2022-05-27 15:05:00
75,150.37,150.37,150.37,150.37,100,2022-05-27 15:07:00
76,150.54,150.54,150.49,150.51,400,2022-05-27 15:08:00
77,150.51,150.6,150.51,150.6,401,2022-05-27 15:09:00
78,150.59,150.69,150.59,150.675,2050,2022-05-27 15:10:00
79,150.65,150.785,150.65,150.68,400,2022-05-27 15:11:00
80,150.69,150.695,150.58,150.645,2100,2022-05-27 15:12:00
81,150.54,150.55,150.47,150.47,500,2022-05-27 15:13:00
82,150.465,150.465,150.38,150.38,200,2022-05-27 15:14:00
83,150.45,150.56,150.45,150.48,500,2022-05-27 15:15:00
84,150.6,150.65,150.6,150.6,700,2022-05-27 15:16:00
85,150.5,150.5,150.48,150.48,350,2022-05-27 15:17:00
86,150.46,150.59,150.41,150.59,733,2022-05-27 15:18:00
87,150.59,150.62,150.59,150.62,300,2022-05-27 15:19:00
88,150.48,150.5,150.48,150.5,200,2022-05-27 15:20:00
89,150.425,150.425,150.34,150.34,200,2022-05-27 15:23:00
90,150.3,150.37,150.26,150.32,650,2022-05-27 15:25:00
91,150.25,150.37,150.23,150.265,1180,2022-05-27 15:26:00
92,150.37,150.37,150.37,150.37,100,2022-05-27 15:28:00
93,150.42,150.43,150.42,150.43,200,2022-05-27 15:29:00
94,150.48,150.59,150.48,150.59,390,2022-05-27 15:30:00
95,150.67,150.87,150.55,150.72,1065,2022-05-27 15:31:00
96,150.735,150.765,150.735,150.765,200,2022-05-27 15:32:00
97,150.89,150.89,150.77,150.875,530,2022-05-27 15:33:00
98,150.84,150.84,150.79,150.79,300,2022-05-27 15:34:00
