,open,high,low,close,volume,datetime
0,0.87,0.8844,0.87,0.8844,456,2022-05-27 14:22:00
1,0.8987,0.8987,0.8987,0.8987,338,2022-05-27 14:40:00
2,0.8988,0.8988,0.8988,0.8988,200,2022-05-27 14:45:00
3,0.8988,0.8988,0.8988,0.8988,100,2022-05-27 15:34:00
4,0.8988,0.8988,0.8988,0.8988,200,2022-05-27 15:48:00
5,0.8988,0.8988,0.8988,0.8988,200,2022-05-27 15:50:00
6,0.870001,0.870001,0.870001,0.870001,500,2022-05-27 18:08:00
7,0.8949,0.8987,0.8949,0.8987,959,2022-05-27 19:31:00
8,0.895,0.895,0.895,0.895,1000,2022-05-27 19:32:00
9,0.8988,0.8988,0.8988,0.8988,622,2022-05-27 19:40:00
10,0.8988,0.8988,0.8988,0.8988,263,2022-05-31 08:53:00
11,0.86,0.86,0.86,0.86,302,2022-05-31 13:30:00
12,0.87,0.87,0.87,0.87,1000,2022-05-31 13:32:00
13,0.87,0.87,0.87,0.87,5000,2022-05-31 13:33:00
14,0.87,0.87,0.82,0.8227,20267,2022-05-31 13:34:00
15,0.82,0.82,0.81,0.8127,15000,2022-05-31 13:35:00
16,0.81,0.8127,0.8,0.8,5962,2022-05-31 13:36:00
17,0.7999,0.7999,0.79,0.79,2100,2022-05-31 13:37:00
18,0.7999,0.8,0.7999,0.8,3864,2022-05-31 13:38:00
19,0.8005,0.8272,0.800476,0.800476,2000,2022-05-31 13:41:00
20,0.80001,0.8667,0.80001,0.866699,3401,2022-05-31 13:42:00
21,0.8,0.8,0.7999,0.7999,9647,2022-05-31 13:44:00
22,0.7999,0.7999,0.7999,0.7999,500,2022-05-31 13:45:00
23,0.7999,0.8,0.7999,0.8,3290,2022-05-31 13:46:00
24,0.8,0.8313,0.8,0.8313,3467,2022-05-31 13:48:00
25,0.8027,0.8027,0.8,0.8,1900,2022-05-31 13:54:00
26,0.7999,0.7999,0.7999,0.7999,200,2022-05-31 13:56:00
27,0.78,0.8,0.78,0.7999,3100,2022-05-31 13:59:00
28,0.8004,0.8004,0.8004,0.8004,126,2022-05-31 14:00:00
29,0.795,0.8089,0.795,0.8089,1104,2022-05-31 14:03:00
30,0.8493,0.8493,0.8493,0.8493,101,2022-05-31 14:05:00
31,0.8493,0.8493,0.79,0.79,5896,2022-05-31 14:10:00
32,0.8,0.8,0.8,0.8,5000,2022-05-31 14:12:00
33,0.8,0.81,0.8,0.81,483,2022-05-31 14:14:00
34,0.8579,0.8579,0.8579,0.8579,3563,2022-05-31 14:16:00
35,0.81,0.8127,0.81,0.8127,6000,2022-05-31 14:23:00
36,0.81,0.8127,0.81,0.81,10000,2022-05-31 14:24:00
37,0.81,0.81,0.79,0.8,5839,2022-05-31 14:25:00
38,0.8,0.8,0.8,0.8,674,2022-05-31 14:27:00
39,0.79,0.79,0.79,0.79,100,2022-05-31 14:28:00
40,0.79,0.79,0.79,0.79,211,2022-05-31 14:32:00
41,0.79,0.79,0.79,0.79,400,2022-05-31 14:34:00
42,0.78,0.78,0.78,0.78,400,2022-05-31 14:35:00
43,0.79,0.8032,0.78,0.78,10288,2022-05-31 14:36:00
44,0.836,0.836,0.836,0.836,657,2022-05-31 14:46:00
45,0.81,0.81,0.81,0.81,100,2022-05-31 14:51:00
46,0.836,0.8496,0.836,0.8496,1400,2022-05-31 14:53:00
47,0.85,0.85,0.85,0.85,112,2022-05-31 14:54:00
48,0.855,0.855,0.855,0.855,850,2022-05-31 14:56:00
49,0.8549,0.8737,0.8549,0.8737,9900,2022-05-31 15:02:00
50,0.85,0.85,0.85,0.85,500,2022-05-31 15:08:00
51,0.8501,0.8501,0.8501,0.8501,3061,2022-05-31 15:09:00
52,0.8737,0.88,0.8737,0.88,2101,2022-05-31 15:11:00
53,0.8409,0.8409,0.8409,0.8409,100,2022-05-31 15:20:00
54,0.8101,0.8101,0.8101,0.8101,100,2022-05-31 15:24:00
55,0.8101,0.8101,0.8101,0.8101,100,2022-05-31 15:28:00
56,0.8101,0.8101,0.8101,0.8101,100,2022-05-31 15:31:00
57,0.81,0.81,0.81,0.81,100,2022-05-31 15:34:00
58,0.8523,0.8523,0.8523,0.8523,100,2022-05-31 15:38:00
59,0.875,0.875,0.8523,0.8523,200,2022-05-31 15:42:00
60,0.8523,0.8524,0.8523,0.8524,1180,2022-05-31 16:17:00
61,0.85,0.85,0.8496,0.8496,1000,2022-05-31 16:36:00
62,0.8748,0.8748,0.871821,0.871821,3500,2022-05-31 16:48:00
63,0.8747,0.8747,0.8747,0.8747,119,2022-05-31 16:52:00
64,0.87,0.87,0.869252,0.869252,236,2022-05-31 17:46:00
65,0.87,0.87,0.87,0.87,2962,2022-05-31 17:59:00
66,0.8288,0.8315,0.8288,0.8315,7000,2022-05-31 18:06:00
67,0.8288,0.8288,0.8288,0.8288,100,2022-05-31 18:10:00
68,0.8288,0.87,0.8288,0.87,318,2022-05-31 18:12:00
69,0.832,0.832,0.832,0.832,100,2022-05-31 18:26:00
70,0.832,0.832,0.832,0.832,100,2022-05-31 18:37:00
71,0.851,0.851,0.851,0.851,1000,2022-05-31 18:59:00
72,0.851,0.851,0.851,0.851,280,2022-05-31 19:24:00
73,0.8407,0.8407,0.8407,0.8407,160,2022-05-31 19:38:00
74,0.832,0.8321,0.832,0.8321,201,2022-05-31 19:53:00
75,0.8321,0.8321,0.8321,0.8321,100,2022-05-31 19:54:00
76,0.8406,0.8406,0.8406,0.8406,300,2022-05-31 20:00:00
77,0.8288,0.8288,0.8288,0.8288,121,2022-06-01 13:30:00
78,0.814,0.814,0.814,0.814,375,2022-06-01 13:31:00
79,0.8494,0.8494,0.8494,0.8494,1000,2022-06-01 13:43:00
80,0.8495,0.8495,0.8495,0.8495,319,2022-06-01 13:44:00
81,0.8125,0.8125,0.8125,0.8125,3400,2022-06-01 13:45:00
82,0.8154,0.8154,0.8154,0.8154,2500,2022-06-01 14:12:00
83,0.815,0.8495,0.815,0.8495,200,2022-06-01 14:13:00
84,0.8505,0.8505,0.8505,0.8505,146,2022-06-01 14:36:00
85,0.87,0.87,0.8699,0.8699,500,2022-06-01 14:43:00
86,0.869999,0.869999,0.869999,0.869999,1000,2022-06-01 14:46:00
87,0.8495,0.8495,0.8495,0.8495,280,2022-06-01 14:50:00
88,0.87,0.87,0.87,0.87,125,2022-06-01 14:52:00
89,0.85975,0.85975,0.85975,0.85975,1454,2022-06-01 15:09:00
90,0.8495,0.8495,0.8495,0.8495,100,2022-06-01 15:10:00
91,0.850812,0.850812,0.850812,0.850812,1214,2022-06-01 15:21:00
92,0.8495,0.8495,0.8495,0.8495,101,2022-06-01 15:32:00
93,0.8495,0.8495,0.8495,0.8495,120,2022-06-01 15:42:00
94,0.868,0.868,0.868,0.868,588,2022-06-01 15:47:00
95,0.859001,0.859001,0.859001,0.859001,1100,2022-06-01 16:01:00
96,0.85,0.85,0.8237,0.8237,10643,2022-06-01 16:18:00
97,0.846851,0.846851,0.846851,0.846851,1000,2022-06-01 16:32:00
98,0.83999,0.83999,0.83999,0.83999,340,2022-06-01 17:47:00
99,0.8101,0.8101,0.8101,0.8101,498,2022-06-01 19:46:00
100,0.8251,0.8251,0.8251,0.8251,200,2022-06-01 20:00:00
101,0.8284,0.8284,0.8284,0.8284,500,2022-06-02 13:38:00
102,0.8467,0.8506,0.8467,0.8506,1445,2022-06-02 13:39:00
103,0.8301,0.8301,0.8301,0.8301,1750,2022-06-02 13:54:00
104,0.8449,0.8449,0.8449,0.8449,235,2022-06-02 14:40:00
105,0.8449,0.8449,0.8449,0.8449,240,2022-06-02 14:57:00
106,0.8201,0.8201,0.8201,0.8201,101,2022-06-02 15:04:00
107,0.8201,0.8201,0.8201,0.8201,100,2022-06-02 15:29:00
108,0.8283,0.8283,0.8242,0.8283,400,2022-06-02 15:43:00
109,0.825,0.825,0.825,0.825,1700,2022-06-02 17:40:00
110,0.83015,0.83015,0.8203,0.8203,500,2022-06-02 17:47:00
111,0.8399,0.8399,0.8399,0.8399,208,2022-06-02 17:53:00
112,0.8301,0.8301,0.8301,0.8301,245,2022-06-02 18:45:00
113,0.83,0.83,0.83,0.83,101,2022-06-02 18:52:00
114,0.8351,0.8351,0.8351,0.8351,100,2022-06-02 19:04:00
115,0.8352,0.8352,0.8352,0.8352,800,2022-06-02 19:09:00
116,0.8352,0.8352,0.8352,0.8352,100,2022-06-02 19:25:00
117,0.8352,0.8352,0.8352,0.8352,300,2022-06-02 19:26:00
118,0.8301,0.8301,0.8301,0.8301,100,2022-06-02 19:48:00
119,0.835,0.835,0.835,0.835,240,2022-06-02 19:51:00
120,0.835,0.835,0.835,0.835,102,2022-06-02 20:00:00
121,0.835,0.835,0.835,0.835,123,2022-06-03 13:30:00
122,0.8203,0.8203,0.81,0.81,3000,2022-06-03 13:33:00
123,0.81505,0.81505,0.81505,0.81505,315,2022-06-03 13:38:00
124,0.8101,0.8101,0.81,0.81,200,2022-06-03 13:44:00
125,0.8128,0.8128,0.8128,0.8128,123,2022-06-03 13:50:00
126,0.801146,0.801146,0.801146,0.801146,1290,2022-06-03 13:56:00
127,0.8148,0.8148,0.8011,0.8011,1337,2022-06-03 14:17:00
128,0.8148,0.8148,0.8148,0.8148,101,2022-06-03 14:33:00
129,0.8148,0.8148,0.814796,0.814796,1233,2022-06-03 14:42:00
130,0.8011,0.8011,0.8011,0.8011,174,2022-06-03 14:44:00
131,0.8148,0.8268,0.8148,0.8268,1000,2022-06-03 14:54:00
132,0.819899,0.819899,0.819899,0.819899,500,2022-06-03 15:42:00
133,0.819999,0.819999,0.819999,0.819999,300,2022-06-03 15:49:00
134,0.815,0.815,0.815,0.815,243,2022-06-03 16:59:00
135,0.8147,0.89,0.8147,0.86,4424,2022-06-03 17:08:00
136,0.85,0.8501,0.85,0.8501,600,2022-06-03 17:09:00
137,0.85,0.85,0.85,0.85,100,2022-06-03 17:24:00
138,0.85,0.85,0.85,0.85,100,2022-06-03 17:42:00
139,0.85,0.85,0.8267,0.8267,1992,2022-06-03 17:44:00
140,0.8501,0.8501,0.8501,0.8501,100,2022-06-03 17:47:00
141,0.85,0.85,0.85,0.85,800,2022-06-03 17:52:00
142,0.85,0.85,0.85,0.85,100,2022-06-03 18:21:00
143,0.813901,0.813901,0.813901,0.813901,1228,2022-06-03 18:40:00
144,0.8401,0.8401,0.8401,0.8401,100,2022-06-03 18:41:00
145,0.8501,0.8501,0.848,0.848,2113,2022-06-03 18:43:00
146,0.815,0.815,0.815,0.815,240,2022-06-03 18:56:00
147,0.815,0.815,0.815,0.815,106,2022-06-03 18:57:00
148,0.8351,0.8351,0.8351,0.8351,144,2022-06-03 19:55:00
149,0.8282,0.8282,0.8282,0.8282,300,2022-06-03 19:59:00
150,0.8353,0.8353,0.8353,0.8353,157,2022-06-03 20:00:00
151,0.877,0.877,0.877,0.877,1339,2022-06-06 13:30:00
152,0.877,0.877166,0.877,0.877166,704,2022-06-06 13:33:00
153,0.805001,0.805001,0.805001,0.805001,1362,2022-06-06 13:41:00
154,0.8379,0.8379,0.8379,0.8379,600,2022-06-06 13:43:00
155,0.8379,0.838,0.8379,0.838,4000,2022-06-06 13:47:00
156,0.8051,0.8051,0.802,0.802,3735,2022-06-06 13:50:00
157,0.819,0.819,0.819,0.819,100,2022-06-06 13:51:00
158,0.826,0.826,0.81,0.81,2100,2022-06-06 14:15:00
159,0.8261,0.8261,0.8261,0.8261,600,2022-06-06 14:19:00
160,0.8261,0.8261,0.8261,0.8261,115,2022-06-06 14:32:00
161,0.8261,0.827899,0.8261,0.827899,560,2022-06-06 14:35:00
162,0.8298,0.8298,0.8261,0.8261,800,2022-06-06 14:49:00
163,0.82,0.82,0.82,0.82,100,2022-06-06 15:08:00
164,0.8298,0.8298,0.8298,0.8298,100,2022-06-06 15:17:00
165,0.82,0.82,0.82,0.82,101,2022-06-06 15:54:00
166,0.8297,0.8298,0.8297,0.8298,842,2022-06-06 15:58:00
167,0.8102,0.8102,0.8102,0.8102,240,2022-06-06 16:13:00
168,0.82,0.823961,0.82,0.82,3800,2022-06-06 16:20:00
169,0.82,0.82,0.82,0.82,100,2022-06-06 16:21:00
170,0.8241,0.8241,0.8241,0.8241,100,2022-06-06 17:36:00
171,0.837899,0.837899,0.837899,0.837899,205,2022-06-06 17:40:00
172,0.8102,0.8102,0.81,0.81,1298,2022-06-06 18:31:00
173,0.8298,0.8298,0.81,0.81,1190,2022-06-06 18:45:00
174,0.838,0.838,0.838,0.838,119,2022-06-06 20:00:00
175,0.815,0.815,0.815,0.815,300,2022-06-06 20:08:00
176,0.815,0.815,0.815,0.815,391,2022-06-06 23:02:00
177,0.8202,0.8202,0.8202,0.8202,121,2022-06-07 13:52:00
178,0.83,0.850001,0.83,0.850001,2053,2022-06-07 14:23:00
179,0.83,0.83,0.83,0.83,500,2022-06-07 14:43:00
180,0.83,0.83,0.83,0.83,499,2022-06-07 15:15:00
181,0.842,0.842,0.842,0.842,594,2022-06-07 15:51:00
182,0.8401,0.8401,0.8401,0.8401,1474,2022-06-07 15:57:00
183,0.84,0.84,0.84,0.84,500,2022-06-07 15:58:00
184,0.842,0.842,0.842,0.842,250,2022-06-07 16:14:00
185,0.8401,0.8401,0.84,0.84,200,2022-06-07 16:17:00
186,0.84,0.84,0.84,0.84,1165,2022-06-07 16:28:00
187,0.84,0.84,0.84,0.84,141,2022-06-07 16:29:00
188,0.8401,0.8401,0.8401,0.8401,200,2022-06-07 18:34:00
189,0.8401,0.8401,0.8401,0.8401,1000,2022-06-07 19:10:00
190,0.8401,0.842735,0.84,0.84,3469,2022-06-07 19:17:00
191,0.84,0.84,0.84,0.84,343,2022-06-07 19:56:00
192,0.84,0.84,0.84,0.84,100,2022-06-07 20:00:00
193,0.8,0.8,0.8,0.8,300,2022-06-08 10:36:00
194,0.82,0.82,0.8136,0.8136,1044,2022-06-08 13:30:00
195,0.8148,0.8175,0.8148,0.8175,1500,2022-06-08 13:43:00
196,0.8148,0.8148,0.8103,0.8103,5100,2022-06-08 13:44:00
