,open,high,low,close,volume,datetime
0,44.24,44.24,44.15,44.15,200,2022-05-27 13:33:00
1,43.6475,43.6475,43.6475,43.6475,100,2022-05-27 13:34:00
2,43.76,43.76,43.76,43.76,150,2022-05-27 13:40:00
3,44.04,44.05,44.04,44.05,300,2022-05-27 13:42:00
4,43.92,44.0,43.91,44.0,948,2022-05-27 13:54:00
5,44.49,44.49,44.49,44.49,100,2022-05-27 14:02:00
6,44.05,44.05,44.05,44.05,100,2022-05-27 14:05:00
7,44.335,44.335,44.335,44.335,100,2022-05-27 14:06:00
8,45.31,45.31,45.31,45.31,100,2022-05-27 14:32:00
9,45.03,45.03,45.03,45.03,100,2022-05-27 14:35:00
10,45.1,45.1,45.1,45.1,100,2022-05-27 14:38:00
11,45.31,45.31,44.7224,44.7224,2333,2022-05-27 14:39:00
12,44.72,44.91,44.72,44.91,200,2022-05-27 14:47:00
13,44.66,44.66,44.66,44.66,100,2022-05-27 14:56:00
14,44.73,44.73,44.73,44.73,100,2022-05-27 15:05:00
15,44.63,44.73,44.46,44.73,400,2022-05-27 15:19:00
16,44.9,44.9,44.9,44.9,385,2022-05-27 15:49:00
17,45.01,45.01,45.01,45.01,100,2022-05-27 16:03:00
18,44.97,44.97,44.95,44.95,500,2022-05-27 16:15:00
19,44.73,44.8,44.695,44.695,700,2022-05-27 17:02:00
20,44.63,44.63,44.63,44.63,100,2022-05-27 17:06:00
21,44.65,44.67,44.65,44.67,200,2022-05-27 17:27:00
22,44.81,44.81,44.74,44.74,300,2022-05-27 17:31:00
23,44.74,44.74,44.73,44.73,206,2022-05-27 18:02:00
24,44.5773,44.675,44.5773,44.675,255,2022-05-27 18:03:00
25,44.84,44.84,44.84,44.84,100,2022-05-27 18:14:00
26,44.76,44.76,44.72,44.72,800,2022-05-27 18:16:00
27,44.895,44.9,44.81,44.81,300,2022-05-27 18:22:00
28,44.83,44.83,44.76,44.76,200,2022-05-27 18:25:00
29,44.83,44.83,44.77,44.8,600,2022-05-27 18:34:00
30,44.795,44.795,44.795,44.795,100,2022-05-27 18:36:00
31,44.69,44.7,44.64,44.64,300,2022-05-27 18:39:00
32,44.595,44.595,44.595,44.595,100,2022-05-27 18:54:00
33,44.73,44.73,44.73,44.73,100,2022-05-27 18:56:00
34,44.625,44.625,44.625,44.625,100,2022-05-27 19:01:00
35,44.94,44.94,44.94,44.94,100,2022-05-27 19:09:00
36,44.83,44.865,44.8,44.8,400,2022-05-27 19:15:00
37,44.83,44.83,44.83,44.83,100,2022-05-27 19:18:00
38,44.875,44.875,44.875,44.875,100,2022-05-27 19:22:00
39,44.94,44.95,44.94,44.95,300,2022-05-27 19:23:00
40,45.005,45.04,45.005,45.04,200,2022-05-27 19:29:00
41,44.97,44.97,44.97,44.97,100,2022-05-27 19:33:00
42,44.9,44.94,44.9,44.94,200,2022-05-27 19:34:00
43,44.895,44.895,44.895,44.895,100,2022-05-27 19:38:00
44,44.885,44.885,44.885,44.885,100,2022-05-27 19:41:00
