,open,high,low,close,volume,datetime
0,1.31,1.31,1.31,1.31,100,2022-05-27 12:27:00
1,1.3101,1.3101,1.3101,1.3101,100,2022-05-27 13:00:00
2,1.34,1.35,1.34,1.35,400,2022-05-27 13:29:00
3,1.37,1.37,1.37,1.37,5130,2022-05-27 13:30:00
4,1.3695,1.3695,1.3318,1.3318,755,2022-05-27 13:33:00
5,1.35,1.35,1.35,1.35,250,2022-05-27 13:34:00
6,1.36,1.36,1.36,1.36,1878,2022-05-27 13:35:00
7,1.36,1.3772,1.36,1.3772,5376,2022-05-27 13:36:00
8,1.3742,1.3742,1.36,1.36,10680,2022-05-27 13:37:00
9,1.36,1.36,1.34,1.35,9770,2022-05-27 13:38:00
10,1.3418,1.3418,1.34,1.34,2058,2022-05-27 13:45:00
11,1.3351,1.3351,1.3351,1.3351,400,2022-05-27 13:46:00
12,1.335,1.335,1.335,1.335,400,2022-05-27 13:50:00
13,1.34,1.34,1.34,1.34,200,2022-05-27 13:52:00
14,1.34,1.34,1.3312,1.3312,290,2022-05-27 13:53:00
15,1.3317,1.3317,1.3317,1.3317,2000,2022-05-27 13:55:00
16,1.36,1.36,1.3592,1.3592,1053,2022-05-27 13:58:00
17,1.3599,1.3632,1.3599,1.3632,1425,2022-05-27 14:01:00
18,1.3764,1.3764,1.3764,1.3764,300,2022-05-27 14:06:00
19,1.38,1.38,1.38,1.38,1000,2022-05-27 14:07:00
20,1.37,1.375,1.37,1.375,1200,2022-05-27 14:08:00
21,1.3758,1.3758,1.3758,1.3758,1000,2022-05-27 14:09:00
22,1.3701,1.3701,1.37,1.37,4300,2022-05-27 14:10:00
23,1.38,1.38,1.38,1.38,600,2022-05-27 14:11:00
24,1.38,1.38,1.38,1.38,2234,2022-05-27 14:12:00
25,1.38,1.38,1.38,1.38,177,2022-05-27 14:15:00
26,1.38,1.38,1.38,1.38,500,2022-05-27 14:17:00
27,1.3771,1.3771,1.3771,1.3771,182,2022-05-27 14:20:00
28,1.3799,1.3799,1.3799,1.3799,150,2022-05-27 14:22:00
29,1.3791,1.3791,1.375,1.375,1600,2022-05-27 14:24:00
30,1.3717,1.3717,1.3717,1.3717,287,2022-05-27 14:29:00
31,1.38,1.38,1.38,1.38,3300,2022-05-27 14:31:00
32,1.3801,1.385,1.3801,1.385,1350,2022-05-27 14:33:00
33,1.3899,1.39,1.385,1.39,3800,2022-05-27 14:34:00
34,1.4,1.4,1.4,1.4,100,2022-05-27 14:35:00
35,1.4,1.4,1.4,1.4,100,2022-05-27 14:36:00
36,1.4,1.4,1.3998,1.3998,10718,2022-05-27 14:41:00
37,1.4,1.4,1.4,1.4,10000,2022-05-27 14:43:00
38,1.4,1.4,1.4,1.4,4216,2022-05-27 14:46:00
39,1.4,1.4001,1.4,1.4001,545,2022-05-27 14:48:00
40,1.3838,1.3838,1.3838,1.3838,200,2022-05-27 14:49:00
41,1.3815,1.39,1.3815,1.39,4351,2022-05-27 14:51:00
42,1.385,1.385,1.385,1.385,3111,2022-05-27 14:53:00
43,1.38,1.38,1.38,1.38,1608,2022-05-27 14:56:00
44,1.3797,1.38,1.375,1.375,5400,2022-05-27 14:57:00
45,1.38,1.38,1.38,1.38,100,2022-05-27 15:00:00
46,1.3782,1.3782,1.3782,1.3782,500,2022-05-27 15:02:00
47,1.365,1.365,1.36,1.36,3300,2022-05-27 15:03:00
48,1.362,1.365,1.36,1.36,3417,2022-05-27 15:04:00
49,1.355,1.355,1.35,1.35,1300,2022-05-27 15:06:00
50,1.36,1.36,1.355,1.355,4200,2022-05-27 15:07:00
51,1.352,1.355,1.352,1.355,800,2022-05-27 15:11:00
52,1.3517,1.3517,1.3508,1.3508,785,2022-05-27 15:12:00
53,1.35,1.35,1.35,1.35,1931,2022-05-27 15:14:00
54,1.35,1.35,1.35,1.35,300,2022-05-27 15:21:00
55,1.355,1.36,1.355,1.36,266,2022-05-27 15:26:00
56,1.3508,1.3508,1.3508,1.3508,227,2022-05-27 15:30:00
57,1.355,1.355,1.355,1.355,380,2022-05-27 15:33:00
58,1.36,1.36,1.36,1.36,500,2022-05-27 15:34:00
59,1.36,1.36,1.35,1.35,1533,2022-05-27 15:35:00
60,1.352,1.352,1.352,1.352,1975,2022-05-27 15:37:00
61,1.3599,1.36,1.3599,1.36,1300,2022-05-27 15:43:00
62,1.355,1.355,1.34,1.35,6000,2022-05-27 15:44:00
63,1.345,1.345,1.345,1.345,100,2022-05-27 15:46:00
64,1.34,1.34,1.34,1.34,203,2022-05-27 15:54:00
65,1.34,1.35,1.34,1.35,1000,2022-05-27 15:55:00
66,1.35,1.35,1.35,1.35,100,2022-05-27 15:56:00
67,1.345,1.345,1.345,1.345,400,2022-05-27 16:01:00
68,1.3471,1.35,1.3471,1.35,200,2022-05-27 16:06:00
69,1.342,1.342,1.34,1.34,1875,2022-05-27 16:10:00
70,1.345,1.345,1.345,1.345,100,2022-05-27 16:28:00
71,1.35,1.35,1.35,1.35,200,2022-05-27 16:34:00
72,1.35,1.35,1.35,1.35,101,2022-05-27 16:41:00
73,1.345,1.345,1.345,1.345,100,2022-05-27 16:48:00
74,1.345,1.345,1.345,1.345,157,2022-05-27 16:49:00
75,1.3401,1.3401,1.3401,1.3401,250,2022-05-27 16:51:00
76,1.35,1.35,1.34,1.35,11410,2022-05-27 16:56:00
77,1.35,1.35,1.34,1.34,14277,2022-05-27 17:00:00
78,1.345,1.345,1.345,1.345,300,2022-05-27 17:02:00
79,1.35,1.35,1.3407,1.3407,927,2022-05-27 17:04:00
80,1.345,1.345,1.345,1.345,100,2022-05-27 17:05:00
81,1.345,1.345,1.34,1.34,3600,2022-05-27 17:12:00
82,1.3471,1.35,1.3471,1.35,204,2022-05-27 17:14:00
83,1.3484,1.3484,1.3484,1.3484,370,2022-05-27 17:16:00
84,1.3499,1.35,1.3495,1.35,8678,2022-05-27 17:32:00
85,1.36,1.36,1.36,1.36,100,2022-05-27 17:44:00
86,1.36,1.36,1.36,1.36,100,2022-05-27 17:47:00
87,1.36,1.36,1.36,1.36,214,2022-05-27 17:51:00
88,1.358,1.358,1.358,1.358,1500,2022-05-27 18:04:00
89,1.36,1.36,1.36,1.36,100,2022-05-27 18:05:00
90,1.3599,1.36,1.35,1.35,5100,2022-05-27 18:07:00
91,1.355,1.355,1.355,1.355,100,2022-05-27 18:09:00
92,1.3599,1.36,1.3599,1.3599,2832,2022-05-27 18:11:00
93,1.3699,1.38,1.3699,1.37,7846,2022-05-27 18:13:00
94,1.38,1.38,1.38,1.38,200,2022-05-27 18:22:00
95,1.38,1.385,1.38,1.385,200,2022-05-27 18:24:00
96,1.38,1.3896,1.38,1.3896,1500,2022-05-27 18:30:00
97,1.3875,1.3875,1.3875,1.3875,100,2022-05-27 18:32:00
98,1.3857,1.3857,1.3857,1.3857,200,2022-05-27 18:35:00
99,1.3814,1.3814,1.3814,1.3814,500,2022-05-27 18:45:00
100,1.38,1.38,1.37,1.37,9741,2022-05-27 18:46:00
101,1.38,1.38,1.38,1.38,300,2022-05-27 19:00:00
