,open,high,low,close,volume,datetime
0,66.61,66.61,66.5,66.5,1312,2022-05-27 13:30:00
1,66.03,66.03,66.03,66.03,200,2022-05-27 13:31:00
2,66.565,66.565,66.565,66.565,100,2022-05-27 13:42:00
3,66.44,66.45,66.44,66.45,200,2022-05-27 13:44:00
4,66.48,66.48,66.48,66.48,100,2022-05-27 13:48:00
5,66.48,66.48,66.48,66.48,100,2022-05-27 13:50:00
6,66.42,66.42,66.42,66.42,100,2022-05-27 13:51:00
7,66.4175,66.4175,66.35,66.41,491,2022-05-27 13:52:00
8,66.35,66.36,66.35,66.36,200,2022-05-27 13:53:00
9,66.56,66.56,66.38,66.38,400,2022-05-27 13:54:00
10,66.65,66.65,66.65,66.65,200,2022-05-27 13:55:00
11,66.76,66.76,66.76,66.76,163,2022-05-27 13:58:00
12,66.61,66.61,66.6,66.6,200,2022-05-27 13:59:00
13,66.48,66.59,66.35,66.35,300,2022-05-27 14:01:00
14,66.5,66.5,66.5,66.5,300,2022-05-27 14:03:00
15,66.56,66.56,66.56,66.56,381,2022-05-27 14:07:00
16,66.615,66.615,66.615,66.615,126,2022-05-27 14:08:00
17,66.66,66.66,66.58,66.58,200,2022-05-27 14:09:00
18,66.715,66.715,66.715,66.715,700,2022-05-27 14:11:00
19,66.74,66.74,66.59,66.6905,761,2022-05-27 14:15:00
20,66.59,66.59,66.57,66.57,400,2022-05-27 14:18:00
21,66.74,66.75,66.74,66.75,319,2022-05-27 14:21:00
22,67.0,67.0,67.0,67.0,104,2022-05-27 14:22:00
23,67.1,67.15,67.09,67.15,400,2022-05-27 14:24:00
24,66.93,67.015,66.93,67.0,1023,2022-05-27 14:28:00
25,66.94,66.94,66.94,66.94,201,2022-05-27 14:29:00
26,67.015,67.015,67.015,67.015,100,2022-05-27 14:31:00
27,66.93,66.93,66.89,66.89,300,2022-05-27 14:37:00
28,66.85,66.85,66.85,66.85,200,2022-05-27 14:38:00
29,66.7,66.7,66.7,66.7,100,2022-05-27 14:40:00
30,66.66,66.66,66.66,66.66,200,2022-05-27 14:41:00
31,66.62,66.62,66.58,66.58,200,2022-05-27 14:44:00
32,66.47,66.47,66.47,66.47,200,2022-05-27 14:46:00
33,66.48,66.59,66.48,66.59,400,2022-05-27 14:47:00
34,66.63,66.63,66.63,66.63,100,2022-05-27 14:52:00
35,66.59,66.59,66.59,66.59,100,2022-05-27 14:54:00
36,66.64,66.64,66.64,66.64,200,2022-05-27 14:56:00
37,66.51,66.51,66.51,66.51,100,2022-05-27 14:57:00
38,66.48,66.48,66.48,66.48,100,2022-05-27 14:59:00
39,66.39,66.39,66.24,66.26,800,2022-05-27 15:02:00
40,66.34,66.35,66.33,66.33,608,2022-05-27 15:03:00
41,66.45,66.45,66.45,66.45,100,2022-05-27 15:04:00
42,66.35,66.35,66.35,66.35,200,2022-05-27 15:05:00
43,66.32,66.44,66.32,66.44,633,2022-05-27 15:09:00
44,66.58,66.58,66.58,66.58,500,2022-05-27 15:10:00
45,66.67,66.88,66.67,66.88,708,2022-05-27 15:11:00
46,66.8,67.05,66.79,67.05,500,2022-05-27 15:12:00
47,67.06,67.06,67.0,67.0,200,2022-05-27 15:15:00
48,67.005,67.005,67.0,67.0,200,2022-05-27 15:16:00
49,67.0,67.0,66.92,67.0,700,2022-05-27 15:17:00
50,66.81,66.81,66.81,66.81,100,2022-05-27 15:18:00
51,66.82,66.82,66.82,66.82,200,2022-05-27 15:19:00
52,66.735,66.735,66.735,66.735,100,2022-05-27 15:22:00
53,66.78,66.78,66.78,66.78,100,2022-05-27 15:23:00
54,66.71,66.71,66.71,66.71,200,2022-05-27 15:25:00
55,66.63,66.63,66.63,66.63,100,2022-05-27 15:26:00
56,66.92,66.92,66.9,66.92,500,2022-05-27 15:41:00
57,66.95,66.95,66.92,66.92,200,2022-05-27 15:43:00
58,66.92,66.92,66.92,66.92,100,2022-05-27 15:44:00
59,66.89,66.89,66.89,66.89,188,2022-05-27 15:49:00
60,67.0,67.01,67.0,67.01,300,2022-05-27 15:58:00
61,67.0,67.0,67.0,67.0,100,2022-05-27 15:59:00
62,66.96,66.96,66.96,66.96,100,2022-05-27 16:04:00
63,66.975,67.02,66.975,67.02,400,2022-05-27 16:11:00
64,66.92,66.92,66.92,66.92,100,2022-05-27 16:12:00
65,66.97,66.97,66.97,66.97,420,2022-05-27 16:13:00
66,66.825,66.825,66.825,66.825,100,2022-05-27 16:18:00
67,66.8,66.8,66.8,66.8,100,2022-05-27 16:24:00
68,66.785,66.785,66.785,66.785,100,2022-05-27 16:26:00
69,66.71,66.71,66.71,66.71,100,2022-05-27 16:29:00
70,66.7,66.7,66.7,66.7,100,2022-05-27 16:33:00
71,66.71,66.71,66.71,66.71,100,2022-05-27 16:35:00
72,66.705,66.705,66.705,66.705,100,2022-05-27 16:36:00
73,66.75,66.75,66.71,66.71,908,2022-05-27 16:37:00
74,66.895,66.895,66.83,66.83,200,2022-05-27 16:39:00
75,66.77,66.78,66.77,66.78,200,2022-05-27 16:40:00
76,66.845,66.845,66.76,66.77,400,2022-05-27 16:41:00
77,66.89,66.89,66.89,66.89,300,2022-05-27 16:43:00
