,open,high,low,close,volume,datetime
0,9.97,9.97,9.97,9.97,1330,2022-05-27 14:08:00
1,9.97,9.97,9.97,9.97,6300,2022-05-27 17:46:00
2,9.97,9.97,9.97,9.97,4000,2022-05-27 18:14:00
3,9.96,9.96,9.96,9.96,1500,2022-05-31 14:13:00
4,9.97,9.98,9.97,9.98,11200,2022-05-31 15:24:00
5,9.98,9.98,9.98,9.98,300,2022-05-31 15:28:00
6,9.97,9.97,9.96,9.96,5599,2022-05-31 16:14:00
7,9.97,9.97,9.97,9.97,3300,2022-05-31 16:58:00
8,9.96,9.96,9.96,9.96,1350,2022-06-01 13:13:00
9,9.96,9.96,9.96,9.96,7858,2022-06-01 13:44:00
10,9.96,9.96,9.96,9.96,200,2022-06-01 13:58:00
11,9.97,9.97,9.97,9.97,763,2022-06-01 16:19:00
12,9.965,9.965,9.96,9.96,300,2022-06-01 19:49:00
13,9.962,9.962,9.96,9.96,300,2022-06-01 19:51:00
14,9.96,9.96,9.96,9.96,300,2022-06-01 19:55:00
15,9.96,9.96,9.96,9.96,200,2022-06-01 19:59:00
16,9.97,9.97,9.97,9.97,3000,2022-06-03 13:35:00
17,9.97,9.97,9.97,9.97,3000,2022-06-03 14:38:00
18,9.97,9.97,9.97,9.97,100,2022-06-03 15:06:00
19,9.965,9.965,9.965,9.965,183,2022-06-03 18:13:00
20,9.97,9.97,9.97,9.97,720,2022-06-06 12:42:00
21,9.965,9.965,9.96,9.96,312,2022-06-07 13:31:00
22,9.965,9.965,9.965,9.965,1116,2022-06-07 14:08:00
23,9.965,9.965,9.96,9.96,200,2022-06-07 14:14:00
24,9.97,9.97,9.97,9.97,144,2022-06-07 14:37:00
25,9.97,9.97,9.96,9.96,26313,2022-06-07 14:39:00
26,9.97,9.97,9.96,9.97,16090,2022-06-07 14:40:00
27,9.975,9.975,9.975,9.975,1500,2022-06-07 15:35:00
28,9.97,9.97,9.97,9.97,2823,2022-06-07 16:08:00
29,9.97,9.97,9.97,9.97,15000,2022-06-07 16:17:00
30,9.97,9.97,9.97,9.97,15000,2022-06-07 16:18:00
31,9.97,9.97,9.97,9.97,20000,2022-06-07 17:36:00
32,9.97,9.97,9.97,9.97,17288,2022-06-07 18:07:00
33,9.97,9.97,9.97,9.97,200,2022-06-09 13:25:00
34,9.98,9.98,9.98,9.98,100,2022-06-09 13:27:00
35,9.97,9.97,9.97,9.97,210,2022-06-09 13:30:00
36,9.975,9.975,9.975,9.975,100,2022-06-10 17:58:00
37,9.97,9.97,9.97,9.97,1120,2022-06-10 17:59:00
38,9.97,9.97,9.97,9.97,100,2022-06-10 21:02:00
