,open,high,low,close,volume,datetime
0,9.99,9.99,9.99,9.99,100,2022-05-27 13:45:00
1,10.0,10.01,9.97,10.01,29653,2022-05-27 14:11:00
2,10.02,10.02,10.0,10.0,1900,2022-05-27 14:27:00
3,10.02,10.03,10.02,10.02,23964,2022-05-27 14:44:00
4,10.0,10.015,10.0,10.01,22576,2022-05-27 14:45:00
5,10.015,10.015,10.015,10.015,100,2022-05-27 14:51:00
6,10.02,10.02,10.01,10.02,400,2022-05-27 15:01:00
7,10.02,10.02,10.02,10.02,500,2022-05-27 15:07:00
8,10.01,10.01,10.01,10.01,200,2022-05-27 15:29:00
9,10.01,10.01,10.01,10.01,200,2022-05-27 16:12:00
10,10.02,10.03,10.02,10.03,3600,2022-05-27 16:38:00
11,10.01,10.01,10.0,10.0,1000,2022-05-27 16:58:00
12,10.01,10.01,10.01,10.01,100,2022-05-27 17:01:00
13,10.01,10.01,10.01,10.01,200,2022-05-27 17:02:00
14,10.01,10.01,10.01,10.01,1057,2022-05-27 17:13:00
15,10.015,10.015,10.01,10.01,500,2022-05-27 17:54:00
16,10.015,10.015,10.01,10.01,200,2022-05-27 17:56:00
17,10.015,10.015,10.01,10.01,200,2022-05-27 18:08:00
18,10.0117,10.0117,10.0117,10.0117,101,2022-05-27 18:15:00
19,10.02,10.02,10.02,10.02,550,2022-05-27 18:33:00
20,10.015,10.02,10.0,10.0142,1160,2022-05-27 19:59:00
21,10.01,10.01,10.01,10.01,300,2022-05-27 20:00:00
22,9.97,9.97,9.97,9.97,1000,2022-05-31 13:32:00
23,9.97,9.97,9.97,9.97,700,2022-05-31 13:35:00
24,9.97,9.98,9.97,9.97,5350,2022-05-31 14:39:00
25,9.97,9.98,9.96,9.98,1020,2022-05-31 14:40:00
26,9.97,9.97,9.97,9.97,300,2022-05-31 15:00:00
27,9.97,9.985,9.97,9.985,2761,2022-05-31 15:48:00
28,9.985,9.985,9.985,9.985,100,2022-05-31 15:49:00
29,10.0099,10.0099,10.0,10.0,1100,2022-05-31 16:57:00
30,9.995,9.995,9.995,9.995,26400,2022-05-31 17:27:00
31,9.9901,10.0,9.9901,10.0,585,2022-05-31 17:28:00
32,10.0,10.0,10.0,10.0,500,2022-05-31 17:46:00
33,9.99,9.99,9.99,9.99,100,2022-05-31 18:27:00
34,9.99,9.99,9.99,9.99,200,2022-05-31 18:30:00
35,10.0,10.0,10.0,10.0,100,2022-05-31 18:43:00
36,9.99,9.99,9.99,9.99,125,2022-05-31 19:00:00
37,9.99,9.99,9.99,9.99,250,2022-05-31 19:01:00
38,9.99,10.0,9.99,9.99,5000,2022-05-31 19:54:00
39,9.99,10.01,9.99,9.99,5200,2022-05-31 19:55:00
40,9.985,9.99,9.985,9.99,500,2022-05-31 19:59:00
41,9.9401,9.9401,9.9401,9.9401,175,2022-06-01 14:03:00
42,9.98,9.98,9.98,9.98,100,2022-06-01 14:16:00
43,9.95,9.95,9.95,9.95,600,2022-06-01 14:44:00
44,9.98,9.98,9.95,9.96,39825,2022-06-01 15:46:00
45,9.98,9.98,9.97,9.97,1056,2022-06-01 15:47:00
46,9.97,9.97,9.97,9.97,100,2022-06-01 15:48:00
47,9.97,9.97,9.97,9.97,100,2022-06-01 15:49:00
48,9.98,9.98,9.98,9.98,944,2022-06-01 15:54:00
49,10.01,10.01,10.01,10.01,100,2022-06-01 16:47:00
50,9.99,9.99,9.98,9.98,1200,2022-06-01 17:44:00
51,10.01,10.01,10.01,10.01,100,2022-06-01 18:06:00
52,9.99,9.99,9.99,9.99,30000,2022-06-01 18:37:00
53,10.0,10.0,9.99,10.0,1500,2022-06-01 19:13:00
54,10.01,10.01,10.01,10.01,100,2022-06-01 19:16:00
55,10.02,10.02,10.02,10.02,415,2022-06-01 19:24:00
56,10.02,10.02,10.02,10.02,100,2022-06-01 19:28:00
57,10.0,10.0,10.0,10.0,500,2022-06-01 19:49:00
58,10.02,10.02,10.02,10.02,500,2022-06-01 19:56:00
59,9.99,9.99,9.99,9.99,38625,2022-06-02 15:09:00
60,9.99,9.99,9.99,9.99,1300,2022-06-02 15:10:00
61,9.99,10.0,9.99,9.99,1300,2022-06-02 15:11:00
62,9.99,10.0,9.99,10.0,1400,2022-06-02 15:38:00
63,9.99,9.99,9.99,9.99,1300,2022-06-02 15:39:00
64,9.99,9.99,9.99,9.99,1300,2022-06-02 15:40:00
65,9.99,9.99,9.99,9.99,1300,2022-06-02 15:41:00
66,9.99,9.99,9.99,9.99,1300,2022-06-02 15:42:00
67,9.99,9.99,9.99,9.99,1300,2022-06-02 15:43:00
68,9.99,9.99,9.99,9.99,1300,2022-06-02 15:44:00
69,9.99,9.99,9.99,9.99,1300,2022-06-02 15:45:00
70,9.99,10.0,9.99,9.99,1500,2022-06-02 15:46:00
71,9.99,9.99,9.99,9.99,1300,2022-06-02 15:47:00
72,9.99,9.99,9.99,9.99,1300,2022-06-02 15:48:00
73,9.99,9.99,9.99,9.99,1300,2022-06-02 15:49:00
74,9.99,9.99,9.99,9.99,1300,2022-06-02 15:50:00
75,9.99,9.99,9.99,9.99,1200,2022-06-02 15:51:00
76,9.99,10.0,9.99,9.99,1500,2022-06-02 15:52:00
77,9.99,9.99,9.99,9.99,1300,2022-06-02 15:53:00
78,9.99,9.99,9.99,9.99,1300,2022-06-02 15:54:00
79,9.99,9.99,9.99,9.99,500,2022-06-02 15:55:00
80,9.99,9.99,9.99,9.99,1500,2022-06-02 16:09:00
81,9.99,9.99,9.99,9.99,40000,2022-06-02 16:33:00
82,9.99,9.99,9.99,9.99,200,2022-06-02 16:34:00
83,9.99,9.99,9.99,9.99,100,2022-06-02 16:35:00
84,9.99,9.99,9.99,9.99,100,2022-06-02 16:36:00
85,9.99,9.99,9.99,9.99,100,2022-06-02 16:37:00
86,9.99,9.99,9.99,9.99,1800,2022-06-02 16:59:00
87,9.99,9.99,9.99,9.99,900,2022-06-02 17:00:00
88,9.99,9.99,9.99,9.99,100,2022-06-02 17:01:00
89,9.99,9.99,9.99,9.99,100,2022-06-02 17:40:00
90,9.99,9.99,9.99,9.99,400,2022-06-02 17:58:00
91,9.99,9.99,9.99,9.99,400,2022-06-02 17:59:00
92,9.99,9.99,9.99,9.99,500,2022-06-02 18:00:00
93,9.99,9.99,9.99,9.99,500,2022-06-02 18:01:00
94,9.99,9.99,9.99,9.99,1400,2022-06-02 18:02:00
95,9.99,9.99,9.99,9.99,400,2022-06-02 18:03:00
96,9.99,9.99,9.99,9.99,500,2022-06-02 18:04:00
97,9.99,9.99,9.99,9.99,400,2022-06-02 18:05:00
98,9.99,9.99,9.99,9.99,500,2022-06-02 18:06:00
99,9.99,9.99,9.99,9.99,500,2022-06-02 18:07:00
100,9.99,9.99,9.99,9.99,400,2022-06-02 18:08:00
101,9.99,9.99,9.99,9.99,800,2022-06-02 18:09:00
102,9.99,9.99,9.99,9.99,100,2022-06-02 18:10:00
103,9.99,9.99,9.99,9.99,900,2022-06-02 18:29:00
104,10.0,10.0,10.0,10.0,300,2022-06-02 18:30:00
105,10.02,10.02,10.02,10.02,100,2022-06-02 18:46:00
106,10.02,10.02,10.02,10.02,300,2022-06-02 19:31:00
107,10.01,10.01,10.01,10.01,600,2022-06-03 15:15:00
108,10.01,10.01,10.01,10.01,250,2022-06-03 15:21:00
109,10.01,10.01,10.01,10.01,233,2022-06-03 15:48:00
110,10.009,10.009,10.009,10.009,233,2022-06-03 15:49:00
111,10.0067,10.0067,10.0067,10.0067,170,2022-06-03 16:00:00
112,10.0004,10.0004,10.0004,10.0004,100,2022-06-03 17:01:00
113,10.01,10.01,10.01,10.01,200,2022-06-03 17:15:00
114,10.01,10.01,10.01,10.01,500,2022-06-03 18:30:00
115,10.02,10.02,10.02,10.02,194,2022-06-06 13:43:00
116,9.99,9.99,9.99,9.99,200,2022-06-06 14:12:00
117,9.97,9.97,9.97,9.97,100,2022-06-06 15:35:00
118,10.0,10.0,10.0,10.0,100,2022-06-06 18:30:00
119,9.99,9.99,9.99,9.99,900,2022-06-06 19:33:00
120,10.125,10.13,10.12,10.13,450,2022-06-06 19:37:00
121,10.0,10.0,10.0,10.0,200,2022-06-07 13:45:00
122,10.0,10.0,10.0,10.0,100,2022-06-07 13:47:00
123,10.0,10.0,10.0,10.0,500,2022-06-07 13:51:00
124,10.0,10.0,10.0,10.0,100,2022-06-07 13:52:00
125,10.0,10.0,10.0,10.0,200,2022-06-07 14:04:00
126,10.0,10.0,10.0,10.0,800,2022-06-07 14:05:00
127,10.0,10.0,10.0,10.0,3750,2022-06-07 14:08:00
128,10.0,10.0,10.0,10.0,200,2022-06-07 14:10:00
129,10.0,10.0,10.0,10.0,200,2022-06-07 14:22:00
130,10.0,10.0,10.0,10.0,200,2022-06-07 14:34:00
131,10.0,10.0,10.0,10.0,400,2022-06-07 14:36:00
132,10.0,10.0,10.0,10.0,10795,2022-06-07 15:03:00
133,9.995,10.0,9.995,10.0,500,2022-06-07 15:23:00
134,9.995,10.0,9.995,10.0,5100,2022-06-07 16:53:00
135,10.0,10.0,9.995,9.995,700,2022-06-07 17:23:00
136,10.0,10.0,9.995,9.995,12325,2022-06-07 17:31:00
137,10.0,10.0,10.0,10.0,100,2022-06-07 18:17:00
138,10.0,10.0,10.0,10.0,300,2022-06-07 18:20:00
139,9.99,10.0,9.99,10.0,350,2022-06-07 18:44:00
140,10.0,10.0,10.0,10.0,100,2022-06-07 18:46:00
141,10.0,10.0,10.0,10.0,500,2022-06-07 19:19:00
142,10.0,10.0,10.0,10.0,200,2022-06-07 19:59:00
143,10.0,10.0,10.0,10.0,100,2022-06-08 16:49:00
144,9.99,10.0,9.99,10.0,1100,2022-06-08 18:19:00
145,10.0,10.0,10.0,10.0,400,2022-06-08 19:16:00
146,10.0,10.0,10.0,10.0,300,2022-06-08 19:59:00
147,10.03,10.03,10.03,10.03,600,2022-06-09 18:35:00
148,9.98,9.98,9.98,9.98,200,2022-06-09 19:20:00
149,10.03,10.03,10.03,10.03,300,2022-06-09 20:00:00
150,9.97,9.97,9.97,9.97,200,2022-06-10 13:58:00
151,9.99,9.99,9.99,9.99,100,2022-06-10 14:21:00
152,9.9601,9.9601,9.9601,9.9601,500,2022-06-10 15:45:00
153,10.005,10.005,10.005,10.005,2000,2022-06-10 18:02:00
154,10.0,10.0,10.0,10.0,200,2022-06-10 18:30:00
