,open,high,low,close,volume,datetime
0,44.97,44.97,44.97,44.97,542,2022-05-27 13:30:00
1,44.77,45.03,44.77,44.91,300,2022-05-27 13:36:00
2,45.27,45.27,45.27,45.27,100,2022-05-27 13:40:00
3,44.66,44.66,44.66,44.66,100,2022-05-27 13:44:00
4,44.92,44.92,44.91,44.91,500,2022-05-27 13:52:00
5,45.35,45.35,45.35,45.35,100,2022-05-27 13:57:00
6,45.595,45.595,45.595,45.595,119,2022-05-27 14:02:00
7,45.826,45.826,45.826,45.826,100,2022-05-27 14:11:00
8,45.61,45.61,45.61,45.61,100,2022-05-27 14:12:00
9,45.61,45.61,45.58,45.58,200,2022-05-27 14:16:00
10,45.74,45.74,45.74,45.74,100,2022-05-27 14:21:00
11,45.8938,45.8938,45.8938,45.8938,126,2022-05-27 14:29:00
12,45.77,45.77,45.77,45.77,105,2022-05-27 14:39:00
13,45.78,45.78,45.77,45.77,200,2022-05-27 14:42:00
14,45.83,45.83,45.83,45.83,300,2022-05-27 14:53:00
15,45.73,45.73,45.73,45.73,138,2022-05-27 14:54:00
16,45.87,45.87,45.87,45.87,100,2022-05-27 14:59:00
17,45.9,45.9,45.9,45.9,100,2022-05-27 15:09:00
18,45.91,45.91,45.91,45.91,300,2022-05-27 15:10:00
19,45.68,45.8595,45.68,45.8595,469,2022-05-27 15:11:00
20,46.02,46.17,46.02,46.17,644,2022-05-27 15:12:00
21,46.08,46.08,46.08,46.08,100,2022-05-27 15:15:00
22,46.1,46.1,46.08,46.1,400,2022-05-27 15:19:00
23,45.89,45.89,45.89,45.89,100,2022-05-27 15:29:00
24,46.09,46.09,46.09,46.09,200,2022-05-27 15:30:00
25,46.15,46.15,46.15,46.15,200,2022-05-27 15:33:00
26,46.1,46.1,46.1,46.1,100,2022-05-27 15:41:00
27,46.11,46.11,46.11,46.11,100,2022-05-27 15:49:00
28,46.14,46.14,46.06,46.06,200,2022-05-27 16:00:00
29,46.12,46.12,46.12,46.12,162,2022-05-27 16:01:00
30,46.01,46.01,45.94,45.94,300,2022-05-27 16:17:00
31,45.94,45.94,45.94,45.94,100,2022-05-27 16:18:00
32,45.93,45.93,45.93,45.93,200,2022-05-27 16:25:00
33,46.0,46.03,46.0,46.03,200,2022-05-27 16:27:00
34,45.93,45.93,45.93,45.93,100,2022-05-27 16:47:00
35,45.93,45.93,45.93,45.93,100,2022-05-27 16:48:00
36,45.9341,45.9341,45.9341,45.9341,165,2022-05-27 16:49:00
37,45.97,45.97,45.97,45.97,100,2022-05-27 16:50:00
38,45.92,45.92,45.92,45.92,142,2022-05-27 16:52:00
39,46.02,46.02,45.99,46.01,300,2022-05-27 16:53:00
40,46.02,46.02,46.02,46.02,100,2022-05-27 16:59:00
41,46.01,46.02,45.93,46.02,300,2022-05-27 17:00:00
42,45.965,45.965,45.965,45.965,100,2022-05-27 17:02:00
43,45.97,45.97,45.94,45.94,400,2022-05-27 17:11:00
44,46.02,46.02,46.02,46.02,100,2022-05-27 17:13:00
45,45.98,45.98,45.98,45.98,100,2022-05-27 17:14:00
46,45.9547,45.9547,45.9547,45.9547,105,2022-05-27 17:15:00
47,46.12,46.12,46.12,46.12,100,2022-05-27 17:20:00
48,46.14,46.15,46.09,46.09,500,2022-05-27 17:22:00
49,46.09,46.09,46.09,46.09,100,2022-05-27 17:24:00
50,46.13,46.13,46.03,46.03,200,2022-05-27 17:29:00
51,46.17,46.17,46.17,46.17,100,2022-05-27 17:35:00
52,46.15,46.15,46.15,46.15,100,2022-05-27 17:40:00
53,46.245,46.245,46.19,46.19,200,2022-05-27 17:43:00
54,46.215,46.215,46.215,46.215,200,2022-05-27 17:44:00
55,46.12,46.12,45.89,45.89,1400,2022-05-27 17:47:00
56,45.95,45.95,45.88,45.89,1536,2022-05-27 17:48:00
57,45.99,45.99,45.93,45.98,400,2022-05-27 17:51:00
58,46.02,46.02,46.02,46.02,100,2022-05-27 17:52:00
59,45.95,45.95,45.95,45.95,100,2022-05-27 17:56:00
60,45.97,45.97,45.97,45.97,100,2022-05-27 18:04:00
61,45.95,45.95,45.88,45.88,200,2022-05-27 18:07:00
62,45.915,45.915,45.915,45.915,100,2022-05-27 18:10:00
63,45.97,45.97,45.97,45.97,100,2022-05-27 18:23:00
64,45.87,45.87,45.77,45.785,500,2022-05-27 18:25:00
65,45.79,45.79,45.79,45.79,100,2022-05-27 18:31:00
66,45.85,45.85,45.85,45.85,200,2022-05-27 18:34:00
67,45.9,45.9,45.9,45.9,100,2022-05-27 18:38:00
68,45.91,45.91,45.855,45.906,400,2022-05-27 18:50:00
69,45.92,45.92,45.79,45.79,600,2022-05-27 18:51:00
70,45.73,45.75,45.73,45.75,200,2022-05-27 18:54:00
71,45.73,45.73,45.73,45.73,200,2022-05-27 18:55:00
72,45.645,45.645,45.645,45.645,400,2022-05-27 18:59:00
73,45.645,45.71,45.645,45.71,200,2022-05-27 19:00:00
74,45.68,45.68,45.63,45.63,200,2022-05-27 19:01:00
75,45.69,45.695,45.69,45.695,200,2022-05-27 19:05:00
76,45.7,45.7,45.7,45.7,100,2022-05-27 19:06:00
77,45.71,45.71,45.64,45.71,400,2022-05-27 19:10:00
78,45.71,45.71,45.71,45.71,100,2022-05-27 19:12:00
79,45.71,45.71,45.71,45.71,100,2022-05-27 19:13:00
80,45.63,45.65,45.48,45.48,1100,2022-05-27 19:18:00
81,45.57,45.57,45.57,45.57,100,2022-05-27 19:19:00
82,45.57,45.57,45.57,45.57,100,2022-05-27 19:20:00
83,45.52,45.57,45.51,45.53,500,2022-05-27 19:21:00
84,45.58,45.58,45.58,45.58,100,2022-05-27 19:22:00
85,45.63,45.63,45.6,45.6,200,2022-05-27 19:24:00
86,45.61,45.61,45.61,45.61,200,2022-05-27 19:25:00
87,45.625,45.625,45.61,45.61,200,2022-05-27 19:31:00
88,45.56,45.58,45.5,45.5,600,2022-05-27 19:34:00
89,45.5,45.5,45.4,45.47,1600,2022-05-27 19:35:00
90,45.44,45.49,45.39,45.49,300,2022-05-27 19:36:00
91,45.39,45.39,45.39,45.39,100,2022-05-27 19:37:00
92,45.42,45.42,45.42,45.42,100,2022-05-27 19:38:00
93,45.5,45.5,45.5,45.5,284,2022-05-27 19:39:00
94,45.58,45.58,45.56,45.56,500,2022-05-27 19:42:00
95,45.585,45.585,45.585,45.585,100,2022-05-27 19:45:00
96,45.59,45.59,45.57,45.57,800,2022-05-27 19:46:00
97,45.57,45.57,45.57,45.57,100,2022-05-27 19:47:00
98,45.57,45.57,45.49,45.49,200,2022-05-27 19:48:00
99,45.49,45.55,45.49,45.55,200,2022-05-27 19:49:00
100,45.52,45.63,45.52,45.56,600,2022-05-27 19:50:00
101,45.56,45.56,45.56,45.56,100,2022-05-27 19:51:00
102,45.56,45.66,45.52,45.66,522,2022-05-27 19:53:00
103,45.58,45.65,45.57,45.635,600,2022-05-27 19:54:00
104,45.635,45.66,45.59,45.59,1333,2022-05-27 19:55:00
105,45.615,45.615,45.56,45.59,700,2022-05-27 19:56:00
106,45.59,45.655,45.59,45.64,900,2022-05-27 19:57:00
107,45.65,45.71,45.62,45.71,300,2022-05-27 19:58:00
