,open,high,low,close,volume,datetime
0,9.66,9.66,9.66,9.66,677,2022-05-27 13:30:00
1,9.73,9.73,9.73,9.73,199,2022-05-27 13:37:00
2,9.71,9.71,9.71,9.71,100,2022-05-27 13:44:00
3,9.745,9.745,9.745,9.745,400,2022-05-27 14:10:00
4,9.745,9.77,9.73,9.77,700,2022-05-27 14:11:00
5,9.74,9.74,9.74,9.74,400,2022-05-27 14:24:00
6,9.81,9.81,9.78,9.78,300,2022-05-27 14:25:00
7,9.79,9.79,9.79,9.79,100,2022-05-27 14:26:00
8,9.79,9.79,9.78,9.78,400,2022-05-27 14:40:00
9,9.81,9.81,9.81,9.81,200,2022-05-27 14:42:00
10,9.83,9.99,9.82,9.92,4836,2022-05-27 14:52:00
11,9.92,9.92,9.92,9.92,300,2022-05-27 14:53:00
12,9.89,9.89,9.87,9.885,1100,2022-05-27 15:08:00
13,9.87,9.87,9.86,9.86,200,2022-05-27 15:09:00
14,9.86,9.86,9.84,9.84,200,2022-05-27 15:10:00
15,9.84,9.85,9.84,9.85,200,2022-05-27 15:11:00
16,9.84,9.84,9.84,9.84,100,2022-05-27 15:14:00
17,9.81,9.81,9.81,9.81,300,2022-05-27 15:25:00
18,9.805,9.805,9.805,9.805,100,2022-05-27 15:30:00
19,9.79,9.79,9.79,9.79,100,2022-05-27 15:50:00
20,9.795,9.795,9.795,9.795,200,2022-05-27 16:01:00
21,9.79,9.79,9.79,9.79,100,2022-05-27 16:16:00
22,9.795,9.8,9.795,9.8,200,2022-05-27 16:19:00
23,9.81,9.81,9.81,9.81,100,2022-05-27 16:22:00
24,9.83,9.83,9.83,9.83,100,2022-05-27 16:26:00
25,9.815,9.815,9.815,9.815,200,2022-05-27 16:35:00
26,9.815,9.815,9.815,9.815,100,2022-05-27 16:42:00
27,9.8,9.8,9.8,9.8,100,2022-05-27 16:59:00
28,9.8,9.83,9.8,9.83,300,2022-05-27 17:08:00
29,9.815,9.815,9.815,9.815,100,2022-05-27 17:14:00
30,9.8,9.8,9.8,9.8,200,2022-05-27 17:21:00
31,9.81,9.81,9.81,9.81,100,2022-05-27 17:31:00
32,9.81,9.82,9.81,9.815,400,2022-05-27 17:45:00
33,9.82,9.82,9.82,9.82,300,2022-05-27 17:47:00
34,9.835,9.835,9.835,9.835,300,2022-05-27 17:49:00
35,9.84,9.84,9.84,9.84,100,2022-05-27 17:55:00
36,9.83,9.83,9.83,9.83,100,2022-05-27 18:01:00
37,9.83,9.86,9.83,9.86,800,2022-05-27 18:06:00
38,9.865,9.865,9.865,9.865,100,2022-05-27 18:07:00
39,9.85,9.85,9.85,9.85,200,2022-05-27 18:23:00
40,9.85,9.85,9.85,9.85,100,2022-05-27 18:24:00
41,9.855,9.855,9.855,9.855,100,2022-05-27 18:26:00
42,9.84,9.84,9.84,9.84,200,2022-05-27 18:27:00
43,9.84,9.84,9.84,9.84,100,2022-05-27 18:36:00
44,9.84,9.86,9.84,9.86,500,2022-05-27 18:39:00
45,9.855,9.855,9.855,9.855,100,2022-05-27 18:47:00
46,9.855,9.855,9.855,9.855,400,2022-05-27 18:53:00
47,9.85,9.85,9.85,9.85,100,2022-05-27 19:08:00
48,9.86,9.875,9.86,9.875,1200,2022-05-27 19:15:00
49,9.875,9.875,9.875,9.875,100,2022-05-27 19:16:00
50,9.875,9.875,9.875,9.875,300,2022-05-27 19:20:00
51,9.875,9.89,9.875,9.89,500,2022-05-27 19:22:00
52,9.875,9.875,9.875,9.875,100,2022-05-27 19:23:00
53,9.88,9.88,9.88,9.88,100,2022-05-27 19:30:00
54,9.88,9.88,9.88,9.88,100,2022-05-27 19:32:00
55,9.88,9.88,9.87,9.87,500,2022-05-27 19:34:00
56,9.87,9.87,9.87,9.87,400,2022-05-27 19:35:00
57,9.86,9.86,9.86,9.86,100,2022-05-27 19:44:00
58,9.87,9.88,9.87,9.88,3900,2022-05-27 19:50:00
59,9.87,9.87,9.86,9.86,500,2022-05-27 19:53:00
60,9.87,9.87,9.865,9.865,200,2022-05-27 19:54:00
61,9.865,9.865,9.865,9.865,100,2022-05-27 19:57:00
62,9.87,9.89,9.87,9.88,900,2022-05-27 19:58:00
63,9.87,9.88,9.86,9.87,1180,2022-05-27 19:59:00
64,9.87,9.87,9.87,9.87,8202,2022-05-27 20:00:00
65,9.9,9.9,9.9,9.9,825,2022-05-31 13:30:00
66,9.9,9.9,9.7,9.7,1900,2022-05-31 13:34:00
67,9.8,9.8,9.8,9.8,513,2022-05-31 13:57:00
68,9.79,9.79,9.76,9.76,300,2022-05-31 14:48:00
69,9.74,9.74,9.74,9.74,200,2022-05-31 14:52:00
70,9.74,9.74,9.7,9.7,761,2022-05-31 14:53:00
71,9.65,9.65,9.65,9.65,100,2022-05-31 15:00:00
72,9.64,9.64,9.64,9.64,100,2022-05-31 15:08:00
73,9.66,9.66,9.66,9.66,200,2022-05-31 15:09:00
74,9.65,9.65,9.64,9.64,300,2022-05-31 15:43:00
75,9.65,9.65,9.65,9.65,300,2022-05-31 15:49:00
76,9.66,9.66,9.66,9.66,100,2022-05-31 15:51:00
77,9.655,9.655,9.655,9.655,100,2022-05-31 15:58:00
78,9.64,9.64,9.64,9.64,100,2022-05-31 16:04:00
79,9.655,9.655,9.655,9.655,100,2022-05-31 16:11:00
80,9.655,9.655,9.655,9.655,100,2022-05-31 16:13:00
