,open,high,low,close,volume,datetime
0,5.5,5.5,5.5,5.5,100,2022-05-27 12:52:00
1,5.55,5.55,5.55,5.55,1527,2022-05-27 13:30:00
2,5.6663,5.735,5.6663,5.735,265,2022-05-27 13:32:00
3,5.6275,5.6275,5.6275,5.6275,1000,2022-05-27 13:48:00
4,5.74,5.74,5.74,5.74,100,2022-05-27 13:50:00
5,5.63,5.63,5.63,5.63,300,2022-05-27 13:55:00
6,5.93,5.93,5.91,5.91,200,2022-05-27 13:57:00
7,5.89,5.995,5.71,5.71,2300,2022-05-27 14:09:00
8,5.71,5.91,5.71,5.855,400,2022-05-27 14:10:00
9,5.84,6.02,5.84,6.02,7398,2022-05-27 14:16:00
10,5.92,6.01,5.8,5.81,1300,2022-05-27 14:17:00
11,5.8,5.895,5.8,5.85,408,2022-05-27 14:18:00
12,5.82,5.99,5.82,5.82,600,2022-05-27 14:19:00
13,5.82,5.96,5.81,5.8876,1169,2022-05-27 14:20:00
14,5.81,5.81,5.81,5.81,200,2022-05-27 14:21:00
15,5.83,5.83,5.81,5.81,300,2022-05-27 14:22:00
16,5.92,5.99,5.81,5.83,400,2022-05-27 14:23:00
17,5.81,5.81,5.81,5.81,100,2022-05-27 14:24:00
18,6.01,6.01,6.01,6.01,100,2022-05-27 14:26:00
19,5.82,5.995,5.82,5.96,300,2022-05-27 14:41:00
20,5.915,5.915,5.83,5.83,2300,2022-05-27 14:52:00
21,5.995,5.995,5.83,5.83,200,2022-05-27 14:53:00
22,5.83,5.83,5.83,5.83,100,2022-05-27 14:54:00
23,5.83,5.83,5.83,5.83,100,2022-05-27 14:56:00
24,5.9,5.97,5.9,5.97,1100,2022-05-27 14:57:00
25,5.95,5.95,5.83,5.83,200,2022-05-27 14:58:00
26,5.83,5.83,5.83,5.83,100,2022-05-27 14:59:00
27,5.83,5.98,5.83,5.98,200,2022-05-27 15:01:00
28,5.98,5.98,5.84,5.84,899,2022-05-27 15:08:00
29,5.84,5.84,5.84,5.84,100,2022-05-27 15:09:00
30,5.93,5.93,5.93,5.93,100,2022-05-27 15:11:00
31,5.895,5.895,5.895,5.895,100,2022-05-27 15:12:00
32,5.84,5.84,5.84,5.84,100,2022-05-27 15:13:00
33,5.94,5.94,5.94,5.94,100,2022-05-27 15:27:00
34,5.9384,5.99,5.89,5.89,1075,2022-05-27 15:34:00
35,5.92,5.92,5.92,5.92,100,2022-05-27 15:35:00
36,5.9,5.92,5.9,5.92,1600,2022-05-27 15:37:00
37,5.89,5.89,5.89,5.89,100,2022-05-27 15:38:00
38,5.82,5.82,5.82,5.82,100,2022-05-27 15:39:00
39,5.8987,5.915,5.81,5.915,300,2022-05-27 15:40:00
40,5.81,5.81,5.81,5.81,100,2022-05-27 15:43:00
41,5.92,5.92,5.92,5.92,100,2022-05-27 15:46:00
42,5.82,5.82,5.82,5.82,100,2022-05-27 15:48:00
43,5.8201,5.92,5.8201,5.92,1800,2022-05-27 15:58:00
44,5.82,5.915,5.82,5.83,3040,2022-05-27 15:59:00
