,open,high,low,close,volume,datetime
0,13.84,13.84,13.84,13.84,100,2022-05-27 13:29:00
1,13.77,13.865,13.75,13.79,1009,2022-05-27 13:30:00
2,13.75,13.82,13.75,13.77,1100,2022-05-27 13:31:00
3,13.75,13.75,13.75,13.75,300,2022-05-27 13:32:00
4,13.75,13.75,13.75,13.75,400,2022-05-27 13:33:00
5,13.77,13.77,13.75,13.75,329,2022-05-27 13:34:00
6,13.79,13.8,13.75,13.77,1400,2022-05-27 13:40:00
7,13.765,13.765,13.765,13.765,200,2022-05-27 13:41:00
8,13.73,13.75,13.71,13.75,1200,2022-05-27 13:42:00
9,13.69,13.69,13.66,13.66,200,2022-05-27 13:44:00
10,13.81,13.81,13.75,13.76,700,2022-05-27 13:51:00
11,13.72,13.72,13.72,13.72,100,2022-05-27 13:52:00
12,13.73,13.73,13.73,13.73,100,2022-05-27 13:57:00
13,13.735,13.78,13.71,13.71,1844,2022-05-27 13:58:00
14,13.71,13.71,13.71,13.71,100,2022-05-27 14:04:00
15,13.66,13.66,13.65,13.65,401,2022-05-27 14:08:00
16,13.68,13.68,13.6,13.6,600,2022-05-27 14:13:00
17,13.58,13.5808,13.5408,13.58,1500,2022-05-27 14:19:00
18,13.56,13.56,13.56,13.56,300,2022-05-27 14:26:00
19,13.52,13.52,13.52,13.52,100,2022-05-27 14:29:00
20,13.54,13.57,13.54,13.5501,1100,2022-05-27 14:36:00
21,13.61,13.61,13.61,13.61,100,2022-05-27 14:37:00
22,13.5984,13.5984,13.5984,13.5984,168,2022-05-27 14:41:00
23,13.57,13.57,13.53,13.56,1000,2022-05-27 14:47:00
24,13.56,13.56,13.55,13.55,400,2022-05-27 14:48:00
25,13.58,13.58,13.58,13.58,200,2022-05-27 14:50:00
26,13.6,13.6,13.6,13.6,400,2022-05-27 14:53:00
27,13.615,13.615,13.615,13.615,142,2022-05-27 14:56:00
28,13.58,13.58,13.57,13.57,351,2022-05-27 14:58:00
29,13.5,13.5,13.49,13.49,300,2022-05-27 15:02:00
30,13.49,13.495,13.49,13.495,200,2022-05-27 15:04:00
31,13.51,13.51,13.51,13.51,100,2022-05-27 15:06:00
32,13.545,13.545,13.545,13.545,100,2022-05-27 15:24:00
33,13.52,13.52,13.52,13.52,200,2022-05-27 15:32:00
34,13.58,13.58,13.58,13.58,100,2022-05-27 15:40:00
35,13.6,13.6,13.6,13.6,100,2022-05-27 15:45:00
36,13.61,13.61,13.61,13.61,200,2022-05-27 15:47:00
37,13.63,13.63,13.63,13.63,300,2022-05-27 15:50:00
38,13.62,13.62,13.62,13.62,400,2022-05-27 15:51:00
39,13.62,13.62,13.62,13.62,200,2022-05-27 15:57:00
40,13.61,13.61,13.61,13.61,100,2022-05-27 16:01:00
41,13.61,13.61,13.61,13.61,300,2022-05-27 16:03:00
42,13.61,13.61,13.585,13.585,426,2022-05-27 16:04:00
43,13.56,13.56,13.56,13.56,400,2022-05-27 16:07:00
44,13.58,13.58,13.58,13.58,200,2022-05-27 16:13:00
45,13.59,13.59,13.585,13.585,327,2022-05-27 16:15:00
46,13.605,13.605,13.6,13.6,900,2022-05-27 16:21:00
47,13.56,13.56,13.56,13.56,100,2022-05-27 16:29:00
48,13.49,13.49,13.49,13.49,100,2022-05-27 16:42:00
49,13.4539,13.4539,13.4539,13.4539,1000,2022-05-27 16:46:00
50,13.46,13.46,13.46,13.46,129,2022-05-27 16:48:00
51,13.45,13.45,13.44,13.44,300,2022-05-27 16:49:00
52,13.43,13.46,13.43,13.445,700,2022-05-27 16:52:00
53,13.46,13.46,13.46,13.46,200,2022-05-27 17:06:00
54,13.48,13.48,13.48,13.48,240,2022-05-27 17:07:00
55,13.48,13.48,13.48,13.48,100,2022-05-27 17:08:00
56,13.462,13.48,13.462,13.48,200,2022-05-27 17:15:00
57,13.5,13.51,13.48,13.49,2305,2022-05-27 17:32:00
58,13.5,13.55,13.4885,13.52,644,2022-05-27 17:33:00
59,13.57,13.57,13.57,13.57,100,2022-05-27 17:36:00
60,13.57,13.57,13.57,13.57,100,2022-05-27 17:41:00
61,13.55,13.55,13.55,13.55,100,2022-05-27 17:44:00
62,13.57,13.57,13.57,13.57,100,2022-05-27 17:46:00
63,13.565,13.59,13.55,13.55,500,2022-05-27 17:47:00
64,13.55,13.555,13.54,13.54,1409,2022-05-27 17:48:00
65,13.545,13.545,13.545,13.545,111,2022-05-27 17:49:00
66,13.555,13.57,13.55,13.56,800,2022-05-27 17:50:00
67,13.55,13.55,13.55,13.55,1013,2022-05-27 17:56:00
68,13.55,13.57,13.55,13.55,1364,2022-05-27 17:57:00
69,13.54,13.54,13.54,13.54,100,2022-05-27 17:58:00
70,13.5,13.5,13.5,13.5,145,2022-05-27 18:11:00
71,13.52,13.52,13.52,13.52,800,2022-05-27 18:13:00
72,13.51,13.51,13.51,13.51,100,2022-05-27 18:22:00
73,13.515,13.53,13.515,13.53,200,2022-05-27 18:24:00
74,13.5,13.5,13.49,13.49,200,2022-05-27 18:30:00
75,13.49,13.49,13.49,13.49,100,2022-05-27 18:35:00
76,13.49,13.49,13.49,13.49,100,2022-05-27 18:39:00
77,13.49,13.49,13.49,13.49,300,2022-05-27 18:40:00
78,13.51,13.51,13.51,13.51,300,2022-05-27 18:44:00
79,13.55,13.55,13.51,13.54,400,2022-05-27 18:45:00
80,13.5,13.51,13.5,13.51,500,2022-05-27 18:48:00
81,13.5,13.5,13.5,13.5,100,2022-05-27 18:50:00
82,13.52,13.52,13.52,13.52,131,2022-05-27 18:57:00
83,13.52,13.525,13.5,13.5,600,2022-05-27 18:58:00
84,13.52,13.52,13.52,13.52,100,2022-05-27 19:00:00
85,13.53,13.53,13.53,13.53,400,2022-05-27 19:01:00
86,13.51,13.51,13.51,13.51,200,2022-05-27 19:02:00
87,13.5,13.52,13.5,13.5,8315,2022-05-27 19:04:00
88,13.51,13.54,13.51,13.54,1505,2022-05-27 19:05:00
89,13.55,13.555,13.54,13.555,2200,2022-05-27 19:06:00
90,13.56,13.56,13.54,13.54,1312,2022-05-27 19:08:00
91,13.53,13.53,13.52,13.52,801,2022-05-27 19:10:00
92,13.5,13.505,13.49,13.5,8121,2022-05-27 19:14:00
93,13.52,13.52,13.5,13.5,1302,2022-05-27 19:15:00
94,13.5,13.5,13.5,13.5,400,2022-05-27 19:16:00
95,13.48,13.48,13.48,13.48,100,2022-05-27 19:19:00
96,13.46,13.46,13.46,13.46,100,2022-05-27 19:20:00
97,13.5,13.51,13.49,13.49,700,2022-05-27 19:21:00
98,13.5,13.5,13.5,13.5,300,2022-05-27 19:22:00
99,13.505,13.505,13.505,13.505,200,2022-05-27 19:23:00
100,13.5125,13.5125,13.49,13.5125,400,2022-05-27 19:24:00
101,13.505,13.505,13.505,13.505,100,2022-05-27 19:25:00
102,13.505,13.505,13.505,13.505,100,2022-05-27 19:26:00
103,13.505,13.505,13.49,13.49,300,2022-05-27 19:27:00
104,13.505,13.505,13.505,13.505,200,2022-05-27 19:28:00
105,13.51,13.51,13.49,13.505,3103,2022-05-27 19:29:00
106,13.49,13.49,13.49,13.49,100,2022-05-27 19:30:00
107,13.52,13.52,13.5,13.5,2600,2022-05-27 19:31:00
108,13.5,13.505,13.5,13.505,500,2022-05-27 19:32:00
