,open,high,low,close,volume,datetime
0,9.8,10.19,9.8,10.19,534,2022-05-31 14:51:00
1,10.17,10.17,10.17,10.17,136,2022-05-31 20:22:00
2,9.56,9.56,9.47,9.47,200,2022-06-02 13:30:00
3,9.0,9.0,8.89,8.96,418,2022-06-02 13:35:00
4,8.6101,8.6101,8.6101,8.6101,100,2022-06-02 13:44:00
5,9.44,9.65,9.23,9.65,300,2022-06-02 13:45:00
6,9.3804,9.3804,9.3804,9.3804,100,2022-06-02 14:12:00
7,9.4,9.4,9.4,9.4,100,2022-06-02 14:13:00
8,9.4,9.4,9.4,9.4,100,2022-06-02 14:18:00
9,9.32,9.32,9.32,9.32,100,2022-06-02 19:09:00
10,9.3,9.3,9.3,9.3,219,2022-06-02 19:10:00
11,8.93,8.93,8.93,8.93,200,2022-06-02 19:12:00
12,9.3462,9.35,9.3462,9.35,200,2022-06-02 19:13:00
13,9.38,9.38,9.38,9.38,100,2022-06-02 19:17:00
14,9.38,9.38,9.38,9.38,435,2022-06-02 19:22:00
15,9.9,9.9,9.89,9.89,300,2022-06-03 17:49:00
16,9.0,9.0,9.0,9.0,144,2022-06-06 12:31:00
