,open,high,low,close,volume,datetime
0,10.16,10.16,10.16,10.16,1000,2022-05-27 14:03:00
1,10.16,10.16,10.16,10.16,200,2022-05-27 14:05:00
2,10.165,10.165,10.165,10.165,5470,2022-05-27 14:08:00
3,10.16,10.16,10.16,10.16,499,2022-05-27 16:45:00
4,10.165,10.165,10.16,10.16,148429,2022-05-31 18:21:00
5,10.16,10.16,10.16,10.16,51871,2022-05-31 18:22:00
6,10.16,10.16,10.16,10.16,341000,2022-05-31 18:26:00
7,10.16,10.16,10.16,10.16,364800,2022-05-31 18:27:00
8,10.16,10.16,10.16,10.16,180700,2022-05-31 18:31:00
9,10.17,10.17,10.17,10.17,250,2022-06-02 13:39:00
10,10.17,10.17,10.17,10.17,19150,2022-06-02 13:40:00
11,10.17,10.17,10.17,10.17,5600,2022-06-02 15:03:00
12,10.18,10.1802,10.18,10.18,20000,2022-06-10 14:10:00
13,10.18,10.18,10.18,10.18,20000,2022-06-10 14:11:00
