,open,high,low,close,volume,datetime
0,9.86,9.86,9.86,9.86,200,2022-05-31 17:17:00
1,9.85,9.85,9.85,9.85,2500,2022-06-02 16:34:00
2,9.85,9.85,9.85,9.85,1551,2022-06-02 18:34:00
3,9.885,9.885,9.885,9.885,101,2022-06-02 19:27:00
4,9.885,9.885,9.885,9.885,100,2022-06-02 19:40:00
5,9.87,9.87,9.87,9.87,2200,2022-06-03 15:13:00
6,9.87,9.87,9.87,9.87,10600,2022-06-03 15:31:00
7,9.87,9.87,9.87,9.87,934,2022-06-06 13:40:00
8,9.87,9.87,9.87,9.87,350,2022-06-07 15:30:00
9,9.8899,9.8899,9.8899,9.8899,500,2022-06-08 13:55:00
10,9.88,9.88,9.87,9.88,739,2022-06-09 13:22:00
11,9.89,9.89,9.89,9.89,489,2022-06-09 14:56:00
12,9.91,9.91,9.91,9.91,101,2022-06-09 19:15:00
13,9.88,9.88,9.88,9.88,489,2022-06-09 19:50:00
14,9.85,9.86,9.85,9.86,201,2022-06-10 13:25:00
15,9.9,9.9,9.9,9.9,101,2022-06-10 19:00:00
