,open,high,low,close,volume,datetime
0,9.87,9.87,9.87,9.87,527449,2022-05-27 15:47:00
1,9.84,9.84,9.84,9.84,425000,2022-05-27 15:48:00
2,9.84,9.84,9.84,9.84,102449,2022-05-27 15:49:00
3,9.87,9.87,9.87,9.87,186959,2022-05-27 16:08:00
4,9.88,9.89,9.88,9.89,3480,2022-05-27 19:59:00
5,9.84,9.84,9.84,9.84,498,2022-05-31 14:02:00
6,9.86,9.86,9.86,9.86,2800,2022-05-31 14:43:00
7,9.86,9.86,9.84,9.84,6760,2022-05-31 14:44:00
8,9.86,9.87,9.86,9.87,5800,2022-05-31 15:24:00
9,9.84,9.84,9.84,9.84,2640,2022-05-31 15:37:00
10,9.84,9.84,9.84,9.84,143,2022-05-31 16:14:00
11,9.83,9.83,9.83,9.83,820,2022-06-01 14:25:00
12,9.83,9.83,9.83,9.83,200,2022-06-01 14:26:00
13,9.83,9.83,9.83,9.83,1400,2022-06-01 14:29:00
14,9.83,9.83,9.83,9.83,200,2022-06-01 16:35:00
15,9.81,9.81,9.81,9.81,95500,2022-06-01 17:43:00
16,9.85,9.85,9.83,9.85,18826,2022-06-07 14:58:00
17,9.88,9.89,9.88,9.89,6989,2022-06-07 17:52:00
18,9.88,9.88,9.88,9.88,500,2022-06-07 18:01:00
19,9.88,9.88,9.88,9.88,800,2022-06-07 18:02:00
20,9.88,9.88,9.88,9.88,400,2022-06-07 18:03:00
21,9.89,9.89,9.81,9.82,30830,2022-06-08 16:21:00
22,9.81,9.82,9.81,9.81,15100,2022-06-08 16:22:00
23,9.85,9.85,9.85,9.85,100,2022-06-08 16:23:00
24,9.86,9.86,9.86,9.86,200,2022-06-08 16:54:00
25,9.87,9.88,9.87,9.88,3543,2022-06-08 17:17:00
26,9.86,9.86,9.86,9.86,200,2022-06-08 18:54:00
27,9.875,9.89,9.875,9.89,8228,2022-06-08 18:56:00
28,9.87,9.87,9.86,9.86,900,2022-06-08 19:59:00
29,9.94,9.94,9.94,9.94,100,2022-06-09 13:30:00
