,open,high,low,close,volume,datetime
0,3.59,3.59,3.59,3.59,300,2022-05-27 12:06:00
1,3.58,3.58,3.58,3.58,300,2022-05-27 13:21:00
2,3.59,3.59,3.55,3.55,1500,2022-05-27 13:30:00
3,3.56,3.5712,3.52,3.525,5804,2022-05-27 13:34:00
4,3.57,3.57,3.57,3.57,100,2022-05-27 13:35:00
5,3.59,3.59,3.57,3.59,400,2022-05-27 13:36:00
6,3.6,3.6,3.5874,3.5874,200,2022-05-27 13:39:00
7,3.6,3.6,3.6,3.6,406,2022-05-27 13:51:00
8,3.61,3.64,3.61,3.64,4430,2022-05-27 13:53:00
9,3.63,3.63,3.63,3.63,100,2022-05-27 13:56:00
10,3.63,3.635,3.63,3.635,400,2022-05-27 13:58:00
11,3.62,3.62,3.62,3.62,100,2022-05-27 14:00:00
12,3.6599,3.6599,3.6599,3.6599,300,2022-05-27 14:07:00
13,3.66,3.66,3.66,3.66,275,2022-05-27 14:08:00
14,3.63,3.63,3.63,3.63,100,2022-05-27 14:12:00
15,3.65,3.655,3.645,3.645,500,2022-05-27 14:16:00
16,3.63,3.63,3.63,3.63,100,2022-05-27 14:19:00
17,3.65,3.655,3.65,3.655,400,2022-05-27 14:23:00
18,3.65,3.66,3.63,3.65,1588,2022-05-27 14:26:00
19,3.64,3.645,3.64,3.645,500,2022-05-27 14:30:00
20,3.645,3.645,3.64,3.64,605,2022-05-27 14:31:00
21,3.64,3.64,3.64,3.64,100,2022-05-27 14:32:00
22,3.64,3.64,3.64,3.64,200,2022-05-27 14:34:00
23,3.64,3.64,3.64,3.64,100,2022-05-27 14:35:00
24,3.65,3.65,3.64,3.64,1100,2022-05-27 14:43:00
25,3.63,3.64,3.61,3.615,2895,2022-05-27 14:44:00
26,3.63,3.635,3.63,3.635,400,2022-05-27 14:48:00
27,3.63,3.635,3.63,3.635,400,2022-05-27 14:54:00
28,3.63,3.63,3.63,3.63,100,2022-05-27 15:15:00
29,3.64,3.64,3.64,3.64,132,2022-05-27 15:18:00
30,3.63,3.63,3.63,3.63,200,2022-05-27 15:28:00
31,3.62,3.62,3.62,3.62,200,2022-05-27 16:01:00
32,3.62,3.62,3.62,3.62,300,2022-05-27 16:09:00
33,3.61,3.61,3.61,3.61,100,2022-05-27 16:10:00
34,3.61,3.61,3.61,3.61,100,2022-05-27 16:15:00
35,3.62,3.63,3.62,3.63,469,2022-05-27 16:23:00
36,3.64,3.64,3.64,3.64,100,2022-05-27 16:42:00
37,3.64,3.64,3.64,3.64,100,2022-05-27 16:44:00
38,3.61,3.61,3.61,3.61,100,2022-05-27 16:46:00
39,3.6399,3.6399,3.6399,3.6399,100,2022-05-27 16:51:00
40,3.63,3.64,3.63,3.64,400,2022-05-27 17:13:00
41,3.63,3.635,3.63,3.635,300,2022-05-27 17:14:00
42,3.6294,3.6294,3.6294,3.6294,180,2022-05-27 17:59:00
43,3.63,3.635,3.63,3.635,300,2022-05-27 18:01:00
44,3.63,3.635,3.63,3.635,300,2022-05-27 18:16:00
45,3.6152,3.6152,3.6152,3.6152,115,2022-05-27 18:38:00
46,3.61,3.625,3.61,3.625,200,2022-05-27 18:42:00
47,3.61,3.61,3.61,3.61,100,2022-05-27 18:45:00
48,3.61,3.61,3.61,3.61,230,2022-05-27 18:47:00
49,3.61,3.61,3.61,3.61,100,2022-05-27 19:01:00
50,3.61,3.61,3.61,3.61,100,2022-05-27 19:15:00
