,open,high,low,close,volume,datetime
0,80.98,80.98,80.98,80.98,1016,2022-05-27 13:30:00
1,80.76,80.76,80.76,80.76,200,2022-05-27 13:32:00
2,80.94,80.94,80.77,80.77,300,2022-05-27 13:37:00
3,80.99,80.99,80.99,80.99,100,2022-05-27 13:39:00
4,80.91,80.91,80.68,80.68,200,2022-05-27 13:40:00
5,80.85,80.85,80.81,80.81,200,2022-05-27 13:42:00
6,80.7858,80.7858,80.73,80.73,2532,2022-05-27 13:44:00
7,80.8,80.8,80.8,80.8,100,2022-05-27 13:45:00
8,80.5,80.5,80.5,80.5,100,2022-05-27 13:48:00
9,80.85,80.85,80.85,80.85,400,2022-05-27 13:50:00
10,80.82,80.82,80.82,80.82,100,2022-05-27 13:54:00
11,80.84,80.84,80.84,80.84,100,2022-05-27 13:59:00
12,80.9,81.04,80.895,80.91,1400,2022-05-27 14:06:00
13,80.84,80.84,80.8,80.8,300,2022-05-27 14:07:00
14,80.65,80.65,80.65,80.65,100,2022-05-27 14:09:00
15,80.83,81.14,80.83,81.14,200,2022-05-27 14:15:00
16,81.13,81.13,80.98,80.98,200,2022-05-27 14:16:00
17,80.98,80.98,80.96,80.96,300,2022-05-27 14:18:00
18,81.02,81.03,80.97,80.97,800,2022-05-27 14:19:00
19,81.08,81.08,80.96,80.96,200,2022-05-27 14:26:00
20,81.08,81.08,81.08,81.08,100,2022-05-27 14:28:00
21,80.995,80.995,80.995,80.995,100,2022-05-27 14:30:00
22,80.93,81.01,80.92,80.92,300,2022-05-27 14:33:00
23,81.01,81.01,80.89,80.89,300,2022-05-27 14:34:00
24,80.88,80.9,80.88,80.9,200,2022-05-27 14:35:00
25,80.8,80.81,80.77,80.81,300,2022-05-27 14:42:00
26,80.79,80.79,80.79,80.79,100,2022-05-27 14:44:00
27,80.86,80.86,80.85,80.85,400,2022-05-27 14:46:00
28,80.93,80.93,80.93,80.93,100,2022-05-27 14:52:00
29,80.91,80.91,80.91,80.91,659,2022-05-27 14:54:00
30,80.81,80.83,80.75,80.83,500,2022-05-27 15:09:00
31,80.83,80.83,80.77,80.77,600,2022-05-27 15:10:00
32,80.96,80.96,80.96,80.96,100,2022-05-27 15:15:00
33,80.85,80.85,80.85,80.85,100,2022-05-27 15:18:00
34,80.64,80.64,80.64,80.64,100,2022-05-27 15:22:00
35,80.72,80.73,80.72,80.73,200,2022-05-27 15:24:00
36,80.78,80.78,80.71,80.71,800,2022-05-27 15:29:00
37,80.7,80.7,80.69,80.69,237,2022-05-27 15:31:00
38,80.72,80.72,80.72,80.72,100,2022-05-27 15:35:00
39,80.7,80.7,80.7,80.7,100,2022-05-27 15:39:00
40,80.84,80.84,80.84,80.84,200,2022-05-27 15:43:00
41,80.72,80.72,80.72,80.72,100,2022-05-27 15:56:00
42,80.84,80.85,80.84,80.85,200,2022-05-27 15:57:00
43,80.89,80.89,80.89,80.89,100,2022-05-27 15:59:00
44,80.89,80.89,80.89,80.89,100,2022-05-27 16:04:00
45,80.84,80.84,80.84,80.84,100,2022-05-27 16:10:00
46,80.79,80.79,80.79,80.79,100,2022-05-27 16:14:00
47,80.82,80.86,80.82,80.86,800,2022-05-27 16:17:00
48,80.88,80.88,80.88,80.88,100,2022-05-27 16:18:00
49,80.83,80.83,80.82,80.82,200,2022-05-27 16:21:00
50,80.71,80.71,80.71,80.71,100,2022-05-27 16:22:00
51,80.71,80.71,80.71,80.71,300,2022-05-27 16:23:00
52,80.76,80.77,80.75,80.77,600,2022-05-27 16:24:00
