,open,high,low,close,volume,datetime
0,2.3,2.3,2.3,2.3,286,2022-05-27 13:30:00
1,2.3,2.3,2.299,2.299,220,2022-05-27 14:08:00
2,2.295,2.295,2.295,2.295,244,2022-05-27 14:09:00
3,2.3,2.305,2.3,2.305,4024,2022-05-27 14:34:00
4,2.305,2.305,2.305,2.305,200,2022-05-27 14:38:00
5,2.3,2.307,2.3,2.305,2600,2022-05-27 14:39:00
6,2.305,2.305,2.305,2.305,300,2022-05-27 14:40:00
7,2.3014,2.32,2.3014,2.32,4311,2022-05-27 14:46:00
8,2.315,2.315,2.315,2.315,151,2022-05-27 15:00:00
9,2.32,2.32,2.32,2.32,110,2022-05-27 15:02:00
10,2.315,2.315,2.315,2.315,113,2022-05-27 15:13:00
11,2.315,2.315,2.315,2.315,100,2022-05-27 15:25:00
12,2.32,2.32,2.31,2.31,308,2022-05-27 15:29:00
13,2.315,2.315,2.315,2.315,200,2022-05-27 15:38:00
14,2.315,2.315,2.315,2.315,136,2022-05-27 15:39:00
15,2.315,2.315,2.315,2.315,100,2022-05-27 15:42:00
16,2.315,2.315,2.315,2.315,165,2022-05-27 15:45:00
17,2.315,2.315,2.315,2.315,340,2022-05-27 15:54:00
18,2.315,2.315,2.315,2.315,197,2022-05-27 15:58:00
19,2.315,2.315,2.315,2.315,100,2022-05-27 16:03:00
20,2.315,2.315,2.315,2.315,306,2022-05-27 16:04:00
21,2.315,2.315,2.315,2.315,165,2022-05-27 16:08:00
22,2.32,2.32,2.32,2.32,100,2022-05-27 16:10:00
23,2.315,2.315,2.31,2.315,2667,2022-05-27 16:11:00
24,2.315,2.315,2.315,2.315,100,2022-05-27 16:12:00
25,2.3101,2.315,2.31,2.31,4946,2022-05-27 16:13:00
26,2.305,2.305,2.3,2.3,200,2022-05-27 16:14:00
27,2.3,2.3,2.3,2.3,100,2022-05-27 16:20:00
28,2.3,2.3,2.3,2.3,100,2022-05-27 16:28:00
29,2.305,2.31,2.305,2.305,10301,2022-05-27 16:33:00
30,2.31,2.31,2.31,2.31,2387,2022-05-27 16:34:00
31,2.32,2.33,2.32,2.33,8088,2022-05-27 16:35:00
32,2.34,2.34,2.34,2.34,100,2022-05-27 16:40:00
33,2.33,2.3301,2.325,2.325,1700,2022-05-27 16:43:00
34,2.325,2.325,2.325,2.325,100,2022-05-27 16:45:00
35,2.33,2.33,2.33,2.33,100,2022-05-27 16:57:00
