,open,high,low,close,volume,datetime
0,146.27,147.655,146.27,147.655,2659,2022-05-27 13:30:00
1,146.655,146.655,145.91,145.91,300,2022-05-27 13:31:00
2,145.96,147.41,145.91,147.41,1695,2022-05-27 13:32:00
3,147.375,147.405,147.375,147.38,300,2022-05-27 13:33:00
4,147.385,147.41,146.45,147.41,500,2022-05-27 13:34:00
5,147.17,147.4,146.985,147.4,840,2022-05-27 13:36:00
6,147.35,147.39,147.35,147.39,200,2022-05-27 13:37:00
7,147.34,147.88,147.34,147.555,1452,2022-05-27 13:40:00
8,147.405,147.48,147.17,147.48,300,2022-05-27 13:41:00
9,147.63,147.63,147.63,147.63,100,2022-05-27 13:42:00
10,147.435,147.435,147.4,147.4,200,2022-05-27 13:44:00
11,147.14,147.18,147.14,147.18,300,2022-05-27 13:45:00
12,147.525,147.525,147.525,147.525,200,2022-05-27 13:47:00
13,147.23,147.23,147.17,147.17,600,2022-05-27 13:48:00
14,147.02,147.465,147.02,147.465,1241,2022-05-27 13:52:00
15,147.17,147.17,147.17,147.17,100,2022-05-27 13:54:00
16,147.455,147.455,147.17,147.17,600,2022-05-27 13:55:00
17,147.165,147.165,147.165,147.165,100,2022-05-27 13:56:00
18,147.165,147.39,147.165,147.39,500,2022-05-27 13:57:00
19,147.02,147.02,147.02,147.02,100,2022-05-27 13:58:00
20,147.23,147.23,147.23,147.23,100,2022-05-27 13:59:00
21,146.87,146.87,146.87,146.87,200,2022-05-27 14:00:00
22,146.98,146.98,146.74,146.75,1345,2022-05-27 14:04:00
23,147.01,147.09,146.7,146.7,700,2022-05-27 14:05:00
24,147.09,147.09,147.09,147.09,100,2022-05-27 14:07:00
25,147.25,147.33,146.91,147.26,6970,2022-05-27 14:08:00
26,147.03,147.085,147.03,147.085,675,2022-05-27 14:10:00
27,147.11,147.11,146.9,147.01,700,2022-05-27 14:11:00
28,147.05,147.25,146.9,147.25,3231,2022-05-27 14:12:00
29,147.375,147.52,147.375,147.52,300,2022-05-27 14:14:00
30,147.77,147.77,147.77,147.77,200,2022-05-27 14:20:00
31,147.65,147.85,147.65,147.85,200,2022-05-27 14:22:00
32,147.85,147.85,147.71,147.71,600,2022-05-27 14:24:00
33,147.75,148.13,147.75,148.13,1900,2022-05-27 14:25:00
34,148.12,148.12,148.12,148.12,200,2022-05-27 14:26:00
35,148.3,148.3,148.3,148.3,100,2022-05-27 14:27:00
36,148.2,148.2,147.96,147.96,600,2022-05-27 14:28:00
37,148.08,148.08,148.08,148.08,100,2022-05-27 14:29:00
38,147.965,148.13,147.965,148.13,222,2022-05-27 14:31:00
39,148.145,148.22,148.045,148.1,2059,2022-05-27 14:33:00
40,148.23,148.23,148.19,148.22,1000,2022-05-27 14:34:00
41,148.015,148.04,147.97,148.04,700,2022-05-27 14:35:00
42,148.155,148.155,148.155,148.155,100,2022-05-27 14:37:00
43,148.1,148.25,148.1,148.25,300,2022-05-27 14:38:00
44,148.23,148.23,148.23,148.23,100,2022-05-27 14:39:00
45,148.3,148.31,148.29,148.29,858,2022-05-27 14:42:00
46,148.33,148.37,148.24,148.24,718,2022-05-27 14:43:00
47,148.43,148.52,148.43,148.52,400,2022-05-27 14:44:00
48,148.56,148.56,148.56,148.56,100,2022-05-27 14:45:00
49,148.33,148.37,148.33,148.37,1500,2022-05-27 14:46:00
50,148.64,148.64,148.53,148.53,200,2022-05-27 14:50:00
51,148.47,148.57,148.47,148.57,200,2022-05-27 14:51:00
52,148.44,148.58,148.32,148.465,9200,2022-05-27 14:55:00
53,148.35,148.435,148.27,148.31,2940,2022-05-27 14:56:00
54,148.33,148.4,148.225,148.4,700,2022-05-27 14:57:00
55,148.29,148.36,148.21,148.36,900,2022-05-27 14:58:00
56,148.44,148.44,148.44,148.44,202,2022-05-27 15:00:00
57,148.415,148.415,148.415,148.415,100,2022-05-27 15:01:00
58,148.41,148.41,148.41,148.41,147,2022-05-27 15:02:00
59,148.43,148.69,148.43,148.69,610,2022-05-27 15:04:00
60,148.73,148.73,148.635,148.635,200,2022-05-27 15:07:00
61,148.49,148.5,148.485,148.5,300,2022-05-27 15:09:00
62,148.46,148.505,148.41,148.41,751,2022-05-27 15:10:00
63,148.43,148.43,148.43,148.43,100,2022-05-27 15:11:00
64,148.43,148.43,148.43,148.43,100,2022-05-27 15:14:00
65,148.41,148.41,148.41,148.41,1200,2022-05-27 15:15:00
66,148.49,148.72,148.49,148.72,400,2022-05-27 15:16:00
