,open,high,low,close,volume,datetime
0,24.58,24.58,24.12,24.12,734,2022-05-27 13:30:00
1,24.07,24.275,24.07,24.21,701,2022-05-27 13:31:00
2,24.16,24.3,24.11,24.3,600,2022-05-27 13:32:00
3,24.18,24.18,24.01,24.01,727,2022-05-27 13:34:00
4,24.03,24.03,23.81,23.86,3128,2022-05-27 13:37:00
5,23.58,23.58,23.58,23.58,416,2022-05-27 13:38:00
6,23.59,23.59,23.59,23.59,100,2022-05-27 13:39:00
7,23.5934,23.92,23.5934,23.92,2769,2022-05-27 13:40:00
8,23.93,24.22,23.93,24.22,2386,2022-05-27 13:42:00
9,23.94,23.94,23.76,23.76,952,2022-05-27 13:44:00
10,23.82,23.82,23.82,23.82,200,2022-05-27 13:45:00
11,23.8,23.8,23.8,23.8,200,2022-05-27 13:47:00
12,23.8,23.8,23.7,23.8,1700,2022-05-27 13:49:00
13,23.76,23.88,23.76,23.88,1000,2022-05-27 13:50:00
14,23.765,23.765,23.765,23.765,100,2022-05-27 13:51:00
15,23.6738,23.81,23.6738,23.81,225,2022-05-27 13:52:00
16,23.84,23.96,23.84,23.96,500,2022-05-27 13:53:00
17,23.95,24.05,23.95,24.05,200,2022-05-27 13:54:00
18,24.11,24.13,24.11,24.13,500,2022-05-27 13:55:00
19,24.22,24.22,24.22,24.22,200,2022-05-27 13:58:00
20,24.28,24.28,24.28,24.28,200,2022-05-27 13:59:00
21,24.345,24.4,24.33,24.385,4000,2022-05-27 14:00:00
22,24.47,24.47,24.47,24.47,100,2022-05-27 14:02:00
23,24.405,24.405,24.405,24.405,100,2022-05-27 14:03:00
24,24.47,24.47,24.47,24.47,100,2022-05-27 14:04:00
25,24.405,24.48,24.3,24.3,2500,2022-05-27 14:06:00
26,24.37,24.41,24.37,24.41,451,2022-05-27 14:07:00
27,24.435,24.435,24.435,24.435,100,2022-05-27 14:09:00
28,24.445,24.445,24.4393,24.4393,422,2022-05-27 14:10:00
29,24.4,24.41,24.4,24.41,300,2022-05-27 14:11:00
30,24.415,24.415,24.405,24.405,200,2022-05-27 14:12:00
31,24.46,24.46,24.405,24.405,330,2022-05-27 14:13:00
32,24.5,24.535,24.5,24.535,1017,2022-05-27 14:14:00
33,24.56,24.69,24.56,24.63,1100,2022-05-27 14:15:00
34,24.69,24.69,24.69,24.69,200,2022-05-27 14:16:00
35,24.69,24.74,24.69,24.695,1000,2022-05-27 14:17:00
36,24.715,24.7995,24.7002,24.705,3609,2022-05-27 14:18:00
37,24.715,24.715,24.715,24.715,720,2022-05-27 14:19:00
38,24.71,24.71,24.67,24.69,1219,2022-05-27 14:20:00
39,24.7,24.7,24.7,24.7,400,2022-05-27 14:21:00
40,24.74,24.77,24.66,24.66,3200,2022-05-27 14:22:00
41,24.7,24.7,24.692,24.692,225,2022-05-27 14:23:00
