,open,high,low,close,volume,datetime
0,120.92,121.56,120.92,121.56,3948,2022-05-27 13:30:00
1,121.92,122.14,121.73,122.14,1050,2022-05-27 13:31:00
2,121.93,121.93,121.92,121.92,310,2022-05-27 13:32:00
3,121.96,121.96,121.5,121.5,750,2022-05-27 13:33:00
4,121.14,121.14,121.14,121.14,100,2022-05-27 13:34:00
5,121.0,121.17,121.0,121.17,1000,2022-05-27 13:35:00
6,121.13,121.56,121.13,121.5,1000,2022-05-27 13:36:00
7,121.09,121.27,121.09,121.27,300,2022-05-27 13:38:00
8,121.06,121.13,120.9575,121.13,500,2022-05-27 13:40:00
9,121.12,121.12,121.06,121.06,300,2022-05-27 13:42:00
10,121.22,121.22,121.22,121.22,100,2022-05-27 13:43:00
11,120.891,120.891,120.89,120.89,200,2022-05-27 13:44:00
12,120.85,120.98,120.85,120.98,600,2022-05-27 13:45:00
13,120.91,120.91,120.91,120.91,100,2022-05-27 13:46:00
14,120.72,120.72,120.72,120.72,100,2022-05-27 13:47:00
15,121.02,121.02,121.02,121.02,200,2022-05-27 13:48:00
16,120.66,120.69,120.585,120.585,500,2022-05-27 13:50:00
17,120.9,120.9,120.75,120.75,200,2022-05-27 13:52:00
18,120.81,120.81,120.81,120.81,909,2022-05-27 13:53:00
19,121.2076,121.2076,121.2076,121.2076,231,2022-05-27 13:54:00
20,121.36,121.36,121.36,121.36,200,2022-05-27 13:55:00
21,121.26,121.26,121.26,121.26,100,2022-05-27 13:58:00
22,121.22,121.22,121.22,121.22,100,2022-05-27 13:59:00
23,121.19,121.19,121.19,121.19,200,2022-05-27 14:00:00
24,121.19,121.19,121.19,121.19,100,2022-05-27 14:02:00
25,121.33,121.33,121.33,121.33,100,2022-05-27 14:03:00
26,121.12,121.21,121.12,121.12,2112,2022-05-27 14:05:00
27,121.08,121.16,121.08,121.16,600,2022-05-27 14:06:00
28,121.14,121.2,121.11,121.19,2700,2022-05-27 14:07:00
29,121.12,121.55,121.12,121.55,600,2022-05-27 14:08:00
30,121.79,121.79,121.755,121.755,500,2022-05-27 14:09:00
31,121.69,121.76,121.6,121.7,567,2022-05-27 14:10:00
32,121.54,121.54,121.27,121.345,1400,2022-05-27 14:11:00
33,121.31,121.31,121.31,121.31,100,2022-05-27 14:13:00
34,121.33,121.33,121.32,121.32,200,2022-05-27 14:15:00
35,121.52,121.52,121.52,121.52,100,2022-05-27 14:16:00
36,121.37,121.37,121.37,121.37,100,2022-05-27 14:17:00
37,121.3,121.3,121.3,121.3,200,2022-05-27 14:18:00
38,121.395,121.395,121.39,121.39,200,2022-05-27 14:19:00
39,121.405,121.425,121.405,121.425,200,2022-05-27 14:20:00
40,121.45,121.45,121.45,121.45,100,2022-05-27 14:21:00
41,121.55,121.55,121.55,121.55,100,2022-05-27 14:23:00
42,121.67,121.67,121.67,121.67,100,2022-05-27 14:24:00
43,121.66,121.66,121.66,121.66,100,2022-05-27 14:27:00
44,121.81,121.87,121.81,121.87,200,2022-05-27 14:30:00
45,122.225,122.225,122.225,122.225,302,2022-05-27 14:32:00
46,122.225,122.225,122.04,122.1,1800,2022-05-27 14:33:00
47,122.24,122.24,122.16,122.18,1000,2022-05-27 14:36:00
48,122.22,122.26,122.22,122.26,200,2022-05-27 14:37:00
49,122.0,122.0,122.0,122.0,100,2022-05-27 14:38:00
50,121.91,122.03,121.91,122.03,360,2022-05-27 14:39:00
51,122.0,122.0,122.0,122.0,100,2022-05-27 14:40:00
52,122.01,122.01,122.01,122.01,100,2022-05-27 14:42:00
53,121.765,121.765,121.765,121.765,440,2022-05-27 14:43:00
54,121.87,121.87,121.87,121.87,100,2022-05-27 14:44:00
55,121.7899,121.7899,121.72,121.72,641,2022-05-27 14:45:00
56,121.72,121.74,121.57,121.57,1193,2022-05-27 14:46:00
57,121.48,121.48,121.48,121.48,100,2022-05-27 14:47:00
58,121.96,121.96,121.96,121.96,100,2022-05-27 14:49:00
59,122.04,122.06,122.04,122.06,200,2022-05-27 14:51:00
60,121.99,122.135,121.99,122.135,200,2022-05-27 14:53:00
