,open,high,low,close,volume,datetime
0,147.5,147.5,147.5,147.5,100,2022-05-27 11:34:00
1,147.5,147.5,147.5,147.5,100,2022-05-27 11:36:00
2,147.92,147.92,147.92,147.92,100,2022-05-27 13:23:00
3,148.23,148.28,148.23,148.28,746,2022-05-27 13:29:00
4,148.21,148.21,147.99,148.15,38438,2022-05-27 13:30:00
5,148.24,148.24,147.95,148.1,3668,2022-05-27 13:31:00
6,148.25,148.3794,148.19,148.27,1115,2022-05-27 13:32:00
7,148.43,148.43,148.17,148.17,1307,2022-05-27 13:33:00
8,147.92,148.08,147.905,147.99,4280,2022-05-27 13:34:00
9,147.99,148.17,147.9,148.04,3190,2022-05-27 13:35:00
10,148.02,148.19,147.99,148.19,3383,2022-05-27 13:36:00
11,147.87,147.94,147.87,147.91,400,2022-05-27 13:37:00
12,147.93,148.12,147.93,148.12,900,2022-05-27 13:38:00
13,148.178,148.178,148.1199,148.1199,1015,2022-05-27 13:39:00
14,148.29,148.4853,148.29,148.4173,2910,2022-05-27 13:40:00
15,148.34,148.42,148.28,148.36,2496,2022-05-27 13:41:00
16,148.2651,148.32,148.11,148.26,1660,2022-05-27 13:42:00
17,148.38,148.38,148.2767,148.2767,1335,2022-05-27 13:43:00
18,148.1638,148.29,148.1638,148.22,1420,2022-05-27 13:44:00
19,148.229,148.36,148.0,148.039,5607,2022-05-27 13:45:00
20,148.0,148.18,148.0,148.17,1530,2022-05-27 13:46:00
21,148.145,148.26,148.11,148.26,3722,2022-05-27 13:47:00
22,148.32,148.36,148.285,148.36,625,2022-05-27 13:48:00
23,148.4,148.42,148.3,148.37,1604,2022-05-27 13:49:00
24,148.34,148.35,148.24,148.29,462,2022-05-27 13:50:00
25,148.285,148.645,148.285,148.6,3831,2022-05-27 13:51:00
26,148.6,148.84,148.6,148.84,3454,2022-05-27 13:52:00
27,148.84,148.87,148.79,148.87,1683,2022-05-27 13:53:00
28,148.87,148.875,148.78,148.795,2080,2022-05-27 13:54:00
29,148.85,148.85,148.775,148.81,2935,2022-05-27 13:55:00
30,148.86,148.86,148.7201,148.7201,1759,2022-05-27 13:56:00
31,148.735,148.735,148.51,148.53,1280,2022-05-27 13:57:00
32,148.57,148.88,148.57,148.72,10954,2022-05-27 13:58:00
33,148.72,148.72,148.68,148.6981,690,2022-05-27 13:59:00
34,148.72,148.72,148.48,148.52,920,2022-05-27 14:00:00
35,148.56,148.7682,148.56,148.67,3970,2022-05-27 14:01:00
36,148.65,148.8526,148.65,148.76,1707,2022-05-27 14:02:00
37,148.69,148.765,148.64,148.6629,1049,2022-05-27 14:03:00
38,148.695,148.71,148.6214,148.6214,1052,2022-05-27 14:04:00
39,148.79,148.84,148.61,148.65,2741,2022-05-27 14:05:00
40,148.6653,148.79,148.65,148.755,4022,2022-05-27 14:06:00
41,148.72,148.76,148.68,148.68,300,2022-05-27 14:07:00
42,148.615,148.69,148.58,148.69,2909,2022-05-27 14:08:00
43,148.73,148.73,148.58,148.619,902,2022-05-27 14:09:00
44,148.61,148.73,148.59,148.63,2900,2022-05-27 14:10:00
45,148.7188,148.7188,148.46,148.5,3000,2022-05-27 14:11:00
46,148.555,148.6738,148.5263,148.6738,1214,2022-05-27 14:12:00
47,148.52,148.5851,148.52,148.58,350,2022-05-27 14:13:00
48,148.5999,148.65,148.555,148.65,1000,2022-05-27 14:14:00
49,148.635,148.635,148.59,148.59,600,2022-05-27 14:15:00
50,148.63,148.85,148.63,148.79,2051,2022-05-27 14:16:00
51,148.7701,148.81,148.76,148.79,1374,2022-05-27 14:17:00
52,148.785,148.86,148.71,148.8555,900,2022-05-27 14:18:00
53,148.8,148.8,148.751,148.76,1359,2022-05-27 14:19:00
54,148.72,148.76,148.66,148.67,1500,2022-05-27 14:20:00
55,148.61,148.64,148.54,148.64,2900,2022-05-27 14:21:00
56,148.61,148.7,148.57,148.7,2301,2022-05-27 14:22:00
57,148.68,148.7,148.65,148.68,952,2022-05-27 14:23:00
58,148.73,148.74,148.69,148.69,700,2022-05-27 14:24:00
59,148.66,148.66,148.51,148.51,1107,2022-05-27 14:25:00
60,148.51,148.57,148.4891,148.51,1070,2022-05-27 14:26:00
61,148.5,148.59,148.495,148.57,2022,2022-05-27 14:27:00
62,148.55,148.565,148.49,148.49,820,2022-05-27 14:28:00
63,148.52,148.52,148.425,148.45,975,2022-05-27 14:29:00
64,148.49,148.6199,148.48,148.5976,770,2022-05-27 14:30:00
65,148.63,148.72,148.63,148.69,1328,2022-05-27 14:31:00
66,148.6171,148.64,148.6,148.64,863,2022-05-27 14:32:00
67,148.635,148.635,148.55,148.575,929,2022-05-27 14:33:00
68,148.57,148.57,148.5305,148.5305,900,2022-05-27 14:34:00
69,148.45,148.52,148.41,148.515,2300,2022-05-27 14:35:00
70,148.525,148.56,148.46,148.4802,1953,2022-05-27 14:36:00
71,148.42,148.48,148.3601,148.48,3423,2022-05-27 14:37:00
72,148.4889,148.4889,148.37,148.37,1000,2022-05-27 14:38:00
73,148.33,148.3806,148.31,148.3588,3561,2022-05-27 14:39:00
74,148.3,148.31,148.23,148.2314,1824,2022-05-27 14:40:00
75,148.21,148.27,148.21,148.27,1000,2022-05-27 14:41:00
76,148.28,148.28,148.22,148.22,400,2022-05-27 14:42:00
77,148.18,148.22,148.17,148.21,500,2022-05-27 14:43:00
78,148.26,148.3,148.235,148.3,1560,2022-05-27 14:44:00
79,148.295,148.38,148.29,148.35,7350,2022-05-27 14:45:00
80,148.31,148.355,148.2547,148.2547,753,2022-05-27 14:46:00
81,148.24,148.31,148.22,148.31,1406,2022-05-27 14:47:00
82,148.33,148.39,148.33,148.39,789,2022-05-27 14:48:00
83,148.4688,148.47,148.46,148.46,565,2022-05-27 14:49:00
84,148.46,148.595,148.46,148.595,1000,2022-05-27 14:50:00
85,148.56,148.5685,148.47,148.48,735,2022-05-27 14:51:00
86,148.49,148.5,148.44,148.481,900,2022-05-27 14:52:00
87,148.51,148.52,148.43,148.46,7059,2022-05-27 14:53:00
88,148.39,148.46,148.37,148.46,1269,2022-05-27 14:54:00
89,148.45,148.47,148.45,148.46,1361,2022-05-27 14:55:00
90,148.42,148.42,148.23,148.32,6501,2022-05-27 14:56:00
91,148.26,148.4695,148.26,148.4695,7000,2022-05-27 14:57:00
92,148.4402,148.45,148.435,148.45,584,2022-05-27 14:58:00
93,148.39,148.39,148.31,148.31,1328,2022-05-27 14:59:00
94,148.41,148.4169,148.39,148.4169,1000,2022-05-27 15:00:00
95,148.37,148.45,148.37,148.45,1000,2022-05-27 15:01:00
96,148.48,148.55,148.48,148.53,1188,2022-05-27 15:02:00
97,148.542,148.5769,148.542,148.5769,576,2022-05-27 15:03:00
98,148.56,148.61,148.5201,148.565,1560,2022-05-27 15:04:00
99,148.56,148.63,148.55,148.63,547,2022-05-27 15:05:00
100,148.67,148.71,148.64,148.68,1867,2022-05-27 15:06:00
101,148.68,148.68,148.63,148.655,550,2022-05-27 15:07:00
102,148.67,148.76,148.67,148.76,1537,2022-05-27 15:08:00
103,148.76,148.79,148.73,148.79,1600,2022-05-27 15:09:00
104,148.78,148.84,148.715,148.79,2514,2022-05-27 15:10:00
105,148.82,148.8205,148.79,148.79,1471,2022-05-27 15:11:00
106,148.8,148.89,148.79,148.89,1265,2022-05-27 15:12:00
107,148.88,148.88,148.87,148.87,704,2022-05-27 15:13:00
108,148.8,148.8,148.745,148.745,1575,2022-05-27 15:14:00
109,148.71,148.7824,148.7,148.7824,750,2022-05-27 15:15:00
110,148.78,148.93,148.78,148.93,800,2022-05-27 15:16:00
111,148.9513,148.965,148.9513,148.965,730,2022-05-27 15:17:00
112,148.965,149.04,148.965,149.02,4869,2022-05-27 15:18:00
113,149.0,149.05,148.985,149.025,2600,2022-05-27 15:19:00
114,149.01,149.01,148.87,148.87,435,2022-05-27 15:20:00
115,148.8746,148.9511,148.86,148.9012,1814,2022-05-27 15:21:00
116,148.9097,148.9097,148.8106,148.8106,2185,2022-05-27 15:22:00
117,148.81,148.81,148.75,148.77,500,2022-05-27 15:23:00
