,open,high,low,close,volume,datetime
0,12.0,12.0,11.915,11.99,7696,2022-05-27 13:30:00
1,12.0,12.04,12.0,12.0175,14271,2022-05-27 13:31:00
2,12.025,12.025,12.025,12.025,200,2022-05-27 13:32:00
3,12.0,12.03,12.0,12.03,200,2022-05-27 13:34:00
4,11.99,12.03,11.98,12.01,1500,2022-05-27 13:35:00
5,12.02,12.03,12.0,12.0,548,2022-05-27 13:36:00
6,12.025,12.025,12.025,12.025,1000,2022-05-27 13:37:00
7,11.9906,11.9906,11.9906,11.9906,657,2022-05-27 13:39:00
8,12.0,12.04,12.0,12.02,9042,2022-05-27 13:40:00
9,12.01,12.035,12.01,12.02,2663,2022-05-27 13:41:00
10,12.02,12.02,12.0,12.01,858,2022-05-27 13:42:00
11,12.015,12.015,12.0,12.0,200,2022-05-27 13:43:00
12,11.971,12.0,11.971,11.995,700,2022-05-27 13:44:00
13,12.0,12.0,12.0,12.0,200,2022-05-27 13:46:00
14,12.0,12.0,12.0,12.0,1391,2022-05-27 13:47:00
15,12.0,12.0125,11.99,12.005,2440,2022-05-27 13:48:00
16,12.0125,12.0125,11.99,12.0,4073,2022-05-27 13:49:00
17,11.97,11.99,11.97,11.99,200,2022-05-27 13:50:00
18,12.005,12.01,12.0,12.005,1543,2022-05-27 13:51:00
19,12.0,12.0,11.95,11.95,1800,2022-05-27 13:52:00
20,11.95,11.95,11.95,11.95,177,2022-05-27 13:53:00
21,11.98,12.0099,11.98,12.0099,1600,2022-05-27 13:54:00
22,12.0,12.03,12.0,12.03,3900,2022-05-27 13:55:00
23,12.0525,12.06,12.04,12.04,1500,2022-05-27 13:56:00
24,12.04,12.04,12.02,12.02,3050,2022-05-27 13:57:00
25,12.06,12.09,12.06,12.07,4705,2022-05-27 13:58:00
26,12.07,12.095,12.07,12.095,1600,2022-05-27 13:59:00
27,12.08,12.0925,12.07,12.07,1300,2022-05-27 14:00:00
28,12.06,12.06,12.03,12.06,2488,2022-05-27 14:01:00
29,12.055,12.065,12.04,12.065,1300,2022-05-27 14:02:00
30,12.07,12.08,12.05,12.08,12087,2022-05-27 14:03:00
31,12.095,12.11,12.08,12.1,1826,2022-05-27 14:04:00
32,12.12,12.17,12.12,12.17,2163,2022-05-27 14:05:00
33,12.16,12.18,12.16,12.17,437,2022-05-27 14:06:00
34,12.16,12.16,12.14,12.155,3044,2022-05-27 14:07:00
35,12.16,12.16,12.16,12.16,100,2022-05-27 14:08:00
36,12.17,12.19,12.17,12.19,2334,2022-05-27 14:09:00
37,12.185,12.185,12.185,12.185,200,2022-05-27 14:10:00
38,12.2,12.22,12.2,12.22,1646,2022-05-27 14:11:00
39,12.225,12.24,12.22,12.24,5697,2022-05-27 14:12:00
40,12.23,12.24,12.22,12.23,2369,2022-05-27 14:13:00
41,12.25,12.25,12.225,12.24,5679,2022-05-27 14:14:00
42,12.23,12.23,12.2208,12.23,2300,2022-05-27 14:15:00
43,12.23,12.24,12.22,12.22,1453,2022-05-27 14:16:00
44,12.22,12.22,12.19,12.195,1892,2022-05-27 14:17:00
45,12.21,12.21,12.21,12.21,200,2022-05-27 14:18:00
46,12.21,12.21,12.19,12.2,1486,2022-05-27 14:19:00
47,12.21,12.22,12.21,12.22,300,2022-05-27 14:20:00
48,12.23,12.255,12.23,12.25,11354,2022-05-27 14:21:00
49,12.25,12.26,12.25,12.26,300,2022-05-27 14:22:00
50,12.25,12.25,12.25,12.25,246,2022-05-27 14:23:00
51,12.25,12.29,12.25,12.28,977,2022-05-27 14:24:00
52,12.29,12.31,12.283,12.31,1147,2022-05-27 14:25:00
53,12.32,12.335,12.32,12.32,17124,2022-05-27 14:26:00
54,12.32,12.34,12.32,12.323,1244,2022-05-27 14:28:00
55,12.34,12.35,12.34,12.35,589,2022-05-27 14:29:00
56,12.37,12.37,12.37,12.37,100,2022-05-27 14:31:00
57,12.4,12.4,12.38,12.38,577,2022-05-27 14:32:00
58,12.38,12.38,12.38,12.38,400,2022-05-27 14:33:00
59,12.39,12.4,12.39,12.39,16369,2022-05-27 14:34:00
60,12.4,12.45,12.4,12.45,18589,2022-05-27 14:35:00
61,12.47,12.49,12.45,12.47,17662,2022-05-27 14:36:00
62,12.465,12.485,12.465,12.485,2911,2022-05-27 14:37:00
63,12.479,12.5,12.479,12.49,5329,2022-05-27 14:38:00
64,12.4894,12.52,12.4894,12.505,11965,2022-05-27 14:39:00
65,12.5,12.51,12.48,12.48,7113,2022-05-27 14:40:00
66,12.49,12.49,12.47,12.47,809,2022-05-27 14:41:00
67,12.48,12.48,12.44,12.47,4399,2022-05-27 14:42:00
68,12.47,12.47,12.465,12.465,801,2022-05-27 14:43:00
69,12.465,12.465,12.4056,12.41,7272,2022-05-27 14:44:00
70,12.42,12.425,12.42,12.425,600,2022-05-27 14:45:00
71,12.425,12.425,12.365,12.365,1925,2022-05-27 14:46:00
72,12.38,12.385,12.37,12.385,900,2022-05-27 14:47:00
73,12.39,12.39,12.38,12.385,700,2022-05-27 14:48:00
74,12.385,12.385,12.36,12.36,800,2022-05-27 14:49:00
75,12.35,12.369,12.33,12.36,5979,2022-05-27 14:50:00
76,12.36,12.36,12.335,12.335,3300,2022-05-27 14:51:00
77,12.35,12.36,12.323,12.323,700,2022-05-27 14:52:00
78,12.325,12.325,12.325,12.325,300,2022-05-27 14:53:00
79,12.325,12.325,12.31,12.31,400,2022-05-27 14:54:00
80,12.29,12.3,12.29,12.3,518,2022-05-27 14:55:00
81,12.29,12.29,12.28,12.285,800,2022-05-27 14:56:00
82,12.28,12.28,12.275,12.275,400,2022-05-27 14:57:00
83,12.27,12.27,12.23,12.23,1099,2022-05-27 14:58:00
84,12.23,12.24,12.223,12.23,1580,2022-05-27 14:59:00
85,12.24,12.24,12.2,12.205,1704,2022-05-27 15:00:00
86,12.205,12.205,12.2,12.205,12127,2022-05-27 15:01:00
87,12.2,12.2,12.18,12.18,900,2022-05-27 15:02:00
88,12.15,12.17,12.13,12.145,4311,2022-05-27 15:03:00
89,12.14,12.15,12.14,12.14,994,2022-05-27 15:04:00
90,12.13,12.13,12.13,12.13,407,2022-05-27 15:05:00
91,12.13,12.13,12.12,12.13,1100,2022-05-27 15:06:00
92,12.13,12.13,12.13,12.13,100,2022-05-27 15:07:00
93,12.13,12.14,12.12,12.13,1278,2022-05-27 15:08:00
94,12.13,12.13,12.12,12.13,1384,2022-05-27 15:09:00
95,12.13,12.13,12.12,12.12,600,2022-05-27 15:10:00
96,12.13,12.13,12.13,12.13,200,2022-05-27 15:11:00
97,12.14,12.145,12.13,12.14,4693,2022-05-27 15:12:00
98,12.14,12.15,12.13,12.15,1700,2022-05-27 15:13:00
99,12.15,12.1599,12.14,12.14,3520,2022-05-27 15:14:00
100,12.14,12.1446,12.135,12.14,2800,2022-05-27 15:15:00
101,12.15,12.16,12.14,12.16,4487,2022-05-27 15:16:00
102,12.16,12.16,12.15,12.15,1000,2022-05-27 15:17:00
103,12.15,12.15,12.15,12.15,200,2022-05-27 15:18:00
104,12.15,12.15,12.145,12.15,2200,2022-05-27 15:19:00
105,12.16,12.16,12.15,12.16,1300,2022-05-27 15:20:00
106,12.16,12.16,12.16,12.16,100,2022-05-27 15:21:00
107,12.17,12.17,12.16,12.17,2000,2022-05-27 15:22:00
108,12.175,12.175,12.175,12.175,100,2022-05-27 15:23:00
109,12.175,12.175,12.14,12.14,3341,2022-05-27 15:24:00
110,12.14,12.14,12.11,12.11,1530,2022-05-27 15:26:00
111,12.1,12.11,12.1,12.11,500,2022-05-27 15:27:00
112,12.11,12.11,12.1,12.11,570,2022-05-27 15:28:00
113,12.1,12.115,12.1,12.105,4276,2022-05-27 15:29:00
114,12.11,12.125,12.105,12.125,3061,2022-05-27 15:30:00
115,12.13,12.18,12.125,12.18,2092,2022-05-27 15:31:00
116,12.19,12.19,12.175,12.175,3525,2022-05-27 15:32:00
117,12.18,12.18,12.16,12.165,2106,2022-05-27 15:33:00
118,12.16,12.16,12.15,12.155,1200,2022-05-27 15:34:00
119,12.16,12.17,12.155,12.165,3334,2022-05-27 15:35:00
120,12.17,12.17,12.17,12.17,100,2022-05-27 15:36:00
121,12.17,12.17,12.155,12.17,2132,2022-05-27 15:37:00
122,12.18,12.18,12.18,12.18,400,2022-05-27 15:38:00
123,12.17,12.17,12.17,12.17,596,2022-05-27 15:39:00
124,12.17,12.17,12.17,12.17,200,2022-05-27 15:40:00
125,12.18,12.18,12.175,12.175,600,2022-05-27 15:41:00
126,12.175,12.18,12.175,12.18,1097,2022-05-27 15:42:00
127,12.175,12.185,12.17,12.185,4541,2022-05-27 15:43:00
128,12.18,12.18,12.18,12.18,400,2022-05-27 15:44:00
129,12.18,12.18,12.18,12.18,200,2022-05-27 15:45:00
130,12.18,12.18,12.18,12.18,100,2022-05-27 15:46:00
131,12.195,12.2,12.18,12.195,5089,2022-05-27 15:48:00
132,12.195,12.2,12.19,12.19,2564,2022-05-27 15:49:00
133,12.195,12.21,12.195,12.21,1376,2022-05-27 15:50:00
134,12.225,12.225,12.215,12.22,1200,2022-05-27 15:53:00
135,12.21,12.22,12.21,12.22,200,2022-05-27 15:55:00
136,12.22,12.22,12.21,12.21,1000,2022-05-27 15:56:00
137,12.22,12.225,12.22,12.225,300,2022-05-27 15:57:00
138,12.225,12.225,12.225,12.225,400,2022-05-27 15:58:00
139,12.225,12.23,12.22,12.225,2595,2022-05-27 15:59:00
140,12.23,12.23,12.225,12.225,500,2022-05-27 16:00:00
141,12.2275,12.2275,12.22,12.225,2032,2022-05-27 16:01:00
142,12.225,12.235,12.225,12.235,3584,2022-05-27 16:02:00
143,12.235,12.235,12.22,12.227,3205,2022-05-27 16:03:00
144,12.225,12.225,12.21,12.22,1880,2022-05-27 16:04:00
145,12.21,12.22,12.21,12.22,200,2022-05-27 16:05:00
146,12.21,12.215,12.205,12.205,2113,2022-05-27 16:06:00
147,12.205,12.205,12.205,12.205,200,2022-05-27 16:07:00
148,12.205,12.205,12.205,12.205,200,2022-05-27 16:08:00
149,12.2009,12.2015,12.19,12.2,2801,2022-05-27 16:09:00
150,12.205,12.21,12.205,12.21,300,2022-05-27 16:10:00
151,12.21,12.2175,12.205,12.215,1000,2022-05-27 16:11:00
152,12.215,12.215,12.215,12.215,635,2022-05-27 16:12:00
153,12.21,12.21,12.205,12.205,1583,2022-05-27 16:13:00
154,12.2,12.2,12.2,12.2,1188,2022-05-27 16:14:00
155,12.19,12.19,12.17,12.175,7187,2022-05-27 16:15:00
156,12.175,12.175,12.155,12.155,1648,2022-05-27 16:16:00
157,12.15,12.15,12.142,12.145,748,2022-05-27 16:17:00
158,12.14,12.15,12.13,12.15,4868,2022-05-27 16:18:00
159,12.15,12.15,12.15,12.15,419,2022-05-27 16:19:00
160,12.16,12.16,12.15,12.16,1470,2022-05-27 16:20:00
161,12.16,12.16,12.16,12.16,1999,2022-05-27 16:22:00
162,12.16,12.16,12.16,12.16,100,2022-05-27 16:23:00
163,12.15,12.15,12.15,12.15,100,2022-05-27 16:24:00
164,12.15,12.17,12.15,12.165,3958,2022-05-27 16:25:00
165,12.165,12.165,12.16,12.16,800,2022-05-27 16:26:00
166,12.16,12.165,12.16,12.165,2164,2022-05-27 16:27:00
167,12.165,12.165,12.16,12.16,200,2022-05-27 16:28:00
168,12.16,12.16,12.145,12.16,2000,2022-05-27 16:29:00
169,12.14,12.15,12.14,12.15,725,2022-05-27 16:30:00
170,12.14,12.14,12.14,12.14,500,2022-05-27 16:31:00
171,12.14,12.16,12.13,12.14,2585,2022-05-27 16:32:00
172,12.15,12.15,12.15,12.15,100,2022-05-27 16:33:00
173,12.14,12.14,12.135,12.135,300,2022-05-27 16:34:00
174,12.13,12.135,12.13,12.135,300,2022-05-27 16:35:00
175,12.14,12.14,12.135,12.135,2730,2022-05-27 16:36:00
176,12.135,12.14,12.135,12.14,2400,2022-05-27 16:37:00
177,12.14,12.14,12.12,12.12,3487,2022-05-27 16:39:00
178,12.115,12.115,12.11,12.11,300,2022-05-27 16:40:00
179,12.12,12.13,12.12,12.125,1593,2022-05-27 16:41:00
180,12.13,12.15,12.13,12.145,1800,2022-05-27 16:42:00
181,12.15,12.15,12.15,12.15,3488,2022-05-27 16:43:00
182,12.145,12.145,12.145,12.145,200,2022-05-27 16:44:00
183,12.145,12.145,12.145,12.145,605,2022-05-27 16:45:00
184,12.145,12.155,12.14,12.15,2773,2022-05-27 16:46:00
185,12.14,12.15,12.14,12.15,1900,2022-05-27 16:47:00
186,12.15,12.15,12.13,12.135,2893,2022-05-27 16:48:00
187,12.135,12.135,12.135,12.135,1200,2022-05-27 16:49:00
188,12.13,12.13,12.125,12.125,900,2022-05-27 16:50:00
189,12.13,12.14,12.125,12.135,1483,2022-05-27 16:52:00
190,12.14,12.1466,12.135,12.145,2720,2022-05-27 16:53:00
191,12.15,12.16,12.15,12.16,4225,2022-05-27 16:54:00
192,12.18,12.19,12.18,12.19,924,2022-05-27 16:55:00
193,12.2,12.2,12.19,12.19,2460,2022-05-27 16:56:00
194,12.19,12.19,12.1836,12.1836,750,2022-05-27 16:57:00
195,12.185,12.185,12.185,12.185,1100,2022-05-27 16:58:00
196,12.185,12.185,12.17,12.17,949,2022-05-27 16:59:00
197,12.17,12.17,12.16,12.16,1335,2022-05-27 17:00:00
198,12.17,12.17,12.17,12.17,700,2022-05-27 17:01:00
199,12.17,12.17,12.17,12.17,400,2022-05-27 17:02:00
200,12.17,12.175,12.165,12.17,1310,2022-05-27 17:03:00
201,12.17,12.175,12.16,12.16,600,2022-05-27 17:04:00
202,12.16,12.165,12.155,12.16,1900,2022-05-27 17:05:00
203,12.155,12.155,12.13,12.13,3282,2022-05-27 17:06:00
204,12.135,12.135,12.135,12.135,200,2022-05-27 17:07:00
205,12.135,12.15,12.135,12.15,2880,2022-05-27 17:08:00
206,12.155,12.155,12.155,12.155,800,2022-05-27 17:09:00
207,12.155,12.16,12.155,12.16,200,2022-05-27 17:10:00
208,12.17,12.17,12.17,12.17,100,2022-05-27 17:11:00
209,12.17,12.17,12.17,12.17,1192,2022-05-27 17:12:00
