,open,high,low,close,volume,datetime
0,3.42,3.42,3.42,3.42,350,2022-05-27 11:59:00
1,3.45,3.45,3.45,3.45,100,2022-05-27 12:00:00
2,3.42,3.42,3.42,3.42,245,2022-05-27 12:08:00
3,3.45,3.45,3.45,3.45,8950,2022-05-27 12:19:00
4,3.43,3.43,3.43,3.43,3000,2022-05-27 12:23:00
5,3.43,3.43,3.43,3.43,144,2022-05-27 12:28:00
6,3.45,3.45,3.45,3.45,120,2022-05-27 12:33:00
7,3.45,3.45,3.45,3.45,225,2022-05-27 12:45:00
8,3.46,3.46,3.46,3.46,1000,2022-05-27 12:49:00
9,3.4224,3.4224,3.42,3.42,340,2022-05-27 12:55:00
10,3.5,3.5,3.5,3.5,200,2022-05-27 13:05:00
11,3.49,3.49,3.49,3.49,300,2022-05-27 13:12:00
12,3.49,3.49,3.49,3.49,3000,2022-05-27 13:13:00
13,3.49,3.49,3.49,3.49,850,2022-05-27 13:17:00
14,3.5,3.5,3.5,3.5,114,2022-05-27 13:19:00
15,3.49,3.49,3.49,3.49,107,2022-05-27 13:20:00
16,3.5,3.5,3.5,3.5,400,2022-05-27 13:23:00
17,3.49,3.54,3.49,3.53,44483,2022-05-27 13:30:00
18,3.545,3.57,3.52,3.5679,12625,2022-05-27 13:31:00
19,3.565,3.59,3.5612,3.59,5253,2022-05-27 13:32:00
20,3.575,3.575,3.54,3.54,5296,2022-05-27 13:33:00
21,3.55,3.55,3.53,3.55,24932,2022-05-27 13:34:00
22,3.54,3.55,3.51,3.54,21550,2022-05-27 13:35:00
23,3.55,3.58,3.55,3.56,6340,2022-05-27 13:36:00
24,3.55,3.55,3.52,3.52,7478,2022-05-27 13:37:00
25,3.5392,3.54,3.53,3.53,4291,2022-05-27 13:38:00
26,3.525,3.53,3.52,3.53,8344,2022-05-27 13:39:00
27,3.5343,3.56,3.53,3.55,9049,2022-05-27 13:40:00
28,3.55,3.57,3.54,3.56,2765,2022-05-27 13:41:00
29,3.55,3.551,3.53,3.53,5753,2022-05-27 13:42:00
30,3.53,3.53,3.51,3.52,7432,2022-05-27 13:43:00
31,3.515,3.515,3.485,3.485,14596,2022-05-27 13:44:00
32,3.49,3.4999,3.48,3.4861,8248,2022-05-27 13:45:00
33,3.481,3.49,3.47,3.485,19539,2022-05-27 13:46:00
34,3.48,3.4936,3.47,3.4728,15744,2022-05-27 13:47:00
35,3.48,3.49,3.47,3.49,5821,2022-05-27 13:48:00
36,3.5,3.5,3.485,3.485,10022,2022-05-27 13:49:00
37,3.48,3.495,3.47,3.495,5599,2022-05-27 13:50:00
38,3.4967,3.505,3.48,3.5,5800,2022-05-27 13:51:00
39,3.4989,3.4989,3.48,3.48,3300,2022-05-27 13:52:00
40,3.4893,3.5,3.48,3.49,4724,2022-05-27 13:53:00
41,3.505,3.51,3.5,3.5084,1159,2022-05-27 13:54:00
42,3.505,3.52,3.5,3.52,2102,2022-05-27 13:55:00
43,3.515,3.525,3.515,3.525,2176,2022-05-27 13:56:00
44,3.53,3.5383,3.52,3.53,2816,2022-05-27 13:58:00
45,3.53,3.5387,3.53,3.5387,809,2022-05-27 13:59:00
46,3.53,3.5382,3.52,3.525,18749,2022-05-27 14:00:00
47,3.5207,3.5312,3.52,3.5312,9724,2022-05-27 14:01:00
48,3.53,3.53,3.52,3.53,3807,2022-05-27 14:02:00
49,3.53,3.5301,3.5203,3.5203,3400,2022-05-27 14:04:00
50,3.53,3.54,3.52,3.53,21000,2022-05-27 14:05:00
51,3.52,3.53,3.52,3.53,4844,2022-05-27 14:06:00
52,3.522,3.522,3.51,3.51,8254,2022-05-27 14:07:00
53,3.51,3.515,3.5,3.515,22580,2022-05-27 14:08:00
54,3.51,3.525,3.51,3.525,3354,2022-05-27 14:09:00
55,3.525,3.54,3.525,3.5399,21116,2022-05-27 14:10:00
56,3.54,3.5481,3.53,3.5415,2283,2022-05-27 14:11:00
57,3.54,3.5476,3.54,3.54,4658,2022-05-27 14:12:00
58,3.53,3.54,3.53,3.535,2575,2022-05-27 14:13:00
59,3.54,3.55,3.54,3.55,5919,2022-05-27 14:14:00
60,3.545,3.545,3.5412,3.5412,410,2022-05-27 14:15:00
61,3.55,3.56,3.55,3.5518,4858,2022-05-27 14:16:00
62,3.55,3.555,3.55,3.555,10300,2022-05-27 14:17:00
63,3.555,3.555,3.545,3.545,20166,2022-05-27 14:18:00
64,3.55,3.55,3.54,3.55,5870,2022-05-27 14:19:00
65,3.56,3.57,3.555,3.57,3013,2022-05-27 14:20:00
66,3.57,3.57,3.56,3.56,990,2022-05-27 14:21:00
67,3.57,3.57,3.57,3.57,550,2022-05-27 14:22:00
68,3.57,3.58,3.57,3.5791,22240,2022-05-27 14:23:00
69,3.5715,3.58,3.57,3.58,12900,2022-05-27 14:24:00
70,3.575,3.58,3.57,3.5701,12612,2022-05-27 14:25:00
71,3.575,3.575,3.57,3.57,300,2022-05-27 14:26:00
72,3.575,3.578,3.57,3.57,552,2022-05-27 14:27:00
73,3.57,3.59,3.57,3.59,10776,2022-05-27 14:28:00
74,3.5981,3.5981,3.595,3.595,600,2022-05-27 14:29:00
75,3.6,3.6115,3.59,3.61,58769,2022-05-27 14:30:00
76,3.62,3.62,3.6107,3.6107,30980,2022-05-27 14:31:00
77,3.62,3.63,3.62,3.6214,6890,2022-05-27 14:32:00
78,3.63,3.63,3.61,3.62,9837,2022-05-27 14:33:00
79,3.625,3.65,3.625,3.65,17871,2022-05-27 14:34:00
80,3.645,3.655,3.63,3.64,21918,2022-05-27 14:35:00
81,3.635,3.64,3.63,3.635,939,2022-05-27 14:36:00
82,3.635,3.64,3.63,3.63,12591,2022-05-27 14:37:00
83,3.632,3.632,3.625,3.625,5101,2022-05-27 14:38:00
84,3.6212,3.6212,3.61,3.615,4224,2022-05-27 14:39:00
85,3.615,3.62,3.6007,3.62,12233,2022-05-27 14:40:00
86,3.62,3.6279,3.61,3.61,6765,2022-05-27 14:41:00
87,3.615,3.625,3.615,3.62,3130,2022-05-27 14:42:00
88,3.62,3.625,3.61,3.61,3140,2022-05-27 14:43:00
89,3.62,3.62,3.6,3.605,12597,2022-05-27 14:44:00
90,3.6,3.61,3.6,3.6038,5000,2022-05-27 14:45:00
91,3.6,3.605,3.5907,3.5907,20017,2022-05-27 14:46:00
92,3.6,3.6,3.59,3.59,1700,2022-05-27 14:47:00
93,3.6,3.6,3.59,3.6,7577,2022-05-27 14:48:00
94,3.61,3.61,3.6,3.605,7100,2022-05-27 14:49:00
95,3.61,3.61,3.6,3.6,3987,2022-05-27 14:50:00
96,3.61,3.61,3.59,3.59,3627,2022-05-27 14:51:00
97,3.6,3.6,3.59,3.595,900,2022-05-27 14:52:00
98,3.5972,3.6,3.59,3.595,2845,2022-05-27 14:53:00
99,3.595,3.6,3.59,3.6,1410,2022-05-27 14:54:00
100,3.59,3.6,3.58,3.58,9366,2022-05-27 14:55:00
101,3.59,3.59,3.58,3.585,9216,2022-05-27 14:56:00
102,3.58,3.6,3.58,3.594,3060,2022-05-27 14:57:00
103,3.595,3.595,3.58,3.585,5851,2022-05-27 14:58:00
104,3.585,3.585,3.58,3.5812,5259,2022-05-27 14:59:00
105,3.59,3.5999,3.58,3.5999,4237,2022-05-27 15:00:00
106,3.59,3.59,3.58,3.58,4032,2022-05-27 15:01:00
107,3.58,3.58,3.57,3.57,5638,2022-05-27 15:02:00
108,3.5609,3.58,3.56,3.58,13768,2022-05-27 15:03:00
109,3.58,3.58,3.57,3.57,6791,2022-05-27 15:04:00
110,3.565,3.565,3.55,3.5501,5236,2022-05-27 15:05:00
111,3.5594,3.57,3.559,3.57,7730,2022-05-27 15:06:00
112,3.57,3.585,3.57,3.585,4458,2022-05-27 15:07:00
113,3.5801,3.585,3.5801,3.585,900,2022-05-27 15:08:00
114,3.58,3.595,3.58,3.595,5166,2022-05-27 15:09:00
115,3.6,3.6,3.59,3.6,2909,2022-05-27 15:10:00
116,3.6,3.6,3.595,3.6,5389,2022-05-27 15:11:00
117,3.6,3.607,3.6,3.607,1074,2022-05-27 15:12:00
118,3.61,3.62,3.61,3.62,2222,2022-05-27 15:13:00
119,3.615,3.628,3.615,3.62,6737,2022-05-27 15:14:00
120,3.62,3.63,3.62,3.63,7997,2022-05-27 15:15:00
121,3.625,3.64,3.625,3.64,8640,2022-05-27 15:16:00
122,3.645,3.65,3.64,3.65,17794,2022-05-27 15:17:00
123,3.655,3.66,3.65,3.66,13714,2022-05-27 15:18:00
124,3.66,3.6844,3.66,3.6844,101999,2022-05-27 15:19:00
125,3.69,3.7,3.68,3.7,39534,2022-05-27 15:20:00
126,3.6965,3.7,3.6907,3.7,6825,2022-05-27 15:21:00
127,3.6986,3.7,3.6917,3.7,5553,2022-05-27 15:22:00
128,3.7,3.71,3.69,3.6988,33194,2022-05-27 15:23:00
129,3.6982,3.6982,3.695,3.695,3172,2022-05-27 15:24:00
130,3.69,3.69,3.675,3.6812,19803,2022-05-27 15:25:00
131,3.69,3.69,3.6709,3.6709,5650,2022-05-27 15:26:00
132,3.67,3.675,3.67,3.675,373,2022-05-27 15:27:00
133,3.675,3.685,3.675,3.685,4450,2022-05-27 15:28:00
134,3.6889,3.69,3.6889,3.69,2622,2022-05-27 15:29:00
135,3.691,3.71,3.6908,3.71,17257,2022-05-27 15:30:00
136,3.72,3.72,3.7199,3.72,530,2022-05-27 15:31:00
137,3.715,3.72,3.71,3.715,2884,2022-05-27 15:32:00
138,3.715,3.72,3.71,3.72,3190,2022-05-27 15:33:00
139,3.72,3.72,3.71,3.7102,7036,2022-05-27 15:34:00
140,3.7099,3.7099,3.7,3.705,4945,2022-05-27 15:35:00
141,3.7,3.705,3.7,3.7,3261,2022-05-27 15:36:00
142,3.7,3.72,3.7,3.72,77781,2022-05-27 15:37:00
143,3.715,3.715,3.7,3.705,24147,2022-05-27 15:38:00
144,3.705,3.7099,3.705,3.7099,1372,2022-05-27 15:39:00
145,3.7,3.7,3.69,3.7,4677,2022-05-27 15:40:00
146,3.695,3.7201,3.69,3.7201,21111,2022-05-27 15:41:00
147,3.7287,3.73,3.7218,3.7218,7068,2022-05-27 15:42:00
148,3.7201,3.725,3.7201,3.725,5300,2022-05-27 15:43:00
149,3.725,3.7288,3.72,3.725,3153,2022-05-27 15:44:00
150,3.725,3.728,3.715,3.715,5626,2022-05-27 15:45:00
151,3.7184,3.7184,3.71,3.71,1910,2022-05-27 15:46:00
152,3.72,3.72,3.715,3.715,1200,2022-05-27 15:47:00
153,3.715,3.72,3.71,3.72,12180,2022-05-27 15:48:00
154,3.715,3.715,3.71,3.71,14124,2022-05-27 15:49:00
155,3.7112,3.7199,3.71,3.7199,4947,2022-05-27 15:50:00
156,3.7109,3.7109,3.7,3.7,3710,2022-05-27 15:51:00
157,3.7001,3.705,3.7,3.7,2181,2022-05-27 15:52:00
158,3.705,3.705,3.705,3.705,100,2022-05-27 15:53:00
159,3.705,3.705,3.7,3.7,600,2022-05-27 15:54:00
160,3.705,3.705,3.695,3.7,12991,2022-05-27 15:55:00
161,3.7011,3.7011,3.7001,3.7001,2247,2022-05-27 15:56:00
162,3.7088,3.7088,3.7018,3.705,1550,2022-05-27 15:57:00
163,3.7,3.705,3.7,3.7,300,2022-05-27 15:58:00
164,3.7,3.71,3.7,3.707,2830,2022-05-27 15:59:00
165,3.7017,3.715,3.7015,3.715,14142,2022-05-27 16:00:00
166,3.72,3.73,3.72,3.73,11777,2022-05-27 16:01:00
167,3.735,3.735,3.73,3.7315,8167,2022-05-27 16:02:00
168,3.7383,3.7383,3.7,3.705,66173,2022-05-27 16:03:00
169,3.705,3.705,3.7,3.7,200,2022-05-27 16:04:00
170,3.7009,3.7009,3.7009,3.7009,400,2022-05-27 16:05:00
171,3.7,3.7,3.685,3.69,20824,2022-05-27 16:06:00
172,3.69,3.69,3.69,3.69,190,2022-05-27 16:07:00
173,3.69,3.695,3.685,3.685,6000,2022-05-27 16:08:00
174,3.6882,3.6882,3.6882,3.6882,205,2022-05-27 16:10:00
175,3.69,3.69,3.68,3.685,13750,2022-05-27 16:11:00
