,open,high,low,close,volume,datetime
0,3.29,3.29,3.29,3.29,628,2022-05-27 13:30:00
1,3.35,3.35,3.35,3.35,100,2022-05-27 13:34:00
2,3.335,3.335,3.32,3.32,620,2022-05-27 13:35:00
3,3.32,3.32,3.32,3.32,100,2022-05-27 13:36:00
4,3.31,3.31,3.31,3.31,218,2022-05-27 13:37:00
5,3.29,3.29,3.29,3.29,600,2022-05-27 13:38:00
6,3.3,3.31,3.3,3.3,6133,2022-05-27 13:40:00
7,3.3,3.3,3.3,3.3,600,2022-05-27 13:43:00
8,3.3,3.3,3.3,3.3,156,2022-05-27 13:44:00
9,3.29,3.29,3.29,3.29,652,2022-05-27 13:45:00
10,3.29,3.3,3.28,3.3,5013,2022-05-27 13:49:00
11,3.298,3.3,3.298,3.3,300,2022-05-27 13:52:00
12,3.3,3.31,3.28,3.28,2284,2022-05-27 13:53:00
13,3.28,3.28,3.28,3.28,100,2022-05-27 13:54:00
14,3.29,3.29,3.29,3.29,300,2022-05-27 13:55:00
15,3.29,3.29,3.29,3.29,148,2022-05-27 13:57:00
16,3.3,3.3,3.3,3.3,1859,2022-05-27 14:00:00
17,3.31,3.31,3.3,3.31,8341,2022-05-27 14:01:00
18,3.31,3.31,3.3,3.3,2360,2022-05-27 14:02:00
19,3.3,3.3,3.3,3.3,4000,2022-05-27 14:04:00
20,3.3,3.305,3.3,3.3,1700,2022-05-27 14:05:00
21,3.31,3.32,3.3,3.32,1603,2022-05-27 14:07:00
22,3.315,3.315,3.315,3.315,200,2022-05-27 14:08:00
23,3.32,3.32,3.31,3.32,3660,2022-05-27 14:09:00
24,3.32,3.33,3.31,3.325,2044,2022-05-27 14:10:00
25,3.325,3.325,3.32,3.32,1032,2022-05-27 14:11:00
26,3.33,3.33,3.33,3.33,100,2022-05-27 14:12:00
27,3.325,3.33,3.32,3.32,1671,2022-05-27 14:14:00
28,3.325,3.33,3.325,3.325,1661,2022-05-27 14:15:00
29,3.33,3.345,3.325,3.345,3356,2022-05-27 14:16:00
30,3.3599,3.36,3.3599,3.36,200,2022-05-27 14:17:00
31,3.345,3.345,3.345,3.345,200,2022-05-27 14:19:00
32,3.3555,3.36,3.345,3.36,500,2022-05-27 14:20:00
33,3.34,3.35,3.34,3.34,3300,2022-05-27 14:21:00
34,3.35,3.36,3.34,3.36,900,2022-05-27 14:22:00
35,3.35,3.36,3.34,3.36,4779,2022-05-27 14:23:00
36,3.35,3.37,3.35,3.37,2100,2022-05-27 14:24:00
37,3.37,3.37,3.365,3.37,1879,2022-05-27 14:25:00
38,3.39,3.39,3.39,3.39,512,2022-05-27 14:26:00
