,open,high,low,close,volume,datetime
0,26.4,26.4,26.4,26.4,100,2022-05-27 13:29:00
1,26.45,26.51,26.42,26.42,2652,2022-05-27 13:30:00
2,26.45,26.45,26.31,26.31,400,2022-05-27 13:31:00
3,26.3,26.42,26.3,26.41,1000,2022-05-27 13:32:00
4,26.39,26.53,26.36,26.44,2477,2022-05-27 13:33:00
5,26.44,26.44,26.39,26.39,1300,2022-05-27 13:34:00
6,26.33,26.33,26.29,26.29,300,2022-05-27 13:35:00
7,26.33,26.38,26.33,26.37,300,2022-05-27 13:36:00
8,26.37,26.38,26.37,26.38,282,2022-05-27 13:37:00
9,26.37,26.37,26.32,26.36,400,2022-05-27 13:38:00
10,26.32,26.35,26.32,26.325,900,2022-05-27 13:39:00
11,26.39,26.46,26.39,26.46,840,2022-05-27 13:40:00
12,26.46,26.46,26.42,26.42,200,2022-05-27 13:41:00
13,26.435,26.45,26.41,26.45,300,2022-05-27 13:43:00
14,26.4,26.4,26.4,26.4,1231,2022-05-27 13:44:00
15,26.45,26.5,26.45,26.5,500,2022-05-27 13:45:00
16,26.49,26.49,26.44,26.44,2428,2022-05-27 13:46:00
17,26.45,26.45,26.45,26.45,408,2022-05-27 13:47:00
18,26.44,26.45,26.41,26.45,1286,2022-05-27 13:48:00
19,26.42,26.42,26.39,26.39,400,2022-05-27 13:50:00
20,26.42,26.425,26.4,26.4,800,2022-05-27 13:51:00
21,26.4,26.4,26.38,26.38,500,2022-05-27 13:52:00
22,26.39,26.39,26.38,26.38,400,2022-05-27 13:53:00
23,26.43,26.46,26.4,26.435,2852,2022-05-27 13:54:00
24,26.435,26.435,26.41,26.425,2735,2022-05-27 13:55:00
25,26.44,26.46,26.4,26.4,7100,2022-05-27 13:56:00
26,26.42,26.45,26.42,26.445,5657,2022-05-27 13:57:00
27,26.445,26.55,26.43,26.5,11387,2022-05-27 13:58:00
28,26.52,26.59,26.5,26.58,4219,2022-05-27 13:59:00
29,26.53,26.59,26.53,26.575,500,2022-05-27 14:00:00
30,26.61,26.7,26.57,26.7,4600,2022-05-27 14:01:00
31,26.72,26.72,26.71,26.71,426,2022-05-27 14:02:00
32,26.69,26.69,26.69,26.69,100,2022-05-27 14:03:00
33,26.71,26.71,26.71,26.71,100,2022-05-27 14:04:00
34,26.69,26.69,26.65,26.66,600,2022-05-27 14:05:00
35,26.665,26.665,26.665,26.665,100,2022-05-27 14:06:00
36,26.65,26.665,26.65,26.665,200,2022-05-27 14:07:00
37,26.65,26.65,26.64,26.64,371,2022-05-27 14:08:00
38,26.65,26.65,26.65,26.65,100,2022-05-27 14:09:00
39,26.65,26.65,26.65,26.65,100,2022-05-27 14:10:00
40,26.61,26.61,26.59,26.59,200,2022-05-27 14:11:00
41,26.6,26.62,26.6,26.62,600,2022-05-27 14:12:00
42,26.625,26.65,26.625,26.65,700,2022-05-27 14:14:00
43,26.68,26.68,26.66,26.66,300,2022-05-27 14:15:00
44,26.65,26.65,26.65,26.65,100,2022-05-27 14:16:00
45,26.66,26.66,26.66,26.66,100,2022-05-27 14:17:00
46,26.65,26.65,26.62,26.62,400,2022-05-27 14:18:00
47,26.635,26.635,26.62,26.62,200,2022-05-27 14:19:00
48,26.66,26.7,26.66,26.7,900,2022-05-27 14:20:00
49,26.75,26.76,26.75,26.76,200,2022-05-27 14:21:00
50,26.81,26.81,26.81,26.81,200,2022-05-27 14:22:00
51,26.83,26.83,26.83,26.83,300,2022-05-27 14:23:00
52,26.84,26.84,26.84,26.84,100,2022-05-27 14:24:00
