,open,high,low,close,volume,datetime
0,31.43,31.7,31.43,31.59,43314,2022-05-27 13:30:00
1,31.57,31.57,31.5,31.55,12682,2022-05-27 13:31:00
2,31.59,31.6,31.56,31.579,12302,2022-05-27 13:32:00
3,31.58,31.65,31.58,31.64,2601,2022-05-27 13:33:00
4,31.63,31.7,31.629,31.68,6838,2022-05-27 13:34:00
5,31.68,31.7,31.68,31.69,5020,2022-05-27 13:35:00
6,31.68,31.69,31.66,31.66,3229,2022-05-27 13:36:00
7,31.67,31.67,31.65,31.66,10831,2022-05-27 13:37:00
8,31.65,31.685,31.64,31.66,9092,2022-05-27 13:38:00
9,31.67,31.69,31.65,31.68,2255,2022-05-27 13:39:00
10,31.68,31.68,31.63,31.63,3928,2022-05-27 13:40:00
11,31.64,31.645,31.63,31.64,6482,2022-05-27 13:41:00
12,31.635,31.65,31.62,31.645,3198,2022-05-27 13:42:00
13,31.635,31.67,31.635,31.665,2800,2022-05-27 13:43:00
14,31.66,31.675,31.65,31.67,1900,2022-05-27 13:44:00
15,31.68,31.69,31.65,31.66,9130,2022-05-27 13:45:00
16,31.655,31.655,31.63,31.63,5314,2022-05-27 13:46:00
17,31.62,31.65,31.62,31.64,6820,2022-05-27 13:47:00
18,31.64,31.66,31.64,31.66,4584,2022-05-27 13:48:00
19,31.65,31.67,31.65,31.67,3380,2022-05-27 13:49:00
20,31.67,31.67,31.655,31.66,5231,2022-05-27 13:50:00
21,31.645,31.67,31.645,31.665,3318,2022-05-27 13:51:00
22,31.66,31.685,31.66,31.68,3142,2022-05-27 13:52:00
23,31.68,31.685,31.66,31.67,3379,2022-05-27 13:53:00
24,31.66,31.675,31.65,31.67,5958,2022-05-27 13:54:00
25,31.67,31.685,31.665,31.68,3434,2022-05-27 13:55:00
26,31.69,31.7,31.68,31.68,5500,2022-05-27 13:56:00
27,31.675,31.68,31.63,31.63,3922,2022-05-27 13:57:00
28,31.63,31.64,31.63,31.635,10524,2022-05-27 13:58:00
29,31.635,31.645,31.625,31.625,3409,2022-05-27 13:59:00
30,31.63,31.63,31.615,31.62,3996,2022-05-27 14:00:00
31,31.62,31.6534,31.62,31.65,10923,2022-05-27 14:01:00
32,31.65,31.67,31.63,31.63,8822,2022-05-27 14:02:00
33,31.63,31.63,31.62,31.63,1100,2022-05-27 14:03:00
34,31.63,31.66,31.63,31.66,1347,2022-05-27 14:04:00
35,31.65,31.65,31.62,31.625,4191,2022-05-27 14:05:00
36,31.62,31.63,31.615,31.615,1904,2022-05-27 14:06:00
37,31.62,31.64,31.62,31.64,1883,2022-05-27 14:07:00
38,31.64,31.655,31.64,31.645,1784,2022-05-27 14:08:00
39,31.65,31.66,31.65,31.655,1918,2022-05-27 14:09:00
40,31.6575,31.6575,31.615,31.63,4142,2022-05-27 14:10:00
41,31.63,31.64,31.61,31.63,4095,2022-05-27 14:11:00
42,31.62,31.64,31.62,31.63,2274,2022-05-27 14:12:00
43,31.64,31.66,31.64,31.6511,2231,2022-05-27 14:13:00
44,31.665,31.67,31.65,31.66,1113,2022-05-27 14:14:00
45,31.66,31.69,31.66,31.68,1357,2022-05-27 14:15:00
46,31.68,31.7,31.68,31.69,3796,2022-05-27 14:16:00
47,31.69,31.695,31.66,31.66,9058,2022-05-27 14:17:00
48,31.665,31.68,31.655,31.68,3764,2022-05-27 14:18:00
49,31.685,31.69,31.67,31.68,2887,2022-05-27 14:19:00
50,31.68,31.69,31.68,31.685,2058,2022-05-27 14:20:00
51,31.69,31.69,31.69,31.69,900,2022-05-27 14:21:00
52,31.7,31.71,31.69,31.7,2407,2022-05-27 14:22:00
53,31.71,31.72,31.705,31.715,4431,2022-05-27 14:23:00
54,31.72,31.73,31.72,31.72,2125,2022-05-27 14:24:00
55,31.715,31.715,31.69,31.69,4992,2022-05-27 14:25:00
56,31.7,31.71,31.69,31.7,1073,2022-05-27 14:26:00
57,31.7,31.72,31.7,31.72,1863,2022-05-27 14:27:00
58,31.72,31.74,31.72,31.73,1404,2022-05-27 14:28:00
59,31.73,31.73,31.72,31.72,3837,2022-05-27 14:29:00
60,31.72,31.74,31.72,31.74,2300,2022-05-27 14:30:00
61,31.74,31.74,31.74,31.74,1200,2022-05-27 14:31:00
62,31.74,31.74,31.73,31.735,1700,2022-05-27 14:32:00
63,31.73,31.74,31.72,31.74,3980,2022-05-27 14:33:00
64,31.73,31.73,31.7146,31.72,1734,2022-05-27 14:34:00
65,31.7,31.72,31.7,31.715,4089,2022-05-27 14:35:00
66,31.71,31.71,31.68,31.68,2429,2022-05-27 14:36:00
67,31.67,31.68,31.6502,31.66,5248,2022-05-27 14:37:00
68,31.655,31.67,31.65,31.66,2356,2022-05-27 14:38:00
69,31.66,31.675,31.66,31.66,3186,2022-05-27 14:39:00
70,31.65,31.65,31.6399,31.645,2969,2022-05-27 14:40:00
71,31.65,31.65,31.635,31.64,2228,2022-05-27 14:41:00
72,31.65,31.65,31.64,31.64,2456,2022-05-27 14:42:00
73,31.63,31.66,31.63,31.66,1608,2022-05-27 14:43:00
74,31.65,31.65,31.64,31.65,5263,2022-05-27 14:44:00
75,31.66,31.67,31.66,31.66,2926,2022-05-27 14:45:00
76,31.67,31.68,31.67,31.68,525,2022-05-27 14:46:00
77,31.68,31.7,31.68,31.7,2250,2022-05-27 14:47:00
78,31.71,31.71,31.695,31.7,1651,2022-05-27 14:48:00
79,31.69,31.7,31.68,31.7,5211,2022-05-27 14:49:00
80,31.695,31.71,31.695,31.695,1803,2022-05-27 14:50:00
81,31.69,31.69,31.67,31.68,3796,2022-05-27 14:51:00
82,31.68,31.68,31.67,31.67,1134,2022-05-27 14:52:00
83,31.675,31.68,31.665,31.67,2352,2022-05-27 14:53:00
84,31.665,31.68,31.66,31.675,2025,2022-05-27 14:54:00
85,31.67,31.68,31.67,31.68,744,2022-05-27 14:55:00
86,31.68,31.69,31.672,31.68,6746,2022-05-27 14:56:00
87,31.68,31.69,31.68,31.68,2000,2022-05-27 14:57:00
88,31.68,31.68,31.675,31.68,1109,2022-05-27 14:58:00
89,31.69,31.69,31.68,31.68,1400,2022-05-27 14:59:00
90,31.68,31.68,31.655,31.66,3987,2022-05-27 15:00:00
91,31.66,31.66,31.655,31.66,3421,2022-05-27 15:01:00
92,31.67,31.67,31.67,31.67,3338,2022-05-27 15:02:00
93,31.68,31.695,31.68,31.685,5418,2022-05-27 15:03:00
94,31.68,31.68,31.66,31.67,3088,2022-05-27 15:04:00
95,31.67,31.675,31.66,31.665,3550,2022-05-27 15:05:00
