,open,high,low,close,volume,datetime
0,9.5,9.5,9.5,9.5,300,2022-05-27 14:47:00
1,9.5,9.5,9.4999,9.4999,900,2022-05-27 14:49:00
2,9.655,9.75,9.655,9.75,5609,2022-05-27 14:52:00
3,9.77,9.77,9.77,9.77,100,2022-05-27 14:57:00
4,9.77,9.77,9.77,9.77,100,2022-05-27 15:02:00
5,9.77,9.77,9.77,9.77,100,2022-05-27 15:07:00
6,9.78,9.78,9.78,9.78,200,2022-05-27 15:12:00
7,9.78,9.78,9.78,9.78,100,2022-05-27 15:17:00
8,9.77,9.78,9.75,9.78,400,2022-05-27 15:22:00
9,9.77,9.77,9.75,9.75,200,2022-05-27 15:27:00
10,9.77,9.77,9.77,9.77,100,2022-05-27 15:32:00
11,9.77,9.77,9.77,9.77,100,2022-05-27 15:37:00
12,9.75,9.75,9.75,9.75,100,2022-05-27 15:42:00
13,9.75,9.75,9.75,9.75,100,2022-05-27 15:47:00
14,10.0,10.0,10.0,10.0,300,2022-05-27 17:10:00
15,9.875,9.875,9.875,9.875,200,2022-05-27 17:13:00
16,9.78,9.78,9.78,9.78,100,2022-05-27 19:36:00
17,9.75,9.75,9.75,9.75,100,2022-05-27 19:59:00
18,10.0686,10.0686,10.0686,10.0686,100,2022-05-31 16:19:00
19,10.085,10.085,10.085,10.085,500,2022-05-31 17:12:00
20,9.8,9.8394,9.79,9.8394,600,2022-05-31 17:22:00
21,9.8,9.8,9.8,9.8,200,2022-05-31 17:27:00
22,9.83,9.83,9.83,9.83,100,2022-05-31 18:27:00
23,9.82,9.8273,9.8,9.8,1400,2022-05-31 19:03:00
24,9.58,9.58,9.58,9.58,1500,2022-05-31 19:04:00
25,9.22,9.39,9.2,9.23,2653,2022-05-31 19:08:00
26,9.15,9.15,9.15,9.15,200,2022-05-31 19:10:00
27,9.25,9.25,9.25,9.25,200,2022-05-31 19:11:00
28,9.28,9.28,9.28,9.28,100,2022-05-31 19:40:00
29,9.275,9.275,9.275,9.275,390,2022-05-31 19:50:00
30,9.06,9.2,9.06,9.185,400,2022-05-31 19:53:00
31,9.03,9.35,9.03,9.35,800,2022-05-31 19:54:00
32,9.29,9.29,9.01,9.01,200,2022-05-31 19:58:00
33,9.29,9.29,9.29,9.29,100,2022-05-31 19:59:00
34,9.29,9.29,9.29,9.29,159,2022-05-31 20:00:00
35,8.85,8.85,8.85,8.85,124,2022-06-01 14:56:00
36,9.3646,9.3646,9.3646,9.3646,300,2022-06-01 15:01:00
37,9.255,9.255,9.255,9.255,100,2022-06-01 15:03:00
38,9.4663,9.4663,9.4663,9.4663,112,2022-06-01 15:04:00
