,open,high,low,close,volume,datetime
0,2.75,2.75,2.75,2.75,500,2022-05-27 11:11:00
1,2.74,2.74,2.72,2.72,1909,2022-05-27 11:12:00
2,2.72,2.72,2.72,2.72,100,2022-05-27 11:32:00
3,2.75,2.75,2.75,2.75,300,2022-05-27 11:33:00
4,2.76,2.76,2.76,2.76,200,2022-05-27 11:40:00
5,2.76,2.76,2.76,2.76,3000,2022-05-27 11:50:00
6,2.75,2.75,2.75,2.75,543,2022-05-27 12:01:00
7,2.74,2.74,2.74,2.74,4000,2022-05-27 12:02:00
8,2.75,2.75,2.75,2.75,100,2022-05-27 12:13:00
9,2.75,2.75,2.75,2.75,2500,2022-05-27 12:17:00
10,2.75,2.75,2.75,2.75,500,2022-05-27 12:18:00
11,2.76,2.76,2.76,2.76,100,2022-05-27 12:25:00
12,2.76,2.76,2.76,2.76,300,2022-05-27 12:27:00
13,2.76,2.76,2.76,2.76,100,2022-05-27 12:46:00
14,2.77,2.77,2.77,2.77,300,2022-05-27 12:48:00
15,2.76,2.76,2.76,2.76,430,2022-05-27 12:50:00
16,2.76,2.76,2.76,2.76,500,2022-05-27 12:51:00
17,2.75,2.75,2.75,2.75,500,2022-05-27 12:52:00
18,2.76,2.76,2.76,2.76,700,2022-05-27 12:55:00
19,2.77,2.77,2.77,2.77,476,2022-05-27 13:02:00
20,2.77,2.77,2.77,2.77,424,2022-05-27 13:04:00
21,2.77,2.77,2.77,2.77,200,2022-05-27 13:05:00
22,2.77,2.77,2.77,2.77,397,2022-05-27 13:07:00
23,2.7601,2.7601,2.7601,2.7601,300,2022-05-27 13:08:00
24,2.78,2.78,2.78,2.78,100,2022-05-27 13:09:00
25,2.78,2.78,2.78,2.78,100,2022-05-27 13:10:00
26,2.78,2.78,2.78,2.78,100,2022-05-27 13:21:00
27,2.78,2.78,2.78,2.78,200,2022-05-27 13:23:00
28,2.7899,2.7899,2.7899,2.7899,300,2022-05-27 13:24:00
29,2.8,2.81,2.8,2.81,214,2022-05-27 13:25:00
30,2.79,2.79,2.79,2.79,100,2022-05-27 13:28:00
31,2.76,2.77,2.76,2.77,600,2022-05-27 13:29:00
32,2.75,2.77,2.75,2.765,22713,2022-05-27 13:30:00
33,2.77,2.7988,2.77,2.7944,13443,2022-05-27 13:31:00
34,2.793,2.793,2.775,2.775,3729,2022-05-27 13:32:00
35,2.78,2.785,2.775,2.78,25800,2022-05-27 13:33:00
36,2.78,2.78,2.77,2.77,83064,2022-05-27 13:34:00
37,2.765,2.785,2.765,2.7801,31058,2022-05-27 13:35:00
38,2.79,2.82,2.79,2.8191,20375,2022-05-27 13:36:00
39,2.8101,2.815,2.8101,2.815,3800,2022-05-27 13:37:00
40,2.8104,2.82,2.81,2.81,55425,2022-05-27 13:38:00
41,2.8123,2.8195,2.81,2.8195,33237,2022-05-27 13:39:00
42,2.82,2.8399,2.82,2.83,19460,2022-05-27 13:40:00
43,2.83,2.84,2.83,2.83,3750,2022-05-27 13:41:00
44,2.835,2.8494,2.835,2.84,63914,2022-05-27 13:42:00
45,2.8344,2.84,2.8344,2.835,3900,2022-05-27 13:43:00
46,2.83,2.8314,2.815,2.825,18571,2022-05-27 13:44:00
47,2.8112,2.84,2.8112,2.83,24944,2022-05-27 13:45:00
48,2.835,2.86,2.835,2.85,279629,2022-05-27 13:46:00
49,2.85,2.86,2.85,2.8588,2648,2022-05-27 13:47:00
50,2.855,2.88,2.855,2.875,26533,2022-05-27 13:48:00
