,open,high,low,close,volume,datetime
0,22.69,22.69,22.69,22.69,1762,2022-05-27 13:30:00
1,22.4546,22.655,22.4546,22.655,450,2022-05-27 13:48:00
2,22.74,22.74,22.74,22.74,100,2022-05-27 13:54:00
3,22.7202,22.74,22.7202,22.74,1863,2022-05-27 14:01:00
4,22.695,22.695,22.695,22.695,100,2022-05-27 14:14:00
5,22.695,22.695,22.695,22.695,136,2022-05-27 14:23:00
6,22.75,22.75,22.75,22.75,249,2022-05-27 14:31:00
7,22.8,22.8,22.8,22.8,400,2022-05-27 14:34:00
8,22.7634,22.7634,22.59,22.745,389,2022-05-27 14:38:00
9,22.745,22.745,22.745,22.745,132,2022-05-27 14:47:00
10,22.745,22.745,22.745,22.745,100,2022-05-27 14:58:00
11,22.8,22.8,22.8,22.8,132,2022-05-27 15:04:00
12,22.85,22.85,22.85,22.85,100,2022-05-27 15:09:00
13,22.85,22.85,22.85,22.85,100,2022-05-27 15:12:00
14,22.85,22.85,22.85,22.85,100,2022-05-27 15:17:00
15,22.845,22.845,22.845,22.845,200,2022-05-27 15:19:00
16,22.845,22.845,22.845,22.845,159,2022-05-27 15:20:00
17,22.89,22.89,22.89,22.89,868,2022-05-27 15:30:00
18,22.845,22.845,22.845,22.845,200,2022-05-27 15:32:00
19,22.835,22.835,22.82,22.82,200,2022-05-27 15:37:00
20,22.8,22.81,22.8,22.81,300,2022-05-27 15:38:00
21,22.79,22.79,22.79,22.79,1500,2022-05-27 15:40:00
22,22.71,22.71,22.71,22.71,100,2022-05-27 15:44:00
23,22.7,22.77,22.7,22.77,976,2022-05-27 15:50:00
24,22.78,22.79,22.78,22.7899,1400,2022-05-27 15:51:00
25,22.745,22.745,22.745,22.745,100,2022-05-27 15:59:00
26,22.7899,22.7899,22.7899,22.7899,102,2022-05-27 16:14:00
27,22.76,22.76,22.76,22.76,100,2022-05-27 16:15:00
28,22.7226,22.741,22.7226,22.733,900,2022-05-27 16:21:00
29,22.62,22.629,22.61,22.629,782,2022-05-27 16:25:00
30,22.6989,22.6989,22.6989,22.6989,500,2022-05-27 16:32:00
31,22.6286,22.6286,22.6286,22.6286,178,2022-05-27 16:49:00
32,22.7113,22.79,22.7113,22.79,939,2022-05-27 16:52:00
33,22.85,22.85,22.8429,22.8429,582,2022-05-27 17:30:00
34,22.88,22.88,22.8016,22.8016,1600,2022-05-27 17:58:00
35,22.81,22.88,22.8,22.857,4743,2022-05-27 18:00:00
36,22.81,22.81,22.81,22.81,110,2022-05-27 18:04:00
37,22.89,22.96,22.89,22.96,1853,2022-05-27 18:06:00
38,22.94,22.94,22.94,22.94,100,2022-05-27 18:07:00
39,22.92,22.92,22.92,22.92,100,2022-05-27 18:27:00
40,22.95,22.95,22.95,22.95,100,2022-05-27 18:28:00
41,22.93,22.93,22.93,22.93,300,2022-05-27 18:33:00
42,23.0,23.0,23.0,23.0,141,2022-05-27 18:37:00
43,23.01,23.01,23.01,23.01,100,2022-05-27 18:42:00
44,23.045,23.045,23.045,23.045,500,2022-05-27 18:46:00
45,22.99,23.04,22.98,22.982,1400,2022-05-27 18:48:00
46,23.045,23.045,23.045,23.045,127,2022-05-27 19:02:00
47,23.065,23.065,23.065,23.065,200,2022-05-27 19:13:00
48,23.065,23.065,23.065,23.065,250,2022-05-27 19:22:00
49,23.07,23.07,23.07,23.07,100,2022-05-27 19:29:00
50,23.0356,23.04,22.99,22.99,1700,2022-05-27 19:34:00
51,22.86,22.86,22.86,22.86,100,2022-05-27 19:38:00
52,22.9184,22.9184,22.9184,22.9184,306,2022-05-27 19:41:00
53,22.86,22.86,22.86,22.86,100,2022-05-27 19:46:00
54,22.925,22.9385,22.925,22.9385,200,2022-05-27 19:47:00
55,22.93,22.93,22.93,22.93,100,2022-05-27 19:51:00
56,22.99,22.99,22.99,22.99,100,2022-05-27 19:56:00
57,22.94,22.94,22.94,22.94,146,2022-05-31 13:30:00
58,22.76,22.81,22.75,22.75,300,2022-05-31 13:34:00
59,22.91,22.91,22.91,22.91,100,2022-05-31 13:41:00
60,22.89,22.91,22.89,22.91,882,2022-05-31 13:59:00
61,22.8511,22.8511,22.8511,22.8511,512,2022-05-31 14:01:00
62,22.8084,22.8084,22.8084,22.8084,121,2022-05-31 14:20:00
63,22.7919,22.7919,22.7919,22.7919,194,2022-05-31 16:14:00
64,22.7408,22.7408,22.7408,22.7408,234,2022-05-31 17:29:00
65,22.966,22.966,22.86,22.86,349,2022-05-31 17:32:00
66,22.9063,22.9063,22.81,22.8226,1000,2022-05-31 18:43:00
67,22.9619,22.9619,22.9619,22.9619,141,2022-05-31 18:51:00
68,22.8358,22.8358,22.8358,22.8358,231,2022-05-31 18:53:00
69,22.8695,22.8695,22.8695,22.8695,158,2022-05-31 19:09:00
70,22.99,22.99,22.99,22.99,100,2022-05-31 19:39:00
71,22.99,22.99,22.99,22.99,100,2022-05-31 19:40:00
72,22.98,22.99,22.98,22.98,400,2022-05-31 19:41:00
73,22.98,22.98,22.98,22.98,100,2022-05-31 19:42:00
74,22.98,22.99,22.98,22.98,300,2022-05-31 19:43:00
75,22.98,22.98,22.98,22.98,100,2022-05-31 19:44:00
76,22.99,22.99,22.99,22.99,100,2022-05-31 19:45:00
77,22.99,22.99,22.99,22.99,100,2022-05-31 19:46:00
78,22.99,22.99,22.99,22.99,100,2022-05-31 19:47:00
79,22.98,22.98,22.98,22.98,100,2022-05-31 19:51:00
80,22.97,22.97,22.87,22.87,2229,2022-05-31 19:55:00
81,22.735,22.735,22.735,22.735,200,2022-05-31 19:57:00
82,22.85,22.88,22.85,22.87,1000,2022-05-31 19:58:00
83,22.87,22.87,22.73,22.73,718,2022-05-31 19:59:00
84,22.93,22.93,22.93,22.93,25590,2022-05-31 20:00:00
85,22.93,22.93,22.93,22.93,843,2022-06-01 13:30:00
