,open,high,low,close,volume,datetime
0,9.97,9.98,9.97,9.98,1200,2022-05-31 19:43:00
1,9.96,9.96,9.96,9.96,25000,2022-06-03 14:24:00
2,9.96,9.96,9.96,9.96,21300,2022-06-08 16:33:00
3,9.95,9.95,9.95,9.95,900,2022-06-08 16:34:00
4,9.95,9.95,9.95,9.95,100,2022-06-08 16:35:00
5,9.95,9.95,9.95,9.95,200,2022-06-08 16:36:00
6,9.95,9.95,9.94,9.94,500,2022-06-08 16:37:00
7,9.95,9.95,9.95,9.95,100,2022-06-08 16:41:00
8,9.95,9.95,9.95,9.95,100,2022-06-08 16:42:00
9,9.95,9.95,9.94,9.94,300,2022-06-08 16:43:00
10,9.94,9.94,9.94,9.94,100,2022-06-08 16:44:00
11,9.94,9.94,9.94,9.94,100,2022-06-08 16:45:00
12,9.94,9.94,9.94,9.94,300,2022-06-08 16:47:00
