,open,high,low,close,volume,datetime
0,0.42,0.42,0.42,0.42,606,2022-05-27 13:27:00
1,0.421,0.421,0.421,0.421,2500,2022-05-27 13:28:00
2,0.4436,0.4436,0.43,0.43,16319,2022-05-27 13:30:00
3,0.4288,0.4288,0.4288,0.4288,1000,2022-05-27 13:36:00
4,0.421,0.421,0.42,0.42,5136,2022-05-27 13:37:00
5,0.420101,0.420101,0.420101,0.420101,100,2022-05-27 13:40:00
6,0.4201,0.4201,0.4201,0.4201,100,2022-05-27 13:44:00
7,0.4201,0.4201,0.4201,0.4201,791,2022-05-27 13:47:00
8,0.42,0.4202,0.42,0.4202,1895,2022-05-27 13:50:00
9,0.4386,0.4445,0.4348,0.4445,300,2022-05-27 13:51:00
10,0.4202,0.4204,0.4202,0.4204,1000,2022-05-27 13:52:00
11,0.420301,0.420301,0.420301,0.420301,100,2022-05-27 13:53:00
12,0.4425,0.4425,0.4425,0.4425,100,2022-05-27 13:57:00
13,0.4203,0.4203,0.4203,0.4203,2000,2022-05-27 14:00:00
14,0.4382,0.4382,0.4382,0.4382,100,2022-05-27 14:04:00
15,0.420601,0.420601,0.420601,0.420601,650,2022-05-27 14:05:00
16,0.420601,0.420601,0.420601,0.420601,100,2022-05-27 14:07:00
17,0.4372,0.4372,0.4372,0.4372,100,2022-05-27 14:11:00
18,0.4205,0.4372,0.4205,0.4372,1100,2022-05-27 14:12:00
19,0.4205,0.4206,0.4205,0.4206,9000,2022-05-27 14:13:00
20,0.4303,0.4303,0.4203,0.4204,5171,2022-05-27 14:15:00
21,0.4211,0.4213,0.421,0.421,4977,2022-05-27 14:17:00
22,0.421,0.4372,0.421,0.4372,300,2022-05-27 14:19:00
23,0.4316,0.4316,0.4316,0.4316,200,2022-05-27 14:25:00
24,0.4322,0.435549,0.4322,0.435549,651,2022-05-27 14:28:00
25,0.4311,0.4311,0.4311,0.4311,5000,2022-05-27 14:29:00
26,0.44,0.44,0.44,0.44,100,2022-05-27 14:33:00
27,0.4311,0.4311,0.4311,0.4311,6607,2022-05-27 14:34:00
28,0.4311,0.4311,0.4311,0.4311,4900,2022-05-27 14:36:00
29,0.4445,0.4445,0.4445,0.4445,100,2022-05-27 14:40:00
30,0.4428,0.4428,0.4428,0.4428,100,2022-05-27 14:48:00
31,0.44,0.44,0.44,0.44,100,2022-05-27 14:56:00
32,0.439899,0.439899,0.439899,0.439899,113,2022-05-27 14:57:00
33,0.44,0.44,0.439899,0.439899,200,2022-05-27 15:04:00
34,0.4399,0.44,0.4399,0.44,2100,2022-05-27 15:06:00
35,0.43111,0.43111,0.43111,0.43111,294,2022-05-27 15:07:00
36,0.44,0.44,0.44,0.44,100,2022-05-27 15:12:00
37,0.435549,0.435549,0.435549,0.435549,170,2022-05-27 15:18:00
38,0.44,0.44,0.44,0.44,100,2022-05-27 15:20:00
39,0.4311,0.44,0.4311,0.44,1115,2022-05-27 15:22:00
40,0.4311,0.431295,0.4311,0.4311,2500,2022-05-27 15:24:00
41,0.4311,0.4311,0.43,0.43,3132,2022-05-27 15:25:00
42,0.4275,0.4275,0.425,0.425,1500,2022-05-27 15:36:00
43,0.4245,0.4245,0.4245,0.4245,300,2022-05-27 15:37:00
44,0.4244,0.4244,0.422,0.422,1600,2022-05-27 15:39:00
45,0.4298,0.4298,0.4298,0.4298,2000,2022-05-27 15:47:00
46,0.43,0.43,0.43,0.43,1000,2022-05-27 15:59:00
47,0.4237,0.4237,0.4237,0.4237,500,2022-05-27 16:12:00
48,0.429,0.429,0.429,0.429,100,2022-05-27 16:13:00
