,open,high,low,close,volume,datetime
0,1.05,1.05,1.05,1.05,200,2022-05-27 13:09:00
1,1.02,1.04,1.02,1.02,1450,2022-05-27 13:30:00
2,1.01,1.03,1.01,1.03,940,2022-05-27 13:31:00
3,1.02,1.02,1.02,1.02,100,2022-05-27 13:32:00
4,1.02,1.02,1.02,1.02,200,2022-05-27 13:33:00
5,1.03,1.03,1.03,1.03,700,2022-05-27 13:34:00
6,1.02,1.02,1.02,1.02,100,2022-05-27 13:35:00
7,1.03,1.03,1.03,1.03,200,2022-05-27 13:36:00
8,1.02,1.03,1.02,1.03,869,2022-05-27 13:38:00
9,1.035,1.035,1.035,1.035,1100,2022-05-27 13:39:00
10,1.04,1.04,1.04,1.04,1975,2022-05-27 13:40:00
11,1.03,1.03,1.03,1.03,300,2022-05-27 13:41:00
12,1.035,1.035,1.035,1.035,200,2022-05-27 13:43:00
13,1.03,1.035,1.02,1.02,1800,2022-05-27 13:45:00
14,1.02,1.0392,1.02,1.0392,300,2022-05-27 13:46:00
15,1.02,1.02,1.02,1.02,100,2022-05-27 13:47:00
16,1.02,1.025,1.02,1.025,4100,2022-05-27 13:48:00
17,1.02,1.02,1.02,1.02,100,2022-05-27 13:49:00
18,1.02,1.02,1.02,1.02,400,2022-05-27 13:50:00
19,1.025,1.0284,1.02,1.0284,900,2022-05-27 13:52:00
20,1.025,1.03,1.025,1.03,300,2022-05-27 13:55:00
21,1.02,1.025,1.02,1.025,300,2022-05-27 13:57:00
22,1.025,1.025,1.025,1.025,200,2022-05-27 14:00:00
23,1.025,1.025,1.02,1.02,520,2022-05-27 14:01:00
24,1.02,1.02,1.02,1.02,500,2022-05-27 14:02:00
25,1.025,1.025,1.025,1.025,400,2022-05-27 14:03:00
26,1.025,1.025,1.025,1.025,100,2022-05-27 14:05:00
27,1.025,1.025,1.025,1.025,200,2022-05-27 14:06:00
28,1.025,1.025,1.025,1.025,200,2022-05-27 14:09:00
29,1.025,1.025,1.025,1.025,100,2022-05-27 14:10:00
30,1.02,1.02,1.02,1.02,100,2022-05-27 14:11:00
31,1.025,1.025,1.025,1.025,200,2022-05-27 14:12:00
32,1.025,1.03,1.025,1.03,200,2022-05-27 14:13:00
33,1.024,1.025,1.024,1.025,1200,2022-05-27 14:15:00
34,1.0248,1.0248,1.0248,1.0248,1000,2022-05-27 14:16:00
35,1.0258,1.0258,1.025,1.025,1100,2022-05-27 14:17:00
36,1.025,1.025,1.025,1.025,200,2022-05-27 14:18:00
37,1.025,1.025,1.025,1.025,200,2022-05-27 14:19:00
38,1.025,1.025,1.025,1.025,100,2022-05-27 14:20:00
39,1.02,1.025,1.02,1.025,300,2022-05-27 14:21:00
40,1.025,1.025,1.025,1.025,200,2022-05-27 14:25:00
41,1.02,1.03,1.02,1.02,400,2022-05-27 14:27:00
42,1.03,1.03,1.03,1.03,2744,2022-05-27 14:28:00
43,1.03,1.04,1.03,1.04,3356,2022-05-27 14:29:00
44,1.035,1.035,1.035,1.035,1200,2022-05-27 14:31:00
45,1.035,1.035,1.035,1.035,200,2022-05-27 14:33:00
46,1.035,1.035,1.035,1.035,200,2022-05-27 14:37:00
47,1.035,1.035,1.035,1.035,200,2022-05-27 14:40:00
48,1.035,1.04,1.03,1.04,400,2022-05-27 14:41:00
49,1.035,1.035,1.035,1.035,200,2022-05-27 14:44:00
50,1.03,1.03,1.03,1.03,100,2022-05-27 14:46:00
51,1.035,1.035,1.035,1.035,200,2022-05-27 14:48:00
52,1.03,1.04,1.03,1.03,401,2022-05-27 14:49:00
53,1.04,1.04,1.03,1.04,400,2022-05-27 14:52:00
54,1.0352,1.0352,1.0352,1.0352,100,2022-05-27 14:53:00
55,1.04,1.04,1.04,1.04,200,2022-05-27 14:54:00
56,1.04,1.04,1.0362,1.0362,200,2022-05-27 14:55:00
57,1.035,1.035,1.035,1.035,200,2022-05-27 14:56:00
58,1.04,1.04,1.035,1.035,300,2022-05-27 14:57:00
59,1.04,1.05,1.03,1.05,11437,2022-05-27 14:58:00
60,1.045,1.05,1.045,1.05,2100,2022-05-27 14:59:00
61,1.05,1.06,1.0442,1.06,4741,2022-05-27 15:00:00
62,1.055,1.06,1.05,1.06,613,2022-05-27 15:01:00
63,1.06,1.06,1.055,1.055,200,2022-05-27 15:02:00
64,1.06,1.06,1.06,1.06,100,2022-05-27 15:03:00
65,1.06,1.06,1.055,1.055,300,2022-05-27 15:05:00
66,1.055,1.055,1.055,1.055,100,2022-05-27 15:06:00
67,1.055,1.055,1.055,1.055,190,2022-05-27 15:07:00
68,1.055,1.055,1.0513,1.0513,928,2022-05-27 15:08:00
69,1.055,1.055,1.055,1.055,100,2022-05-27 15:09:00
70,1.05,1.08,1.05,1.08,6692,2022-05-27 15:10:00
71,1.075,1.09,1.075,1.09,5400,2022-05-27 15:13:00
72,1.1,1.1,1.095,1.095,200,2022-05-27 15:14:00
73,1.095,1.095,1.075,1.075,20713,2022-05-27 15:17:00
74,1.075,1.075,1.075,1.075,100,2022-05-27 15:19:00
75,1.075,1.075,1.075,1.075,200,2022-05-27 15:20:00
76,1.07,1.07,1.04,1.04,20599,2022-05-27 15:23:00
77,1.04,1.04,1.01,1.015,39356,2022-05-27 15:24:00
78,1.0199,1.02,1.0,1.01,38537,2022-05-27 15:25:00
79,1.0,1.01,1.0,1.0,400,2022-05-27 15:26:00
80,1.01,1.01,0.9901,0.9901,17900,2022-05-27 15:27:00
81,1.0,1.0,1.0,1.0,100,2022-05-27 15:28:00
82,1.0,1.0,1.0,1.0,100,2022-05-27 15:29:00
83,1.0,1.0,1.0,1.0,200,2022-05-27 15:30:00
84,0.995,1.0,0.995,1.0,200,2022-05-27 15:31:00
85,1.0,1.01,1.0,1.01,1800,2022-05-27 15:32:00
86,1.015,1.015,1.0,1.0003,13649,2022-05-27 15:33:00
87,1.01,1.01,1.0,1.0,10007,2022-05-27 15:34:00
88,1.0,1.0,1.0,1.0,100,2022-05-27 15:35:00
89,1.0,1.0,1.0,1.0,700,2022-05-27 15:36:00
90,1.0,1.0,1.0,1.0,100,2022-05-27 15:37:00
91,0.9976,1.0,0.9976,1.0,451,2022-05-27 15:38:00
92,1.0,1.0,1.0,1.0,100,2022-05-27 15:40:00
93,0.9987,1.0,0.9987,1.0,200,2022-05-27 15:41:00
94,0.9998,0.9998,0.967,0.97,52817,2022-05-27 15:42:00
95,0.967,0.97,0.967,0.97,4830,2022-05-27 15:43:00
96,0.96,0.9638,0.9599,0.9638,3650,2022-05-27 15:44:00
97,0.9643,0.9887,0.9643,0.9887,1500,2022-05-27 15:45:00
98,0.9887,0.9887,0.9887,0.9887,100,2022-05-27 15:46:00
99,0.9886,0.9887,0.9886,0.9887,1800,2022-05-27 15:47:00
100,0.9887,0.9887,0.9887,0.9887,100,2022-05-27 15:48:00
