,open,high,low,close,volume,datetime
0,4.71,4.78,4.68,4.68,7025,2022-05-27 13:30:00
1,4.685,4.7,4.6701,4.7,1123,2022-05-27 13:31:00
2,4.715,4.715,4.715,4.715,197,2022-05-27 13:32:00
3,4.715,4.715,4.69,4.7,1200,2022-05-27 13:33:00
4,4.6973,4.6973,4.635,4.635,2200,2022-05-27 13:34:00
5,4.62,4.6621,4.62,4.6621,1326,2022-05-27 13:35:00
6,4.6605,4.6605,4.6605,4.6605,2000,2022-05-27 13:36:00
7,4.6434,4.65,4.6434,4.65,1000,2022-05-27 13:37:00
8,4.66,4.66,4.655,4.655,360,2022-05-27 13:38:00
9,4.64,4.655,4.63,4.655,2000,2022-05-27 13:39:00
10,4.64,4.66,4.64,4.66,950,2022-05-27 13:40:00
11,4.6504,4.6504,4.6504,4.6504,430,2022-05-27 13:42:00
12,4.66,4.66,4.645,4.645,300,2022-05-27 13:44:00
13,4.6599,4.68,4.646,4.67,3780,2022-05-27 13:45:00
14,4.68,4.68,4.68,4.68,100,2022-05-27 13:46:00
15,4.67,4.68,4.67,4.68,200,2022-05-27 13:47:00
16,4.68,4.68,4.68,4.68,400,2022-05-27 13:48:00
17,4.68,4.68,4.67,4.67,350,2022-05-27 13:49:00
18,4.68,4.68,4.68,4.68,100,2022-05-27 13:51:00
19,4.6709,4.6709,4.65,4.65,2287,2022-05-27 13:52:00
20,4.66,4.67,4.66,4.67,1843,2022-05-27 13:53:00
21,4.675,4.68,4.675,4.68,500,2022-05-27 13:54:00
22,4.69,4.7,4.69,4.7,575,2022-05-27 13:55:00
23,4.72,4.727,4.72,4.72,800,2022-05-27 13:58:00
24,4.72,4.7298,4.72,4.7298,3264,2022-05-27 14:00:00
25,4.73,4.73,4.73,4.73,371,2022-05-27 14:01:00
26,4.74,4.74,4.74,4.74,300,2022-05-27 14:02:00
27,4.75,4.75,4.75,4.75,2184,2022-05-27 14:03:00
28,4.75,4.75,4.75,4.75,100,2022-05-27 14:04:00
29,4.75,4.75,4.75,4.75,400,2022-05-27 14:05:00
30,4.74,4.74,4.74,4.74,100,2022-05-27 14:07:00
31,4.74,4.75,4.74,4.75,700,2022-05-27 14:10:00
32,4.76,4.78,4.76,4.77,1127,2022-05-27 14:11:00
33,4.78,4.78,4.76,4.76,1125,2022-05-27 14:12:00
34,4.75,4.75,4.74,4.74,200,2022-05-27 14:13:00
35,4.75,4.76,4.75,4.76,1736,2022-05-27 14:14:00
36,4.76,4.76,4.76,4.76,100,2022-05-27 14:15:00
37,4.76,4.77,4.76,4.77,400,2022-05-27 14:16:00
38,4.7724,4.7724,4.7724,4.7724,100,2022-05-27 14:17:00
39,4.7609,4.7609,4.74,4.74,2087,2022-05-27 14:18:00
40,4.74,4.76,4.74,4.76,2345,2022-05-27 14:19:00
41,4.76,4.76,4.76,4.76,394,2022-05-27 14:20:00
42,4.76,4.76,4.76,4.76,2000,2022-05-27 14:21:00
43,4.76,4.76,4.76,4.76,100,2022-05-27 14:22:00
44,4.7675,4.77,4.765,4.77,2548,2022-05-27 14:25:00
45,4.7608,4.79,4.7608,4.79,2390,2022-05-27 14:26:00
46,4.8,4.81,4.8,4.81,834,2022-05-27 14:29:00
47,4.82,4.82,4.81,4.81,200,2022-05-27 14:30:00
48,4.82,4.825,4.82,4.825,2055,2022-05-27 14:32:00
49,4.82,4.82,4.82,4.82,523,2022-05-27 14:33:00
50,4.8298,4.84,4.8298,4.84,4413,2022-05-27 14:35:00
51,4.84,4.8485,4.84,4.8485,600,2022-05-27 14:36:00
52,4.8469,4.8469,4.8469,4.8469,500,2022-05-27 14:38:00
53,4.83,4.83,4.82,4.82,300,2022-05-27 14:40:00
54,4.8199,4.82,4.814,4.82,2181,2022-05-27 14:42:00
55,4.81,4.81,4.81,4.81,100,2022-05-27 14:43:00
56,4.8099,4.8099,4.795,4.795,500,2022-05-27 14:46:00
57,4.791,4.791,4.791,4.791,383,2022-05-27 14:48:00
58,4.8,4.8017,4.8,4.8017,639,2022-05-27 14:49:00
59,4.82,4.82,4.82,4.82,100,2022-05-27 14:51:00
60,4.835,4.84,4.83,4.83,600,2022-05-27 14:52:00
61,4.83,4.83,4.83,4.83,300,2022-05-27 14:53:00
62,4.83,4.83,4.82,4.82,511,2022-05-27 14:55:00
63,4.81,4.81,4.81,4.81,100,2022-05-27 14:56:00
64,4.8,4.805,4.8,4.805,600,2022-05-27 14:57:00
65,4.81,4.81,4.81,4.81,100,2022-05-27 14:58:00
66,4.8,4.8,4.8,4.8,100,2022-05-27 15:01:00
67,4.81,4.81,4.81,4.81,366,2022-05-27 15:03:00
68,4.81,4.81,4.81,4.81,100,2022-05-27 15:04:00
69,4.81,4.81,4.81,4.81,400,2022-05-27 15:05:00
70,4.81,4.81,4.81,4.81,100,2022-05-27 15:06:00
71,4.805,4.805,4.805,4.805,101,2022-05-27 15:09:00
72,4.81,4.81,4.81,4.81,194,2022-05-27 15:11:00
73,4.82,4.82,4.82,4.82,200,2022-05-27 15:13:00
74,4.83,4.835,4.83,4.835,1600,2022-05-27 15:14:00
75,4.83,4.83,4.83,4.83,500,2022-05-27 15:15:00
76,4.85,4.85,4.85,4.85,100,2022-05-27 15:16:00
77,4.85,4.85,4.85,4.85,985,2022-05-27 15:17:00
78,4.84,4.8479,4.84,4.8479,325,2022-05-27 15:18:00
79,4.84,4.8599,4.84,4.8599,3514,2022-05-27 15:20:00
80,4.855,4.855,4.855,4.855,600,2022-05-27 15:21:00
81,4.86,4.87,4.86,4.86,1017,2022-05-27 15:22:00
82,4.8699,4.8699,4.865,4.865,1300,2022-05-27 15:23:00
83,4.865,4.89,4.865,4.89,2600,2022-05-27 15:24:00
84,4.875,4.875,4.875,4.875,103,2022-05-27 15:25:00
85,4.88,4.88,4.87,4.87,200,2022-05-27 15:26:00
86,4.86,4.87,4.86,4.87,1758,2022-05-27 15:27:00
87,4.8621,4.8621,4.8621,4.8621,465,2022-05-27 15:28:00
88,4.87,4.88,4.87,4.88,969,2022-05-27 15:30:00
89,4.885,4.885,4.885,4.885,200,2022-05-27 15:31:00
90,4.895,4.895,4.895,4.895,100,2022-05-27 15:32:00
91,4.88,4.88,4.87,4.87,2742,2022-05-27 15:34:00
92,4.875,4.875,4.875,4.875,100,2022-05-27 15:36:00
93,4.87,4.87,4.87,4.87,200,2022-05-27 15:37:00
94,4.8685,4.8685,4.8685,4.8685,101,2022-05-27 15:40:00
95,4.86,4.86,4.85,4.85,300,2022-05-27 15:41:00
96,4.85,4.85,4.85,4.85,498,2022-05-27 15:42:00
97,4.86,4.865,4.8575,4.86,1184,2022-05-27 15:43:00
98,4.85,4.85,4.85,4.85,100,2022-05-27 15:47:00
99,4.85,4.85,4.85,4.85,100,2022-05-27 15:48:00
100,4.855,4.86,4.85,4.85,300,2022-05-27 15:50:00
101,4.85,4.85,4.85,4.85,100,2022-05-27 15:53:00
102,4.85,4.85,4.85,4.85,200,2022-05-27 15:55:00
103,4.84,4.84,4.84,4.84,100,2022-05-27 15:56:00
104,4.84,4.84,4.84,4.84,100,2022-05-27 15:57:00
105,4.85,4.85,4.85,4.85,500,2022-05-27 15:58:00
106,4.845,4.86,4.845,4.86,1924,2022-05-27 15:59:00
107,4.85,4.85,4.85,4.85,100,2022-05-27 16:00:00
108,4.86,4.86,4.86,4.86,1735,2022-05-27 16:04:00
