,open,high,low,close,volume,datetime
0,1.96,1.96,1.96,1.96,505,2022-05-27 13:35:00
1,1.96,1.96,1.96,1.96,100,2022-05-27 13:40:00
2,1.95,1.95,1.95,1.95,882,2022-05-27 14:03:00
3,1.96,1.98,1.95,1.98,500,2022-05-27 14:08:00
4,1.95,1.95,1.95,1.95,200,2022-05-27 14:12:00
5,1.98,1.98,1.98,1.98,100,2022-05-27 14:14:00
6,1.978,1.978,1.978,1.978,400,2022-05-27 14:18:00
7,2.01,2.01,2.01,2.01,100,2022-05-27 14:19:00
8,2.01,2.01,2.01,2.01,100,2022-05-27 14:22:00
9,2.03,2.03,2.03,2.03,500,2022-05-27 14:24:00
10,2.01,2.01,2.01,2.01,100,2022-05-27 14:25:00
11,2.03,2.0763,2.03,2.0763,1900,2022-05-27 14:27:00
12,2.06,2.06,2.06,2.06,400,2022-05-27 14:29:00
13,2.03,2.03,2.03,2.03,2600,2022-05-27 14:30:00
14,2.09,2.09,2.09,2.09,200,2022-05-27 14:31:00
15,2.08,2.08,2.0658,2.0658,1100,2022-05-27 14:37:00
16,2.06,2.06,2.06,2.06,300,2022-05-27 14:40:00
17,2.08,2.08,2.08,2.08,100,2022-05-27 14:41:00
18,2.09,2.09,2.09,2.09,100,2022-05-27 14:43:00
19,2.09,2.09,2.06,2.06,200,2022-05-27 14:46:00
20,2.09,2.09,2.09,2.09,500,2022-05-27 14:47:00
21,2.1,2.1,2.1,2.1,100,2022-05-27 14:48:00
22,2.09,2.09,2.09,2.09,100,2022-05-27 14:50:00
23,2.1,2.1,2.0729,2.0729,300,2022-05-27 14:53:00
24,2.1,2.1,2.1,2.1,100,2022-05-27 14:55:00
25,2.06,2.06,2.06,2.06,100,2022-05-27 14:56:00
26,2.1,2.1,2.1,2.1,300,2022-05-27 15:00:00
27,2.06,2.06,2.06,2.06,200,2022-05-27 15:02:00
28,2.1,2.1,2.1,2.1,350,2022-05-27 15:05:00
29,2.1,2.1,2.1,2.1,100,2022-05-27 15:10:00
30,2.065,2.07,2.065,2.07,200,2022-05-27 15:17:00
31,2.06,2.06,2.06,2.06,700,2022-05-27 15:21:00
32,2.06,2.06,2.06,2.06,300,2022-05-27 15:22:00
33,2.0364,2.0364,2.03,2.03,774,2022-05-27 15:23:00
34,2.07,2.07,2.07,2.07,100,2022-05-27 15:34:00
35,2.06,2.07,2.06,2.06,700,2022-05-27 15:35:00
36,2.07,2.07,2.0474,2.0474,300,2022-05-27 15:37:00
37,2.07,2.07,2.07,2.07,100,2022-05-27 15:41:00
38,2.05,2.05,2.05,2.05,1800,2022-05-27 15:44:00
39,2.04,2.055,2.04,2.055,499,2022-05-27 15:48:00
40,2.07,2.07,2.07,2.07,100,2022-05-27 15:54:00
41,2.07,2.07,2.07,2.07,201,2022-05-27 15:58:00
42,2.06,2.065,2.06,2.06,300,2022-05-27 16:08:00
43,2.05,2.055,2.04,2.04,22157,2022-05-27 16:10:00
44,2.03,2.03,2.03,2.03,1202,2022-05-27 16:12:00
45,2.0302,2.0302,2.0302,2.0302,5000,2022-05-27 16:14:00
46,2.04,2.04,2.03,2.03,810,2022-05-27 16:17:00
47,2.03,2.04,2.03,2.04,10107,2022-05-27 16:18:00
48,2.0345,2.0345,2.0345,2.0345,2000,2022-05-27 16:21:00
49,2.0363,2.0363,2.0363,2.0363,3500,2022-05-27 16:25:00
50,2.03,2.03,2.03,2.03,1500,2022-05-27 16:28:00
51,2.04,2.04,2.04,2.04,4800,2022-05-27 16:29:00
52,2.04,2.04,2.04,2.04,404,2022-05-27 16:30:00
53,2.04,2.0415,2.04,2.0415,5000,2022-05-27 16:32:00
54,2.04,2.05,2.04,2.05,4925,2022-05-27 16:33:00
55,2.04,2.04,2.04,2.04,417,2022-05-27 16:35:00
56,2.04,2.04,2.04,2.04,2000,2022-05-27 16:36:00
57,2.04,2.0499,2.04,2.0499,2242,2022-05-27 16:38:00
58,2.04,2.04,2.04,2.04,7357,2022-05-27 16:39:00
59,2.04,2.0422,2.04,2.0422,300,2022-05-27 16:41:00
60,2.04,2.04,2.04,2.04,200,2022-05-27 16:43:00
61,2.04,2.04,2.04,2.04,700,2022-05-27 16:48:00
62,2.04,2.04,2.04,2.04,500,2022-05-27 16:49:00
63,2.0451,2.0451,2.0451,2.0451,500,2022-05-27 16:50:00
64,2.0406,2.0406,2.0406,2.0406,300,2022-05-27 16:51:00
65,2.0403,2.0403,2.0403,2.0403,200,2022-05-27 16:53:00
66,2.04,2.0452,2.04,2.0452,300,2022-05-27 16:54:00
67,2.0471,2.05,2.0471,2.05,800,2022-05-27 16:55:00
68,2.05,2.052,2.05,2.052,800,2022-05-27 16:57:00
69,2.06,2.06,2.06,2.06,500,2022-05-27 17:00:00
70,2.065,2.065,2.065,2.065,300,2022-05-27 17:02:00
71,2.07,2.07,2.07,2.07,601,2022-05-27 17:06:00
72,2.07,2.08,2.07,2.08,1000,2022-05-27 17:10:00
73,2.07,2.07,2.07,2.07,100,2022-05-27 17:13:00
74,2.08,2.08,2.08,2.08,300,2022-05-27 17:14:00
75,2.0601,2.0601,2.06,2.06,400,2022-05-27 17:16:00
76,2.0616,2.0616,2.0616,2.0616,200,2022-05-27 17:18:00
77,2.0714,2.0714,2.0714,2.0714,100,2022-05-27 17:20:00
78,2.06,2.06,2.06,2.06,156,2022-05-27 17:21:00
79,2.0603,2.0603,2.0603,2.0603,200,2022-05-27 17:22:00
80,2.0714,2.0714,2.0714,2.0714,100,2022-05-27 17:24:00
81,2.07,2.08,2.07,2.08,200,2022-05-27 17:32:00
82,2.07,2.07,2.07,2.07,300,2022-05-27 17:33:00
83,2.0602,2.0602,2.0602,2.0602,199,2022-05-27 17:34:00
84,2.08,2.08,2.08,2.08,100,2022-05-27 17:40:00
85,2.06,2.06,2.06,2.06,1800,2022-05-27 17:44:00
86,2.07,2.07,2.07,2.07,100,2022-05-27 17:47:00
87,2.07,2.07,2.07,2.07,200,2022-05-27 17:49:00
88,2.06,2.06,2.06,2.06,500,2022-05-27 17:53:00
89,2.0717,2.0717,2.0717,2.0717,300,2022-05-27 17:54:00
90,2.08,2.08,2.08,2.08,300,2022-05-27 17:55:00
91,2.0676,2.0676,2.061,2.061,1100,2022-05-27 17:57:00
92,2.0603,2.0603,2.0603,2.0603,500,2022-05-27 17:59:00
93,2.06,2.06,2.06,2.06,100,2022-05-27 18:00:00
94,2.06,2.0799,2.06,2.0799,3700,2022-05-27 18:01:00
95,2.0782,2.1,2.07,2.1,19693,2022-05-27 18:02:00
96,2.085,2.1,2.085,2.0969,1400,2022-05-27 18:03:00
97,2.0999,2.1,2.085,2.1,3342,2022-05-27 18:04:00
98,2.105,2.105,2.105,2.105,400,2022-05-27 18:05:00
99,2.1013,2.1013,2.1013,2.1013,300,2022-05-27 18:07:00
100,2.12,2.12,2.09,2.1118,8800,2022-05-27 18:09:00
101,2.105,2.14,2.0981,2.14,4346,2022-05-27 18:10:00
102,2.1196,2.12,2.1196,2.12,500,2022-05-27 18:11:00
103,2.11,2.11,2.11,2.11,500,2022-05-27 18:13:00
104,2.1019,2.11,2.1,2.1016,7200,2022-05-27 18:14:00
105,2.0943,2.12,2.0943,2.12,700,2022-05-27 18:15:00
106,2.12,2.12,2.12,2.12,400,2022-05-27 18:16:00
107,2.105,2.105,2.105,2.105,100,2022-05-27 18:23:00
108,2.1012,2.1012,2.1012,2.1012,100,2022-05-27 18:28:00
109,2.09,2.11,2.09,2.09,400,2022-05-27 18:29:00
110,2.0907,2.11,2.075,2.08,3500,2022-05-27 18:31:00
111,2.0692,2.0692,2.0692,2.0692,1400,2022-05-27 18:33:00
112,2.0692,2.0692,2.0692,2.0692,1350,2022-05-27 18:34:00
113,2.08,2.08,2.07,2.08,1500,2022-05-27 18:35:00
114,2.075,2.075,2.07,2.07,600,2022-05-27 18:36:00
115,2.067,2.067,2.067,2.067,5000,2022-05-27 18:40:00
116,2.07,2.07,2.07,2.07,3000,2022-05-27 18:41:00
117,2.0796,2.08,2.06,2.07,2300,2022-05-27 18:42:00
118,2.07,2.085,2.07,2.08,600,2022-05-27 18:45:00
119,2.0799,2.08,2.07,2.08,5300,2022-05-27 18:54:00
120,2.0996,2.0996,2.0996,2.0996,100,2022-05-27 18:55:00
121,2.09,2.1,2.09,2.1,1000,2022-05-27 18:58:00
122,2.0996,2.0996,2.0996,2.0996,100,2022-05-27 19:01:00
123,2.0996,2.0996,2.0996,2.0996,100,2022-05-27 19:06:00
124,2.1,2.1,2.1,2.1,600,2022-05-27 19:08:00
125,2.0996,2.0996,2.0996,2.0996,100,2022-05-27 19:11:00
126,2.09,2.09,2.09,2.09,100,2022-05-27 19:12:00
127,2.09,2.1,2.09,2.1,700,2022-05-27 19:14:00
128,2.0996,2.0996,2.0996,2.0996,100,2022-05-27 19:17:00
129,2.0832,2.0832,2.0832,2.0832,500,2022-05-27 19:21:00
130,2.0889,2.0889,2.0865,2.0865,600,2022-05-27 19:22:00
