,open,high,low,close,volume,datetime
0,0.3214,0.3214,0.32,0.32,721,2022-05-27 12:59:00
1,0.326,0.329,0.326,0.329,600,2022-05-27 13:14:00
2,0.3213,0.3213,0.3213,0.3213,2533,2022-05-27 13:30:00
3,0.3299,0.33,0.3201,0.3201,21000,2022-05-27 13:31:00
4,0.33,0.33,0.322,0.322,42000,2022-05-27 13:32:00
5,0.32555,0.33,0.3225,0.3263,16460,2022-05-27 13:40:00
6,0.3225,0.3225,0.3225,0.3225,5000,2022-05-27 13:41:00
7,0.3232,0.3232,0.3232,0.3232,600,2022-05-27 13:42:00
8,0.3233,0.3233,0.3225,0.323,17442,2022-05-27 13:43:00
9,0.3226,0.3226,0.3226,0.3226,200,2022-05-27 13:50:00
10,0.3226,0.3226,0.3226,0.3226,935,2022-05-27 13:51:00
11,0.3226,0.3226,0.3226,0.3226,500,2022-05-27 13:55:00
12,0.3226,0.3226,0.322,0.322001,6250,2022-05-27 13:56:00
13,0.322,0.322,0.321,0.321,8400,2022-05-27 13:57:00
14,0.321,0.32475,0.32,0.32475,31937,2022-05-27 14:00:00
15,0.3211,0.3211,0.321,0.321,7605,2022-05-27 14:07:00
16,0.321,0.3211,0.32,0.3202,24916,2022-05-27 14:08:00
17,0.321,0.321,0.321,0.321,100,2022-05-27 14:09:00
18,0.323,0.323,0.323,0.323,200,2022-05-27 14:18:00
19,0.323,0.3231,0.323,0.3231,700,2022-05-27 14:20:00
20,0.325,0.325,0.3241,0.3241,5790,2022-05-27 14:21:00
21,0.3241,0.3241,0.3241,0.3241,1200,2022-05-27 14:23:00
22,0.3241,0.3241,0.3241,0.3241,1899,2022-05-27 14:26:00
23,0.3241,0.3267,0.3241,0.3267,15848,2022-05-27 14:28:00
24,0.324,0.324,0.324,0.324,900,2022-05-27 14:29:00
25,0.324,0.324,0.323,0.323,10000,2022-05-27 14:32:00
26,0.324,0.3241,0.324,0.3241,6200,2022-05-27 14:35:00
27,0.3278,0.3278,0.3241,0.326,5026,2022-05-27 14:38:00
28,0.3241,0.3241,0.3241,0.3241,300,2022-05-27 14:39:00
29,0.3261,0.3261,0.326,0.326,12601,2022-05-27 14:40:00
30,0.3278,0.3278,0.3261,0.3261,5427,2022-05-27 14:41:00
31,0.3278,0.329,0.321,0.329,121635,2022-05-27 14:42:00
32,0.3213,0.3328,0.3213,0.32735,42816,2022-05-27 14:43:00
33,0.3241,0.3241,0.3241,0.3241,800,2022-05-27 14:44:00
34,0.3327,0.3327,0.3241,0.3241,4386,2022-05-27 14:45:00
35,0.3241,0.3241,0.3241,0.3241,4587,2022-05-27 14:46:00
36,0.3241,0.3242,0.324,0.324,18500,2022-05-27 14:47:00
37,0.3241,0.3241,0.3241,0.3241,200,2022-05-27 14:49:00
38,0.328299,0.328299,0.328299,0.328299,152,2022-05-27 14:58:00
39,0.3251,0.3251,0.3251,0.3251,373,2022-05-27 15:00:00
40,0.325,0.325,0.325,0.325,2640,2022-05-27 15:01:00
41,0.3251,0.3284,0.325,0.3284,4567,2022-05-27 15:02:00
42,0.326101,0.3262,0.3251,0.3251,3237,2022-05-27 15:03:00
43,0.3251,0.3284,0.325,0.3284,5400,2022-05-27 15:05:00
44,0.325,0.325,0.324,0.3245,13934,2022-05-27 15:08:00
45,0.3245,0.3245,0.324,0.324,1400,2022-05-27 15:09:00
46,0.3239,0.32839,0.3239,0.32839,1144,2022-05-27 15:12:00
47,0.3284,0.3284,0.325,0.3265,17705,2022-05-27 15:22:00
48,0.325,0.325,0.325,0.325,2115,2022-05-27 15:31:00
49,0.327,0.327,0.327,0.327,14208,2022-05-27 15:32:00
50,0.3275,0.3275,0.3275,0.3275,400,2022-05-27 15:33:00
51,0.3281,0.3281,0.328,0.328,30835,2022-05-27 15:34:00
52,0.3284,0.3285,0.3284,0.3284,3197,2022-05-27 15:35:00
53,0.3294,0.3294,0.3294,0.3294,100,2022-05-27 15:36:00
54,0.3291,0.3294,0.325,0.3285,14300,2022-05-27 15:37:00
55,0.325,0.325,0.325,0.325,2800,2022-05-27 15:38:00
56,0.325,0.325,0.325,0.325,4200,2022-05-27 15:39:00
57,0.325,0.325,0.325,0.325,6500,2022-05-27 15:40:00
58,0.325,0.325,0.325,0.325,100,2022-05-27 15:41:00
59,0.325,0.325,0.325,0.325,400,2022-05-27 15:42:00
60,0.3273,0.3273,0.3273,0.3273,239,2022-05-27 15:45:00
61,0.325,0.325,0.325,0.325,300,2022-05-27 15:46:00
62,0.3251,0.3251,0.3251,0.3251,300,2022-05-27 15:49:00
63,0.3251,0.3251,0.3251,0.3251,23200,2022-05-27 15:59:00
64,0.3251,0.326,0.325,0.325,22493,2022-05-27 16:00:00
65,0.325,0.325,0.325,0.325,5600,2022-05-27 16:02:00
66,0.325001,0.325001,0.325,0.325,464,2022-05-27 16:03:00
67,0.326801,0.326801,0.3251,0.3251,1627,2022-05-27 16:04:00
68,0.3251,0.3252,0.3251,0.3252,2000,2022-05-27 16:08:00
69,0.3252,0.3252,0.3251,0.32515,6554,2022-05-27 16:09:00
70,0.327301,0.327301,0.327301,0.327301,1000,2022-05-27 16:14:00
71,0.3261,0.3285,0.325,0.3285,14600,2022-05-27 16:24:00
72,0.3261,0.3261,0.326,0.326,5000,2022-05-27 16:25:00
73,0.326,0.326,0.325,0.325,5000,2022-05-27 16:26:00
74,0.325,0.325101,0.325,0.325101,6020,2022-05-27 16:29:00
75,0.325,0.325,0.324,0.324,14700,2022-05-27 16:35:00
76,0.3241,0.3243,0.324,0.324,1926,2022-05-27 16:36:00
77,0.324,0.3241,0.3234,0.3239,9393,2022-05-27 16:37:00
78,0.3239,0.3239,0.3239,0.3239,100,2022-05-27 16:39:00
79,0.323,0.323383,0.323,0.3232,5500,2022-05-27 16:40:00
80,0.3231,0.325,0.3225,0.325,10450,2022-05-27 16:41:00
81,0.325,0.325,0.325,0.325,5000,2022-05-27 16:43:00
82,0.324,0.324,0.324,0.324,1500,2022-05-27 16:44:00
83,0.3288,0.3288,0.3288,0.3288,500,2022-05-27 16:45:00
84,0.3241,0.3241,0.3241,0.3241,200,2022-05-27 16:52:00
85,0.3251,0.328,0.3251,0.3252,3200,2022-05-27 16:55:00
86,0.3252,0.3252,0.3252,0.3252,123,2022-05-27 17:00:00
87,0.3252,0.3252,0.3252,0.3252,400,2022-05-27 17:01:00
88,0.3252,0.3258,0.3252,0.3252,2051,2022-05-27 17:04:00
89,0.3254,0.3257,0.325,0.3257,20206,2022-05-27 17:08:00
90,0.3265,0.3265,0.325749,0.325749,2100,2022-05-27 17:09:00
91,0.326499,0.326499,0.326499,0.326499,100,2022-05-27 17:10:00
92,0.3265,0.3265,0.3265,0.3265,1250,2022-05-27 17:11:00
93,0.3265,0.3265,0.3265,0.3265,2100,2022-05-27 17:13:00
94,0.3264,0.3264,0.3264,0.3264,100,2022-05-27 17:14:00
95,0.3251,0.3251,0.3251,0.3251,100,2022-05-27 17:16:00
96,0.3251,0.3251,0.3251,0.3251,5000,2022-05-27 17:17:00
97,0.3251,0.3251,0.3251,0.3251,341,2022-05-27 17:19:00
98,0.3251,0.3251,0.3251,0.3251,100,2022-05-27 17:23:00
99,0.3252,0.3252,0.3252,0.3252,3500,2022-05-27 17:24:00
100,0.3258,0.326,0.3258,0.3258,1200,2022-05-27 17:25:00
101,0.3261,0.3265,0.3261,0.3265,1600,2022-05-27 17:30:00
102,0.32615,0.3262,0.32615,0.3262,800,2022-05-27 17:31:00
103,0.3261,0.3261,0.3261,0.3261,845,2022-05-27 17:32:00
104,0.3262,0.3262,0.3262,0.3262,300,2022-05-27 17:35:00
105,0.3261,0.3261,0.3261,0.3261,4000,2022-05-27 17:48:00
106,0.3262,0.3262,0.3262,0.3262,100,2022-05-27 17:52:00
107,0.3261,0.3261,0.3261,0.3261,100,2022-05-27 17:54:00
