,open,high,low,close,volume,datetime
0,19.15,19.15,19.1,19.1,378,2022-05-27 13:30:00
1,19.1,19.195,19.02,19.02,300,2022-05-27 13:31:00
2,19.02,19.155,19.01,19.155,1800,2022-05-27 13:33:00
3,19.08,19.09,18.995,18.995,1100,2022-05-27 13:34:00
4,19.01,19.02,19.0,19.0,1205,2022-05-27 13:35:00
5,19.0,19.03,19.0,19.0,1400,2022-05-27 13:36:00
6,19.0,19.0,18.93,19.0,600,2022-05-27 13:37:00
7,19.01,19.05,19.0,19.0,2100,2022-05-27 13:45:00
8,19.035,19.035,19.035,19.035,200,2022-05-27 13:47:00
9,19.05,19.115,19.045,19.1,1700,2022-05-27 13:50:00
10,19.125,19.125,19.02,19.04,5181,2022-05-27 13:51:00
11,19.03,19.04,19.02,19.035,1300,2022-05-27 13:52:00
12,19.035,19.08,19.035,19.07,1300,2022-05-27 13:53:00
13,19.025,19.035,19.02,19.035,2700,2022-05-27 13:54:00
14,19.02,19.02,19.0,19.02,4300,2022-05-27 13:55:00
15,19.02,19.05,19.01,19.05,1101,2022-05-27 13:56:00
16,19.04,19.08,19.04,19.045,1474,2022-05-27 13:57:00
17,19.045,19.045,19.01,19.01,809,2022-05-27 13:58:00
18,19.025,19.025,19.025,19.025,200,2022-05-27 14:00:00
19,19.035,19.035,19.035,19.035,100,2022-05-27 14:01:00
20,19.045,19.045,19.045,19.045,100,2022-05-27 14:02:00
21,19.045,19.045,19.045,19.045,100,2022-05-27 14:04:00
22,19.05,19.06,19.05,19.06,598,2022-05-27 14:06:00
23,19.03,19.03,19.03,19.03,200,2022-05-27 14:07:00
24,19.04,19.06,19.04,19.045,828,2022-05-27 14:08:00
25,19.05,19.07,19.03,19.03,2700,2022-05-27 14:09:00
26,19.03,19.03,19.0,19.0,5598,2022-05-27 14:10:00
27,19.015,19.015,19.0,19.0,200,2022-05-27 14:11:00
28,19.0,19.03,19.0,19.0,1607,2022-05-27 14:14:00
29,19.02,19.02,19.02,19.02,277,2022-05-27 14:15:00
30,19.03,19.03,18.99,18.99,2100,2022-05-27 14:16:00
31,18.99,19.02,18.99,19.02,900,2022-05-27 14:17:00
32,19.02,19.02,19.0,19.0,1800,2022-05-27 14:18:00
33,18.99,18.99,18.99,18.99,400,2022-05-27 14:19:00
34,19.01,19.02,19.0,19.0,2900,2022-05-27 14:20:00
35,19.01,19.01,19.01,19.01,400,2022-05-27 14:22:00
36,19.01,19.02,19.01,19.015,800,2022-05-27 14:23:00
37,19.03,19.04,19.0,19.0,1900,2022-05-27 14:24:00
38,18.99,19.0,18.99,19.0,600,2022-05-27 14:26:00
39,19.0,19.0,19.0,19.0,200,2022-05-27 14:29:00
40,19.005,19.02,19.005,19.02,300,2022-05-27 14:30:00
41,19.01,19.01,19.01,19.01,200,2022-05-27 14:31:00
42,19.0,19.0,19.0,19.0,600,2022-05-27 14:33:00
43,19.01,19.01,19.01,19.01,100,2022-05-27 14:34:00
44,19.02,19.03,19.02,19.02,700,2022-05-27 14:36:00
45,19.035,19.05,19.035,19.035,413,2022-05-27 14:38:00
46,19.05,19.06,19.04,19.05,902,2022-05-27 14:41:00
47,19.05,19.06,19.02,19.05,1700,2022-05-27 14:42:00
48,19.01,19.02,19.01,19.02,1682,2022-05-27 14:43:00
49,19.03,19.03,19.03,19.03,200,2022-05-27 14:44:00
50,19.03,19.05,19.0,19.0,2000,2022-05-27 14:45:00
51,19.02,19.02,19.0,19.0,1600,2022-05-27 14:49:00
52,18.99,18.99,18.99,18.99,300,2022-05-27 14:50:00
53,19.0,19.01,18.995,19.01,500,2022-05-27 14:53:00
54,19.0,19.02,19.0,19.01,793,2022-05-27 14:54:00
55,19.03,19.03,19.02,19.02,700,2022-05-27 14:55:00
56,19.025,19.03,19.025,19.03,300,2022-05-27 14:56:00
57,19.0,19.03,19.0,19.03,1000,2022-05-27 14:59:00
58,19.005,19.005,19.005,19.005,100,2022-05-27 15:00:00
59,19.005,19.02,19.005,19.02,1000,2022-05-27 15:03:00
60,19.015,19.02,19.0,19.02,2200,2022-05-27 15:04:00
61,19.02,19.02,19.015,19.015,200,2022-05-27 15:05:00
62,19.03,19.03,19.0,19.01,4231,2022-05-27 15:06:00
63,19.0,19.0,19.0,19.0,1100,2022-05-27 15:07:00
64,19.0,19.0,19.0,19.0,200,2022-05-27 15:08:00
65,19.0,19.0,19.0,19.0,500,2022-05-27 15:10:00
66,19.01,19.03,19.0,19.0,2577,2022-05-27 15:11:00
67,19.015,19.015,19.015,19.015,300,2022-05-27 15:12:00
68,19.015,19.03,19.015,19.02,524,2022-05-27 15:13:00
69,19.03,19.03,19.03,19.03,200,2022-05-27 15:14:00
70,19.035,19.035,19.035,19.035,100,2022-05-27 15:15:00
71,19.05,19.06,19.035,19.035,900,2022-05-27 15:16:00
72,19.04,19.06,19.035,19.035,998,2022-05-27 15:17:00
73,19.06,19.06,19.0,19.0,3100,2022-05-27 15:18:00
74,19.0,19.01,19.0,19.01,2000,2022-05-27 15:19:00
75,19.02,19.02,19.01,19.01,400,2022-05-27 15:20:00
76,19.02,19.02,19.0,19.0,1400,2022-05-27 15:21:00
77,19.0,19.0,19.0,19.0,200,2022-05-27 15:23:00
78,18.99,18.99,18.99,18.99,117,2022-05-27 15:24:00
79,19.01,19.01,19.0,19.0,1559,2022-05-27 15:26:00
80,19.01,19.01,19.0,19.005,1300,2022-05-27 15:27:00
81,19.0,19.01,19.0,19.005,1812,2022-05-27 15:28:00
82,19.0,19.0,19.0,19.0,200,2022-05-27 15:31:00
83,19.0,19.01,19.0,19.0,1802,2022-05-27 15:32:00
84,19.01,19.02,19.0,19.0,2526,2022-05-27 15:33:00
85,19.0,19.005,19.0,19.005,300,2022-05-27 15:34:00
86,18.99,18.99,18.99,18.99,300,2022-05-27 15:37:00
87,19.0,19.01,19.0,19.005,1597,2022-05-27 15:38:00
88,19.02,19.03,19.0,19.0,3719,2022-05-27 15:39:00
89,19.005,19.005,19.005,19.005,200,2022-05-27 15:44:00
90,19.005,19.005,19.005,19.005,200,2022-05-27 15:45:00
91,19.02,19.02,19.0,19.0,3203,2022-05-27 15:46:00
92,19.01,19.02,19.01,19.01,2100,2022-05-27 15:47:00
93,19.02,19.03,19.0,19.0,3587,2022-05-27 15:48:00
94,19.03,19.03,19.03,19.03,700,2022-05-27 15:50:00
95,19.03,19.03,19.03,19.03,100,2022-05-27 15:51:00
96,19.02,19.02,19.02,19.02,295,2022-05-27 15:52:00
97,19.02,19.02,19.02,19.02,102,2022-05-27 15:53:00
98,19.03,19.05,19.03,19.05,300,2022-05-27 15:54:00
99,19.03,19.03,19.03,19.03,133,2022-05-27 15:55:00
100,19.1,19.1,19.1,19.1,100,2022-05-27 15:56:00
101,19.06,19.06,19.06,19.06,300,2022-05-27 15:57:00
102,19.06,19.06,19.06,19.06,100,2022-05-27 15:58:00
103,19.08,19.08,19.06,19.08,950,2022-05-27 15:59:00
104,19.08,19.08,19.06,19.06,400,2022-05-27 16:00:00
105,19.08,19.08,19.07,19.08,1297,2022-05-27 16:01:00
106,19.2,19.2,19.2,19.2,200,2022-05-27 16:02:00
107,19.24,19.28,19.24,19.27,3268,2022-05-27 16:03:00
108,19.32,19.32,19.31,19.31,299,2022-05-27 16:04:00
109,19.51,19.51,19.51,19.51,200,2022-05-27 16:05:00
110,19.49,19.49,19.49,19.49,100,2022-05-27 16:07:00
111,19.49,19.49,19.49,19.49,900,2022-05-27 16:08:00
112,19.48,19.48,19.48,19.48,200,2022-05-27 16:09:00
113,19.45,19.54,19.435,19.435,500,2022-05-27 16:13:00
114,19.53,19.53,19.53,19.53,100,2022-05-27 16:17:00
115,19.53,19.54,19.53,19.54,200,2022-05-27 16:19:00
116,19.58,19.58,19.58,19.58,100,2022-05-27 16:20:00
117,19.6875,19.6875,19.6875,19.6875,100,2022-05-27 16:21:00
118,19.72,19.72,19.69,19.69,300,2022-05-27 16:26:00
119,19.7,19.74,19.68,19.69,995,2022-05-27 16:27:00
120,19.65,19.65,19.65,19.65,100,2022-05-27 16:29:00
121,19.7,19.7,19.6483,19.7,400,2022-05-27 16:30:00
122,19.7,19.7,19.7,19.7,100,2022-05-27 16:31:00
123,19.69,19.76,19.69,19.71,500,2022-05-27 16:36:00
124,19.77,19.78,19.77,19.78,200,2022-05-27 16:41:00
125,19.84,19.85,19.84,19.85,400,2022-05-27 16:42:00
126,19.87,19.87,19.805,19.805,200,2022-05-27 16:43:00
127,19.87,19.87,19.87,19.87,100,2022-05-27 16:47:00
128,19.815,19.86,19.815,19.86,600,2022-05-27 16:53:00
129,19.87,19.88,19.86,19.88,631,2022-05-27 16:54:00
130,19.88,19.93,19.88,19.93,1100,2022-05-27 16:55:00
131,19.94,19.94,19.94,19.94,400,2022-05-27 16:59:00
132,19.905,19.905,19.9,19.9,500,2022-05-27 17:01:00
133,19.86,19.86,19.86,19.86,100,2022-05-27 17:02:00
134,19.86,19.86,19.86,19.86,100,2022-05-27 17:03:00
135,20.02,20.02,20.02,20.02,100,2022-05-27 17:04:00
136,19.951,19.951,19.925,19.925,1000,2022-05-27 17:05:00
137,19.89,19.89,19.89,19.89,100,2022-05-27 17:06:00
138,19.88,19.91,19.88,19.9,400,2022-05-27 17:07:00
139,19.875,19.95,19.875,19.95,200,2022-05-27 17:09:00
140,19.88,19.88,19.88,19.88,100,2022-05-27 17:10:00
141,19.9,19.9,19.9,19.9,100,2022-05-27 17:11:00
142,19.88,19.9,19.88,19.9,400,2022-05-27 17:12:00
143,19.88,19.88,19.88,19.88,100,2022-05-27 17:14:00
144,19.935,19.935,19.935,19.935,100,2022-05-27 17:23:00
145,19.91,19.91,19.91,19.91,100,2022-05-27 17:27:00
146,19.91,19.91,19.91,19.91,400,2022-05-27 17:28:00
147,19.89,19.94,19.89,19.94,300,2022-05-27 17:29:00
148,19.915,19.92,19.915,19.92,200,2022-05-27 17:30:00
149,19.94,19.95,19.94,19.95,400,2022-05-27 17:35:00
150,19.97,19.98,19.97,19.98,300,2022-05-27 17:36:00
151,19.98,20.07,19.98,20.07,3820,2022-05-27 17:37:00
152,20.03,20.04,20.03,20.04,204,2022-05-27 17:38:00
153,20.13,20.13,20.13,20.13,400,2022-05-27 17:42:00
154,20.13,20.13,20.13,20.13,400,2022-05-27 17:44:00
155,20.13,20.13,20.13,20.13,100,2022-05-27 17:45:00
156,20.1,20.1,20.1,20.1,300,2022-05-27 17:47:00
157,20.07,20.07,20.06,20.06,400,2022-05-27 17:50:00
158,20.06,20.065,20.06,20.065,200,2022-05-27 17:52:00
159,20.11,20.11,20.11,20.11,100,2022-05-27 17:53:00
160,20.08,20.08,20.08,20.08,100,2022-05-27 17:55:00
161,20.085,20.085,20.085,20.085,1791,2022-05-27 18:01:00
162,20.11,20.27,20.11,20.24,1100,2022-05-27 18:02:00
163,20.27,20.32,20.265,20.32,724,2022-05-27 18:05:00
164,20.36,20.36,20.35,20.35,200,2022-05-27 18:06:00
165,20.34,20.34,20.34,20.34,100,2022-05-27 18:09:00
166,20.295,20.41,20.295,20.41,1957,2022-05-27 18:10:00
167,20.41,20.41,20.41,20.41,100,2022-05-27 18:11:00
168,20.39,20.44,20.38,20.44,1300,2022-05-27 18:13:00
169,20.36,20.36,20.36,20.36,100,2022-05-27 18:16:00
170,20.34,20.34,20.34,20.34,100,2022-05-27 18:17:00
171,20.37,20.37,20.37,20.37,100,2022-05-27 18:19:00
172,20.43,20.43,20.43,20.43,100,2022-05-27 18:21:00
173,20.37,20.434,20.37,20.43,1200,2022-05-27 18:22:00
174,20.4,20.4,20.4,20.4,349,2022-05-27 18:23:00
175,20.39,20.39,20.39,20.39,200,2022-05-27 18:27:00
176,20.38,20.38,20.38,20.38,200,2022-05-27 18:28:00
177,20.38,20.38,20.38,20.38,400,2022-05-27 18:33:00
178,20.38,20.38,20.38,20.38,100,2022-05-27 18:35:00
179,20.37,20.37,20.37,20.37,100,2022-05-27 18:36:00
180,20.4,20.4,20.35,20.38,500,2022-05-27 18:37:00
181,20.34,20.37,20.34,20.37,400,2022-05-27 18:39:00
182,20.39,20.39,20.39,20.39,200,2022-05-27 18:40:00
183,20.42,20.45,20.42,20.45,1313,2022-05-27 18:53:00
184,20.45,20.45,20.45,20.45,200,2022-05-27 18:55:00
