,open,high,low,close,volume,datetime
0,26.125,26.43,26.125,26.36,755,2022-05-27 13:30:00
1,26.59,26.59,26.59,26.59,100,2022-05-27 13:31:00
2,26.59,26.66,26.59,26.66,3516,2022-05-27 13:43:00
3,26.6,26.6,26.54,26.54,891,2022-05-27 13:44:00
4,26.64,26.64,26.64,26.64,100,2022-05-27 13:59:00
5,26.66,26.758,26.66,26.758,800,2022-05-27 14:09:00
6,26.64,26.64,26.62,26.64,300,2022-05-27 14:13:00
7,26.66,26.66,26.62,26.62,200,2022-05-27 14:25:00
8,26.53,26.53,26.52,26.52,200,2022-05-27 14:59:00
9,26.61,26.61,26.57,26.59,300,2022-05-27 15:22:00
10,26.605,26.605,26.605,26.605,100,2022-05-27 15:31:00
11,26.57,26.57,26.56,26.56,820,2022-05-27 15:32:00
12,26.5,26.5,26.5,26.5,1594,2022-05-27 15:33:00
13,26.47,26.47,26.47,26.47,100,2022-05-27 15:34:00
14,26.53,26.53,26.53,26.53,100,2022-05-27 15:38:00
15,26.5596,26.5596,26.5596,26.5596,150,2022-05-27 15:49:00
16,26.63,26.63,26.63,26.63,100,2022-05-27 16:27:00
17,26.65,26.65,26.65,26.65,100,2022-05-27 16:29:00
18,26.61,26.61,26.6,26.6,200,2022-05-27 16:34:00
19,26.59,26.59,26.59,26.59,100,2022-05-27 17:03:00
20,26.61,26.61,26.61,26.61,100,2022-05-27 17:07:00
21,26.61,26.61,26.61,26.61,100,2022-05-27 17:55:00
22,26.63,26.63,26.63,26.63,100,2022-05-27 18:00:00
23,26.69,26.69,26.69,26.69,250,2022-05-27 18:09:00
24,26.7,26.7,26.7,26.7,250,2022-05-27 18:10:00
25,26.65,26.65,26.65,26.65,100,2022-05-27 18:13:00
26,26.65,26.65,26.65,26.65,100,2022-05-27 18:34:00
27,26.65,26.65,26.65,26.65,237,2022-05-27 18:49:00
28,26.67,26.67,26.67,26.67,100,2022-05-27 18:53:00
29,26.7,26.7,26.68,26.68,200,2022-05-27 19:22:00
30,26.72,26.72,26.72,26.72,200,2022-05-27 19:26:00
31,26.71,26.71,26.71,26.71,100,2022-05-27 19:27:00
32,26.75,26.76,26.75,26.76,470,2022-05-27 19:36:00
33,26.79,26.79,26.79,26.79,100,2022-05-27 19:44:00
34,26.77,26.77,26.76,26.76,400,2022-05-27 19:46:00
35,26.75,26.75,26.715,26.75,500,2022-05-27 19:48:00
36,26.78,26.78,26.78,26.78,100,2022-05-27 19:55:00
37,26.78,26.78,26.77,26.77,200,2022-05-27 19:56:00
38,26.78,26.803,26.78,26.78,806,2022-05-27 19:57:00
39,26.8,26.86,26.76,26.84,1200,2022-05-27 19:59:00
40,26.86,26.86,26.86,26.86,13817,2022-05-27 20:00:00
41,26.6,26.6,26.6,26.6,910,2022-05-31 13:30:00
42,26.73,26.73,26.73,26.73,100,2022-05-31 13:32:00
43,26.67,26.72,26.67,26.72,477,2022-05-31 13:35:00
44,26.42,26.42,26.42,26.42,100,2022-05-31 13:41:00
45,26.51,26.51,26.51,26.51,100,2022-05-31 13:50:00
46,26.51,26.51,26.51,26.51,221,2022-05-31 13:51:00
47,26.46,26.46,26.46,26.46,256,2022-05-31 14:01:00
48,26.46,26.46,26.46,26.46,100,2022-05-31 14:08:00
49,26.45,26.45,26.45,26.45,100,2022-05-31 14:17:00
50,26.53,26.53,26.53,26.53,200,2022-05-31 14:20:00
51,26.54,26.54,26.54,26.54,100,2022-05-31 14:21:00
52,26.615,26.615,26.615,26.615,100,2022-05-31 14:29:00
53,26.41,26.41,26.41,26.41,100,2022-05-31 14:42:00
54,26.39,26.39,26.39,26.39,100,2022-05-31 15:00:00
55,26.5182,26.5182,26.5182,26.5182,250,2022-05-31 15:04:00
56,26.52,26.52,26.52,26.52,100,2022-05-31 15:25:00
57,26.59,26.59,26.59,26.59,100,2022-05-31 15:55:00
58,26.54,26.54,26.54,26.54,100,2022-05-31 15:57:00
59,26.55,26.55,26.55,26.55,100,2022-05-31 16:13:00
60,26.54,26.54,26.54,26.54,100,2022-05-31 16:14:00
61,26.61,26.61,26.61,26.61,100,2022-05-31 16:31:00
62,26.77,26.77,26.77,26.77,100,2022-05-31 16:44:00
63,26.72,26.72,26.72,26.72,100,2022-05-31 16:52:00
64,26.7,26.755,26.7,26.755,500,2022-05-31 17:02:00
65,26.76,26.76,26.76,26.76,200,2022-05-31 17:06:00
66,26.77,26.77,26.77,26.77,300,2022-05-31 17:10:00
67,26.75,26.75,26.75,26.75,100,2022-05-31 17:14:00
68,26.77,26.77,26.77,26.77,100,2022-05-31 17:16:00
69,26.74,26.775,26.74,26.775,300,2022-05-31 17:17:00
70,26.72,26.72,26.707,26.707,300,2022-05-31 17:28:00
71,26.67,26.67,26.67,26.67,100,2022-05-31 17:34:00
72,26.76,26.76,26.76,26.76,266,2022-05-31 17:41:00
73,26.82,26.82,26.82,26.82,100,2022-05-31 17:47:00
74,26.81,26.81,26.81,26.81,200,2022-05-31 17:48:00
75,26.91,26.91,26.91,26.91,100,2022-05-31 18:05:00
76,26.91,26.91,26.91,26.91,100,2022-05-31 18:11:00
77,26.885,26.885,26.885,26.885,148,2022-05-31 18:15:00
78,26.85,26.88,26.85,26.88,600,2022-05-31 18:29:00
79,26.86,26.86,26.85,26.85,300,2022-05-31 18:30:00
80,26.85,26.85,26.85,26.85,200,2022-05-31 18:41:00
81,26.81,26.81,26.81,26.81,300,2022-05-31 18:48:00
82,26.795,26.795,26.795,26.795,200,2022-05-31 18:55:00
83,26.78,26.78,26.78,26.78,100,2022-05-31 18:56:00
84,26.8,26.8,26.8,26.8,118,2022-05-31 18:58:00
85,26.81,26.83,26.81,26.83,200,2022-05-31 19:00:00
86,26.83,26.83,26.83,26.83,100,2022-05-31 19:01:00
87,26.81,26.81,26.81,26.81,100,2022-05-31 19:02:00
88,26.82,26.82,26.82,26.82,200,2022-05-31 19:04:00
89,26.81,26.82,26.81,26.82,200,2022-05-31 19:06:00
90,26.83,26.84,26.83,26.84,200,2022-05-31 19:07:00
91,26.84,26.84,26.84,26.84,100,2022-05-31 19:08:00
92,26.84,26.84,26.84,26.84,200,2022-05-31 19:10:00
93,26.85,26.85,26.85,26.85,100,2022-05-31 19:11:00
94,26.84,26.84,26.84,26.84,100,2022-05-31 19:12:00
95,26.85,26.85,26.85,26.85,100,2022-05-31 19:13:00
96,26.85,26.85,26.85,26.85,400,2022-05-31 19:14:00
97,26.9,26.9,26.9,26.9,100,2022-05-31 19:15:00
98,26.91,26.91,26.87,26.87,700,2022-05-31 19:18:00
99,26.9,26.9,26.85,26.85,1300,2022-05-31 19:19:00
100,26.87,26.87,26.87,26.87,100,2022-05-31 19:20:00
101,26.87,26.87,26.87,26.87,100,2022-05-31 19:21:00
102,26.9,26.9,26.9,26.9,100,2022-05-31 19:22:00
103,26.9,26.9,26.9,26.9,500,2022-05-31 19:23:00
104,26.89,26.905,26.89,26.9025,800,2022-05-31 19:24:00
105,26.915,26.915,26.915,26.915,100,2022-05-31 19:26:00
106,26.93,26.93,26.93,26.93,100,2022-05-31 19:28:00
107,26.93,26.93,26.93,26.93,100,2022-05-31 19:29:00
108,26.93,26.93,26.93,26.93,281,2022-05-31 19:30:00
109,26.93,26.94,26.93,26.94,200,2022-05-31 19:31:00
110,26.94,26.9475,26.94,26.9475,533,2022-05-31 19:32:00
111,26.96,26.96,26.96,26.96,100,2022-05-31 19:33:00
112,26.96,26.96,26.93,26.945,800,2022-05-31 19:34:00
113,26.945,26.945,26.9,26.905,600,2022-05-31 19:35:00
114,26.91,26.92,26.91,26.92,200,2022-05-31 19:36:00
115,26.94,26.94,26.94,26.94,100,2022-05-31 19:38:00
116,26.94,26.94,26.93,26.93,200,2022-05-31 19:39:00
117,26.93,26.95,26.93,26.95,606,2022-05-31 19:40:00
118,26.955,26.955,26.955,26.955,100,2022-05-31 19:42:00
119,26.955,26.955,26.955,26.955,100,2022-05-31 19:43:00
120,26.98,26.98,26.98,26.98,100,2022-05-31 19:44:00
121,26.95,26.97,26.95,26.97,200,2022-05-31 19:45:00
122,26.97,26.97,26.97,26.97,100,2022-05-31 19:46:00
123,26.97,26.97,26.96,26.97,900,2022-05-31 19:47:00
124,26.98,26.98,26.98,26.98,400,2022-05-31 19:48:00
125,26.97,26.99,26.97,26.99,1082,2022-05-31 19:49:00
126,26.99,27.07,26.99,27.07,1100,2022-05-31 19:50:00
127,27.06,27.08,27.03,27.07,800,2022-05-31 19:51:00
128,27.06,27.06,27.06,27.06,200,2022-05-31 19:52:00
129,27.11,27.11,27.06,27.07,2263,2022-05-31 19:53:00
130,27.03,27.33,27.03,27.28,21116,2022-05-31 19:54:00
131,27.2,27.26,27.18,27.18,4641,2022-05-31 19:55:00
132,27.15,27.18,27.15,27.17,2913,2022-05-31 19:56:00
133,27.165,27.17,27.15,27.16,3996,2022-05-31 19:57:00
134,27.15,27.16,27.14,27.16,4615,2022-05-31 19:58:00
135,27.17,27.17,27.14,27.17,8096,2022-05-31 19:59:00
136,27.17,27.17,27.17,27.17,117388,2022-05-31 20:00:00
137,27.17,27.17,27.17,27.17,113,2022-05-31 20:01:00
138,27.17,27.17,27.17,27.17,6621,2022-05-31 20:02:00
139,27.17,27.17,27.17,27.17,3601,2022-05-31 20:03:00
140,27.2,27.2,26.9175,26.9175,987,2022-06-01 13:30:00
141,27.02,27.02,27.02,27.02,100,2022-06-01 13:47:00
142,26.83,26.83,26.83,26.83,100,2022-06-01 13:48:00
143,26.84,26.84,26.84,26.84,100,2022-06-01 13:50:00
144,26.84,26.84,26.84,26.84,100,2022-06-01 13:51:00
145,26.91,26.91,26.91,26.91,257,2022-06-01 13:54:00
146,26.71,26.71,26.71,26.71,100,2022-06-01 14:00:00
147,26.73,26.73,26.667,26.667,425,2022-06-01 14:13:00
148,26.7,26.7,26.64,26.64,300,2022-06-01 14:14:00
149,26.64,26.64,26.64,26.64,200,2022-06-01 14:16:00
150,26.6,26.69,26.6,26.69,904,2022-06-01 14:17:00
151,26.6,26.6,26.6,26.6,100,2022-06-01 14:18:00
152,26.65,26.65,26.65,26.65,100,2022-06-01 14:19:00
153,26.59,26.59,26.59,26.59,811,2022-06-01 14:21:00
