,open,high,low,close,volume,datetime
0,34.24,34.24,34.24,34.24,199,2022-05-27 11:46:00
1,34.24,34.24,34.24,34.24,400,2022-05-27 12:23:00
2,34.24,34.24,34.24,34.24,100,2022-05-27 12:27:00
3,34.24,34.24,34.24,34.24,100,2022-05-27 12:36:00
4,34.28,34.29,34.28,34.29,400,2022-05-27 12:47:00
5,34.32,34.44,34.32,34.44,500,2022-05-27 12:56:00
6,34.38,34.42,34.38,34.39,38222,2022-05-27 13:30:00
7,34.42,34.47,34.41,34.47,5426,2022-05-27 13:31:00
8,34.47,34.4955,34.46,34.485,13219,2022-05-27 13:32:00
9,34.49,34.5,34.49,34.49,15289,2022-05-27 13:33:00
10,34.495,34.495,34.45,34.455,17843,2022-05-27 13:34:00
11,34.45,34.495,34.45,34.49,2899,2022-05-27 13:35:00
12,34.495,34.53,34.495,34.525,5091,2022-05-27 13:36:00
13,34.53,34.54,34.51,34.51,5050,2022-05-27 13:37:00
14,34.53,34.56,34.5221,34.53,7875,2022-05-27 13:38:00
15,34.54,34.565,34.51,34.515,26723,2022-05-27 13:39:00
16,34.51,34.5699,34.5,34.55,21327,2022-05-27 13:40:00
17,34.55,34.555,34.5425,34.55,3851,2022-05-27 13:41:00
18,34.54,34.545,34.5157,34.5417,6057,2022-05-27 13:42:00
19,34.55,34.56,34.55,34.56,1424,2022-05-27 13:43:00
20,34.56,34.5616,34.55,34.55,3813,2022-05-27 13:44:00
21,34.55,34.56,34.55,34.55,6864,2022-05-27 13:45:00
22,34.55,34.55,34.54,34.5466,875,2022-05-27 13:46:00
23,34.54,34.56,34.54,34.56,17950,2022-05-27 13:47:00
24,34.57,34.58,34.57,34.57,4244,2022-05-27 13:48:00
25,34.57,34.5899,34.57,34.5899,3156,2022-05-27 13:49:00
26,34.5801,34.5861,34.57,34.58,14913,2022-05-27 13:50:00
27,34.57,34.59,34.57,34.59,20300,2022-05-27 13:51:00
28,34.5888,34.5888,34.57,34.57,1552,2022-05-27 13:52:00
29,34.5731,34.589,34.565,34.589,8997,2022-05-27 13:53:00
30,34.59,34.599,34.585,34.59,12247,2022-05-27 13:54:00
31,34.6,34.62,34.595,34.62,8254,2022-05-27 13:55:00
32,34.628,34.63,34.625,34.625,11316,2022-05-27 13:56:00
33,34.625,34.6258,34.61,34.61,9813,2022-05-27 13:57:00
34,34.6,34.609,34.6,34.605,11900,2022-05-27 13:58:00
35,34.6065,34.61,34.6,34.607,4950,2022-05-27 13:59:00
36,34.6,34.6,34.57,34.57,7449,2022-05-27 14:00:00
37,34.5697,34.58,34.5697,34.58,5460,2022-05-27 14:01:00
38,34.59,34.5938,34.59,34.59,909,2022-05-27 14:02:00
39,34.595,34.595,34.59,34.59,25000,2022-05-27 14:03:00
40,34.59,34.59,34.585,34.59,2229,2022-05-27 14:04:00
41,34.59,34.6,34.59,34.6,400,2022-05-27 14:05:00
42,34.6,34.61,34.6,34.61,2499,2022-05-27 14:06:00
43,34.615,34.615,34.59,34.595,7777,2022-05-27 14:07:00
44,34.59,34.59,34.5839,34.585,1806,2022-05-27 14:08:00
45,34.585,34.6,34.585,34.6,3584,2022-05-27 14:09:00
46,34.605,34.61,34.6,34.61,6000,2022-05-27 14:10:00
47,34.62,34.63,34.62,34.6299,10233,2022-05-27 14:11:00
48,34.62,34.62,34.575,34.575,23328,2022-05-27 14:12:00
49,34.579,34.579,34.57,34.573,943,2022-05-27 14:13:00
50,34.575,34.5762,34.57,34.5762,1771,2022-05-27 14:14:00
51,34.575,34.59,34.575,34.59,3816,2022-05-27 14:15:00
52,34.61,34.61,34.6003,34.605,1800,2022-05-27 14:16:00
53,34.6,34.62,34.6,34.62,2751,2022-05-27 14:17:00
54,34.615,34.62,34.6001,34.62,9846,2022-05-27 14:18:00
55,34.62,34.62,34.615,34.62,2908,2022-05-27 14:19:00
56,34.62,34.62,34.61,34.615,4675,2022-05-27 14:20:00
57,34.615,34.62,34.61,34.62,1476,2022-05-27 14:21:00
58,34.62,34.62,34.61,34.62,2000,2022-05-27 14:22:00
59,34.615,34.63,34.615,34.63,20802,2022-05-27 14:23:00
60,34.63,34.63,34.6,34.61,17134,2022-05-27 14:24:00
61,34.61,34.61,34.5901,34.5901,9140,2022-05-27 14:25:00
62,34.59,34.6,34.585,34.5904,18038,2022-05-27 14:26:00
63,34.6,34.605,34.5959,34.605,11773,2022-05-27 14:27:00
64,34.6,34.6,34.595,34.595,3042,2022-05-27 14:28:00
65,34.59,34.61,34.59,34.605,5479,2022-05-27 14:29:00
66,34.61,34.62,34.61,34.62,7341,2022-05-27 14:30:00
67,34.6176,34.62,34.613,34.62,5101,2022-05-27 14:31:00
68,34.62,34.62,34.615,34.62,1211,2022-05-27 14:32:00
69,34.615,34.62,34.61,34.61,8202,2022-05-27 14:33:00
70,34.615,34.615,34.6005,34.6042,3635,2022-05-27 14:34:00
71,34.605,34.605,34.6,34.605,1900,2022-05-27 14:35:00
72,34.61,34.61,34.6,34.6,2442,2022-05-27 14:36:00
73,34.605,34.6068,34.6,34.6068,700,2022-05-27 14:37:00
74,34.6,34.61,34.6,34.6,8468,2022-05-27 14:38:00
75,34.6,34.6,34.585,34.59,5100,2022-05-27 14:39:00
76,34.59,34.59,34.585,34.59,1700,2022-05-27 14:40:00
77,34.59,34.59,34.58,34.585,1311,2022-05-27 14:41:00
78,34.59,34.59,34.58,34.59,20590,2022-05-27 14:42:00
79,34.585,34.59,34.58,34.58,25576,2022-05-27 14:43:00
80,34.585,34.59,34.58,34.59,9040,2022-05-27 14:44:00
81,34.5878,34.59,34.58,34.58,7583,2022-05-27 14:45:00
82,34.5838,34.585,34.58,34.58,21852,2022-05-27 14:46:00
83,34.58,34.59,34.57,34.58,36134,2022-05-27 14:47:00
84,34.59,34.62,34.59,34.62,45900,2022-05-27 14:48:00
85,34.62,34.63,34.62,34.63,1505,2022-05-27 14:49:00
86,34.6295,34.63,34.6295,34.63,345,2022-05-27 14:50:00
87,34.63,34.63,34.625,34.625,5982,2022-05-27 14:51:00
88,34.63,34.63,34.62,34.625,7500,2022-05-27 14:52:00
89,34.62,34.6256,34.615,34.615,16860,2022-05-27 14:53:00
90,34.6176,34.62,34.61,34.61,32900,2022-05-27 14:54:00
91,34.62,34.62,34.6129,34.6129,11832,2022-05-27 14:55:00
92,34.615,34.62,34.6,34.6,6200,2022-05-27 14:56:00
93,34.6,34.6,34.58,34.59,7400,2022-05-27 14:57:00
94,34.59,34.59,34.58,34.58,8895,2022-05-27 14:58:00
95,34.57,34.58,34.56,34.58,16694,2022-05-27 14:59:00
96,34.58,34.585,34.58,34.58,10610,2022-05-27 15:00:00
97,34.585,34.585,34.56,34.56,3076,2022-05-27 15:01:00
98,34.56,34.5694,34.55,34.56,25444,2022-05-27 15:02:00
99,34.555,34.57,34.55,34.57,85377,2022-05-27 15:03:00
100,34.57,34.58,34.57,34.575,32439,2022-05-27 15:04:00
101,34.5701,34.5999,34.57,34.5999,21951,2022-05-27 15:05:00
102,34.6,34.61,34.6,34.61,1800,2022-05-27 15:06:00
103,34.61,34.6189,34.6058,34.6189,7760,2022-05-27 15:07:00
104,34.615,34.615,34.6,34.605,5700,2022-05-27 15:08:00
105,34.6,34.6088,34.6,34.605,11064,2022-05-27 15:09:00
106,34.61,34.62,34.6,34.615,4232,2022-05-27 15:10:00
107,34.61,34.62,34.609,34.61,34121,2022-05-27 15:11:00
108,34.6,34.61,34.6,34.61,2803,2022-05-27 15:12:00
109,34.615,34.615,34.6,34.6095,12515,2022-05-27 15:13:00
110,34.6099,34.62,34.6094,34.62,6891,2022-05-27 15:14:00
111,34.61,34.62,34.61,34.615,4230,2022-05-27 15:15:00
112,34.6166,34.625,34.61,34.615,34808,2022-05-27 15:16:00
113,34.615,34.619,34.605,34.605,1900,2022-05-27 15:17:00
114,34.605,34.6061,34.6,34.6061,2619,2022-05-27 15:18:00
115,34.605,34.61,34.605,34.605,1545,2022-05-27 15:19:00
116,34.6058,34.61,34.605,34.61,2071,2022-05-27 15:20:00
117,34.61,34.62,34.6083,34.6141,3600,2022-05-27 15:21:00
118,34.62,34.62,34.6199,34.6199,1258,2022-05-27 15:22:00
119,34.6157,34.62,34.611,34.62,1167,2022-05-27 15:23:00
120,34.62,34.62,34.615,34.62,1848,2022-05-27 15:24:00
121,34.61,34.62,34.6,34.6,2768,2022-05-27 15:25:00
122,34.6,34.6,34.5946,34.5946,2039,2022-05-27 15:26:00
123,34.6,34.6,34.59,34.6,4710,2022-05-27 15:27:00
124,34.605,34.61,34.6001,34.6001,2639,2022-05-27 15:28:00
125,34.61,34.62,34.6067,34.61,1921,2022-05-27 15:29:00
126,34.62,34.62,34.6154,34.62,1184,2022-05-27 15:30:00
127,34.6183,34.63,34.6183,34.625,5988,2022-05-27 15:31:00
128,34.63,34.63,34.625,34.63,13514,2022-05-27 15:32:00
129,34.63,34.635,34.63,34.63,9838,2022-05-27 15:33:00
130,34.64,34.64,34.63,34.63,14091,2022-05-27 15:34:00
131,34.6357,34.6357,34.63,34.63,8625,2022-05-27 15:35:00
132,34.62,34.62,34.6,34.6,10302,2022-05-27 15:36:00
133,34.595,34.61,34.595,34.605,4814,2022-05-27 15:37:00
134,34.61,34.62,34.61,34.6184,3676,2022-05-27 15:38:00
135,34.615,34.625,34.6101,34.62,4787,2022-05-27 15:39:00
136,34.62,34.62,34.61,34.615,10543,2022-05-27 15:40:00
137,34.626,34.63,34.625,34.625,2283,2022-05-27 15:41:00
138,34.63,34.63,34.6201,34.6266,19478,2022-05-27 15:42:00
139,34.63,34.63,34.625,34.63,21099,2022-05-27 15:43:00
140,34.63,34.63,34.6118,34.6163,6522,2022-05-27 15:44:00
141,34.615,34.62,34.615,34.62,2385,2022-05-27 15:45:00
142,34.63,34.63,34.63,34.63,2200,2022-05-27 15:46:00
143,34.63,34.63,34.6204,34.6204,3718,2022-05-27 15:47:00
144,34.625,34.625,34.62,34.62,7175,2022-05-27 15:48:00
145,34.62,34.62,34.61,34.62,44515,2022-05-27 15:49:00
146,34.615,34.62,34.61,34.615,4408,2022-05-27 15:50:00
147,34.615,34.63,34.61,34.625,2524,2022-05-27 15:51:00
148,34.625,34.63,34.62,34.625,2978,2022-05-27 15:52:00
149,34.62,34.6299,34.6154,34.6282,10063,2022-05-27 15:53:00
150,34.6299,34.63,34.6299,34.63,700,2022-05-27 15:54:00
151,34.62,34.63,34.62,34.625,2538,2022-05-27 15:55:00
152,34.625,34.6266,34.62,34.62,2700,2022-05-27 15:56:00
153,34.615,34.62,34.6084,34.61,18589,2022-05-27 15:57:00
154,34.6174,34.6174,34.61,34.61,2606,2022-05-27 15:58:00
155,34.62,34.63,34.62,34.6265,3006,2022-05-27 15:59:00
156,34.63,34.63,34.62,34.63,1826,2022-05-27 16:00:00
157,34.6265,34.64,34.6265,34.64,7400,2022-05-27 16:01:00
158,34.635,34.639,34.63,34.635,1500,2022-05-27 16:02:00
159,34.63,34.64,34.63,34.635,5687,2022-05-27 16:03:00
160,34.64,34.64,34.63,34.63,1400,2022-05-27 16:04:00
