,open,high,low,close,volume,datetime
0,29.67,29.67,29.67,29.67,100,2022-05-27 13:38:00
1,30.28,30.28,30.28,30.28,100,2022-05-27 13:58:00
2,29.87,29.87,29.87,29.87,225,2022-05-27 14:08:00
3,30.2019,30.2019,30.2019,30.2019,200,2022-05-27 14:18:00
4,29.94,29.94,29.86,29.86,414,2022-05-27 14:20:00
5,29.75,29.75,29.715,29.75,400,2022-05-27 14:27:00
6,29.7599,29.7599,29.67,29.67,601,2022-05-27 14:34:00
7,29.485,29.485,29.485,29.485,100,2022-05-27 14:35:00
8,29.56,29.56,29.56,29.56,100,2022-05-27 17:40:00
9,29.66,29.66,29.66,29.66,100,2022-05-27 18:04:00
10,29.6,29.6,29.6,29.6,400,2022-05-27 18:07:00
11,29.36,29.36,29.36,29.36,100,2022-05-27 18:11:00
12,29.37,29.37,29.37,29.37,100,2022-05-27 18:40:00
13,29.52,29.52,29.39,29.39,300,2022-05-27 19:22:00
14,29.49,29.49,29.49,29.49,200,2022-05-27 19:41:00
15,29.38,29.38,29.38,29.38,100,2022-05-27 19:47:00
16,29.435,29.435,29.435,29.435,200,2022-05-27 19:51:00
17,29.49,29.49,29.35,29.35,380,2022-05-27 19:59:00
18,29.13,29.13,29.13,29.13,1530,2022-05-31 13:30:00
19,29.13,29.13,28.8,28.8,1132,2022-05-31 13:44:00
20,28.53,29.0,28.53,28.96,1200,2022-05-31 13:56:00
21,28.18,28.5,28.01,28.5,1300,2022-05-31 14:22:00
22,28.0,28.0,27.7,27.7,300,2022-05-31 14:23:00
23,28.0,28.0,28.0,28.0,100,2022-05-31 14:30:00
24,28.45,28.45,28.45,28.45,100,2022-05-31 14:43:00
25,28.3,28.3,28.3,28.3,100,2022-05-31 14:47:00
26,28.2,28.2,28.2,28.2,100,2022-05-31 14:48:00
27,28.23,28.23,28.23,28.23,101,2022-05-31 14:56:00
28,28.5,28.5,28.5,28.5,100,2022-05-31 15:02:00
29,28.7,28.7,28.7,28.7,100,2022-05-31 15:16:00
30,28.7,28.7,28.7,28.7,100,2022-05-31 15:18:00
31,28.7,28.7,28.7,28.7,110,2022-05-31 15:19:00
32,28.81,28.81,28.81,28.81,173,2022-05-31 15:35:00
33,28.81,28.81,28.81,28.81,100,2022-05-31 15:37:00
34,28.82,28.82,28.82,28.82,200,2022-05-31 15:40:00
35,28.81,28.81,28.81,28.81,100,2022-05-31 15:57:00
36,28.82,28.84,28.79,28.84,400,2022-05-31 16:20:00
37,28.85,28.85,28.85,28.85,100,2022-05-31 16:27:00
38,28.85,28.85,28.85,28.85,200,2022-05-31 16:28:00
39,28.846,29.0,28.846,29.0,300,2022-05-31 16:41:00
40,29.0,29.0,29.0,29.0,100,2022-05-31 16:43:00
