,open,high,low,close,volume,datetime
0,45.47,45.9,45.47,45.9,200,2022-05-27 13:28:00
1,46.82,46.82,45.38,45.38,600,2022-05-27 13:29:00
2,45.34,46.4,45.34,46.4,14361,2022-05-27 13:30:00
3,47.2873,47.5,46.66,47.15,2078,2022-05-27 13:31:00
4,47.17,47.78,47.17,47.77,1600,2022-05-27 13:32:00
5,47.62,47.88,47.62,47.88,300,2022-05-27 13:33:00
6,48.07,48.37,48.07,48.085,1000,2022-05-27 13:34:00
7,48.34,48.3578,48.26,48.28,1000,2022-05-27 13:35:00
8,48.28,48.62,48.2,48.51,932,2022-05-27 13:36:00
9,48.52,48.52,48.38,48.38,4101,2022-05-27 13:37:00
10,48.23,48.33,48.22,48.33,490,2022-05-27 13:39:00
11,48.23,48.7875,48.23,48.61,2200,2022-05-27 13:40:00
12,48.14,48.26,48.1,48.135,3400,2022-05-27 13:41:00
13,48.33,48.75,48.3,48.72,3148,2022-05-27 13:42:00
14,48.72,48.72,48.7,48.7,793,2022-05-27 13:43:00
15,48.4401,48.49,48.0,48.0,1100,2022-05-27 13:44:00
16,48.03,48.3,48.02,48.3,900,2022-05-27 13:45:00
17,48.33,48.5,48.32,48.32,3818,2022-05-27 13:46:00
18,48.26,48.4,48.2,48.27,3700,2022-05-27 13:47:00
19,48.39,48.6,48.35,48.57,3248,2022-05-27 13:48:00
20,48.66,48.66,48.66,48.66,100,2022-05-27 13:49:00
21,48.66,48.66,48.52,48.63,613,2022-05-27 13:50:00
22,48.885,48.885,48.885,48.885,100,2022-05-27 13:51:00
23,48.89,48.89,48.79,48.89,1400,2022-05-27 13:52:00
24,48.945,49.18,48.945,49.18,1278,2022-05-27 13:53:00
25,49.1971,49.26,49.1971,49.26,400,2022-05-27 13:54:00
26,49.4038,49.4038,49.4038,49.4038,150,2022-05-27 13:55:00
27,49.39,49.57,49.39,49.55,1795,2022-05-27 13:56:00
28,49.57,49.57,49.3,49.3,700,2022-05-27 13:57:00
29,49.29,49.29,49.29,49.29,100,2022-05-27 13:58:00
30,49.16,49.16,48.98,48.98,400,2022-05-27 14:00:00
31,48.87,48.87,48.87,48.87,100,2022-05-27 14:01:00
32,48.97,48.98,48.925,48.925,600,2022-05-27 14:03:00
33,48.85,48.85,48.76,48.76,200,2022-05-27 14:04:00
34,48.71,48.73,48.71,48.73,200,2022-05-27 14:05:00
35,48.8,48.8,48.655,48.655,600,2022-05-27 14:07:00
36,48.75,48.85,48.75,48.85,300,2022-05-27 14:08:00
37,48.92,48.96,48.91,48.92,700,2022-05-27 14:09:00
38,48.97,48.97,48.89,48.89,500,2022-05-27 14:10:00
39,48.8,48.8,48.8,48.8,200,2022-05-27 14:11:00
40,48.7,48.73,48.7,48.73,300,2022-05-27 14:12:00
41,48.71,48.71,48.71,48.71,312,2022-05-27 14:13:00
42,48.775,48.78,48.77,48.78,500,2022-05-27 14:14:00
43,48.73,48.73,48.59,48.69,800,2022-05-27 14:15:00
44,48.68,48.815,48.68,48.7,1900,2022-05-27 14:16:00
45,48.61,48.7,48.61,48.65,700,2022-05-27 14:17:00
46,48.565,48.565,48.565,48.565,100,2022-05-27 14:18:00
47,48.52,48.52,48.52,48.52,100,2022-05-27 14:19:00
48,48.445,48.445,48.445,48.445,100,2022-05-27 14:20:00
49,48.47,48.47,48.39,48.39,1200,2022-05-27 14:21:00
50,48.3,48.3,48.23,48.3,1200,2022-05-27 14:22:00
51,48.41,48.41,48.32,48.32,500,2022-05-27 14:23:00
52,48.23,48.23,48.23,48.23,100,2022-05-27 14:24:00
53,47.995,47.995,47.9,47.9,200,2022-05-27 14:25:00
54,47.95,48.005,47.95,47.95,600,2022-05-27 14:26:00
55,47.885,48.03,47.885,48.03,711,2022-05-27 14:27:00
56,48.0,48.0,47.83,47.83,200,2022-05-27 14:28:00
57,47.845,47.845,47.835,47.835,300,2022-05-27 14:29:00
58,47.87,47.87,47.66,47.66,800,2022-05-27 14:30:00
59,47.53,47.61,47.53,47.61,1400,2022-05-27 14:31:00
60,47.51,47.545,47.42,47.45,1315,2022-05-27 14:32:00
