,open,high,low,close,volume,datetime
0,2.43,2.43,2.43,2.43,1000,2022-05-27 11:55:00
1,2.45,2.45,2.42,2.42,3436,2022-05-27 13:30:00
2,2.37,2.37,2.37,2.37,100,2022-05-27 13:34:00
3,2.39,2.39,2.39,2.39,200,2022-05-27 13:35:00
4,2.39,2.39,2.39,2.39,100,2022-05-27 13:40:00
5,2.4,2.4,2.37,2.37,2200,2022-05-27 13:41:00
6,2.36,2.36,2.36,2.36,100,2022-05-27 13:46:00
7,2.375,2.375,2.36,2.36,1000,2022-05-27 13:51:00
8,2.36,2.36,2.36,2.36,100,2022-05-27 13:53:00
9,2.36,2.36,2.36,2.36,100,2022-05-27 13:54:00
10,2.39,2.39,2.39,2.39,499,2022-05-27 13:55:00
11,2.36,2.36,2.36,2.36,100,2022-05-27 13:56:00
12,2.3824,2.3824,2.3824,2.3824,100,2022-05-27 13:59:00
13,2.36,2.36,2.36,2.36,100,2022-05-27 14:00:00
14,2.375,2.375,2.375,2.375,384,2022-05-27 14:04:00
15,2.36,2.36,2.36,2.36,100,2022-05-27 14:07:00
16,2.36,2.36,2.36,2.36,200,2022-05-27 14:08:00
17,2.35,2.35,2.34,2.34,200,2022-05-27 14:09:00
18,2.355,2.355,2.355,2.355,100,2022-05-27 14:13:00
19,2.34,2.34,2.34,2.34,200,2022-05-27 14:15:00
20,2.353,2.353,2.353,2.353,200,2022-05-27 14:18:00
21,2.35,2.35,2.35,2.35,100,2022-05-27 14:21:00
22,2.35,2.35,2.35,2.35,100,2022-05-27 14:24:00
23,2.37,2.38,2.37,2.38,1500,2022-05-27 14:28:00
24,2.38,2.38,2.38,2.38,100,2022-05-27 14:31:00
25,2.38,2.38,2.38,2.38,100,2022-05-27 14:33:00
26,2.39,2.39,2.385,2.39,4064,2022-05-27 14:35:00
27,2.38,2.38,2.38,2.38,100,2022-05-27 14:37:00
28,2.38,2.38,2.38,2.38,100,2022-05-27 14:39:00
29,2.38,2.38,2.38,2.38,2700,2022-05-27 14:40:00
30,2.38,2.39,2.37,2.37,300,2022-05-27 14:43:00
31,2.38,2.38,2.37,2.37,600,2022-05-27 14:44:00
32,2.36,2.36,2.36,2.36,100,2022-05-27 14:45:00
33,2.35,2.35,2.35,2.35,100,2022-05-27 14:46:00
34,2.35,2.35,2.35,2.35,200,2022-05-27 14:47:00
35,2.35,2.35,2.35,2.35,302,2022-05-27 14:48:00
36,2.35,2.35,2.34,2.34,490,2022-05-27 14:51:00
37,2.34,2.34,2.34,2.34,1000,2022-05-27 14:52:00
38,2.355,2.355,2.355,2.355,150,2022-05-27 14:54:00
39,2.33,2.33,2.33,2.33,200,2022-05-27 14:57:00
40,2.33,2.33,2.33,2.33,101,2022-05-27 14:58:00
41,2.335,2.335,2.335,2.335,900,2022-05-27 14:59:00
42,2.33,2.33,2.33,2.33,100,2022-05-27 15:03:00
43,2.34,2.34,2.34,2.34,300,2022-05-27 15:05:00
44,2.33,2.33,2.33,2.33,200,2022-05-27 15:07:00
45,2.335,2.335,2.335,2.335,300,2022-05-27 15:13:00
46,2.33,2.33,2.33,2.33,300,2022-05-27 15:14:00
47,2.35,2.35,2.32,2.32,1100,2022-05-27 15:17:00
48,2.32,2.32,2.32,2.32,100,2022-05-27 15:18:00
49,2.335,2.335,2.33,2.3325,1800,2022-05-27 15:20:00
50,2.3458,2.3458,2.3458,2.3458,100,2022-05-27 15:22:00
51,2.33,2.33,2.33,2.33,500,2022-05-27 15:27:00
52,2.31,2.33,2.31,2.33,200,2022-05-27 15:30:00
53,2.31,2.31,2.31,2.31,100,2022-05-27 15:32:00
54,2.31,2.31,2.31,2.31,100,2022-05-27 15:34:00
55,2.33,2.34,2.33,2.34,518,2022-05-27 15:38:00
56,2.35,2.35,2.34,2.35,800,2022-05-27 15:44:00
57,2.32,2.34,2.32,2.34,250,2022-05-27 15:54:00
58,2.32,2.32,2.32,2.32,100,2022-05-27 15:56:00
