,open,high,low,close,volume,datetime
0,11.4,11.4,11.4,11.4,200,2022-05-27 12:43:00
1,11.49,11.49,11.49,11.49,200,2022-05-27 12:52:00
2,11.38,11.43,11.32,11.39,20565,2022-05-27 13:30:00
3,11.48,11.62,11.48,11.62,18465,2022-05-27 13:31:00
4,11.64,11.7,11.64,11.675,2738,2022-05-27 13:32:00
5,11.575,11.575,11.54,11.54,1500,2022-05-27 13:33:00
6,11.53,11.53,11.33,11.33,5664,2022-05-27 13:34:00
7,11.345,11.42,11.345,11.3601,1894,2022-05-27 13:35:00
8,11.42,11.5,11.42,11.48,2000,2022-05-27 13:36:00
9,11.48,11.52,11.47,11.52,1472,2022-05-27 13:37:00
10,11.438,11.438,11.43,11.43,950,2022-05-27 13:38:00
11,11.42,11.45,11.38,11.38,1150,2022-05-27 13:39:00
12,11.41,11.5,11.41,11.49,2905,2022-05-27 13:40:00
13,11.45,11.46,11.45,11.46,1964,2022-05-27 13:41:00
14,11.41,11.41,11.4,11.4,300,2022-05-27 13:42:00
15,11.4,11.42,11.39,11.42,688,2022-05-27 13:43:00
16,11.38,11.38,11.33,11.36,2010,2022-05-27 13:44:00
17,11.42,11.42,11.41,11.42,585,2022-05-27 13:45:00
18,11.35,11.36,11.33,11.33,3188,2022-05-27 13:46:00
19,11.39,11.4,11.37,11.37,532,2022-05-27 13:47:00
20,11.34,11.37,11.32,11.37,1019,2022-05-27 13:50:00
21,11.38,11.41,11.38,11.4001,900,2022-05-27 13:51:00
22,11.42,11.42,11.41,11.41,200,2022-05-27 13:52:00
23,11.449,11.48,11.44,11.44,800,2022-05-27 13:54:00
24,11.48,11.56,11.48,11.54,3500,2022-05-27 13:55:00
25,11.56,11.57,11.56,11.57,400,2022-05-27 13:56:00
26,11.6,11.64,11.6,11.64,484,2022-05-27 13:57:00
27,11.68,11.68,11.65,11.65,419,2022-05-27 13:58:00
28,11.65,11.65,11.6,11.6,500,2022-05-27 14:00:00
29,11.56,11.59,11.56,11.59,929,2022-05-27 14:01:00
30,11.61,11.61,11.58,11.58,500,2022-05-27 14:02:00
31,11.57,11.57,11.57,11.57,100,2022-05-27 14:03:00
32,11.52,11.52,11.52,11.52,100,2022-05-27 14:04:00
33,11.55,11.56,11.55,11.56,400,2022-05-27 14:05:00
34,11.58,11.58,11.56,11.56,1151,2022-05-27 14:06:00
35,11.56,11.56,11.48,11.5,1723,2022-05-27 14:07:00
36,11.47,11.51,11.46,11.51,1130,2022-05-27 14:08:00
37,11.51,11.54,11.51,11.53,2400,2022-05-27 14:10:00
38,11.525,11.525,11.525,11.525,200,2022-05-27 14:11:00
39,11.53,11.53,11.53,11.53,1189,2022-05-27 14:12:00
40,11.51,11.51,11.51,11.51,1100,2022-05-27 14:13:00
41,11.51,11.51,11.5,11.5,500,2022-05-27 14:14:00
42,11.5,11.52,11.495,11.52,900,2022-05-27 14:15:00
43,11.52,11.5399,11.5,11.5,2399,2022-05-27 14:16:00
44,11.48,11.48,11.48,11.48,2193,2022-05-27 14:18:00
45,11.46,11.46,11.42,11.42,1694,2022-05-27 14:19:00
46,11.44,11.46,11.44,11.45,700,2022-05-27 14:20:00
47,11.43,11.43,11.43,11.43,100,2022-05-27 14:21:00
48,11.43,11.43,11.43,11.43,300,2022-05-27 14:23:00
49,11.45,11.48,11.445,11.48,997,2022-05-27 14:24:00
50,11.49,11.504,11.49,11.5,1261,2022-05-27 14:25:00
51,11.51,11.51,11.49,11.49,900,2022-05-27 14:26:00
52,11.47,11.47,11.47,11.47,100,2022-05-27 14:28:00
53,11.48,11.48,11.47,11.47,800,2022-05-27 14:29:00
54,11.47,11.47,11.47,11.47,100,2022-05-27 14:30:00
55,11.48,11.51,11.48,11.51,1221,2022-05-27 14:32:00
56,11.49,11.49,11.49,11.49,100,2022-05-27 14:33:00
57,11.51,11.53,11.47,11.48,5910,2022-05-27 14:34:00
58,11.49,11.505,11.49,11.505,856,2022-05-27 14:35:00
59,11.5,11.5,11.49,11.5,1299,2022-05-27 14:36:00
60,11.51,11.54,11.51,11.54,1241,2022-05-27 14:37:00
61,11.53,11.53,11.51,11.51,1455,2022-05-27 14:38:00
62,11.49,11.49,11.49,11.49,212,2022-05-27 14:39:00
63,11.48,11.48,11.47,11.47,1900,2022-05-27 14:40:00
64,11.47,11.47,11.46,11.46,2302,2022-05-27 14:41:00
65,11.46,11.47,11.46,11.47,900,2022-05-27 14:42:00
66,11.46,11.465,11.45,11.465,800,2022-05-27 14:43:00
67,11.45,11.46,11.44,11.46,1000,2022-05-27 14:44:00
68,11.47,11.5,11.47,11.47,3661,2022-05-27 14:45:00
69,11.47,11.48,11.455,11.46,1742,2022-05-27 14:46:00
70,11.46,11.46,11.44,11.44,1522,2022-05-27 14:47:00
71,11.43,11.43,11.39,11.39,1800,2022-05-27 14:48:00
72,11.39,11.42,11.39,11.42,1300,2022-05-27 14:49:00
73,11.4,11.43,11.4,11.43,300,2022-05-27 14:50:00
74,11.42,11.42,11.42,11.42,100,2022-05-27 14:51:00
75,11.4,11.4,11.4,11.4,100,2022-05-27 14:52:00
76,11.4,11.4,11.4,11.4,400,2022-05-27 14:53:00
77,11.39,11.4,11.39,11.4,1895,2022-05-27 14:54:00
78,11.39,11.39,11.39,11.39,338,2022-05-27 14:55:00
79,11.35,11.35,11.32,11.32,550,2022-05-27 14:56:00
80,11.29,11.31,11.2878,11.3,2162,2022-05-27 14:57:00
81,11.27,11.28,11.27,11.27,400,2022-05-27 14:58:00
82,11.26,11.26,11.25,11.25,650,2022-05-27 14:59:00
83,11.25,11.25,11.24,11.24,500,2022-05-27 15:00:00
84,11.24,11.24,11.24,11.24,495,2022-05-27 15:01:00
85,11.235,11.235,11.22,11.22,2175,2022-05-27 15:02:00
86,11.21,11.24,11.17,11.24,3600,2022-05-27 15:03:00
87,11.28,11.29,11.27,11.27,673,2022-05-27 15:04:00
88,11.26,11.26,11.26,11.26,600,2022-05-27 15:05:00
89,11.2664,11.27,11.26,11.27,2200,2022-05-27 15:06:00
90,11.28,11.29,11.27,11.29,2025,2022-05-27 15:07:00
91,11.27,11.27,11.27,11.27,100,2022-05-27 15:08:00
92,11.25,11.26,11.25,11.26,500,2022-05-27 15:09:00
93,11.275,11.29,11.275,11.29,600,2022-05-27 15:10:00
94,11.29,11.2903,11.28,11.28,687,2022-05-27 15:11:00
95,11.285,11.3,11.285,11.3,240,2022-05-27 15:12:00
96,11.3,11.34,11.3,11.34,700,2022-05-27 15:13:00
97,11.3088,11.33,11.3,11.33,500,2022-05-27 15:14:00
98,11.32,11.34,11.32,11.34,1100,2022-05-27 15:16:00
99,11.34,11.355,11.33,11.33,2004,2022-05-27 15:17:00
100,11.33,11.33,11.33,11.33,200,2022-05-27 15:18:00
101,11.31,11.31,11.31,11.31,100,2022-05-27 15:19:00
102,11.32,11.32,11.32,11.32,300,2022-05-27 15:20:00
103,11.33,11.33,11.32,11.32,600,2022-05-27 15:21:00
104,11.33,11.34,11.33,11.34,800,2022-05-27 15:22:00
105,11.34,11.34,11.34,11.34,200,2022-05-27 15:24:00
106,11.33,11.33,11.28,11.3,3110,2022-05-27 15:25:00
107,11.295,11.295,11.27,11.27,600,2022-05-27 15:26:00
108,11.28,11.28,11.28,11.28,300,2022-05-27 15:27:00
109,11.28,11.28,11.28,11.28,444,2022-05-27 15:28:00
110,11.29,11.3,11.29,11.295,1578,2022-05-27 15:29:00
111,11.33,11.33,11.33,11.33,500,2022-05-27 15:30:00
112,11.4,11.4,11.4,11.4,100,2022-05-27 15:32:00
113,11.39,11.39,11.39,11.39,100,2022-05-27 15:33:00
114,11.39,11.39,11.39,11.39,100,2022-05-27 15:34:00
115,11.4,11.41,11.38,11.38,1382,2022-05-27 15:35:00
116,11.38,11.39,11.38,11.39,400,2022-05-27 15:36:00
117,11.37,11.38,11.37,11.37,400,2022-05-27 15:37:00
118,11.39,11.39,11.39,11.39,100,2022-05-27 15:38:00
119,11.38,11.38,11.38,11.38,100,2022-05-27 15:39:00
120,11.38,11.38,11.38,11.38,100,2022-05-27 15:40:00
121,11.38,11.38,11.37,11.37,621,2022-05-27 15:41:00
122,11.38,11.39,11.38,11.38,300,2022-05-27 15:42:00
123,11.39,11.39,11.39,11.39,100,2022-05-27 15:43:00
124,11.38,11.38,11.3731,11.3731,340,2022-05-27 15:44:00
125,11.39,11.4,11.385,11.4,600,2022-05-27 15:45:00
126,11.41,11.43,11.41,11.42,640,2022-05-27 15:46:00
127,11.42,11.43,11.4,11.4,1200,2022-05-27 15:47:00
128,11.41,11.41,11.41,11.41,500,2022-05-27 15:48:00
129,11.4,11.41,11.395,11.395,600,2022-05-27 15:49:00
130,11.4162,11.4162,11.4162,11.4162,100,2022-05-27 15:50:00
131,11.43,11.43,11.43,11.43,400,2022-05-27 15:51:00
132,11.44,11.44,11.44,11.44,200,2022-05-27 15:52:00
133,11.43,11.43,11.42,11.42,300,2022-05-27 15:53:00
134,11.4442,11.4442,11.4442,11.4442,100,2022-05-27 15:54:00
135,11.44,11.44,11.44,11.44,612,2022-05-27 15:55:00
136,11.44,11.44,11.43,11.43,650,2022-05-27 15:56:00
137,11.43,11.43,11.43,11.43,100,2022-05-27 15:57:00
138,11.42,11.44,11.42,11.44,200,2022-05-27 15:58:00
139,11.45,11.46,11.45,11.46,400,2022-05-27 15:59:00
140,11.47,11.48,11.47,11.47,1192,2022-05-27 16:01:00
141,11.49,11.49,11.46,11.46,2517,2022-05-27 16:02:00
142,11.47,11.47,11.47,11.47,100,2022-05-27 16:03:00
143,11.46,11.46,11.45,11.45,500,2022-05-27 16:04:00
144,11.45,11.48,11.44,11.48,1800,2022-05-27 16:05:00
145,11.48,11.48,11.48,11.48,100,2022-05-27 16:06:00
146,11.47,11.47,11.46,11.46,206,2022-05-27 16:07:00
147,11.45,11.45,11.45,11.45,400,2022-05-27 16:10:00
148,11.46,11.46,11.46,11.46,400,2022-05-27 16:11:00
149,11.47,11.47,11.46,11.46,500,2022-05-27 16:12:00
150,11.47,11.47,11.47,11.47,100,2022-05-27 16:14:00
151,11.46,11.46,11.46,11.46,397,2022-05-27 16:15:00
152,11.45,11.45,11.43,11.43,1200,2022-05-27 16:16:00
153,11.435,11.435,11.4,11.4,795,2022-05-27 16:17:00
154,11.381,11.39,11.37,11.39,5157,2022-05-27 16:18:00
155,11.39,11.39,11.39,11.39,400,2022-05-27 16:19:00
156,11.38,11.4,11.38,11.4,785,2022-05-27 16:20:00
157,11.42,11.42,11.42,11.42,817,2022-05-27 16:22:00
158,11.42,11.42,11.4101,11.4101,629,2022-05-27 16:23:00
159,11.41,11.41,11.4,11.4,701,2022-05-27 16:24:00
160,11.41,11.41,11.41,11.41,213,2022-05-27 16:25:00
161,11.41,11.41,11.41,11.41,315,2022-05-27 16:28:00
162,11.4,11.4,11.4,11.4,400,2022-05-27 16:29:00
163,11.39,11.39,11.38,11.38,400,2022-05-27 16:30:00
164,11.38,11.38,11.36,11.36,700,2022-05-27 16:31:00
165,11.37,11.39,11.37,11.385,1018,2022-05-27 16:32:00
166,11.37,11.38,11.37,11.38,281,2022-05-27 16:34:00
167,11.36,11.36,11.34,11.34,800,2022-05-27 16:35:00
168,11.35,11.36,11.34,11.36,800,2022-05-27 16:36:00
169,11.36,11.36,11.35,11.35,200,2022-05-27 16:38:00
170,11.35,11.35,11.35,11.35,400,2022-05-27 16:39:00
171,11.36,11.37,11.36,11.37,800,2022-05-27 16:40:00
172,11.36,11.43,11.36,11.43,16013,2022-05-27 16:41:00
173,11.43,11.43,11.42,11.42,1000,2022-05-27 16:42:00
174,11.41,11.4101,11.36,11.4,15988,2022-05-27 16:43:00
175,11.39,11.39,11.39,11.39,100,2022-05-27 16:44:00
176,11.38,11.38,11.365,11.365,801,2022-05-27 16:45:00
177,11.35,11.35,11.35,11.35,100,2022-05-27 16:46:00
178,11.3653,11.3653,11.345,11.345,1300,2022-05-27 16:47:00
179,11.36,11.36,11.35,11.36,500,2022-05-27 16:48:00
180,11.34,11.34,11.335,11.335,510,2022-05-27 16:49:00
181,11.32,11.32,11.32,11.32,1300,2022-05-27 16:50:00
182,11.3,11.34,11.3,11.34,1440,2022-05-27 16:51:00
183,11.35,11.35,11.35,11.35,100,2022-05-27 16:52:00
184,11.38,11.39,11.37,11.37,1400,2022-05-27 16:53:00
185,11.4,11.4,11.395,11.395,200,2022-05-27 16:54:00
186,11.4007,11.41,11.4007,11.41,625,2022-05-27 16:55:00
187,11.43,11.43,11.43,11.43,100,2022-05-27 16:57:00
188,11.43,11.43,11.43,11.43,100,2022-05-27 16:59:00
189,11.42,11.42,11.42,11.42,300,2022-05-27 17:00:00
190,11.42,11.42,11.42,11.42,400,2022-05-27 17:01:00
191,11.42,11.42,11.42,11.42,200,2022-05-27 17:02:00
192,11.41,11.41,11.41,11.41,100,2022-05-27 17:03:00
193,11.42,11.44,11.42,11.44,300,2022-05-27 17:04:00
194,11.42,11.42,11.42,11.42,100,2022-05-27 17:05:00
195,11.43,11.43,11.43,11.43,500,2022-05-27 17:06:00
196,11.44,11.44,11.43,11.43,400,2022-05-27 17:07:00
197,11.45,11.45,11.42,11.43,2821,2022-05-27 17:08:00
198,11.43,11.43,11.43,11.43,200,2022-05-27 17:09:00
199,11.42,11.42,11.42,11.42,200,2022-05-27 17:10:00
200,11.42,11.45,11.42,11.44,1500,2022-05-27 17:11:00
201,11.45,11.45,11.43,11.43,400,2022-05-27 17:12:00
202,11.42,11.42,11.42,11.42,100,2022-05-27 17:13:00
203,11.45,11.47,11.45,11.46,400,2022-05-27 17:14:00
204,11.46,11.46,11.44,11.44,500,2022-05-27 17:16:00
205,11.44,11.44,11.44,11.44,100,2022-05-27 17:17:00
206,11.44,11.44,11.43,11.43,200,2022-05-27 17:18:00
207,11.42,11.42,11.4,11.4,4763,2022-05-27 17:20:00
208,11.4,11.4,11.38,11.38,1619,2022-05-27 17:21:00
209,11.37,11.37,11.37,11.37,100,2022-05-27 17:23:00
210,11.35,11.35,11.35,11.35,100,2022-05-27 17:24:00
211,11.38,11.38,11.37,11.37,200,2022-05-27 17:25:00
212,11.36,11.36,11.36,11.36,100,2022-05-27 17:26:00
213,11.36,11.36,11.36,11.36,100,2022-05-27 17:28:00
214,11.37,11.37,11.37,11.37,200,2022-05-27 17:30:00
215,11.36,11.36,11.36,11.36,200,2022-05-27 17:31:00
216,11.35,11.365,11.35,11.365,300,2022-05-27 17:32:00
217,11.36,11.36,11.36,11.36,100,2022-05-27 17:33:00
218,11.365,11.365,11.365,11.365,100,2022-05-27 17:34:00
219,11.35,11.36,11.35,11.36,200,2022-05-27 17:35:00
220,11.38,11.41,11.38,11.41,1415,2022-05-27 17:36:00
221,11.43,11.43,11.43,11.43,210,2022-05-27 17:37:00
222,11.43,11.43,11.43,11.43,200,2022-05-27 17:38:00
223,11.43,11.44,11.43,11.44,500,2022-05-27 17:39:00
224,11.44,11.45,11.44,11.45,490,2022-05-27 17:41:00
225,11.43,11.43,11.37,11.38,3200,2022-05-27 17:42:00
226,11.375,11.375,11.375,11.375,1300,2022-05-27 17:43:00
227,11.38,11.38,11.38,11.38,400,2022-05-27 17:44:00
228,11.38,11.38,11.3751,11.38,364,2022-05-27 17:45:00
229,11.39,11.4,11.35,11.4,9249,2022-05-27 17:46:00
230,11.41,11.42,11.41,11.42,3739,2022-05-27 17:48:00
231,11.41,11.43,11.41,11.43,500,2022-05-27 17:51:00
232,11.42,11.42,11.42,11.42,100,2022-05-27 17:52:00
