,open,high,low,close,volume,datetime
0,9.85,9.85,9.85,9.85,180,2022-05-27 16:49:00
1,9.8501,9.8501,9.85,9.85,200,2022-05-31 17:03:00
2,9.8504,9.8504,9.85,9.85,200,2022-05-31 17:19:00
3,9.8573,9.8573,9.85,9.85,360,2022-05-31 18:01:00
4,9.85,9.85,9.85,9.85,1000,2022-05-31 18:02:00
5,9.85,9.85,9.85,9.85,210,2022-06-01 14:05:00
6,9.8601,9.8601,9.8601,9.8601,200,2022-06-02 15:56:00
7,9.88,9.88,9.88,9.88,100,2022-06-02 18:30:00
8,9.88,9.88,9.88,9.88,1300,2022-06-02 18:32:00
9,9.85,9.85,9.85,9.85,150,2022-06-03 13:30:00
10,9.89,9.89,9.89,9.89,2100,2022-06-03 13:50:00
11,9.87,9.87,9.87,9.87,128,2022-06-03 18:53:00
12,9.88,9.88,9.88,9.88,2461,2022-06-03 19:50:00
13,9.87,9.87,9.87,9.87,200,2022-06-06 14:09:00
14,9.87,9.87,9.87,9.87,100,2022-06-06 15:28:00
15,9.88,9.88,9.88,9.88,200,2022-06-06 19:32:00
16,9.88,9.88,9.88,9.88,200,2022-06-06 19:34:00
17,9.85,9.85,9.85,9.85,120,2022-06-08 13:30:00
18,9.85,9.85,9.85,9.85,2000,2022-06-08 14:01:00
19,9.86,9.86,9.86,9.86,100,2022-06-08 14:52:00
20,9.87,9.8701,9.87,9.8701,200,2022-06-08 18:27:00
21,9.86,9.86,9.86,9.86,600,2022-06-09 15:01:00
22,9.87,9.8727,9.87,9.8727,240,2022-06-09 15:23:00
23,9.87,9.87,9.87,9.87,100,2022-06-09 16:06:00
24,9.88,9.88,9.87,9.8773,472,2022-06-10 19:44:00
