,open,high,low,close,volume,datetime
0,23.97,24.23,23.97,24.23,10853,2022-05-27 13:30:00
1,24.01,24.02,24.01,24.02,200,2022-05-27 13:35:00
2,24.22,24.23,24.22,24.23,200,2022-05-27 13:36:00
3,24.22,24.22,24.155,24.155,200,2022-05-27 13:38:00
4,24.05,24.05,24.05,24.05,100,2022-05-27 13:39:00
5,24.22,24.24,24.22,24.24,500,2022-05-27 13:40:00
6,24.14,24.14,24.11,24.11,443,2022-05-27 13:42:00
7,24.03,24.03,24.03,24.03,489,2022-05-27 13:44:00
8,24.07,24.07,24.07,24.07,100,2022-05-27 13:46:00
9,23.95,23.95,23.95,23.95,100,2022-05-27 13:48:00
10,24.06,24.07,23.97,23.97,1112,2022-05-27 13:49:00
11,23.99,24.0,23.99,24.0,1337,2022-05-27 13:52:00
12,24.02,24.06,24.02,24.06,600,2022-05-27 13:53:00
13,24.065,24.17,24.065,24.17,700,2022-05-27 13:54:00
14,24.21,24.21,24.21,24.21,101,2022-05-27 13:55:00
15,24.29,24.29,24.29,24.29,100,2022-05-27 13:56:00
16,24.215,24.3,24.215,24.29,532,2022-05-27 13:57:00
17,24.3,24.34,24.3,24.34,300,2022-05-27 13:58:00
18,24.33,24.37,24.33,24.37,200,2022-05-27 14:02:00
19,24.315,24.37,24.315,24.37,300,2022-05-27 14:03:00
20,24.315,24.315,24.315,24.315,200,2022-05-27 14:04:00
21,24.37,24.37,24.37,24.37,100,2022-05-27 14:05:00
22,24.28,24.38,24.28,24.38,400,2022-05-27 14:06:00
23,24.38,24.43,24.38,24.39,1688,2022-05-27 14:07:00
24,24.35,24.35,24.28,24.28,1204,2022-05-27 14:08:00
25,24.34,24.34,24.28,24.28,200,2022-05-27 14:09:00
26,24.325,24.325,24.325,24.325,300,2022-05-27 14:11:00
27,24.28,24.3,24.22,24.22,1600,2022-05-27 14:12:00
28,24.29,24.29,24.24,24.24,521,2022-05-27 14:13:00
29,24.295,24.33,24.295,24.33,400,2022-05-27 14:14:00
30,24.41,24.41,24.41,24.41,100,2022-05-27 14:16:00
31,24.4,24.4,24.37,24.37,600,2022-05-27 14:17:00
32,24.28,24.28,24.28,24.28,100,2022-05-27 14:20:00
33,24.31,24.31,24.25,24.25,1000,2022-05-27 14:21:00
34,24.3,24.38,24.27,24.31,2602,2022-05-27 14:22:00
35,24.33,24.33,24.33,24.33,500,2022-05-27 14:23:00
36,24.32,24.34,24.32,24.33,1842,2022-05-27 14:24:00
37,24.36,24.37,24.3,24.33,1900,2022-05-27 14:25:00
38,24.33,24.33,24.33,24.33,100,2022-05-27 14:26:00
39,24.315,24.35,24.315,24.35,500,2022-05-27 14:28:00
40,24.41,24.43,24.32,24.4,4800,2022-05-27 14:29:00
41,24.4,24.4,24.4,24.4,200,2022-05-27 14:30:00
42,24.34,24.34,24.34,24.34,100,2022-05-27 14:31:00
43,24.38,24.38,24.38,24.38,200,2022-05-27 14:32:00
44,24.355,24.39,24.355,24.39,434,2022-05-27 14:33:00
45,24.365,24.365,24.32,24.32,200,2022-05-27 14:34:00
46,24.365,24.41,24.365,24.41,200,2022-05-27 14:35:00
47,24.41,24.41,24.32,24.365,1500,2022-05-27 14:36:00
48,24.39,24.39,24.39,24.39,100,2022-05-27 14:37:00
49,24.38,24.38,24.34,24.34,200,2022-05-27 14:39:00
50,24.42,24.42,24.31,24.31,3174,2022-05-27 14:41:00
51,24.28,24.295,24.28,24.295,500,2022-05-27 14:44:00
52,24.28,24.28,24.25,24.25,625,2022-05-27 14:46:00
53,24.265,24.265,24.265,24.265,100,2022-05-27 14:47:00
54,24.23,24.27,24.23,24.27,200,2022-05-27 14:48:00
