,open,high,low,close,volume,datetime
0,14.5,14.5,14.5,14.5,200,2022-05-27 12:40:00
1,14.5,14.5,14.5,14.5,109,2022-05-27 12:42:00
2,14.57,14.57,14.25,14.4,9607,2022-05-27 13:30:00
3,14.46,14.55,14.44,14.44,785,2022-05-27 13:31:00
4,14.435,14.435,14.435,14.435,100,2022-05-27 13:32:00
5,14.31,14.31,14.25,14.25,2755,2022-05-27 13:34:00
6,14.25,14.28,14.25,14.265,1761,2022-05-27 13:35:00
7,14.2349,14.25,14.2,14.25,3489,2022-05-27 13:36:00
8,14.22,14.31,14.22,14.29,500,2022-05-27 13:37:00
9,14.3,14.32,14.21,14.21,1167,2022-05-27 13:38:00
10,14.24,14.258,14.2,14.22,17725,2022-05-27 13:39:00
11,14.25,14.28,14.25,14.28,300,2022-05-27 13:40:00
12,14.28,14.36,14.22,14.22,1264,2022-05-27 13:41:00
13,14.24,14.24,14.125,14.125,4281,2022-05-27 13:42:00
14,14.14,14.14,14.14,14.14,100,2022-05-27 13:43:00
15,14.14,14.16,14.1,14.11,3173,2022-05-27 13:44:00
16,14.07,14.13,14.07,14.13,300,2022-05-27 13:45:00
17,14.1,14.119,14.1,14.119,600,2022-05-27 13:46:00
18,14.12,14.15,14.1,14.14,4859,2022-05-27 13:47:00
19,14.189,14.205,14.189,14.205,200,2022-05-27 13:48:00
20,14.21,14.23,14.2,14.2,3063,2022-05-27 13:49:00
21,14.2,14.25,14.1801,14.25,2529,2022-05-27 13:51:00
22,14.23,14.23,14.23,14.23,100,2022-05-27 13:52:00
23,14.2487,14.27,14.2487,14.27,600,2022-05-27 13:53:00
24,14.31,14.34,14.31,14.34,200,2022-05-27 13:54:00
25,14.32,14.35,14.32,14.34,700,2022-05-27 13:55:00
26,14.37,14.37,14.37,14.37,100,2022-05-27 13:56:00
27,14.37,14.37,14.37,14.37,145,2022-05-27 13:57:00
28,14.39,14.39,14.37,14.37,808,2022-05-27 13:58:00
29,14.39,14.39,14.38,14.38,542,2022-05-27 13:59:00
30,14.37,14.37,14.365,14.365,300,2022-05-27 14:00:00
31,14.32,14.3499,14.3,14.3499,1681,2022-05-27 14:01:00
32,14.35,14.3564,14.34,14.34,1192,2022-05-27 14:02:00
33,14.3151,14.33,14.29,14.29,2137,2022-05-27 14:03:00
34,14.28,14.3,14.24,14.24,2310,2022-05-27 14:04:00
35,14.27,14.27,14.2501,14.2501,325,2022-05-27 14:05:00
36,14.28,14.28,14.26,14.26,500,2022-05-27 14:06:00
37,14.18,14.18,14.18,14.18,100,2022-05-27 14:07:00
38,14.15,14.16,14.14,14.15,2566,2022-05-27 14:08:00
39,14.15,14.15,14.15,14.15,100,2022-05-27 14:09:00
40,14.14,14.165,14.1155,14.15,2811,2022-05-27 14:10:00
41,14.19,14.19,14.18,14.18,400,2022-05-27 14:11:00
42,14.17,14.17,14.15,14.16,2580,2022-05-27 14:12:00
43,14.11,14.11,14.085,14.11,7090,2022-05-27 14:13:00
44,14.1477,14.16,14.1477,14.15,1847,2022-05-27 14:14:00
45,14.14,14.23,14.14,14.19,19609,2022-05-27 14:15:00
46,14.2,14.205,14.19,14.1977,700,2022-05-27 14:16:00
47,14.18,14.2,14.17,14.2,1720,2022-05-27 14:17:00
48,14.18,14.19,14.18,14.19,600,2022-05-27 14:18:00
49,14.21,14.21,14.1876,14.205,4500,2022-05-27 14:19:00
50,14.22,14.3,14.22,14.3,1990,2022-05-27 14:20:00
51,14.3099,14.32,14.305,14.32,1008,2022-05-27 14:21:00
52,14.32,14.32,14.3,14.3,1263,2022-05-27 14:22:00
53,14.32,14.34,14.32,14.34,600,2022-05-27 14:24:00
54,14.36,14.36,14.34,14.34,999,2022-05-27 14:25:00
55,14.348,14.39,14.348,14.385,750,2022-05-27 14:26:00
56,14.37,14.37,14.37,14.37,350,2022-05-27 14:27:00
57,14.37,14.4,14.37,14.39,1742,2022-05-27 14:28:00
58,14.38,14.38,14.38,14.38,1083,2022-05-27 14:29:00
59,14.39,14.4,14.39,14.4,1005,2022-05-27 14:30:00
60,14.41,14.43,14.41,14.43,700,2022-05-27 14:32:00
61,14.42,14.42,14.4,14.42,5600,2022-05-27 14:33:00
62,14.41,14.43,14.392,14.43,5900,2022-05-27 14:34:00
63,14.43,14.43,14.41,14.41,602,2022-05-27 14:35:00
64,14.4,14.4,14.39,14.39,300,2022-05-27 14:36:00
65,14.4,14.41,14.4,14.41,948,2022-05-27 14:37:00
66,14.412,14.412,14.4,14.4,1490,2022-05-27 14:38:00
67,14.3926,14.4,14.3926,14.4,1200,2022-05-27 14:39:00
68,14.4,14.4,14.37,14.39,2164,2022-05-27 14:40:00
69,14.38,14.39,14.377,14.39,400,2022-05-27 14:42:00
70,14.38,14.38,14.3654,14.37,905,2022-05-27 14:43:00
71,14.37,14.37,14.37,14.37,300,2022-05-27 14:44:00
72,14.372,14.39,14.372,14.39,483,2022-05-27 14:45:00
73,14.38,14.38,14.36,14.37,800,2022-05-27 14:46:00
74,14.34,14.35,14.34,14.35,500,2022-05-27 14:47:00
75,14.349,14.36,14.34,14.36,944,2022-05-27 14:48:00
76,14.35,14.35,14.35,14.35,200,2022-05-27 14:49:00
77,14.35,14.415,14.34,14.4,5268,2022-05-27 14:50:00
78,14.42,14.42,14.41,14.41,800,2022-05-27 14:51:00
79,14.392,14.392,14.38,14.391,2400,2022-05-27 14:53:00
80,14.39,14.39,14.39,14.39,100,2022-05-27 14:54:00
81,14.38,14.39,14.36,14.39,1557,2022-05-27 14:55:00
82,14.38,14.38,14.37,14.37,800,2022-05-27 14:56:00
83,14.36,14.36,14.35,14.359,1500,2022-05-27 14:57:00
84,14.33,14.34,14.31,14.33,1372,2022-05-27 14:58:00
85,14.34,14.35,14.32,14.35,300,2022-05-27 14:59:00
86,14.36,14.36,14.36,14.36,100,2022-05-27 15:00:00
87,14.33,14.33,14.33,14.33,179,2022-05-27 15:02:00
88,14.32,14.32,14.3,14.315,700,2022-05-27 15:03:00
89,14.33,14.33,14.33,14.33,200,2022-05-27 15:04:00
90,14.29,14.29,14.29,14.29,200,2022-05-27 15:05:00
