,open,high,low,close,volume,datetime
0,1.76,1.76,1.76,1.76,210,2022-05-27 13:11:00
1,1.7688,1.7688,1.7688,1.7688,100,2022-05-27 13:18:00
2,1.77,1.8,1.755,1.8,11149,2022-05-27 13:30:00
3,1.81,1.83,1.81,1.81,7750,2022-05-27 13:31:00
4,1.84,1.86,1.84,1.84,1416,2022-05-27 13:34:00
5,1.86,1.86,1.8517,1.8517,2347,2022-05-27 13:35:00
6,1.8501,1.86,1.85,1.85,4100,2022-05-27 13:36:00
7,1.85,1.85,1.845,1.85,1380,2022-05-27 13:37:00
8,1.86,1.86,1.85,1.85,5500,2022-05-27 13:38:00
9,1.84,1.845,1.84,1.84,7004,2022-05-27 13:42:00
10,1.84,1.85,1.82,1.85,22420,2022-05-27 13:43:00
11,1.845,1.845,1.845,1.845,100,2022-05-27 13:46:00
12,1.845,1.85,1.845,1.85,300,2022-05-27 13:49:00
13,1.8488,1.8488,1.8488,1.8488,200,2022-05-27 13:51:00
14,1.84,1.85,1.84,1.85,500,2022-05-27 13:52:00
15,1.8499,1.85,1.8499,1.85,600,2022-05-27 13:54:00
16,1.845,1.845,1.845,1.845,200,2022-05-27 13:55:00
17,1.845,1.845,1.845,1.845,200,2022-05-27 13:56:00
18,1.845,1.845,1.84,1.84,400,2022-05-27 13:59:00
19,1.8406,1.85,1.8406,1.845,920,2022-05-27 14:00:00
20,1.84,1.84,1.84,1.84,100,2022-05-27 14:01:00
21,1.845,1.845,1.845,1.845,100,2022-05-27 14:02:00
22,1.8414,1.8414,1.8414,1.8414,500,2022-05-27 14:03:00
23,1.845,1.845,1.845,1.845,100,2022-05-27 14:04:00
24,1.84,1.845,1.84,1.845,200,2022-05-27 14:06:00
25,1.85,1.85,1.84,1.85,500,2022-05-27 14:07:00
26,1.85,1.86,1.8407,1.86,17482,2022-05-27 14:10:00
27,1.855,1.855,1.855,1.855,200,2022-05-27 14:11:00
28,1.855,1.86,1.855,1.86,300,2022-05-27 14:13:00
29,1.86,1.86,1.86,1.86,1200,2022-05-27 14:14:00
30,1.855,1.855,1.855,1.855,100,2022-05-27 14:15:00
31,1.86,1.86,1.86,1.86,100,2022-05-27 14:16:00
32,1.85,1.85,1.85,1.85,251,2022-05-27 14:17:00
33,1.85,1.855,1.85,1.855,1762,2022-05-27 14:18:00
34,1.855,1.855,1.855,1.855,100,2022-05-27 14:25:00
35,1.855,1.855,1.855,1.855,100,2022-05-27 14:27:00
36,1.86,1.86,1.86,1.86,100,2022-05-27 14:28:00
37,1.855,1.8588,1.855,1.8588,1100,2022-05-27 14:29:00
38,1.855,1.855,1.855,1.855,100,2022-05-27 14:31:00
39,1.85,1.85,1.85,1.85,100,2022-05-27 14:32:00
40,1.86,1.86,1.86,1.86,100,2022-05-27 14:33:00
41,1.855,1.855,1.855,1.855,100,2022-05-27 14:34:00
42,1.854,1.855,1.854,1.855,1300,2022-05-27 14:36:00
43,1.86,1.86,1.86,1.86,201,2022-05-27 14:37:00
44,1.85,1.85,1.85,1.85,200,2022-05-27 14:39:00
45,1.856,1.86,1.855,1.855,1400,2022-05-27 14:45:00
46,1.85,1.85,1.85,1.85,100,2022-05-27 14:47:00
47,1.85,1.85,1.85,1.85,100,2022-05-27 14:48:00
48,1.855,1.86,1.855,1.855,452,2022-05-27 14:49:00
49,1.855,1.86,1.8501,1.86,1473,2022-05-27 14:53:00
50,1.86,1.86,1.86,1.86,200,2022-05-27 14:54:00
51,1.86,1.86,1.86,1.86,300,2022-05-27 14:55:00
52,1.86,1.86,1.86,1.86,500,2022-05-27 14:57:00
53,1.855,1.855,1.855,1.855,100,2022-05-27 14:58:00
54,1.86,1.86,1.855,1.855,390,2022-05-27 14:59:00
55,1.86,1.86,1.86,1.86,500,2022-05-27 15:00:00
56,1.86,1.86,1.86,1.86,568,2022-05-27 15:01:00
57,1.86,1.86,1.86,1.86,400,2022-05-27 15:03:00
58,1.86,1.86,1.86,1.86,100,2022-05-27 15:04:00
59,1.86,1.87,1.8599,1.86,5214,2022-05-27 15:05:00
60,1.865,1.865,1.865,1.865,100,2022-05-27 15:06:00
61,1.865,1.87,1.865,1.87,200,2022-05-27 15:08:00
62,1.865,1.865,1.865,1.865,100,2022-05-27 15:09:00
63,1.87,1.87,1.87,1.87,100,2022-05-27 15:14:00
64,1.865,1.865,1.865,1.865,100,2022-05-27 15:16:00
65,1.865,1.865,1.865,1.865,100,2022-05-27 15:18:00
66,1.87,1.87,1.87,1.87,100,2022-05-27 15:19:00
67,1.865,1.865,1.865,1.865,100,2022-05-27 15:20:00
68,1.87,1.88,1.87,1.88,6672,2022-05-27 15:21:00
69,1.88,1.89,1.88,1.89,1037,2022-05-27 15:22:00
70,1.885,1.885,1.885,1.885,100,2022-05-27 15:23:00
71,1.885,1.885,1.885,1.885,100,2022-05-27 15:25:00
72,1.88,1.885,1.88,1.88,2538,2022-05-27 15:26:00
73,1.88,1.885,1.88,1.885,245,2022-05-27 15:27:00
74,1.885,1.885,1.885,1.885,100,2022-05-27 15:29:00
75,1.8812,1.8812,1.8812,1.8812,200,2022-05-27 15:30:00
76,1.885,1.885,1.885,1.885,100,2022-05-27 15:31:00
77,1.89,1.89,1.89,1.89,700,2022-05-27 15:32:00
78,1.89,1.89,1.89,1.89,300,2022-05-27 15:33:00
79,1.89,1.89,1.89,1.89,400,2022-05-27 15:34:00
80,1.89,1.89,1.89,1.89,436,2022-05-27 15:35:00
81,1.9,1.9,1.9,1.9,200,2022-05-27 15:36:00
82,1.9,1.91,1.9,1.91,500,2022-05-27 15:37:00
83,1.905,1.91,1.905,1.905,766,2022-05-27 15:38:00
84,1.91,1.91,1.905,1.905,300,2022-05-27 15:39:00
85,1.91,1.91,1.91,1.91,401,2022-05-27 15:40:00
86,1.905,1.91,1.905,1.91,400,2022-05-27 15:41:00
87,1.9,1.91,1.9,1.91,300,2022-05-27 15:42:00
88,1.91,1.91,1.91,1.91,200,2022-05-27 15:43:00
89,1.91,1.91,1.91,1.91,100,2022-05-27 15:44:00
90,1.91,1.91,1.91,1.91,200,2022-05-27 15:45:00
91,1.91,1.91,1.905,1.91,635,2022-05-27 15:46:00
92,1.91,1.91,1.91,1.91,200,2022-05-27 15:47:00
93,1.91,1.91,1.905,1.91,600,2022-05-27 15:49:00
94,1.9,1.9,1.9,1.9,100,2022-05-27 15:50:00
95,1.91,1.91,1.905,1.909,600,2022-05-27 15:51:00
96,1.9,1.905,1.9,1.905,599,2022-05-27 15:52:00
97,1.905,1.905,1.905,1.905,400,2022-05-27 15:55:00
98,1.9,1.905,1.9,1.905,1200,2022-05-27 15:56:00
99,1.905,1.9081,1.905,1.9081,505,2022-05-27 15:57:00
100,1.905,1.905,1.9,1.9,805,2022-05-27 15:58:00
101,1.9,1.9,1.9,1.9,5056,2022-05-27 15:59:00
102,1.9,1.9,1.89,1.895,2321,2022-05-27 16:00:00
103,1.895,1.895,1.895,1.895,700,2022-05-27 16:01:00
104,1.9,1.9,1.895,1.895,200,2022-05-27 16:04:00
105,1.895,1.895,1.895,1.895,100,2022-05-27 16:05:00
106,1.9,1.9,1.9,1.9,100,2022-05-27 16:06:00
107,1.895,1.895,1.895,1.895,100,2022-05-27 16:07:00
108,1.8956,1.8956,1.895,1.895,2700,2022-05-27 16:08:00
109,1.89,1.895,1.89,1.89,4557,2022-05-27 16:09:00
110,1.895,1.895,1.89,1.89,200,2022-05-27 16:11:00
111,1.8904,1.8904,1.8904,1.8904,300,2022-05-27 16:13:00
112,1.895,1.895,1.895,1.895,100,2022-05-27 16:15:00
113,1.895,1.895,1.89,1.89,1200,2022-05-27 16:16:00
114,1.89,1.89,1.89,1.89,4126,2022-05-27 16:17:00
115,1.885,1.885,1.88,1.88,738,2022-05-27 16:18:00
116,1.88,1.88,1.875,1.875,3500,2022-05-27 16:19:00
117,1.88,1.88,1.875,1.875,3591,2022-05-27 16:20:00
118,1.875,1.875,1.875,1.875,100,2022-05-27 16:21:00
119,1.87,1.875,1.87,1.875,200,2022-05-27 16:22:00
120,1.87,1.87,1.87,1.87,100,2022-05-27 16:23:00
121,1.875,1.875,1.87,1.87,200,2022-05-27 16:26:00
122,1.875,1.875,1.875,1.875,100,2022-05-27 16:27:00
123,1.875,1.875,1.875,1.875,200,2022-05-27 16:29:00
124,1.875,1.875,1.875,1.875,100,2022-05-27 16:33:00
125,1.87,1.87,1.87,1.87,100,2022-05-27 16:35:00
126,1.875,1.875,1.875,1.875,100,2022-05-27 16:39:00
127,1.88,1.88,1.88,1.88,130,2022-05-27 16:40:00
128,1.875,1.875,1.875,1.875,100,2022-05-27 16:41:00
129,1.875,1.875,1.875,1.875,100,2022-05-27 16:44:00
130,1.87,1.875,1.87,1.875,400,2022-05-27 16:47:00
131,1.875,1.875,1.875,1.875,100,2022-05-27 16:50:00
132,1.875,1.875,1.875,1.875,100,2022-05-27 16:51:00
133,1.875,1.875,1.875,1.875,100,2022-05-27 16:54:00
134,1.87,1.87,1.87,1.87,100,2022-05-27 16:56:00
135,1.87,1.875,1.87,1.875,200,2022-05-27 17:00:00
136,1.8721,1.8721,1.8721,1.8721,105,2022-05-27 17:02:00
137,1.875,1.88,1.875,1.88,200,2022-05-27 17:03:00
138,1.875,1.875,1.875,1.875,100,2022-05-27 17:06:00
139,1.88,1.88,1.88,1.88,100,2022-05-27 17:10:00
140,1.875,1.875,1.875,1.875,100,2022-05-27 17:11:00
141,1.87,1.87,1.87,1.87,100,2022-05-27 17:12:00
142,1.875,1.88,1.875,1.88,1421,2022-05-27 17:13:00
143,1.875,1.875,1.875,1.875,100,2022-05-27 17:14:00
144,1.875,1.875,1.875,1.875,100,2022-05-27 17:18:00
145,1.87,1.87,1.87,1.87,100,2022-05-27 17:20:00
146,1.8799,1.88,1.8799,1.88,400,2022-05-27 17:21:00
147,1.875,1.875,1.875,1.875,200,2022-05-27 17:24:00
148,1.875,1.89,1.875,1.89,2243,2022-05-27 17:25:00
149,1.885,1.885,1.885,1.885,100,2022-05-27 17:27:00
150,1.885,1.885,1.885,1.885,100,2022-05-27 17:31:00
151,1.885,1.885,1.885,1.885,100,2022-05-27 17:32:00
152,1.885,1.885,1.885,1.885,100,2022-05-27 17:44:00
153,1.89,1.89,1.89,1.89,100,2022-05-27 17:45:00
154,1.885,1.885,1.885,1.885,100,2022-05-27 17:46:00
155,1.885,1.885,1.88,1.88,800,2022-05-27 17:48:00
156,1.885,1.885,1.885,1.885,100,2022-05-27 17:49:00
157,1.8838,1.8838,1.8838,1.8838,150,2022-05-27 17:52:00
158,1.8801,1.885,1.8801,1.885,925,2022-05-27 17:53:00
159,1.88,1.88,1.88,1.88,1550,2022-05-27 17:54:00
160,1.88,1.88,1.87,1.87,1443,2022-05-27 17:55:00
