,open,high,low,close,volume,datetime
0,0.621,0.621,0.621,0.621,106,2022-05-27 13:30:00
1,0.647501,0.647501,0.6185,0.6185,2926,2022-05-27 13:40:00
2,0.6344,0.6344,0.6344,0.6344,218,2022-05-27 13:53:00
3,0.6189,0.619,0.6189,0.619,450,2022-05-27 13:57:00
4,0.6498,0.6498,0.6498,0.6498,500,2022-05-27 14:00:00
5,0.64,0.64,0.64,0.64,500,2022-05-27 14:22:00
6,0.64,0.64,0.6362,0.639899,1155,2022-05-27 14:24:00
7,0.64,0.64,0.6295,0.6295,2400,2022-05-27 14:35:00
8,0.639999,0.639999,0.6189,0.6189,524,2022-05-27 14:42:00
9,0.62,0.62,0.6189,0.6189,4346,2022-05-27 14:45:00
10,0.6205,0.6205,0.6205,0.6205,600,2022-05-27 15:06:00
11,0.62,0.621378,0.6185,0.6185,7391,2022-05-27 15:21:00
12,0.611,0.62,0.61,0.61,1845,2022-05-27 15:22:00
13,0.62,0.62,0.62,0.62,634,2022-05-27 15:25:00
14,0.6151,0.6199,0.6151,0.6199,400,2022-05-27 15:29:00
15,0.6199,0.6199,0.6199,0.6199,100,2022-05-27 15:30:00
16,0.6151,0.6151,0.6151,0.6151,100,2022-05-27 15:34:00
17,0.6199,0.6199,0.6199,0.6199,100,2022-05-27 15:47:00
18,0.6199,0.6199,0.6199,0.6199,100,2022-05-27 15:58:00
19,0.62,0.62,0.615,0.615,200,2022-05-27 16:00:00
20,0.6105,0.6199,0.6105,0.6199,200,2022-05-27 16:01:00
21,0.6149,0.62,0.6149,0.6199,3000,2022-05-27 16:02:00
22,0.62,0.63,0.62,0.625,2702,2022-05-27 16:03:00
23,0.6251,0.628,0.62,0.62,2700,2022-05-27 16:04:00
24,0.625,0.625,0.625,0.625,200,2022-05-27 16:05:00
25,0.6201,0.6201,0.6201,0.6201,400,2022-05-27 16:07:00
26,0.6202,0.6245,0.6102,0.6102,1100,2022-05-27 16:21:00
27,0.6201,0.6201,0.6201,0.6201,200,2022-05-27 16:24:00
28,0.62,0.62,0.62,0.62,100,2022-05-27 16:28:00
29,0.616,0.616,0.616,0.616,100,2022-05-27 16:29:00
30,0.6102,0.625,0.61,0.625,1640,2022-05-27 16:30:00
31,0.62,0.62,0.6195,0.62,300,2022-05-27 16:35:00
32,0.618,0.618,0.618,0.618,100,2022-05-27 16:37:00
33,0.6181,0.6289,0.6181,0.6289,600,2022-05-27 16:44:00
34,0.6201,0.6201,0.6201,0.6201,2300,2022-05-27 17:01:00
35,0.6201,0.6201,0.62,0.62,1872,2022-05-27 17:02:00
36,0.6398,0.6398,0.6398,0.6398,1400,2022-05-27 17:09:00
37,0.6383,0.6383,0.6383,0.6383,130,2022-05-27 17:34:00
38,0.6383,0.6383,0.6383,0.6383,100,2022-05-27 17:35:00
39,0.6189,0.627616,0.6189,0.6189,5598,2022-05-27 17:37:00
40,0.6101,0.6382,0.6101,0.6382,400,2022-05-27 17:38:00
41,0.634,0.634,0.634,0.634,100,2022-05-27 17:39:00
42,0.622,0.622,0.622,0.622,100,2022-05-27 17:45:00
43,0.634,0.634,0.634,0.634,382,2022-05-27 18:01:00
44,0.62205,0.62205,0.62205,0.62205,100,2022-05-27 18:03:00
45,0.63,0.63,0.63,0.63,175,2022-05-27 18:09:00
46,0.629219,0.629219,0.629219,0.629219,1000,2022-05-27 18:16:00
47,0.6101,0.62205,0.6101,0.6108,3400,2022-05-27 18:40:00
48,0.627,0.627,0.627,0.627,100,2022-05-27 18:47:00
49,0.6339,0.6339,0.6339,0.6339,100,2022-05-27 18:50:00
50,0.6272,0.6272,0.6272,0.6272,100,2022-05-27 18:53:00
51,0.627049,0.627049,0.627049,0.627049,150,2022-05-27 18:59:00
52,0.6305,0.6305,0.6271,0.6271,3200,2022-05-27 19:11:00
53,0.6339,0.6339,0.6339,0.6339,100,2022-05-27 19:13:00
54,0.633799,0.633799,0.627,0.627,600,2022-05-27 19:14:00
55,0.6203,0.6203,0.6203,0.6203,152,2022-05-27 19:16:00
56,0.6338,0.6338,0.6338,0.6338,100,2022-05-27 19:20:00
57,0.6312,0.6312,0.6312,0.6312,2000,2022-05-27 19:22:00
