,open,high,low,close,volume,datetime
0,14.875,14.875,14.875,14.875,100,2022-05-27 18:30:00
1,14.7527,14.7527,14.75,14.75,1000,2022-05-27 19:17:00
2,14.71,14.71,14.71,14.71,112,2022-05-31 13:30:00
3,14.78,14.78,14.78,14.78,414,2022-05-31 18:07:00
4,14.85,14.85,14.85,14.85,343,2022-05-31 18:08:00
5,15.0,15.0,15.0,15.0,342,2022-05-31 18:11:00
6,14.75,14.75,14.75,14.75,100,2022-05-31 19:24:00
7,15.0,15.0,15.0,15.0,100,2022-05-31 19:25:00
8,15.8,15.8,15.1,15.1,200,2022-05-31 19:26:00
9,14.75,14.75,14.75,14.75,100,2022-05-31 19:27:00
10,15.03,15.03,15.03,15.03,100,2022-05-31 19:29:00
11,14.825,14.825,14.825,14.825,120,2022-06-01 14:35:00
12,15.0436,15.0436,15.0436,15.0436,156,2022-06-01 16:37:00
13,14.86,14.86,14.75,14.8,500,2022-06-01 18:40:00
14,14.75,14.75,14.75,14.75,1000,2022-06-01 18:41:00
15,14.7999,14.7999,14.7999,14.7999,145,2022-06-02 18:22:00
16,14.8,14.8,14.8,14.8,400,2022-06-02 19:18:00
17,14.58,14.58,14.58,14.58,100,2022-06-02 19:25:00
18,14.5,14.5,14.5,14.5,300,2022-06-06 18:51:00
19,15.3,15.3,15.3,15.3,1000,2022-06-07 14:47:00
20,15.2899,15.29,15.2899,15.29,200,2022-06-07 15:24:00
