,open,high,low,close,volume,datetime
0,21.45,21.45,21.06,21.06,400,2022-05-27 13:38:00
1,21.06,21.06,21.06,21.06,100,2022-05-27 13:39:00
2,21.72,21.85,21.39,21.39,400,2022-05-27 13:48:00
3,21.45,21.45,21.45,21.45,100,2022-05-27 13:49:00
4,21.68,21.68,21.68,21.68,107,2022-05-27 13:53:00
5,21.55,21.55,21.55,21.55,100,2022-05-27 13:57:00
6,21.52,21.52,21.52,21.52,100,2022-05-27 14:01:00
7,21.48,21.48,21.48,21.48,100,2022-05-27 14:05:00
8,21.46,21.46,21.32,21.32,451,2022-05-27 14:07:00
9,21.44,21.44,21.34,21.34,200,2022-05-27 14:17:00
10,21.41,21.41,21.33,21.33,500,2022-05-27 14:29:00
11,21.44,21.47,21.44,21.46,500,2022-05-27 14:57:00
12,21.46,21.46,21.46,21.46,313,2022-05-27 14:58:00
13,21.44,21.44,21.44,21.44,100,2022-05-27 15:00:00
14,21.55,21.55,21.55,21.55,500,2022-05-27 15:03:00
15,21.45,21.46,21.45,21.46,200,2022-05-27 15:36:00
16,21.46,21.46,21.41,21.41,800,2022-05-27 15:37:00
17,21.48,21.48,21.48,21.48,200,2022-05-27 15:44:00
18,21.48,21.48,21.48,21.48,100,2022-05-27 15:47:00
19,21.46,21.46,21.46,21.46,200,2022-05-27 16:04:00
20,21.45,21.45,21.45,21.45,100,2022-05-27 16:08:00
21,21.465,21.465,21.465,21.465,100,2022-05-27 16:19:00
22,21.505,21.505,21.505,21.505,100,2022-05-27 16:26:00
23,21.515,21.515,21.515,21.515,100,2022-05-27 16:43:00
24,21.55,21.55,21.55,21.55,100,2022-05-27 17:15:00
25,21.59,21.59,21.47,21.5,6000,2022-05-27 17:16:00
26,21.51,21.51,21.51,21.51,100,2022-05-27 17:17:00
27,21.59,21.59,21.59,21.59,100,2022-05-27 17:24:00
28,21.51,21.535,21.42,21.42,3659,2022-05-27 17:37:00
29,21.49,21.49,21.49,21.49,100,2022-05-27 17:40:00
30,21.53,21.53,21.53,21.53,100,2022-05-27 17:41:00
31,21.59,21.59,21.59,21.59,100,2022-05-27 17:58:00
32,21.595,21.595,21.595,21.595,100,2022-05-27 18:00:00
33,21.595,21.595,21.595,21.595,100,2022-05-27 18:01:00
34,21.595,21.595,21.595,21.595,200,2022-05-27 18:02:00
35,21.61,21.61,21.61,21.61,100,2022-05-27 18:06:00
36,21.6,21.6,21.6,21.6,100,2022-05-27 18:27:00
37,21.615,21.615,21.615,21.615,100,2022-05-27 18:30:00
38,21.63,21.63,21.63,21.63,100,2022-05-27 18:33:00
39,21.6,21.61,21.6,21.6,600,2022-05-27 18:39:00
40,21.56,21.56,21.56,21.56,100,2022-05-27 18:41:00
41,21.6,21.6,21.6,21.6,100,2022-05-27 19:01:00
42,21.64,21.66,21.635,21.635,600,2022-05-27 19:24:00
43,21.7,21.7,21.7,21.7,100,2022-05-27 19:25:00
44,21.69,21.69,21.67,21.67,400,2022-05-27 19:36:00
45,21.66,21.66,21.66,21.66,300,2022-05-27 19:37:00
46,21.67,21.68,21.67,21.68,300,2022-05-27 19:42:00
47,21.68,21.68,21.68,21.68,100,2022-05-27 19:43:00
48,21.67,21.67,21.65,21.65,200,2022-05-27 19:50:00
49,21.62,21.625,21.62,21.625,200,2022-05-27 19:52:00
50,21.61,21.63,21.61,21.63,502,2022-05-27 19:53:00
51,21.62,21.66,21.62,21.66,200,2022-05-27 19:59:00
52,21.62,21.62,21.62,21.62,3015,2022-05-27 20:00:00
53,21.62,21.62,21.62,21.62,377,2022-05-27 20:01:00
54,21.38,21.38,21.38,21.38,1085,2022-05-31 13:30:00
55,21.33,21.33,21.33,21.33,200,2022-05-31 13:40:00
56,21.33,21.33,21.18,21.18,200,2022-05-31 13:42:00
57,21.35,21.35,21.35,21.35,100,2022-05-31 13:48:00
58,21.38,21.4,21.38,21.4,300,2022-05-31 14:21:00
59,21.33,21.33,21.33,21.33,100,2022-05-31 14:37:00
60,21.32,21.32,21.32,21.32,100,2022-05-31 14:38:00
61,21.3599,21.3599,21.3599,21.3599,1798,2022-05-31 14:41:00
62,21.25,21.25,21.25,21.25,100,2022-05-31 14:49:00
63,21.16,21.16,21.16,21.16,100,2022-05-31 15:02:00
64,21.22,21.22,21.22,21.22,200,2022-05-31 15:03:00
65,21.12,21.12,21.12,21.12,372,2022-05-31 15:14:00
66,21.09,21.09,21.08,21.08,590,2022-05-31 15:15:00
67,21.27,21.27,21.27,21.27,180,2022-05-31 15:52:00
68,21.41,21.41,21.41,21.41,200,2022-05-31 16:08:00
69,21.38,21.38,21.38,21.38,200,2022-05-31 16:10:00
70,21.35,21.35,21.35,21.35,100,2022-05-31 16:11:00
71,21.35,21.35,21.29,21.3,500,2022-05-31 16:16:00
72,21.305,21.305,21.305,21.305,100,2022-05-31 16:20:00
73,21.305,21.305,21.305,21.305,100,2022-05-31 16:27:00
74,21.285,21.285,21.285,21.285,300,2022-05-31 16:33:00
75,21.264,21.264,21.264,21.264,100,2022-05-31 16:34:00
76,21.35,21.35,21.35,21.35,100,2022-05-31 16:43:00
77,21.35,21.35,21.35,21.35,100,2022-05-31 16:44:00
78,21.32,21.32,21.32,21.32,100,2022-05-31 16:49:00
79,21.32,21.32,21.32,21.32,100,2022-05-31 16:53:00
80,21.305,21.32,21.305,21.32,200,2022-05-31 17:26:00
81,21.26,21.26,21.26,21.26,100,2022-05-31 17:34:00
82,21.295,21.32,21.295,21.295,450,2022-05-31 17:35:00
83,21.295,21.295,21.295,21.295,100,2022-05-31 17:36:00
84,21.29,21.29,21.29,21.29,100,2022-05-31 17:39:00
85,21.32,21.32,21.32,21.32,300,2022-05-31 17:44:00
86,21.32,21.32,21.32,21.32,100,2022-05-31 17:45:00
87,21.38,21.38,21.38,21.38,100,2022-05-31 17:53:00
88,21.4,21.4,21.4,21.4,100,2022-05-31 17:55:00
89,21.42,21.43,21.42,21.43,200,2022-05-31 18:01:00
90,21.44,21.44,21.435,21.44,300,2022-05-31 18:09:00
91,21.38,21.38,21.38,21.38,100,2022-05-31 18:32:00
92,21.35,21.35,21.35,21.35,100,2022-05-31 18:47:00
93,21.35,21.35,21.35,21.35,100,2022-05-31 18:49:00
94,21.36,21.36,21.36,21.36,200,2022-05-31 18:55:00
95,21.31,21.31,21.31,21.31,100,2022-05-31 19:08:00
96,21.315,21.315,21.315,21.315,210,2022-05-31 19:12:00
97,21.315,21.315,21.315,21.315,100,2022-05-31 19:14:00
98,21.36,21.36,21.36,21.36,100,2022-05-31 19:15:00
99,21.34,21.34,21.34,21.34,100,2022-05-31 19:19:00
100,21.335,21.335,21.335,21.335,100,2022-05-31 19:20:00
101,21.33,21.33,21.33,21.33,100,2022-05-31 19:26:00
102,21.31,21.31,21.31,21.31,100,2022-05-31 19:31:00
103,21.38,21.38,21.36,21.36,200,2022-05-31 19:33:00
104,21.365,21.365,21.365,21.365,100,2022-05-31 19:38:00
105,21.355,21.355,21.355,21.355,100,2022-05-31 19:43:00
