,open,high,low,close,volume,datetime
0,2.05,2.05,2.05,2.05,1260,2022-05-27 13:30:00
1,2.02,2.03,2.02,2.03,1300,2022-05-27 13:32:00
2,2.01,2.01,2.01,2.01,400,2022-05-27 13:33:00
3,2.0,2.0045,2.0,2.0045,1765,2022-05-27 13:34:00
4,1.9999,2.0058,1.9999,2.0058,2900,2022-05-27 13:35:00
5,2.02,2.02,2.02,2.02,288,2022-05-27 13:38:00
6,2.01,2.01,2.01,2.01,100,2022-05-27 13:40:00
7,2.01,2.01,2.01,2.01,300,2022-05-27 13:41:00
8,2.01,2.01,2.0,2.0,350,2022-05-27 13:42:00
9,1.99,1.992,1.97,1.97,3306,2022-05-27 13:45:00
10,1.98,1.98,1.98,1.98,200,2022-05-27 13:46:00
11,1.98,2.0,1.98,2.0,813,2022-05-27 13:47:00
12,1.9928,1.9928,1.9928,1.9928,200,2022-05-27 13:48:00
13,2.0006,2.0006,2.0006,2.0006,169,2022-05-27 13:49:00
14,2.011,2.011,2.01,2.01,482,2022-05-27 13:54:00
15,2.0008,2.0008,2.0008,2.0008,107,2022-05-27 13:55:00
16,2.019,2.019,2.01,2.01,2400,2022-05-27 13:57:00
17,2.005,2.005,2.005,2.005,100,2022-05-27 14:01:00
18,2.005,2.005,2.005,2.005,100,2022-05-27 14:02:00
19,2.0,2.0,2.0,2.0,200,2022-05-27 14:06:00
20,1.99,1.99,1.99,1.99,452,2022-05-27 14:17:00
21,1.99,1.99,1.99,1.99,106,2022-05-27 14:18:00
22,1.995,1.995,1.99,1.99,370,2022-05-27 14:20:00
23,1.99,2.0,1.99,2.0,363,2022-05-27 14:23:00
24,2.0,2.0,2.0,2.0,100,2022-05-27 14:28:00
25,2.0,2.0084,2.0,2.0084,1975,2022-05-27 14:30:00
26,2.0092,2.0092,2.0092,2.0092,1000,2022-05-27 14:31:00
27,2.01,2.02,2.01,2.02,3538,2022-05-27 14:32:00
28,2.03,2.03,2.03,2.03,900,2022-05-27 14:33:00
29,2.03,2.03,2.03,2.03,200,2022-05-27 14:34:00
30,2.03,2.03,2.03,2.03,300,2022-05-27 14:35:00
31,2.03,2.03,2.0202,2.03,700,2022-05-27 14:38:00
32,2.02,2.02,2.01,2.01,1039,2022-05-27 14:39:00
33,2.01,2.01,2.01,2.01,100,2022-05-27 14:40:00
34,2.01,2.01,2.01,2.01,553,2022-05-27 14:41:00
35,2.01,2.01,2.01,2.01,100,2022-05-27 14:42:00
36,2.01,2.01,2.01,2.01,100,2022-05-27 14:43:00
37,2.005,2.005,2.0,2.0,400,2022-05-27 14:46:00
38,2.01,2.01,2.01,2.01,100,2022-05-27 14:49:00
39,2.0051,2.0051,2.0051,2.0051,3000,2022-05-27 14:50:00
40,2.015,2.015,2.01,2.01,500,2022-05-27 14:51:00
41,2.01,2.01,2.01,2.01,100,2022-05-27 14:53:00
42,2.01,2.01,2.01,2.01,100,2022-05-27 14:56:00
43,2.005,2.005,2.005,2.005,100,2022-05-27 14:58:00
44,2.0,2.01,2.0,2.01,1300,2022-05-27 15:03:00
45,2.005,2.005,2.005,2.005,100,2022-05-27 15:08:00
46,2.01,2.01,2.0018,2.0018,1113,2022-05-27 15:10:00
47,2.0138,2.0138,2.0138,2.0138,200,2022-05-27 15:11:00
48,2.0257,2.0257,2.015,2.015,300,2022-05-27 15:12:00
49,2.029,2.029,2.01,2.02,1873,2022-05-27 15:14:00
50,2.0231,2.03,2.0231,2.03,300,2022-05-27 15:17:00
51,2.0205,2.0205,2.01,2.01,300,2022-05-27 15:22:00
52,2.01,2.02,2.01,2.02,300,2022-05-27 15:28:00
53,2.0126,2.0156,2.01,2.015,1224,2022-05-27 15:34:00
54,2.01,2.02,2.01,2.02,200,2022-05-27 15:36:00
55,2.02,2.02,2.02,2.02,100,2022-05-27 15:43:00
56,2.01,2.01,2.01,2.01,114,2022-05-27 15:48:00
57,2.02,2.02,2.02,2.02,100,2022-05-27 15:49:00
58,2.02,2.02,2.02,2.02,100,2022-05-27 15:56:00
