,open,high,low,close,volume,datetime
0,24.2,24.55,24.2,24.2,300,2022-05-27 14:59:00
1,24.2,24.2,24.2,24.2,100,2022-05-27 15:01:00
2,24.0001,24.0001,24.0001,24.0001,100,2022-05-27 15:03:00
3,24.21,24.285,24.2,24.285,706,2022-05-27 15:08:00
4,24.2,24.27,24.2,24.27,200,2022-05-27 15:12:00
5,24.1,24.2,24.1,24.2,1208,2022-05-27 15:14:00
6,24.2,24.2,24.2,24.2,300,2022-05-27 15:21:00
7,24.2,24.21,24.2,24.21,200,2022-05-27 15:29:00
8,24.2,24.2,24.2,24.2,304,2022-05-27 15:30:00
9,24.2,24.2,24.2,24.2,100,2022-05-27 15:31:00
10,24.2,24.2,24.2,24.2,100,2022-05-27 15:33:00
11,24.2,24.2,24.2,24.2,100,2022-05-27 15:34:00
12,24.2,24.2,24.2,24.2,100,2022-05-27 15:35:00
13,24.2,24.2,24.2,24.2,100,2022-05-27 15:37:00
14,24.2,24.2,24.2,24.2,100,2022-05-27 15:38:00
15,24.2,24.2,24.2,24.2,100,2022-05-27 15:39:00
16,24.1801,24.1801,24.1801,24.1801,100,2022-05-27 15:40:00
17,24.2,24.46,24.2,24.46,200,2022-05-27 15:41:00
18,24.16,24.16,24.16,24.16,200,2022-05-27 15:44:00
19,24.2,24.2,24.2,24.2,100,2022-05-27 15:56:00
20,24.2,24.2,24.2,24.2,100,2022-05-27 16:03:00
21,24.21,24.21,24.21,24.21,100,2022-05-27 16:05:00
22,24.2,24.2,24.2,24.2,100,2022-05-27 16:09:00
23,24.33,24.33,24.2,24.2,200,2022-05-27 16:10:00
24,24.2,24.22,24.2,24.2,300,2022-05-27 16:11:00
25,24.25,24.25,24.25,24.25,100,2022-05-27 16:13:00
26,24.2,24.2,24.2,24.2,100,2022-05-27 16:33:00
27,24.24,24.24,24.21,24.21,400,2022-05-27 16:37:00
28,24.18,24.18,24.18,24.18,100,2022-05-27 16:42:00
29,24.2,24.2,24.2,24.2,500,2022-05-27 16:59:00
30,24.2,24.2,24.2,24.2,100,2022-05-27 17:00:00
31,24.03,24.14,24.0101,24.14,391,2022-05-27 17:16:00
32,24.15,24.2,24.03,24.2,507,2022-05-27 17:17:00
33,24.16,24.49,24.16,24.2,900,2022-05-27 17:21:00
34,24.2,24.2,24.2,24.2,300,2022-05-27 17:22:00
35,24.24,24.24,24.23,24.23,200,2022-05-27 17:27:00
36,24.19,24.19,24.19,24.19,100,2022-05-27 17:32:00
37,24.13,24.13,24.13,24.13,242,2022-05-27 17:35:00
38,24.2,24.2,24.2,24.2,100,2022-05-27 17:39:00
39,24.5,24.5,24.315,24.315,400,2022-05-27 17:40:00
40,24.2,24.2,24.2,24.2,100,2022-05-27 17:44:00
41,24.2,24.2,24.2,24.2,100,2022-05-27 17:46:00
42,24.2,24.2,24.2,24.2,200,2022-05-27 17:48:00
43,24.25,24.25,24.25,24.25,100,2022-05-27 17:52:00
44,24.23,24.23,24.2,24.2,1083,2022-05-27 17:56:00
45,24.2,24.2,24.125,24.125,989,2022-05-27 17:58:00
46,24.2,24.3197,24.2,24.2,1300,2022-05-27 17:59:00
47,24.26,24.4,24.1,24.368,1517,2022-05-27 18:00:00
48,24.29,24.29,24.29,24.29,100,2022-05-27 18:01:00
49,24.43,24.43,24.4,24.4,1100,2022-05-27 18:04:00
50,24.31,24.5,24.3,24.5,301,2022-05-27 18:08:00
51,24.5,24.5,24.5,24.5,279,2022-05-27 18:09:00
52,24.47,24.47,24.47,24.47,200,2022-05-27 18:13:00
53,24.5,24.5,24.5,24.5,195,2022-05-27 18:15:00
54,24.5,24.5,24.5,24.5,284,2022-05-27 18:16:00
55,24.5,24.5,24.5,24.5,200,2022-05-27 18:18:00
56,24.46,24.73,24.42,24.73,600,2022-05-27 18:19:00
57,24.58,24.58,24.57,24.57,382,2022-05-27 18:20:00
58,24.43,24.43,24.43,24.43,100,2022-05-27 18:26:00
59,24.2,24.38,24.2,24.38,200,2022-05-27 18:28:00
60,24.38,24.38,24.38,24.38,644,2022-05-27 18:29:00
61,24.79,24.79,24.79,24.79,100,2022-05-27 18:30:00
62,24.26,24.26,24.26,24.26,200,2022-05-27 18:33:00
63,24.2,24.2,24.2,24.2,100,2022-05-27 18:38:00
64,24.2,24.245,24.2,24.245,621,2022-05-27 18:45:00
65,24.215,24.215,24.215,24.215,100,2022-05-27 18:46:00
66,24.2,24.2,24.2,24.2,100,2022-05-27 18:52:00
67,24.395,24.395,24.21,24.21,1373,2022-05-27 18:53:00
68,24.2,24.25,24.19,24.19,600,2022-05-27 19:05:00
69,24.2,24.2,24.2,24.2,100,2022-05-27 19:06:00
70,24.45,24.45,24.28,24.28,429,2022-05-27 19:27:00
71,24.28,24.28,24.28,24.28,100,2022-05-27 19:28:00
72,24.19,24.19,24.19,24.19,100,2022-05-27 19:36:00
73,24.13,24.2,24.13,24.2,300,2022-05-27 19:43:00
74,24.2,24.245,24.2,24.245,494,2022-05-27 19:44:00
75,24.2,24.2,24.2,24.2,100,2022-05-27 19:47:00
76,24.2,24.2,24.2,24.2,200,2022-05-27 19:49:00
77,24.21,24.21,24.21,24.21,100,2022-05-27 19:51:00
78,24.345,24.345,24.24,24.24,325,2022-05-27 19:56:00
79,24.43,24.43,24.38,24.38,300,2022-05-27 19:57:00
80,24.18,24.4,24.18,24.4,307,2022-05-27 19:59:00
81,24.4,24.4,24.4,24.4,639,2022-05-27 20:00:00
82,24.49,24.49,24.49,24.49,100,2022-05-31 13:56:00
83,24.3,24.3,24.09,24.3,500,2022-05-31 14:08:00
84,24.3,24.3,24.3,24.3,200,2022-05-31 14:09:00
85,24.35,24.5,24.35,24.355,2500,2022-05-31 14:38:00
86,24.37,24.37,24.37,24.37,100,2022-05-31 14:41:00
87,24.2001,24.2001,24.2001,24.2001,100,2022-05-31 14:53:00
88,24.2001,24.2001,24.2001,24.2001,100,2022-05-31 15:05:00
89,24.435,24.435,24.23,24.435,300,2022-05-31 15:15:00
90,24.45,24.64,24.3,24.3,3000,2022-05-31 15:23:00
91,24.2901,24.2901,24.2901,24.2901,100,2022-05-31 15:28:00
92,24.61,24.61,24.61,24.61,100,2022-05-31 15:29:00
93,24.61,24.61,24.29,24.3,1960,2022-05-31 15:35:00
94,24.32,24.46,24.3,24.3,1500,2022-05-31 16:07:00
95,24.32,24.32,24.29,24.31,1100,2022-05-31 16:08:00
96,24.38,24.38,24.38,24.38,200,2022-05-31 16:09:00
97,24.29,24.3,24.29,24.3,982,2022-05-31 16:10:00
98,24.35,24.35,24.35,24.35,100,2022-05-31 16:12:00
99,24.3,24.3,24.3,24.3,100,2022-05-31 16:13:00
100,24.3,24.3,24.3,24.3,200,2022-05-31 16:14:00
101,24.24,24.24,24.24,24.24,100,2022-05-31 16:15:00
102,24.1401,24.1401,24.1401,24.1401,100,2022-05-31 16:16:00
103,24.2259,24.2259,24.2259,24.2259,500,2022-05-31 16:17:00
104,24.32,24.32,24.3,24.3,400,2022-05-31 16:32:00
105,24.3,24.3,24.3,24.3,200,2022-05-31 16:34:00
106,24.33,24.33,24.33,24.33,100,2022-05-31 16:35:00
107,24.28,24.28,24.28,24.28,100,2022-05-31 16:38:00
108,24.37,24.37,24.37,24.37,200,2022-05-31 16:54:00
109,24.33,24.35,24.31,24.31,705,2022-05-31 17:13:00
110,24.31,24.31,24.31,24.31,200,2022-05-31 17:14:00
111,24.2801,24.2801,24.2801,24.2801,100,2022-05-31 17:36:00
112,24.3,24.31,24.3,24.3,300,2022-05-31 17:48:00
113,24.3,24.3,24.29,24.29,200,2022-05-31 17:49:00
114,24.34,24.34,24.32,24.32,300,2022-05-31 18:03:00
115,24.3,24.3,24.29,24.29,400,2022-05-31 18:04:00
116,24.22,24.22,24.22,24.22,100,2022-05-31 18:29:00
117,24.22,24.22,24.22,24.22,100,2022-05-31 18:30:00
118,24.1401,24.1401,24.1401,24.1401,300,2022-05-31 18:31:00
119,24.3,24.3,24.3,24.3,300,2022-05-31 18:43:00
120,24.25,24.25,24.25,24.25,100,2022-05-31 18:56:00
121,24.45,24.45,24.45,24.45,300,2022-05-31 19:09:00
122,24.51,24.51,24.51,24.51,100,2022-05-31 19:10:00
123,24.4001,24.4001,24.4001,24.4001,100,2022-05-31 19:16:00
124,24.51,24.51,24.5,24.5,204,2022-05-31 19:19:00
125,24.48,24.48,24.48,24.48,100,2022-05-31 19:31:00
126,24.4201,24.4201,24.4201,24.4201,100,2022-05-31 19:39:00
127,24.495,24.495,24.495,24.495,100,2022-05-31 19:42:00
128,24.51,24.51,24.38,24.38,1300,2022-05-31 19:43:00
129,24.32,24.32,24.32,24.32,200,2022-05-31 19:44:00
130,24.48,24.49,24.48,24.49,400,2022-05-31 19:51:00
131,24.52,24.52,24.52,24.52,200,2022-05-31 19:53:00
132,24.52,24.52,24.52,24.52,200,2022-05-31 19:55:00
133,24.45,24.47,24.45,24.46,400,2022-05-31 19:56:00
134,24.46,24.49,24.45,24.49,600,2022-05-31 19:58:00
135,24.45,24.45,24.37,24.37,654,2022-05-31 19:59:00
136,24.45,24.45,24.45,24.45,277,2022-05-31 20:00:00
137,24.45,24.45,24.45,24.45,100,2022-06-01 14:47:00
138,24.45,24.45,24.45,24.45,100,2022-06-01 14:49:00
139,24.45,24.45,24.45,24.45,100,2022-06-01 14:51:00
140,24.45,24.45,24.45,24.45,100,2022-06-01 14:52:00
141,24.45,24.45,24.45,24.45,200,2022-06-01 14:54:00
142,24.3201,24.3201,24.3201,24.3201,100,2022-06-01 14:56:00
143,24.43,24.43,24.43,24.43,100,2022-06-01 14:57:00
144,24.45,24.45,24.45,24.45,100,2022-06-01 15:00:00
145,24.45,24.45,24.45,24.45,100,2022-06-01 15:05:00
146,24.385,24.385,24.385,24.385,100,2022-06-01 15:07:00
147,24.5,24.5,24.5,24.5,100,2022-06-01 15:12:00
148,24.36,24.36,24.36,24.36,100,2022-06-01 15:18:00
149,24.49,24.49,24.49,24.49,100,2022-06-01 15:24:00
150,24.31,24.36,24.19,24.19,500,2022-06-01 15:45:00
151,24.39,24.39,24.39,24.39,100,2022-06-01 15:48:00
152,24.36,24.36,24.36,24.36,100,2022-06-01 15:51:00
153,24.35,24.35,24.35,24.35,100,2022-06-01 15:54:00
154,24.3,24.3,24.3,24.3,100,2022-06-01 16:02:00
155,24.175,24.175,24.175,24.175,400,2022-06-01 16:03:00
156,24.45,24.45,24.14,24.14,300,2022-06-01 16:05:00
157,24.45,24.45,24.45,24.45,1135,2022-06-01 16:16:00
158,24.45,24.45,24.45,24.45,200,2022-06-01 16:17:00
159,24.5,24.5,24.5,24.5,100,2022-06-01 16:18:00
160,24.5,24.5,24.5,24.5,100,2022-06-01 16:20:00
161,24.55,24.55,24.55,24.55,100,2022-06-01 16:41:00
162,24.6,24.6,24.6,24.6,674,2022-06-01 16:59:00
163,24.6,24.6,24.58,24.58,1706,2022-06-01 17:00:00
164,24.6,24.6,24.6,24.6,111,2022-06-01 17:01:00
165,24.56,24.56,24.56,24.56,300,2022-06-01 17:04:00
166,24.465,24.465,24.465,24.465,100,2022-06-01 17:07:00
167,24.65,24.65,24.65,24.65,200,2022-06-01 17:16:00
168,24.64,24.64,24.64,24.64,100,2022-06-01 17:18:00
169,24.46,24.46,24.46,24.46,146,2022-06-01 17:19:00
170,24.65,24.65,24.65,24.65,100,2022-06-01 17:29:00
171,24.65,24.65,24.65,24.65,300,2022-06-01 17:33:00
172,24.65,24.65,24.65,24.65,767,2022-06-01 17:35:00
173,24.65,24.65,24.6,24.6,816,2022-06-01 17:36:00
174,24.7,24.7,24.7,24.7,200,2022-06-01 17:37:00
175,24.7,24.7,24.7,24.7,398,2022-06-01 17:38:00
176,24.7,24.7,24.7,24.7,100,2022-06-01 17:40:00
177,24.7,24.7,24.7,24.7,400,2022-06-01 17:42:00
178,24.7,24.7,24.7,24.7,100,2022-06-01 17:44:00
179,24.7,24.7,24.7,24.7,100,2022-06-01 17:45:00
180,24.7,24.7,24.7,24.7,100,2022-06-01 17:46:00
181,24.75,24.75,24.75,24.75,100,2022-06-01 17:55:00
182,24.75,24.75,24.75,24.75,300,2022-06-01 17:58:00
183,24.75,24.75,24.75,24.75,100,2022-06-01 17:59:00
184,24.75,24.75,24.75,24.75,200,2022-06-01 18:00:00
185,24.8,24.8,24.8,24.8,200,2022-06-01 18:03:00
186,24.8,24.8,24.8,24.8,200,2022-06-01 18:05:00
187,24.79,24.79,24.79,24.79,300,2022-06-01 18:06:00
188,24.8,24.8,24.8,24.8,100,2022-06-01 18:10:00
189,24.775,24.775,24.775,24.775,110,2022-06-01 18:11:00
190,24.8,24.8,24.8,24.8,300,2022-06-01 18:15:00
191,24.79,24.79,24.79,24.79,200,2022-06-01 18:19:00
192,24.72,24.72,24.7,24.7,300,2022-06-01 18:20:00
193,24.63,24.63,24.555,24.555,300,2022-06-01 18:21:00
194,24.47,24.47,24.39,24.4,1540,2022-06-01 18:22:00
