,open,high,low,close,volume,datetime
0,2.73,2.73,2.73,2.73,200,2022-05-27 12:49:00
1,2.73,2.73,2.73,2.73,100,2022-05-27 12:50:00
2,2.71,2.71,2.71,2.71,100,2022-05-27 12:55:00
3,2.82,2.84,2.77,2.77,791,2022-05-27 13:12:00
4,2.8,2.8,2.76,2.7648,11024,2022-05-27 13:30:00
5,2.78,3.05,2.77,2.92,65343,2022-05-27 13:31:00
6,2.92,2.92,2.88,2.88,6826,2022-05-27 13:32:00
7,2.88,3.02,2.84,2.94,62243,2022-05-27 13:33:00
8,2.935,2.96,2.89,2.89,28883,2022-05-27 13:34:00
9,2.89,2.99,2.89,2.95,94672,2022-05-27 13:35:00
10,2.95,2.96,2.94,2.95,3404,2022-05-27 13:36:00
11,2.94,2.95,2.9,2.91,15930,2022-05-27 13:37:00
12,2.92,2.97,2.9,2.9,62617,2022-05-27 13:38:00
13,2.9,2.9095,2.89,2.89,20051,2022-05-27 13:39:00
14,2.89,2.89,2.87,2.88,10800,2022-05-27 13:40:00
15,2.9,3.0,2.88,2.97,148135,2022-05-27 13:41:00
16,2.97,2.98,2.94,2.96,63044,2022-05-27 13:42:00
17,2.95,2.96,2.9,2.9,38488,2022-05-27 13:43:00
18,2.91,2.96,2.91,2.91,38718,2022-05-27 13:44:00
19,2.91,2.9109,2.91,2.91,2989,2022-05-27 13:45:00
20,2.915,2.915,2.905,2.91,3395,2022-05-27 13:46:00
21,2.91,2.925,2.88,2.88,13494,2022-05-27 13:47:00
22,2.895,2.9043,2.89,2.9,3100,2022-05-27 13:48:00
23,2.9,2.95,2.885,2.9,60504,2022-05-27 13:49:00
24,2.9,2.9,2.9,2.9,1200,2022-05-27 13:50:00
25,2.9,2.93,2.87,2.9,75663,2022-05-27 13:51:00
26,2.9075,2.915,2.85,2.85,49243,2022-05-27 13:52:00
27,2.84,2.85,2.84,2.85,2468,2022-05-27 13:53:00
28,2.86,2.87,2.86,2.87,690,2022-05-27 13:54:00
29,2.87,2.875,2.87,2.87,1272,2022-05-27 13:55:00
30,2.8775,2.88,2.8775,2.88,5109,2022-05-27 13:56:00
31,2.885,2.885,2.88,2.88,1953,2022-05-27 13:57:00
32,2.885,2.8951,2.885,2.8951,805,2022-05-27 13:58:00
33,2.89,2.89,2.87,2.88,2478,2022-05-27 14:00:00
34,2.87,2.88,2.86,2.88,16582,2022-05-27 14:01:00
35,2.88,2.89,2.88,2.89,300,2022-05-27 14:02:00
36,2.9,2.91,2.9,2.91,5456,2022-05-27 14:03:00
37,2.91,2.91,2.89,2.89,4671,2022-05-27 14:04:00
38,2.89,2.9,2.89,2.9,500,2022-05-27 14:05:00
39,2.89,2.905,2.89,2.9,2224,2022-05-27 14:07:00
40,2.9,2.9,2.89,2.89,500,2022-05-27 14:08:00
41,2.9,2.9,2.9,2.9,100,2022-05-27 14:09:00
42,2.89,2.9,2.89,2.9,1200,2022-05-27 14:10:00
43,2.9,2.91,2.89,2.9,11435,2022-05-27 14:11:00
44,2.9,2.905,2.9,2.905,200,2022-05-27 14:12:00
45,2.9,2.9,2.88,2.88,2921,2022-05-27 14:13:00
46,2.89,2.89,2.87,2.8783,13895,2022-05-27 14:14:00
47,2.8767,2.88,2.8767,2.878,300,2022-05-27 14:15:00
48,2.878,2.905,2.878,2.905,1232,2022-05-27 14:16:00
49,2.9,2.905,2.9,2.9,400,2022-05-27 14:17:00
50,2.905,2.91,2.9,2.9,8726,2022-05-27 14:18:00
51,2.9,2.9,2.9,2.9,100,2022-05-27 14:19:00
52,2.9001,2.92,2.9,2.9,6116,2022-05-27 14:20:00
53,2.9,2.9,2.9,2.9,300,2022-05-27 14:21:00
54,2.91,2.93,2.9,2.91,10974,2022-05-27 14:22:00
55,2.91,2.915,2.9,2.9,7881,2022-05-27 14:23:00
56,2.9,2.9,2.9,2.9,100,2022-05-27 14:24:00
57,2.905,2.93,2.88,2.88,25742,2022-05-27 14:25:00
58,2.885,2.91,2.885,2.91,12869,2022-05-27 14:26:00
59,2.9,2.92,2.9,2.91,14269,2022-05-27 14:27:00
60,2.91,2.91,2.8986,2.9,5716,2022-05-27 14:28:00
61,2.91,2.91,2.91,2.91,3205,2022-05-27 14:30:00
62,2.91,2.91,2.91,2.91,1666,2022-05-27 14:31:00
63,2.91,2.91,2.91,2.91,400,2022-05-27 14:32:00
64,2.91,2.91,2.895,2.91,11322,2022-05-27 14:33:00
65,2.905,2.91,2.905,2.905,2100,2022-05-27 14:34:00
66,2.905,2.92,2.905,2.91,20786,2022-05-27 14:35:00
67,2.91,2.92,2.91,2.91,6700,2022-05-27 14:36:00
68,2.91,2.92,2.91,2.91,500,2022-05-27 14:37:00
69,2.912,2.915,2.9,2.905,1658,2022-05-27 14:38:00
70,2.9041,2.9041,2.9041,2.9041,100,2022-05-27 14:39:00
71,2.89,2.89,2.885,2.885,700,2022-05-27 14:40:00
72,2.885,2.885,2.885,2.885,822,2022-05-27 14:41:00
73,2.88,2.88,2.88,2.88,100,2022-05-27 14:42:00
74,2.88,2.88,2.875,2.875,822,2022-05-27 14:43:00
75,2.87,2.87,2.87,2.87,1300,2022-05-27 14:44:00
76,2.87,2.87,2.845,2.85,7951,2022-05-27 14:45:00
77,2.85,2.85,2.85,2.85,100,2022-05-27 14:46:00
78,2.845,2.845,2.84,2.84,307,2022-05-27 14:47:00
79,2.845,2.86,2.84,2.855,4804,2022-05-27 14:48:00
80,2.855,2.86,2.855,2.86,900,2022-05-27 14:49:00
81,2.865,2.865,2.865,2.865,200,2022-05-27 14:50:00
82,2.875,2.875,2.875,2.875,100,2022-05-27 14:51:00
83,2.875,2.875,2.875,2.875,465,2022-05-27 14:52:00
84,2.875,2.875,2.87,2.87,537,2022-05-27 14:53:00
85,2.87,2.87,2.87,2.87,100,2022-05-27 14:54:00
86,2.88,2.88,2.865,2.865,9187,2022-05-27 14:55:00
87,2.86,2.86,2.85,2.85,4590,2022-05-27 14:56:00
88,2.84,2.84,2.82,2.83,9700,2022-05-27 14:57:00
89,2.835,2.835,2.83,2.83,440,2022-05-27 14:58:00
90,2.835,2.84,2.835,2.84,500,2022-05-27 14:59:00
91,2.835,2.835,2.83,2.83,400,2022-05-27 15:00:00
92,2.835,2.835,2.835,2.835,600,2022-05-27 15:01:00
93,2.83,2.83,2.82,2.82,3856,2022-05-27 15:02:00
94,2.82,2.83,2.82,2.83,432,2022-05-27 15:03:00
95,2.835,2.835,2.83,2.835,2200,2022-05-27 15:04:00
96,2.84,2.845,2.84,2.845,500,2022-05-27 15:05:00
97,2.85,2.87,2.85,2.86,4477,2022-05-27 15:06:00
98,2.87,2.87,2.87,2.87,200,2022-05-27 15:07:00
99,2.87,2.87,2.87,2.87,500,2022-05-27 15:08:00
100,2.87,2.877,2.87,2.877,1450,2022-05-27 15:09:00
101,2.875,2.875,2.87,2.87,500,2022-05-27 15:10:00
102,2.875,2.88,2.86,2.86,12272,2022-05-27 15:11:00
103,2.87,2.875,2.87,2.875,300,2022-05-27 15:12:00
104,2.87,2.875,2.84,2.85,26666,2022-05-27 15:13:00
105,2.85,2.85,2.84,2.84,2900,2022-05-27 15:15:00
106,2.86,2.89,2.86,2.86,12620,2022-05-27 15:16:00
107,2.87,2.87,2.86,2.86,200,2022-05-27 15:17:00
108,2.86,2.88,2.86,2.87,900,2022-05-27 15:18:00
109,2.87,2.87,2.8682,2.8682,1050,2022-05-27 15:19:00
110,2.86,2.89,2.85,2.88,15509,2022-05-27 15:20:00
111,2.885,2.885,2.88,2.88,500,2022-05-27 15:21:00
112,2.885,2.89,2.885,2.885,3000,2022-05-27 15:22:00
113,2.885,2.885,2.885,2.885,200,2022-05-27 15:23:00
114,2.88,2.88,2.878,2.878,2600,2022-05-27 15:25:00
115,2.88,2.88,2.88,2.88,500,2022-05-27 15:26:00
116,2.875,2.88,2.87,2.87,1500,2022-05-27 15:27:00
117,2.87,2.87,2.87,2.87,100,2022-05-27 15:28:00
118,2.875,2.89,2.875,2.89,1924,2022-05-27 15:29:00
119,2.89,2.89,2.885,2.885,300,2022-05-27 15:30:00
120,2.89,2.8989,2.89,2.895,1838,2022-05-27 15:31:00
121,2.895,2.9,2.895,2.9,600,2022-05-27 15:32:00
122,2.895,2.895,2.89,2.89,992,2022-05-27 15:35:00
123,2.895,2.895,2.895,2.895,100,2022-05-27 15:37:00
124,2.89,2.9,2.89,2.89,1118,2022-05-27 15:38:00
125,2.895,2.895,2.89,2.89,410,2022-05-27 15:39:00
126,2.89,2.9,2.89,2.89,1101,2022-05-27 15:40:00
127,2.89,2.895,2.89,2.89,678,2022-05-27 15:41:00
128,2.9,2.9,2.9,2.9,200,2022-05-27 15:43:00
129,2.9,2.9,2.89,2.89,6238,2022-05-27 15:44:00
130,2.89,2.89,2.89,2.89,400,2022-05-27 15:45:00
131,2.89,2.89,2.89,2.89,100,2022-05-27 15:46:00
132,2.89,2.89,2.89,2.89,100,2022-05-27 15:47:00
133,2.89,2.89,2.89,2.89,100,2022-05-27 15:48:00
134,2.89,2.895,2.89,2.89,3800,2022-05-27 15:49:00
135,2.88,2.88,2.87,2.87,1800,2022-05-27 15:50:00
136,2.87,2.87,2.85,2.86,16175,2022-05-27 15:51:00
137,2.86,2.865,2.86,2.8601,5026,2022-05-27 15:52:00
138,2.86,2.86,2.85,2.85,1501,2022-05-27 15:54:00
139,2.85,2.8542,2.84,2.84,3238,2022-05-27 15:57:00
140,2.84,2.845,2.84,2.845,1035,2022-05-27 15:58:00
141,2.85,2.85,2.85,2.85,100,2022-05-27 15:59:00
142,2.855,2.86,2.855,2.86,1216,2022-05-27 16:00:00
143,2.86,2.87,2.85,2.87,2675,2022-05-27 16:01:00
144,2.87,2.88,2.87,2.87,600,2022-05-27 16:02:00
145,2.8692,2.87,2.8692,2.87,200,2022-05-27 16:03:00
146,2.87,2.87,2.87,2.87,200,2022-05-27 16:04:00
147,2.86,2.86,2.86,2.86,100,2022-05-27 16:05:00
148,2.86,2.86,2.86,2.86,400,2022-05-27 16:06:00
149,2.8558,2.8558,2.855,2.855,1200,2022-05-27 16:07:00
150,2.85,2.86,2.84,2.84,400,2022-05-27 16:08:00
151,2.85,2.85,2.85,2.85,100,2022-05-27 16:09:00
152,2.85,2.855,2.85,2.85,829,2022-05-27 16:10:00
153,2.86,2.86,2.86,2.86,115,2022-05-27 16:11:00
154,2.87,2.89,2.8635,2.89,732,2022-05-27 16:12:00
155,2.88,2.89,2.88,2.89,1200,2022-05-27 16:13:00
156,2.87,2.87,2.87,2.87,500,2022-05-27 16:16:00
157,2.86,2.86,2.86,2.86,300,2022-05-27 16:17:00
158,2.85,2.85,2.85,2.85,200,2022-05-27 16:18:00
159,2.85,2.85,2.85,2.85,200,2022-05-27 16:19:00
160,2.85,2.86,2.85,2.86,600,2022-05-27 16:20:00
161,2.86,2.86,2.86,2.86,100,2022-05-27 16:21:00
162,2.87,2.87,2.87,2.87,100,2022-05-27 16:22:00
163,2.87,2.87,2.865,2.865,200,2022-05-27 16:23:00
164,2.865,2.865,2.865,2.865,100,2022-05-27 16:24:00
165,2.865,2.865,2.86,2.86,200,2022-05-27 16:27:00
166,2.865,2.865,2.85,2.85,590,2022-05-27 16:29:00
167,2.85,2.85,2.84,2.84,200,2022-05-27 16:30:00
168,2.85,2.85,2.845,2.845,200,2022-05-27 16:31:00
169,2.8493,2.85,2.8493,2.85,2685,2022-05-27 16:32:00
170,2.85,2.85,2.85,2.85,640,2022-05-27 16:33:00
171,2.84,2.84,2.83,2.83,300,2022-05-27 16:35:00
172,2.835,2.85,2.835,2.845,1683,2022-05-27 16:36:00
173,2.841,2.841,2.841,2.841,1000,2022-05-27 16:38:00
174,2.8495,2.85,2.8488,2.85,500,2022-05-27 16:39:00
175,2.85,2.855,2.85,2.855,1200,2022-05-27 16:40:00
176,2.84,2.84,2.81,2.815,14300,2022-05-27 16:41:00
177,2.82,2.84,2.82,2.835,933,2022-05-27 16:42:00
178,2.835,2.835,2.835,2.835,100,2022-05-27 16:43:00
179,2.82,2.83,2.81,2.8125,6173,2022-05-27 16:44:00
180,2.82,2.82,2.81,2.81,3620,2022-05-27 16:45:00
181,2.805,2.81,2.805,2.81,2475,2022-05-27 16:46:00
182,2.81,2.81,2.81,2.81,200,2022-05-27 16:47:00
183,2.82,2.82,2.81,2.81,500,2022-05-27 16:48:00
184,2.81,2.81,2.81,2.81,300,2022-05-27 16:49:00
185,2.81,2.83,2.78,2.8,12661,2022-05-27 16:50:00
186,2.8,2.815,2.8,2.815,1735,2022-05-27 16:51:00
187,2.83,2.83,2.82,2.82,1179,2022-05-27 16:54:00
188,2.82,2.82,2.82,2.82,300,2022-05-27 16:55:00
189,2.82,2.82,2.82,2.82,200,2022-05-27 16:56:00
190,2.82,2.82,2.82,2.82,300,2022-05-27 16:57:00
191,2.815,2.825,2.81,2.82,2140,2022-05-27 16:58:00
192,2.82,2.82,2.82,2.82,100,2022-05-27 16:59:00
193,2.83,2.84,2.83,2.84,6118,2022-05-27 17:00:00
194,2.84,2.84,2.81,2.82,10756,2022-05-27 17:01:00
195,2.82,2.82,2.82,2.82,1293,2022-05-27 17:02:00
196,2.83,2.83,2.82,2.82,300,2022-05-27 17:04:00
197,2.83,2.84,2.825,2.825,5063,2022-05-27 17:06:00
198,2.82,2.825,2.8,2.81,8998,2022-05-27 17:07:00
199,2.81,2.8299,2.81,2.8299,4342,2022-05-27 17:08:00
200,2.83,2.835,2.83,2.835,862,2022-05-27 17:09:00
201,2.83,2.835,2.83,2.835,200,2022-05-27 17:10:00
202,2.835,2.835,2.835,2.835,100,2022-05-27 17:12:00
203,2.83,2.83,2.83,2.83,100,2022-05-27 17:13:00
204,2.835,2.84,2.835,2.8385,300,2022-05-27 17:14:00
205,2.84,2.845,2.84,2.845,3270,2022-05-27 17:15:00
206,2.8425,2.845,2.8425,2.845,600,2022-05-27 17:16:00
207,2.845,2.845,2.845,2.845,500,2022-05-27 17:17:00
208,2.85,2.85,2.845,2.845,500,2022-05-27 17:18:00
209,2.845,2.845,2.845,2.845,100,2022-05-27 17:19:00
210,2.84,2.845,2.84,2.84,4600,2022-05-27 17:20:00
211,2.835,2.835,2.82,2.825,1500,2022-05-27 17:21:00
212,2.825,2.835,2.825,2.835,1132,2022-05-27 17:22:00
213,2.83,2.83,2.83,2.83,100,2022-05-27 17:23:00
214,2.835,2.84,2.835,2.84,800,2022-05-27 17:25:00
215,2.83,2.84,2.81,2.81,12529,2022-05-27 17:26:00
216,2.82,2.82,2.82,2.82,800,2022-05-27 17:27:00
217,2.83,2.83,2.83,2.83,500,2022-05-27 17:28:00
218,2.83,2.83,2.82,2.83,3130,2022-05-27 17:29:00
219,2.83,2.83,2.83,2.83,908,2022-05-27 17:30:00
220,2.84,2.84,2.83,2.83,5100,2022-05-27 17:31:00
221,2.83,2.83,2.83,2.83,2000,2022-05-27 17:32:00
222,2.83,2.845,2.83,2.845,7332,2022-05-27 17:33:00
223,2.85,2.85,2.85,2.85,7292,2022-05-27 17:34:00
224,2.84,2.84,2.82,2.84,3594,2022-05-27 17:35:00
225,2.84,2.86,2.84,2.86,7531,2022-05-27 17:36:00
226,2.855,2.855,2.85,2.85,1800,2022-05-27 17:37:00
227,2.85,2.855,2.85,2.85,798,2022-05-27 17:38:00
228,2.8491,2.85,2.8491,2.85,600,2022-05-27 17:39:00
229,2.85,2.85,2.85,2.85,500,2022-05-27 17:40:00
230,2.85,2.855,2.85,2.8517,2026,2022-05-27 17:41:00
231,2.85,2.85,2.8465,2.8465,1098,2022-05-27 17:42:00
232,2.85,2.85,2.85,2.85,200,2022-05-27 17:43:00
233,2.85,2.8509,2.85,2.8509,900,2022-05-27 17:44:00
234,2.855,2.855,2.85,2.85,200,2022-05-27 17:46:00
235,2.86,2.86,2.86,2.86,600,2022-05-27 17:47:00
236,2.8588,2.8588,2.855,2.855,200,2022-05-27 17:48:00
237,2.85,2.85,2.85,2.85,100,2022-05-27 17:49:00
238,2.855,2.86,2.85,2.85,2026,2022-05-27 17:51:00
239,2.86,2.86,2.86,2.86,100,2022-05-27 17:52:00
240,2.85,2.855,2.85,2.85,400,2022-05-27 17:54:00
241,2.85,2.855,2.85,2.855,1512,2022-05-27 17:55:00
242,2.855,2.855,2.8512,2.8512,778,2022-05-27 17:56:00
243,2.85,2.85,2.85,2.85,300,2022-05-27 17:57:00
244,2.845,2.845,2.845,2.845,100,2022-05-27 17:58:00
245,2.845,2.85,2.845,2.85,800,2022-05-27 17:59:00
246,2.84,2.84,2.84,2.84,100,2022-05-27 18:00:00
247,2.845,2.845,2.83,2.835,4067,2022-05-27 18:01:00
248,2.835,2.86,2.83,2.85,158085,2022-05-27 18:02:00
249,2.85,2.86,2.85,2.86,700,2022-05-27 18:03:00
250,2.86,2.87,2.86,2.87,4492,2022-05-27 18:04:00
251,2.88,2.88,2.88,2.88,105,2022-05-27 18:05:00
252,2.865,2.865,2.865,2.865,1000,2022-05-27 18:08:00
253,2.86,2.9,2.86,2.895,14482,2022-05-27 18:09:00
254,2.895,2.895,2.89,2.89,3900,2022-05-27 18:10:00
255,2.8951,2.8951,2.8951,2.8951,1000,2022-05-27 18:11:00
256,2.895,2.895,2.89,2.89,1406,2022-05-27 18:12:00
257,2.8801,2.8808,2.8801,2.8808,4600,2022-05-27 18:13:00
