,open,high,low,close,volume,datetime
0,204.08,205.0,204.08,205.0,4087,2022-05-27 13:30:00
1,205.0,205.0,205.0,205.0,182,2022-05-27 13:31:00
2,205.64,205.64,205.45,205.45,400,2022-05-27 13:33:00
3,205.03,205.035,205.03,205.035,200,2022-05-27 13:34:00
4,204.86,204.86,204.86,204.86,100,2022-05-27 13:35:00
5,204.63,204.63,204.375,204.375,500,2022-05-27 13:37:00
6,204.64,204.64,204.64,204.64,100,2022-05-27 13:38:00
7,205.31,205.31,205.22,205.22,300,2022-05-27 13:39:00
8,204.9,205.03,204.9,205.03,200,2022-05-27 13:42:00
9,204.61,204.61,204.56,204.605,600,2022-05-27 13:44:00
10,204.69,205.3,204.69,205.16,824,2022-05-27 13:45:00
11,205.335,205.36,205.335,205.36,200,2022-05-27 13:46:00
12,205.21,205.42,205.18,205.42,300,2022-05-27 13:47:00
13,205.36,205.36,205.36,205.36,100,2022-05-27 13:48:00
14,204.89,205.27,204.89,205.27,200,2022-05-27 13:50:00
15,204.91,204.91,204.91,204.91,100,2022-05-27 13:51:00
16,206.17,206.17,205.69,205.69,200,2022-05-27 13:54:00
17,205.95,205.97,205.89,205.935,600,2022-05-27 13:57:00
18,205.91,205.91,205.91,205.91,100,2022-05-27 13:59:00
19,205.92,206.2,205.92,206.2,430,2022-05-27 14:00:00
20,206.54,206.54,206.54,206.54,100,2022-05-27 14:01:00
21,206.725,206.725,206.45,206.45,200,2022-05-27 14:02:00
22,206.725,206.88,206.725,206.805,1000,2022-05-27 14:03:00
23,206.66,206.66,206.63,206.635,518,2022-05-27 14:04:00
24,206.8,206.8,206.8,206.8,100,2022-05-27 14:05:00
25,206.94,206.94,206.61,206.61,559,2022-05-27 14:06:00
26,206.725,206.725,206.725,206.725,100,2022-05-27 14:07:00
27,206.55,206.55,206.44,206.44,200,2022-05-27 14:08:00
28,206.32,206.32,206.32,206.32,100,2022-05-27 14:09:00
29,206.295,206.295,206.295,206.295,100,2022-05-27 14:10:00
30,206.4,206.46,206.4,206.46,300,2022-05-27 14:11:00
31,206.22,206.22,206.22,206.22,100,2022-05-27 14:12:00
32,205.99,205.99,205.99,205.99,100,2022-05-27 14:13:00
33,206.31,206.455,206.2,206.2,633,2022-05-27 14:14:00
34,206.08,206.125,206.08,206.08,300,2022-05-27 14:15:00
35,206.02,206.02,205.86,205.86,200,2022-05-27 14:16:00
36,206.23,206.565,206.12,206.44,1998,2022-05-27 14:17:00
37,206.38,206.38,206.23,206.23,300,2022-05-27 14:18:00
