,open,high,low,close,volume,datetime
0,38.35,38.5499,38.35,38.5499,3101,2022-05-27 13:30:00
1,38.67,38.67,38.67,38.67,200,2022-05-27 13:31:00
2,38.55,38.55,38.51,38.51,328,2022-05-27 13:33:00
3,38.5699,38.5699,38.39,38.39,700,2022-05-27 13:34:00
4,38.44,38.44,38.37,38.37,200,2022-05-27 13:35:00
5,38.445,38.6,38.445,38.56,600,2022-05-27 13:36:00
6,38.38,38.38,38.38,38.38,200,2022-05-27 13:39:00
7,38.38,38.38,38.38,38.38,100,2022-05-27 13:40:00
8,38.45,38.45,38.45,38.45,100,2022-05-27 13:41:00
9,38.42,38.42,38.38,38.39,317,2022-05-27 13:42:00
10,38.46,38.57,38.43,38.5019,4074,2022-05-27 13:43:00
11,38.44,38.44,38.34,38.34,500,2022-05-27 13:44:00
12,38.27,38.27,38.27,38.27,100,2022-05-27 13:45:00
13,38.38,38.38,38.38,38.38,100,2022-05-27 13:46:00
14,38.45,38.53,38.45,38.53,700,2022-05-27 13:47:00
15,38.42,38.42,38.42,38.42,100,2022-05-27 13:48:00
16,38.52,38.6,38.52,38.55,300,2022-05-27 13:50:00
17,38.47,38.47,38.47,38.47,200,2022-05-27 13:51:00
18,38.43,38.43,38.43,38.43,100,2022-05-27 13:52:00
19,38.44,38.44,38.435,38.435,200,2022-05-27 13:53:00
20,38.53,38.5863,38.53,38.5863,200,2022-05-27 13:54:00
21,38.61,38.62,38.61,38.62,200,2022-05-27 13:55:00
22,38.68,38.7,38.58,38.635,5137,2022-05-27 13:57:00
23,38.69,38.93,38.69,38.76,7452,2022-05-27 13:58:00
24,38.76,38.88,38.76,38.88,900,2022-05-27 13:59:00
25,38.76,38.76,38.65,38.65,3843,2022-05-27 14:00:00
26,38.64,38.64,38.54,38.63,1491,2022-05-27 14:01:00
27,38.51,38.51,38.47,38.5,607,2022-05-27 14:04:00
28,38.49,38.5,38.4,38.5,700,2022-05-27 14:05:00
29,38.48,38.48,38.42,38.42,400,2022-05-27 14:06:00
30,38.43,38.43,38.43,38.43,100,2022-05-27 14:07:00
31,38.42,38.46,38.42,38.46,5185,2022-05-27 14:08:00
32,38.49,38.55,38.49,38.55,300,2022-05-27 14:09:00
33,38.56,38.56,38.48,38.49,1684,2022-05-27 14:10:00
34,38.5,38.55,38.5,38.55,500,2022-05-27 14:11:00
35,38.535,38.535,38.535,38.535,100,2022-05-27 14:12:00
36,38.51,38.56,38.51,38.56,600,2022-05-27 14:13:00
37,38.63,38.67,38.59,38.62,1303,2022-05-27 14:14:00
38,38.575,38.575,38.575,38.575,100,2022-05-27 14:15:00
39,38.61,38.61,38.61,38.61,100,2022-05-27 14:16:00
40,38.59,38.64,38.57,38.61,1996,2022-05-27 14:17:00
41,38.59,38.59,38.59,38.59,500,2022-05-27 14:18:00
42,38.575,38.575,38.575,38.575,100,2022-05-27 14:19:00
43,38.59,38.65,38.59,38.65,300,2022-05-27 14:20:00
44,38.67,38.67,38.64,38.665,600,2022-05-27 14:21:00
45,38.59,38.59,38.59,38.59,100,2022-05-27 14:22:00
46,38.62,38.7,38.61,38.7,2100,2022-05-27 14:23:00
47,38.7,38.7,38.63,38.63,1900,2022-05-27 14:24:00
48,38.6,38.6,38.6,38.6,100,2022-05-27 14:25:00
49,38.59,38.59,38.59,38.59,100,2022-05-27 14:26:00
50,38.62,38.62,38.56,38.56,323,2022-05-27 14:27:00
51,38.57,38.58,38.52,38.53,1190,2022-05-27 14:28:00
52,38.57,38.57,38.51,38.55,1310,2022-05-27 14:29:00
53,38.57,38.61,38.57,38.61,354,2022-05-27 14:30:00
54,38.69,38.69,38.69,38.69,200,2022-05-27 14:32:00
55,38.67,38.7,38.65,38.65,1124,2022-05-27 14:33:00
56,38.67,38.685,38.65,38.65,600,2022-05-27 14:34:00
57,38.6138,38.63,38.6138,38.63,400,2022-05-27 14:35:00
58,38.67,38.725,38.67,38.72,2346,2022-05-27 14:36:00
59,38.72,38.75,38.72,38.74,600,2022-05-27 14:37:00
60,38.68,38.705,38.68,38.705,2300,2022-05-27 14:38:00
61,38.72,38.735,38.69,38.705,1553,2022-05-27 14:39:00
62,38.67,38.67,38.67,38.67,239,2022-05-27 14:40:00
63,38.73,38.74,38.73,38.74,300,2022-05-27 14:41:00
64,38.685,38.685,38.685,38.685,100,2022-05-27 14:43:00
65,38.69,38.7,38.69,38.7,500,2022-05-27 14:44:00
66,38.695,38.695,38.68,38.68,300,2022-05-27 14:45:00
67,38.63,38.63,38.56,38.56,600,2022-05-27 14:46:00
68,38.5396,38.5396,38.525,38.525,1000,2022-05-27 14:47:00
69,38.58,38.58,38.57,38.57,400,2022-05-27 14:48:00
70,38.585,38.585,38.585,38.585,100,2022-05-27 14:49:00
71,38.57,38.57,38.55,38.55,803,2022-05-27 14:50:00
72,38.54,38.54,38.54,38.54,200,2022-05-27 14:53:00
73,38.53,38.53,38.51,38.51,500,2022-05-27 14:54:00
74,38.52,38.52,38.49,38.49,400,2022-05-27 14:55:00
75,38.51,38.56,38.505,38.56,700,2022-05-27 14:56:00
76,38.53,38.53,38.52,38.52,377,2022-05-27 14:57:00
77,38.52,38.52,38.44,38.44,6800,2022-05-27 14:58:00
78,38.38,38.38,38.38,38.38,100,2022-05-27 14:59:00
79,38.35,38.35,38.35,38.35,100,2022-05-27 15:01:00
80,38.315,38.315,38.315,38.315,200,2022-05-27 15:02:00
81,38.31,38.31,38.27,38.28,1032,2022-05-27 15:03:00
82,38.31,38.31,38.31,38.31,134,2022-05-27 15:04:00
83,38.26,38.26,38.25,38.25,500,2022-05-27 15:05:00
84,38.39,38.39,38.39,38.39,100,2022-05-27 15:07:00
85,38.38,38.38,38.38,38.38,100,2022-05-27 15:08:00
86,38.37,38.39,38.37,38.39,400,2022-05-27 15:09:00
87,38.4,38.43,38.4,38.43,700,2022-05-27 15:10:00
88,38.42,38.45,38.42,38.44,900,2022-05-27 15:11:00
89,38.48,38.48,38.48,38.48,400,2022-05-27 15:12:00
90,38.42,38.42,38.4,38.405,600,2022-05-27 15:14:00
91,38.43,38.43,38.41,38.41,300,2022-05-27 15:16:00
92,38.44,38.44,38.44,38.44,200,2022-05-27 15:17:00
93,38.48,38.51,38.48,38.51,1500,2022-05-27 15:19:00
94,38.51,38.51,38.51,38.51,200,2022-05-27 15:20:00
95,38.49,38.52,38.49,38.52,700,2022-05-27 15:21:00
96,38.53,38.53,38.51,38.51,358,2022-05-27 15:22:00
97,38.52,38.52,38.52,38.52,100,2022-05-27 15:23:00
98,38.53,38.55,38.53,38.55,700,2022-05-27 15:25:00
99,38.53,38.53,38.48,38.48,800,2022-05-27 15:26:00
100,38.47,38.47,38.47,38.47,100,2022-05-27 15:27:00
101,38.5,38.5,38.5,38.5,200,2022-05-27 15:29:00
102,38.53,38.58,38.49,38.49,3000,2022-05-27 15:30:00
103,38.55,38.56,38.55,38.56,300,2022-05-27 15:31:00
104,38.62,38.64,38.62,38.625,329,2022-05-27 15:33:00
105,38.57,38.57,38.56,38.56,300,2022-05-27 15:34:00
106,38.585,38.585,38.585,38.585,200,2022-05-27 15:36:00
107,38.58,38.58,38.575,38.575,300,2022-05-27 15:37:00
108,38.655,38.655,38.655,38.655,100,2022-05-27 15:39:00
109,38.63,38.63,38.63,38.63,100,2022-05-27 15:40:00
110,38.64,38.645,38.64,38.645,608,2022-05-27 15:41:00
111,38.675,38.675,38.675,38.675,200,2022-05-27 15:42:00
112,38.7,38.71,38.7,38.71,300,2022-05-27 15:43:00
113,38.685,38.685,38.66,38.675,1829,2022-05-27 15:45:00
114,38.68,38.69,38.68,38.69,400,2022-05-27 15:46:00
115,38.705,38.72,38.705,38.72,200,2022-05-27 15:49:00
116,38.72,38.72,38.72,38.72,100,2022-05-27 15:50:00
117,38.75,38.75,38.74,38.74,200,2022-05-27 15:51:00
118,38.74,38.74,38.74,38.74,200,2022-05-27 15:52:00
119,38.735,38.735,38.735,38.735,100,2022-05-27 15:53:00
120,38.74,38.76,38.74,38.76,200,2022-05-27 15:55:00
121,38.8,38.8,38.8,38.8,300,2022-05-27 15:56:00
122,38.77,38.8,38.76,38.8,3542,2022-05-27 15:58:00
123,38.81,38.82,38.81,38.82,230,2022-05-27 15:59:00
