,open,high,low,close,volume,datetime
0,0.51,0.51,0.51,0.51,100,2022-05-27 12:06:00
1,0.51,0.51,0.5002,0.5002,426,2022-05-27 13:30:00
2,0.5099,0.51,0.5099,0.51,40200,2022-05-27 13:32:00
3,0.51,0.51,0.51,0.51,100,2022-05-27 13:34:00
4,0.51,0.5101,0.51,0.5101,1174,2022-05-27 13:36:00
5,0.52,0.52,0.52,0.52,1000,2022-05-27 13:38:00
6,0.52,0.52,0.52,0.52,240,2022-05-27 13:39:00
7,0.51,0.51,0.51,0.51,5100,2022-05-27 13:49:00
8,0.510099,0.510099,0.510099,0.510099,100,2022-05-27 13:53:00
9,0.5102,0.5104,0.5101,0.5104,1000,2022-05-27 13:56:00
10,0.511,0.511,0.5006,0.5006,1900,2022-05-27 14:02:00
11,0.5103,0.5103,0.5103,0.5103,100,2022-05-27 14:03:00
12,0.51,0.51,0.51,0.51,100,2022-05-27 14:24:00
13,0.52,0.52,0.52,0.52,20000,2022-05-27 14:31:00
14,0.52,0.52,0.52,0.52,999,2022-05-27 14:33:00
15,0.52,0.52,0.52,0.52,999,2022-05-27 14:34:00
16,0.5006,0.51,0.5006,0.51,571,2022-05-27 14:40:00
17,0.51,0.51,0.51,0.51,2198,2022-05-27 14:41:00
18,0.51,0.52,0.5054,0.52,2398,2022-05-27 14:42:00
19,0.51,0.5101,0.51,0.5101,1100,2022-05-27 14:43:00
20,0.5102,0.5102,0.5102,0.5102,100,2022-05-27 14:45:00
21,0.5103,0.5103,0.5102,0.5102,5300,2022-05-27 14:55:00
22,0.5105,0.5105,0.5105,0.5105,100,2022-05-27 14:57:00
23,0.5103,0.5103,0.5103,0.5103,441,2022-05-27 14:58:00
24,0.5106,0.5106,0.5106,0.5106,400,2022-05-27 15:51:00
25,0.5102,0.5102,0.5102,0.5102,100,2022-05-27 15:52:00
26,0.5103,0.5103,0.5103,0.5103,100,2022-05-27 15:54:00
27,0.515201,0.515201,0.515201,0.515201,500,2022-05-27 16:28:00
28,0.5151,0.516901,0.515,0.515,2100,2022-05-27 16:33:00
29,0.515,0.515,0.515,0.515,2937,2022-05-27 16:34:00
30,0.5114,0.5114,0.5114,0.5114,200,2022-05-27 16:35:00
31,0.5127,0.5127,0.5127,0.5127,200,2022-05-27 17:18:00
32,0.510401,0.510401,0.510401,0.510401,932,2022-05-27 17:24:00
33,0.515,0.515,0.5127,0.5128,1187,2022-05-27 17:29:00
34,0.515,0.5189,0.515,0.5189,1200,2022-05-27 17:33:00
35,0.5171,0.5171,0.5171,0.5171,700,2022-05-27 17:48:00
36,0.518,0.518,0.518,0.518,100,2022-05-27 17:49:00
37,0.5172,0.5172,0.5172,0.5172,2375,2022-05-27 17:52:00
38,0.515,0.515,0.515,0.515,1500,2022-05-27 18:05:00
39,0.5116,0.5116,0.5116,0.5116,100,2022-05-27 18:07:00
40,0.5189,0.5189,0.5162,0.5162,400,2022-05-27 18:15:00
41,0.5147,0.5147,0.5147,0.5147,200,2022-05-27 18:45:00
42,0.5106,0.5109,0.5106,0.5109,300,2022-05-27 18:46:00
43,0.516824,0.516824,0.516824,0.516824,200,2022-05-27 18:53:00
44,0.5129,0.5129,0.5129,0.5129,100,2022-05-27 18:55:00
45,0.5104,0.5104,0.5104,0.5104,100,2022-05-27 19:03:00
46,0.5104,0.5189,0.5104,0.5189,1999,2022-05-27 19:07:00
47,0.5125,0.5125,0.5125,0.5125,100,2022-05-27 19:08:00
48,0.5146,0.5146,0.5146,0.5146,100,2022-05-27 19:09:00
49,0.5189,0.5189,0.5189,0.5189,500,2022-05-27 19:16:00
50,0.5162,0.5162,0.5162,0.5162,510,2022-05-27 19:22:00
51,0.5189,0.5189,0.5189,0.5189,500,2022-05-27 19:35:00
52,0.5189,0.52,0.5151,0.5151,3300,2022-05-27 19:42:00
53,0.52,0.52,0.52,0.52,2000,2022-05-27 19:43:00
54,0.5157,0.52,0.5152,0.5152,700,2022-05-27 19:44:00
55,0.5233,0.526,0.5233,0.526,2500,2022-05-27 19:47:00
56,0.5215,0.5215,0.5215,0.5215,100,2022-05-27 19:48:00
57,0.526,0.526,0.526,0.526,200,2022-05-27 19:49:00
58,0.535,0.535,0.535,0.535,1000,2022-05-27 19:50:00
59,0.53,0.53,0.52,0.52,2567,2022-05-27 19:51:00
60,0.5264,0.5399,0.5253,0.53759,3334,2022-05-27 19:52:00
61,0.5259,0.5399,0.5259,0.5399,1299,2022-05-27 19:54:00
62,0.535,0.54,0.535,0.54,4939,2022-05-27 19:57:00
63,0.548,0.548,0.54,0.54,1299,2022-05-27 19:58:00
64,0.548,0.548,0.548,0.548,999,2022-05-27 19:59:00
65,0.54,0.54,0.54,0.54,300,2022-05-27 20:00:00
66,0.513,0.513,0.513,0.513,680,2022-05-27 21:28:00
67,0.513,0.513,0.513,0.513,175,2022-05-27 21:30:00
68,0.5489,0.5489,0.5489,0.5489,1627,2022-05-31 12:19:00
69,0.5488,0.5488,0.5488,0.5488,5000,2022-05-31 12:21:00
70,0.5489,0.6898,0.5489,0.64,22079,2022-05-31 12:27:00
71,0.65,0.6899,0.64,0.64,3194,2022-05-31 12:28:00
72,0.62,0.62,0.6002,0.62,2143,2022-05-31 12:29:00
73,0.6299,0.6299,0.615,0.615,4013,2022-05-31 12:30:00
74,0.615,0.615,0.615,0.615,920,2022-05-31 12:31:00
75,0.615,0.615,0.605,0.605,7530,2022-05-31 12:32:00
76,0.615,0.615,0.6002,0.6002,4885,2022-05-31 12:34:00
77,0.58,0.58,0.58,0.58,500,2022-05-31 12:35:00
78,0.596,0.596,0.58,0.58,1700,2022-05-31 12:36:00
79,0.5804,0.596,0.58,0.596,1255,2022-05-31 12:38:00
80,0.6,0.6,0.6,0.6,600,2022-05-31 12:43:00
81,0.595,0.595,0.595,0.595,14117,2022-05-31 12:45:00
82,0.6,0.6,0.6,0.6,2000,2022-05-31 12:49:00
83,0.6,0.6,0.6,0.6,200,2022-05-31 12:50:00
84,0.5999,0.5999,0.5999,0.5999,300,2022-05-31 12:54:00
85,0.595,0.595,0.595,0.595,1300,2022-05-31 12:57:00
86,0.595,0.595,0.595,0.595,2388,2022-05-31 12:58:00
87,0.5998,0.5998,0.5998,0.5998,2000,2022-05-31 13:04:00
88,0.5998,0.5998,0.5998,0.5998,100,2022-05-31 13:06:00
89,0.595,0.6,0.595,0.6,2495,2022-05-31 13:08:00
90,0.6,0.6,0.6,0.6,998,2022-05-31 13:12:00
91,0.6,0.6,0.6,0.6,1000,2022-05-31 13:21:00
92,0.6,0.6,0.6,0.6,1719,2022-05-31 13:25:00
93,0.6,0.6,0.6,0.6,1929,2022-05-31 13:27:00
94,0.59,0.6,0.5701,0.5817,52872,2022-05-31 13:30:00
95,0.58,0.58,0.57,0.57,2000,2022-05-31 13:31:00
96,0.57,0.585,0.57,0.57,2085,2022-05-31 13:32:00
97,0.5635,0.584999,0.5635,0.584999,300,2022-05-31 13:33:00
98,0.5635,0.5731,0.5485,0.56,4700,2022-05-31 13:36:00
99,0.5484,0.56,0.5484,0.56,600,2022-05-31 13:37:00
100,0.585,0.585,0.55,0.55,550,2022-05-31 13:42:00
101,0.5725,0.5725,0.5725,0.5725,211,2022-05-31 13:43:00
102,0.56,0.585,0.56,0.585,1100,2022-05-31 13:44:00
103,0.5824,0.5824,0.5824,0.5824,299,2022-05-31 13:45:00
104,0.57,0.5722,0.559,0.5722,30208,2022-05-31 13:46:00
105,0.582499,0.582499,0.582499,0.582499,5000,2022-05-31 13:48:00
106,0.5744,0.5744,0.5744,0.5744,200,2022-05-31 13:51:00
107,0.5662,0.5662,0.5662,0.5662,100,2022-05-31 13:54:00
108,0.5612,0.5612,0.5612,0.5612,1500,2022-05-31 13:55:00
109,0.5672,0.5672,0.5672,0.5672,300,2022-05-31 13:58:00
110,0.574299,0.574299,0.574299,0.574299,500,2022-05-31 13:59:00
111,0.5742,0.5742,0.5742,0.5742,100,2022-05-31 14:01:00
112,0.5672,0.57,0.5672,0.57,427,2022-05-31 14:03:00
113,0.560001,0.560001,0.560001,0.560001,100,2022-05-31 14:04:00
114,0.5744,0.58,0.5744,0.58,1570,2022-05-31 14:05:00
115,0.5825,0.5825,0.560001,0.560001,700,2022-05-31 14:07:00
116,0.58,0.58,0.58,0.58,450,2022-05-31 14:08:00
117,0.57,0.58,0.57,0.5754,1800,2022-05-31 14:11:00
118,0.58,0.58,0.56,0.56,2200,2022-05-31 14:24:00
119,0.560001,0.58,0.560001,0.58,200,2022-05-31 14:25:00
120,0.58,0.58,0.560001,0.560001,10100,2022-05-31 14:26:00
121,0.560001,0.560001,0.560001,0.560001,100,2022-05-31 14:28:00
122,0.57,0.57,0.561,0.561,1202,2022-05-31 14:49:00
123,0.561,0.561,0.561,0.561,1098,2022-05-31 14:50:00
124,0.561,0.561,0.56,0.56,1376,2022-05-31 14:51:00
125,0.56,0.56,0.5589,0.5589,750,2022-05-31 14:53:00
126,0.5501,0.5501,0.5501,0.5501,500,2022-05-31 14:54:00
127,0.5501,0.5505,0.55,0.55,2265,2022-05-31 14:55:00
