,open,high,low,close,volume,datetime
0,1.5,1.5,1.49,1.49,320,2022-05-27 13:26:00
1,1.55,1.5699,1.55,1.5699,718,2022-05-27 13:30:00
2,1.535,1.535,1.535,1.535,500,2022-05-27 13:36:00
3,1.53,1.53,1.53,1.53,1300,2022-05-27 13:39:00
4,1.54,1.54,1.54,1.54,100,2022-05-27 13:48:00
5,1.54,1.57,1.54,1.57,7013,2022-05-27 13:50:00
6,1.53,1.53,1.53,1.53,100,2022-05-27 13:52:00
7,1.535,1.535,1.535,1.535,100,2022-05-27 13:58:00
8,1.54,1.54,1.54,1.54,200,2022-05-27 13:59:00
9,1.545,1.545,1.53,1.53,1782,2022-05-27 14:01:00
10,1.53,1.53,1.52,1.52,1100,2022-05-27 14:11:00
11,1.54,1.5416,1.54,1.5416,1888,2022-05-27 14:21:00
12,1.54,1.54,1.54,1.54,100,2022-05-27 14:23:00
13,1.54,1.54,1.54,1.54,200,2022-05-27 14:24:00
14,1.54,1.54,1.54,1.54,3000,2022-05-27 14:27:00
15,1.54,1.54,1.54,1.54,200,2022-05-27 14:28:00
16,1.54,1.57,1.54,1.57,5300,2022-05-27 14:30:00
17,1.5644,1.5644,1.5644,1.5644,1750,2022-05-27 14:35:00
18,1.57,1.5999,1.5697,1.5999,14294,2022-05-27 14:36:00
19,1.5999,1.61,1.599,1.599,15049,2022-05-27 14:37:00
20,1.6085,1.6085,1.59,1.6,5720,2022-05-27 14:41:00
21,1.59,1.59,1.58,1.58,470,2022-05-27 14:42:00
22,1.5816,1.5816,1.58,1.58,850,2022-05-27 14:45:00
23,1.6196,1.6196,1.6196,1.6196,1000,2022-05-27 14:46:00
24,1.5612,1.5612,1.5612,1.5612,600,2022-05-27 14:49:00
25,1.56,1.56,1.56,1.56,100,2022-05-27 14:50:00
26,1.5967,1.5967,1.5967,1.5967,1000,2022-05-27 14:52:00
27,1.56,1.594,1.56,1.594,800,2022-05-27 14:53:00
28,1.59,1.59,1.57,1.57,1982,2022-05-27 14:54:00
29,1.57,1.57,1.57,1.57,300,2022-05-27 14:55:00
30,1.57,1.57,1.57,1.57,1819,2022-05-27 14:57:00
31,1.54,1.54,1.54,1.54,100,2022-05-27 14:59:00
32,1.5861,1.5861,1.5861,1.5861,750,2022-05-27 15:02:00
33,1.54,1.54,1.54,1.54,100,2022-05-27 15:03:00
34,1.565,1.565,1.565,1.565,300,2022-05-27 15:06:00
35,1.5401,1.58,1.5401,1.58,3200,2022-05-27 15:08:00
36,1.54,1.54,1.54,1.54,100,2022-05-27 15:10:00
37,1.54,1.54,1.54,1.54,100,2022-05-27 15:17:00
38,1.5401,1.5401,1.5401,1.5401,260,2022-05-27 15:24:00
39,1.5455,1.5455,1.54,1.54,301,2022-05-27 15:25:00
40,1.58,1.58,1.58,1.58,100,2022-05-27 15:32:00
41,1.5519,1.58,1.5519,1.58,5100,2022-05-27 15:39:00
42,1.565,1.565,1.565,1.565,100,2022-05-27 15:41:00
43,1.5789,1.63,1.5789,1.63,10886,2022-05-27 15:45:00
44,1.63,1.63,1.63,1.63,500,2022-05-27 15:46:00
45,1.63,1.63,1.63,1.63,449,2022-05-27 15:47:00
46,1.625,1.625,1.625,1.625,100,2022-05-27 15:51:00
47,1.625,1.625,1.625,1.625,3000,2022-05-27 15:54:00
48,1.61,1.61,1.57,1.57,2600,2022-05-27 16:02:00
49,1.61,1.61,1.61,1.61,1000,2022-05-27 16:05:00
50,1.58,1.58,1.58,1.58,500,2022-05-27 16:17:00
51,1.61,1.61,1.61,1.61,100,2022-05-27 16:25:00
52,1.56,1.56,1.56,1.56,100,2022-05-27 16:38:00
53,1.6039,1.6039,1.6039,1.6039,250,2022-05-27 16:40:00
54,1.585,1.585,1.585,1.585,100,2022-05-27 16:56:00
55,1.56,1.5725,1.56,1.57,750,2022-05-27 16:57:00
56,1.59,1.59,1.59,1.59,3212,2022-05-27 17:06:00
57,1.59,1.59,1.59,1.59,170,2022-05-27 17:10:00
58,1.59,1.59,1.59,1.59,200,2022-05-27 17:14:00
59,1.61,1.61,1.61,1.61,100,2022-05-27 17:16:00
60,1.61,1.61,1.6,1.61,1200,2022-05-27 17:44:00
61,1.61,1.61,1.61,1.61,1640,2022-05-27 17:45:00
62,1.6362,1.6362,1.63,1.63,200,2022-05-27 17:52:00
63,1.632,1.632,1.632,1.632,325,2022-05-27 17:53:00
64,1.6,1.61,1.6,1.6001,10114,2022-05-27 18:00:00
65,1.59,1.6,1.5801,1.5801,1725,2022-05-27 18:01:00
66,1.5973,1.6,1.5973,1.6,300,2022-05-27 18:03:00
67,1.59,1.59,1.59,1.59,100,2022-05-27 18:14:00
68,1.6236,1.6236,1.6236,1.6236,100,2022-05-27 18:25:00
69,1.61,1.61,1.61,1.61,200,2022-05-27 18:39:00
70,1.59,1.59,1.59,1.59,100,2022-05-27 18:45:00
71,1.6053,1.6053,1.6053,1.6053,100,2022-05-27 18:56:00
72,1.61,1.61,1.61,1.61,633,2022-05-27 18:58:00
73,1.59,1.6016,1.5608,1.6016,2563,2022-05-27 18:59:00
74,1.59,1.59,1.59,1.59,200,2022-05-27 19:03:00
75,1.59,1.59,1.59,1.59,200,2022-05-27 19:04:00
76,1.61,1.61,1.61,1.61,100,2022-05-27 19:05:00
77,1.58,1.58,1.58,1.58,100,2022-05-27 19:06:00
78,1.6,1.6,1.6,1.6,600,2022-05-27 19:24:00
79,1.59,1.59,1.59,1.59,100,2022-05-27 19:31:00
80,1.58,1.5867,1.58,1.5867,1400,2022-05-27 19:38:00
81,1.552,1.552,1.552,1.552,976,2022-05-27 19:44:00
82,1.5837,1.5837,1.5837,1.5837,200,2022-05-27 19:54:00
83,1.59,1.59,1.59,1.59,100,2022-05-27 19:55:00
84,1.58,1.58,1.58,1.58,800,2022-05-27 19:58:00
85,1.59,1.59,1.562,1.59,2398,2022-05-27 19:59:00
86,1.58,1.58,1.58,1.58,351,2022-05-27 20:00:00
87,1.6,1.6,1.6,1.6,504,2022-05-31 13:30:00
88,1.65,1.65,1.65,1.65,100,2022-05-31 13:31:00
89,1.61,1.61,1.61,1.61,510,2022-05-31 13:36:00
90,1.572,1.58,1.54,1.54,4868,2022-05-31 13:38:00
91,1.53,1.53,1.53,1.53,100,2022-05-31 13:40:00
92,1.54,1.58,1.54,1.58,200,2022-05-31 13:41:00
93,1.578,1.585,1.578,1.585,300,2022-05-31 13:43:00
94,1.57,1.57,1.57,1.57,100,2022-05-31 13:48:00
95,1.539,1.539,1.539,1.539,148,2022-05-31 13:50:00
96,1.545,1.545,1.545,1.545,100,2022-05-31 13:52:00
97,1.54,1.54,1.54,1.54,875,2022-05-31 14:01:00
98,1.5318,1.5318,1.5318,1.5318,300,2022-05-31 14:02:00
99,1.55,1.5799,1.5499,1.5799,300,2022-05-31 14:09:00
100,1.6,1.6,1.6,1.6,100,2022-05-31 14:31:00
101,1.6,1.6,1.6,1.6,100,2022-05-31 14:51:00
102,1.6,1.6,1.6,1.6,980,2022-05-31 14:54:00
103,1.6099,1.6099,1.6099,1.6099,100,2022-05-31 14:59:00
104,1.585,1.585,1.585,1.585,100,2022-05-31 15:12:00
105,1.6,1.61,1.6,1.6,3400,2022-05-31 15:49:00
106,1.61,1.61,1.61,1.61,500,2022-05-31 15:50:00
107,1.62,1.62,1.61,1.61,2900,2022-05-31 15:52:00
108,1.59,1.59,1.59,1.59,100,2022-05-31 15:54:00
109,1.63,1.63,1.63,1.63,498,2022-05-31 16:07:00
110,1.62,1.62,1.62,1.62,227,2022-05-31 16:09:00
111,1.62,1.62,1.62,1.62,2000,2022-05-31 16:12:00
112,1.6201,1.6201,1.6201,1.6201,1500,2022-05-31 16:17:00
113,1.62,1.62,1.62,1.62,900,2022-05-31 16:18:00
114,1.63,1.63,1.63,1.63,300,2022-05-31 16:35:00
115,1.64,1.65,1.64,1.65,3700,2022-05-31 16:45:00
116,1.6294,1.6294,1.6294,1.6294,110,2022-05-31 16:53:00
117,1.63,1.63,1.63,1.63,100,2022-05-31 17:19:00
118,1.61,1.62,1.61,1.62,2217,2022-05-31 17:21:00
119,1.6,1.63,1.56,1.59,5966,2022-05-31 17:29:00
120,1.61,1.61,1.61,1.61,100,2022-05-31 17:33:00
121,1.63,1.63,1.63,1.63,3500,2022-05-31 17:38:00
122,1.62,1.62,1.62,1.62,100,2022-05-31 17:39:00
123,1.594,1.65,1.594,1.65,1754,2022-05-31 17:40:00
124,1.615,1.615,1.615,1.615,1146,2022-05-31 17:43:00
125,1.64,1.64,1.64,1.64,1600,2022-05-31 17:46:00
126,1.6007,1.65,1.6007,1.65,1430,2022-05-31 17:47:00
127,1.625,1.625,1.6015,1.6015,647,2022-05-31 17:49:00
128,1.65,1.69,1.65,1.69,7283,2022-05-31 17:54:00
129,1.645,1.645,1.645,1.645,200,2022-05-31 17:55:00
130,1.621,1.621,1.621,1.621,1000,2022-05-31 17:58:00
131,1.65,1.65,1.65,1.65,100,2022-05-31 18:00:00
132,1.63,1.63,1.63,1.63,100,2022-05-31 18:06:00
133,1.7,1.7,1.7,1.7,300,2022-05-31 18:09:00
134,1.7,1.7,1.7,1.7,2899,2022-05-31 18:10:00
135,1.69,1.69,1.69,1.69,200,2022-05-31 18:11:00
136,1.7,1.71,1.7,1.71,3058,2022-05-31 18:13:00
137,1.74,1.74,1.74,1.74,300,2022-05-31 18:17:00
138,1.74,1.74,1.74,1.74,400,2022-05-31 18:19:00
139,1.74,1.74,1.74,1.74,250,2022-05-31 18:20:00
140,1.715,1.715,1.715,1.715,100,2022-05-31 18:21:00
141,1.75,1.75,1.75,1.75,900,2022-05-31 18:22:00
142,1.75,1.75,1.7494,1.7494,9400,2022-05-31 18:24:00
143,1.78,1.78,1.7601,1.7601,13300,2022-05-31 18:26:00
144,1.79,1.82,1.79,1.82,1478,2022-05-31 18:28:00
145,1.82,1.89,1.82,1.845,19181,2022-05-31 18:29:00
146,1.87,1.88,1.78,1.78,15837,2022-05-31 18:30:00
147,1.79,1.85,1.79,1.8,10100,2022-05-31 18:31:00
148,1.795,1.8,1.78,1.79,3200,2022-05-31 18:32:00
149,1.79,1.79,1.79,1.79,100,2022-05-31 18:33:00
150,1.78,1.78,1.78,1.78,400,2022-05-31 18:35:00
151,1.7561,1.7561,1.75,1.75,300,2022-05-31 18:36:00
152,1.75,1.75,1.75,1.75,100,2022-05-31 18:38:00
153,1.769,1.769,1.769,1.769,150,2022-05-31 18:39:00
154,1.7302,1.75,1.7302,1.75,1559,2022-05-31 18:48:00
155,1.732,1.75,1.732,1.75,1100,2022-05-31 18:49:00
156,1.74,1.74,1.74,1.74,500,2022-05-31 18:50:00
157,1.74,1.74,1.74,1.74,1000,2022-05-31 18:51:00
158,1.73,1.73,1.7,1.7,1659,2022-05-31 18:52:00
