,open,high,low,close,volume,datetime
0,19.0,19.0,19.0,19.0,100,2022-05-27 13:29:00
1,18.98,19.15,18.98,19.15,17785,2022-05-27 13:30:00
2,19.2,19.29,19.2,19.29,3900,2022-05-27 13:31:00
3,19.37,19.4,19.37,19.4,3491,2022-05-27 13:32:00
4,19.43,19.44,19.31,19.33,14988,2022-05-27 13:33:00
5,19.32,19.32,19.22,19.22,22565,2022-05-27 13:34:00
6,19.22,19.25,19.19,19.22,7750,2022-05-27 13:35:00
7,19.21,19.28,19.2,19.27,6767,2022-05-27 13:36:00
8,19.25,19.25,19.2,19.22,6177,2022-05-27 13:37:00
9,19.23,19.28,19.23,19.28,6539,2022-05-27 13:38:00
10,19.3,19.35,19.285,19.35,7017,2022-05-27 13:39:00
11,19.34,19.34,19.31,19.33,6393,2022-05-27 13:40:00
12,19.33,19.35,19.31,19.32,12886,2022-05-27 13:41:00
13,19.32,19.36,19.29,19.36,6196,2022-05-27 13:42:00
14,19.39,19.39,19.37,19.37,4274,2022-05-27 13:43:00
15,19.38,19.41,19.37,19.38,6497,2022-05-27 13:44:00
16,19.38,19.41,19.355,19.355,5447,2022-05-27 13:45:00
17,19.37,19.4,19.37,19.39,5190,2022-05-27 13:46:00
18,19.38,19.385,19.34,19.34,7722,2022-05-27 13:47:00
19,19.35,19.37,19.345,19.36,5850,2022-05-27 13:48:00
20,19.36,19.38,19.34,19.37,6166,2022-05-27 13:49:00
21,19.37,19.375,19.36,19.37,4123,2022-05-27 13:50:00
22,19.37,19.37,19.34,19.34,8686,2022-05-27 13:51:00
23,19.34,19.355,19.325,19.33,4314,2022-05-27 13:52:00
24,19.34,19.39,19.33,19.39,9710,2022-05-27 13:53:00
25,19.39,19.41,19.385,19.4,6286,2022-05-27 13:54:00
26,19.41,19.425,19.4,19.4,7399,2022-05-27 13:55:00
27,19.41,19.44,19.41,19.44,3910,2022-05-27 13:56:00
28,19.45,19.45,19.4,19.4,6017,2022-05-27 13:57:00
29,19.41,19.42,19.385,19.385,4738,2022-05-27 13:58:00
30,19.38,19.39,19.375,19.39,3366,2022-05-27 13:59:00
31,19.38,19.38,19.335,19.335,7808,2022-05-27 14:00:00
32,19.34,19.34,19.32,19.335,5000,2022-05-27 14:01:00
33,19.34,19.36,19.33,19.36,5114,2022-05-27 14:02:00
34,19.36,19.36,19.325,19.355,2522,2022-05-27 14:03:00
35,19.35,19.36,19.35,19.36,1879,2022-05-27 14:04:00
36,19.36,19.375,19.35,19.37,5821,2022-05-27 14:05:00
37,19.37,19.38,19.355,19.37,10874,2022-05-27 14:06:00
38,19.36,19.36,19.33,19.34,10108,2022-05-27 14:07:00
39,19.335,19.38,19.335,19.375,10334,2022-05-27 14:08:00
40,19.37,19.38,19.37,19.38,3400,2022-05-27 14:09:00
41,19.38,19.38,19.355,19.355,6574,2022-05-27 14:10:00
42,19.345,19.345,19.33,19.33,4170,2022-05-27 14:11:00
43,19.32,19.32,19.31,19.31,1809,2022-05-27 14:12:00
44,19.31,19.31,19.3017,19.305,2739,2022-05-27 14:13:00
45,19.3,19.32,19.295,19.3,7520,2022-05-27 14:14:00
46,19.3,19.36,19.3,19.36,5689,2022-05-27 14:15:00
47,19.36,19.38,19.36,19.365,6979,2022-05-27 14:16:00
48,19.36,19.37,19.36,19.37,2357,2022-05-27 14:17:00
49,19.37,19.395,19.36,19.39,4035,2022-05-27 14:18:00
50,19.39,19.39,19.37,19.39,5964,2022-05-27 14:19:00
51,19.39,19.41,19.39,19.41,3500,2022-05-27 14:20:00
52,19.4,19.405,19.39,19.395,4416,2022-05-27 14:21:00
53,19.4,19.405,19.39,19.4,2423,2022-05-27 14:22:00
54,19.4,19.41,19.395,19.41,4092,2022-05-27 14:23:00
55,19.41,19.41,19.4,19.4,3482,2022-05-27 14:24:00
