,open,high,low,close,volume,datetime
0,15.5,15.5,15.5,15.5,3750,2022-05-27 13:30:00
1,15.56,15.58,15.53,15.53,621,2022-05-27 13:33:00
2,15.53,15.56,15.5,15.56,1254,2022-05-27 13:34:00
3,15.56,15.56,15.56,15.56,100,2022-05-27 13:36:00
4,15.56,15.56,15.56,15.56,200,2022-05-27 13:38:00
5,15.5501,15.565,15.55,15.55,1505,2022-05-27 13:40:00
6,15.55,15.55,15.55,15.55,3000,2022-05-27 13:42:00
7,15.5783,15.5783,15.55,15.55,1810,2022-05-27 13:43:00
8,15.571,15.58,15.565,15.58,764,2022-05-27 13:47:00
9,15.6195,15.6195,15.6195,15.6195,100,2022-05-27 13:51:00
10,15.6,15.61,15.59,15.61,734,2022-05-27 13:52:00
11,15.5929,15.6227,15.59,15.59,3330,2022-05-27 13:53:00
12,15.61,15.67,15.61,15.62,5600,2022-05-27 13:54:00
13,15.6427,15.6453,15.64,15.6453,400,2022-05-27 13:55:00
14,15.63,15.63,15.63,15.63,400,2022-05-27 13:56:00
15,15.63,15.63,15.61,15.615,903,2022-05-27 13:58:00
16,15.61,15.61,15.61,15.61,124,2022-05-27 13:59:00
17,15.58,15.61,15.58,15.61,1500,2022-05-27 14:01:00
18,15.62,15.62,15.61,15.615,1128,2022-05-27 14:02:00
19,15.62,15.62,15.62,15.62,150,2022-05-27 14:03:00
20,15.614,15.614,15.614,15.614,100,2022-05-27 14:04:00
21,15.6073,15.6073,15.6073,15.6073,100,2022-05-27 14:06:00
22,15.6,15.6,15.6,15.6,250,2022-05-27 14:10:00
23,15.605,15.61,15.605,15.61,300,2022-05-27 14:11:00
24,15.595,15.595,15.595,15.595,100,2022-05-27 14:13:00
25,15.58,15.59,15.58,15.59,400,2022-05-27 14:15:00
26,15.56,15.59,15.56,15.57,554,2022-05-27 14:17:00
27,15.57,15.57,15.55,15.55,3667,2022-05-27 14:19:00
28,15.555,15.57,15.55,15.55,1337,2022-05-27 14:20:00
29,15.55,15.5528,15.55,15.5528,200,2022-05-27 14:22:00
30,15.55,15.56,15.55,15.56,437,2022-05-27 14:23:00
31,15.56,15.56,15.56,15.56,100,2022-05-27 14:24:00
32,15.53,15.53,15.53,15.53,400,2022-05-27 14:25:00
33,15.54,15.54,15.54,15.54,100,2022-05-27 14:26:00
34,15.54,15.54,15.53,15.53,1300,2022-05-27 14:30:00
35,15.5399,15.5399,15.53,15.53,915,2022-05-27 14:31:00
36,15.5399,15.5399,15.5399,15.5399,1000,2022-05-27 14:36:00
37,15.5399,15.5399,15.5399,15.5399,328,2022-05-27 14:39:00
38,15.51,15.51,15.5,15.5,2836,2022-05-27 14:40:00
39,15.49,15.49,15.49,15.49,100,2022-05-27 14:41:00
40,15.5199,15.5199,15.49,15.5168,1532,2022-05-27 14:42:00
41,15.5121,15.5121,15.5121,15.5121,100,2022-05-27 14:44:00
42,15.51,15.5194,15.51,15.5194,358,2022-05-27 14:45:00
43,15.51,15.51,15.51,15.51,100,2022-05-27 14:46:00
44,15.51,15.52,15.51,15.52,896,2022-05-27 14:47:00
45,15.5,15.5,15.47,15.5,2769,2022-05-27 14:48:00
46,15.5,15.5,15.42,15.43,10074,2022-05-27 14:49:00
47,15.43,15.4514,15.43,15.4514,800,2022-05-27 14:50:00
48,15.46,15.47,15.4555,15.4555,1590,2022-05-27 14:51:00
49,15.45,15.47,15.45,15.47,2274,2022-05-27 14:52:00
50,15.4737,15.4737,15.4737,15.4737,200,2022-05-27 14:53:00
51,15.46,15.475,15.46,15.475,200,2022-05-27 14:54:00
52,15.47,15.47,15.47,15.47,300,2022-05-27 14:55:00
53,15.45,15.45,15.45,15.45,100,2022-05-27 14:57:00
54,15.4501,15.4501,15.4501,15.4501,1540,2022-05-27 14:58:00
55,15.45,15.45,15.45,15.45,100,2022-05-27 14:59:00
56,15.43,15.43,15.43,15.43,100,2022-05-27 15:00:00
57,15.45,15.46,15.44,15.46,3895,2022-05-27 15:02:00
58,15.445,15.45,15.445,15.45,343,2022-05-27 15:03:00
59,15.44,15.44,15.44,15.44,476,2022-05-27 15:05:00
60,15.44,15.44,15.44,15.44,100,2022-05-27 15:06:00
61,15.445,15.445,15.4,15.4,4100,2022-05-27 15:07:00
62,15.42,15.46,15.41,15.4599,2728,2022-05-27 15:09:00
63,15.47,15.47,15.4606,15.4606,7200,2022-05-27 15:10:00
64,15.465,15.5095,15.46,15.5095,1495,2022-05-27 15:11:00
65,15.46,15.4799,15.46,15.4799,1784,2022-05-27 15:20:00
66,15.46,15.46,15.46,15.46,100,2022-05-27 15:21:00
67,15.47,15.485,15.47,15.485,3416,2022-05-27 15:25:00
68,15.4732,15.4732,15.4732,15.4732,334,2022-05-27 15:26:00
69,15.4768,15.4768,15.4768,15.4768,155,2022-05-27 15:28:00
70,15.505,15.51,15.5,15.51,468,2022-05-27 15:32:00
71,15.49,15.49,15.4878,15.4878,841,2022-05-27 15:35:00
72,15.495,15.51,15.49,15.5095,2100,2022-05-27 15:39:00
73,15.5,15.5,15.5,15.5,1200,2022-05-27 15:41:00
74,15.51,15.51,15.49,15.5,400,2022-05-27 15:44:00
75,15.5,15.51,15.49,15.49,2759,2022-05-27 15:45:00
76,15.493,15.505,15.493,15.505,640,2022-05-27 15:46:00
77,15.51,15.53,15.51,15.53,1727,2022-05-27 15:47:00
78,15.535,15.55,15.535,15.55,1420,2022-05-27 15:48:00
79,15.55,15.55,15.55,15.55,320,2022-05-27 15:51:00
80,15.5668,15.6,15.5668,15.6,5463,2022-05-27 15:53:00
