,open,high,low,close,volume,datetime
0,4.35,4.35,4.35,4.35,400,2022-05-27 13:30:00
1,4.4506,4.4506,4.4506,4.4506,200,2022-05-27 14:27:00
2,4.48,4.48,4.48,4.48,278,2022-05-27 14:36:00
3,4.46,4.46,4.46,4.46,200,2022-05-27 14:54:00
4,4.4552,4.4552,4.4552,4.4552,100,2022-05-27 14:57:00
5,4.48,4.48,4.463,4.463,1001,2022-05-27 15:05:00
6,4.4688,4.4688,4.4688,4.4688,100,2022-05-27 15:22:00
7,4.4877,4.4877,4.4877,4.4877,200,2022-05-27 15:23:00
8,4.48,4.48,4.48,4.48,200,2022-05-27 15:24:00
9,4.4723,4.4723,4.4723,4.4723,100,2022-05-27 15:28:00
10,4.5,4.5,4.5,4.5,200,2022-05-27 15:33:00
11,4.4999,4.5,4.4992,4.4992,496,2022-05-27 15:39:00
12,4.5,4.5,4.5,4.5,200,2022-05-27 15:40:00
13,4.5,4.5,4.4992,4.5,16263,2022-05-27 15:41:00
14,4.475,4.6299,4.475,4.6299,627,2022-05-27 15:51:00
15,4.6293,4.6293,4.6293,4.6293,485,2022-05-27 16:29:00
16,4.56,4.56,4.56,4.56,300,2022-05-27 16:33:00
17,4.481,4.481,4.481,4.481,500,2022-05-27 16:58:00
18,4.412,4.412,4.412,4.412,100,2022-05-27 17:12:00
19,4.455,4.455,4.455,4.455,200,2022-05-27 17:14:00
20,4.4668,4.4668,4.4668,4.4668,100,2022-05-27 17:15:00
21,4.4804,4.4804,4.4804,4.4804,200,2022-05-27 17:21:00
22,4.4782,4.4782,4.4782,4.4782,100,2022-05-27 17:22:00
23,4.4671,4.47,4.4671,4.47,600,2022-05-27 17:27:00
24,4.4671,4.4671,4.4671,4.4671,200,2022-05-27 17:31:00
25,4.4838,4.4838,4.4838,4.4838,200,2022-05-27 17:33:00
26,4.47,4.47,4.47,4.47,300,2022-05-27 17:34:00
27,4.4846,4.4846,4.47,4.47,400,2022-05-27 17:36:00
28,4.4671,4.4671,4.4671,4.4671,400,2022-05-27 17:37:00
29,4.467,4.482,4.467,4.482,300,2022-05-27 17:43:00
30,4.47,4.47,4.47,4.47,400,2022-05-27 17:45:00
31,4.467,4.49,4.467,4.49,1400,2022-05-27 17:46:00
32,4.473,4.49,4.473,4.49,600,2022-05-27 17:47:00
33,4.4672,4.4672,4.4672,4.4672,300,2022-05-27 17:48:00
34,4.49,4.505,4.4892,4.505,6624,2022-05-27 17:49:00
35,4.4916,4.4916,4.4899,4.49,3455,2022-05-27 17:50:00
36,4.4679,4.4679,4.4679,4.4679,800,2022-05-27 17:52:00
37,4.4732,4.4732,4.4732,4.4732,200,2022-05-27 17:53:00
38,4.49,4.49,4.49,4.49,1245,2022-05-27 17:54:00
39,4.517,4.517,4.495,4.495,500,2022-05-27 17:56:00
40,4.4844,4.5397,4.4844,4.5397,600,2022-05-27 17:57:00
41,4.4844,4.517,4.4844,4.495,600,2022-05-27 17:58:00
42,4.517,4.5398,4.4844,4.5398,800,2022-05-27 18:00:00
43,4.495,4.495,4.495,4.495,100,2022-05-27 18:05:00
44,4.46,4.46,4.46,4.46,200,2022-05-27 18:27:00
45,4.4665,4.4665,4.4665,4.4665,100,2022-05-27 18:28:00
46,4.48,4.49,4.48,4.49,217,2022-05-27 18:30:00
47,4.47,4.47,4.47,4.47,100,2022-05-27 18:52:00
48,4.4797,4.4797,4.4797,4.4797,200,2022-05-27 19:00:00
49,4.42,4.42,4.42,4.42,200,2022-05-27 19:02:00
50,4.4678,4.4678,4.42,4.42,365,2022-05-27 19:04:00
51,4.46,4.46,4.46,4.46,200,2022-05-27 19:05:00
52,4.4799,4.48,4.4799,4.48,900,2022-05-27 19:06:00
53,4.47,4.48,4.47,4.47,300,2022-05-27 19:08:00
54,4.47,4.47,4.47,4.47,200,2022-05-27 19:09:00
55,4.4629,4.4629,4.4629,4.4629,200,2022-05-27 19:20:00
56,4.4663,4.4663,4.4663,4.4663,200,2022-05-27 19:22:00
57,4.425,4.425,4.425,4.425,200,2022-05-27 19:23:00
58,4.425,4.425,4.425,4.425,100,2022-05-27 19:25:00
59,4.425,4.425,4.425,4.425,100,2022-05-27 19:27:00
60,4.4807,4.4807,4.4807,4.4807,200,2022-05-27 19:35:00
61,4.455,4.455,4.455,4.455,200,2022-05-27 19:36:00
62,4.4807,4.5297,4.4807,4.5297,300,2022-05-27 19:37:00
63,4.3944,4.3944,4.3944,4.3944,200,2022-05-27 19:53:00
64,4.42,4.42,4.42,4.42,345,2022-05-27 19:56:00
65,4.45,4.45,4.45,4.45,300,2022-05-31 17:50:00
66,4.475,4.475,4.475,4.475,100,2022-05-31 17:53:00
67,4.475,4.475,4.475,4.475,100,2022-05-31 17:56:00
68,4.475,4.475,4.475,4.475,100,2022-05-31 17:57:00
69,4.4425,4.466,4.4425,4.466,300,2022-05-31 18:02:00
70,4.4431,4.4431,4.4431,4.4431,200,2022-05-31 18:04:00
71,4.43,4.43,4.43,4.43,100,2022-05-31 18:05:00
72,4.42,4.42,4.42,4.42,100,2022-05-31 18:06:00
73,4.42,4.42,4.42,4.42,100,2022-05-31 18:09:00
74,4.4689,4.4689,4.4689,4.4689,300,2022-05-31 18:12:00
75,4.4688,4.4688,4.4688,4.4688,300,2022-05-31 18:14:00
76,4.44,4.44,4.44,4.44,300,2022-05-31 18:15:00
77,4.46,4.46,4.46,4.46,100,2022-05-31 18:16:00
78,4.43,4.43,4.43,4.43,300,2022-05-31 18:18:00
79,4.445,4.445,4.43,4.4301,1000,2022-05-31 18:19:00
80,4.3789,4.3789,4.3789,4.3789,500,2022-05-31 18:52:00
81,4.378,4.378,4.3601,4.3601,700,2022-05-31 18:54:00
82,4.4,4.4,4.36,4.36,200,2022-05-31 18:55:00
83,4.3785,4.38,4.3785,4.38,400,2022-05-31 18:57:00
84,4.3999,4.3999,4.3999,4.3999,100,2022-05-31 18:59:00
85,4.4,4.4,4.4,4.4,200,2022-05-31 19:00:00
86,4.3999,4.4,4.3999,4.4,1200,2022-05-31 19:02:00
87,4.4,4.4,4.3999,4.3999,200,2022-05-31 19:10:00
88,4.3781,4.4,4.3781,4.4,600,2022-05-31 19:12:00
89,4.3781,4.3781,4.3781,4.3781,100,2022-05-31 19:13:00
90,4.3999,4.4,4.3999,4.4,600,2022-05-31 19:14:00
91,4.3999,4.4,4.3999,4.4,200,2022-05-31 19:15:00
92,4.3781,4.3781,4.3781,4.3781,300,2022-05-31 19:16:00
93,4.383,4.4,4.38,4.4,300,2022-05-31 19:17:00
94,4.4,4.4,4.4,4.4,100,2022-05-31 19:18:00
95,4.44,4.44,4.44,4.44,307,2022-05-31 20:00:00
96,4.4151,4.4151,4.4151,4.4151,100,2022-06-01 13:46:00
