,open,high,low,close,volume,datetime
0,47.48,48.24,47.47,48.21,3489,2022-05-27 13:30:00
1,48.25,48.85,48.25,48.69,2825,2022-05-27 13:31:00
2,48.7,48.93,48.7,48.815,800,2022-05-27 13:32:00
3,48.605,48.78,48.605,48.77,500,2022-05-27 13:33:00
4,48.81,48.82,48.62,48.82,950,2022-05-27 13:34:00
5,48.59,48.69,48.555,48.69,1850,2022-05-27 13:35:00
6,48.61,48.88,48.61,48.88,2200,2022-05-27 13:36:00
7,48.77,48.98,48.75,48.98,900,2022-05-27 13:37:00
8,48.77,48.91,48.77,48.9,500,2022-05-27 13:38:00
9,48.84,48.98,48.84,48.98,300,2022-05-27 13:39:00
10,49.0,49.45,48.99,49.45,2255,2022-05-27 13:40:00
11,49.27,49.34,49.14,49.25,2994,2022-05-27 13:41:00
12,49.27,49.28,49.18,49.25,900,2022-05-27 13:43:00
13,49.28,49.39,49.195,49.195,2081,2022-05-27 13:44:00
14,49.195,49.56,49.195,49.56,1200,2022-05-27 13:45:00
15,49.56,49.56,49.41,49.51,2600,2022-05-27 13:46:00
16,49.45,49.57,49.36,49.5,3500,2022-05-27 13:47:00
17,49.51,49.64,49.5,49.54,2100,2022-05-27 13:48:00
18,49.43,49.69,49.43,49.675,2700,2022-05-27 13:49:00
19,49.54,49.61,49.44,49.61,1273,2022-05-27 13:50:00
20,49.59,49.76,49.59,49.76,500,2022-05-27 13:51:00
21,49.759,49.76,49.55,49.55,1544,2022-05-27 13:52:00
22,49.59,49.595,49.47,49.595,1284,2022-05-27 13:53:00
23,49.64,49.72,49.5,49.54,1000,2022-05-27 13:54:00
24,49.535,49.68,49.535,49.68,300,2022-05-27 13:55:00
25,49.74,49.85,49.74,49.85,700,2022-05-27 13:56:00
26,49.9,49.99,49.9,49.91,950,2022-05-27 13:57:00
27,49.89,49.94,49.78,49.78,700,2022-05-27 13:58:00
28,49.73,49.86,49.73,49.86,500,2022-05-27 13:59:00
29,49.74,49.74,49.465,49.49,3663,2022-05-27 14:00:00
30,49.54,49.54,49.495,49.495,200,2022-05-27 14:01:00
31,49.57,49.66,49.55,49.63,2800,2022-05-27 14:02:00
32,49.57,49.57,49.5,49.5,400,2022-05-27 14:03:00
33,49.49,49.49,49.49,49.49,100,2022-05-27 14:04:00
34,49.49,49.65,49.49,49.55,500,2022-05-27 14:05:00
35,49.65,49.76,49.65,49.76,500,2022-05-27 14:06:00
36,49.62,49.62,49.49,49.49,908,2022-05-27 14:07:00
37,49.48,49.58,49.43,49.55,2235,2022-05-27 14:08:00
38,49.665,49.665,49.665,49.665,100,2022-05-27 14:09:00
39,49.665,49.76,49.66,49.68,1740,2022-05-27 14:10:00
40,49.55,49.57,49.5,49.5,300,2022-05-27 14:12:00
41,49.36,49.46,49.35,49.46,600,2022-05-27 14:13:00
42,49.52,49.545,49.43,49.545,300,2022-05-27 14:14:00
43,49.5,49.5,49.26,49.3,700,2022-05-27 14:15:00
44,49.28,49.28,49.24,49.24,200,2022-05-27 14:16:00
45,49.19,49.27,49.038,49.21,2296,2022-05-27 14:17:00
46,49.2,49.205,49.19,49.2,600,2022-05-27 14:18:00
47,49.17,49.17,49.02,49.02,8961,2022-05-27 14:19:00
48,49.04,49.04,49.04,49.04,100,2022-05-27 14:20:00
49,49.01,49.01,48.92,48.92,2100,2022-05-27 14:21:00
50,48.86,48.87,48.85,48.86,3415,2022-05-27 14:22:00
51,48.885,48.885,48.8525,48.8525,300,2022-05-27 14:23:00
52,48.85,48.85,48.685,48.685,300,2022-05-27 14:24:00
53,48.685,48.685,48.68,48.68,700,2022-05-27 14:25:00
54,48.72,48.8,48.72,48.7301,800,2022-05-27 14:26:00
55,48.819,48.82,48.76,48.82,500,2022-05-27 14:27:00
56,48.745,48.745,48.745,48.745,100,2022-05-27 14:28:00
57,48.745,48.788,48.69,48.788,1483,2022-05-27 14:29:00
58,48.82,48.82,48.77,48.77,700,2022-05-27 14:30:00
59,48.64,48.64,48.56,48.56,200,2022-05-27 14:32:00
60,48.56,48.605,48.55,48.55,600,2022-05-27 14:33:00
61,48.61,48.61,48.61,48.61,200,2022-05-27 14:34:00
62,48.6,48.605,48.55,48.575,700,2022-05-27 14:35:00
63,48.615,48.7,48.615,48.7,200,2022-05-27 14:36:00
64,48.72,48.87,48.72,48.87,800,2022-05-27 14:37:00
65,48.84,48.84,48.84,48.84,100,2022-05-27 14:38:00
66,48.805,48.805,48.72,48.72,300,2022-05-27 14:39:00
67,48.8,48.92,48.8,48.905,1928,2022-05-27 14:41:00
68,48.96,48.96,48.9,48.95,698,2022-05-27 14:43:00
69,48.95,48.95,48.89,48.9,500,2022-05-27 14:44:00
70,48.91,48.91,48.69,48.69,400,2022-05-27 14:46:00
71,48.61,48.61,48.61,48.61,100,2022-05-27 14:47:00
72,48.61,48.61,48.54,48.54,750,2022-05-27 14:48:00
73,48.4201,48.55,48.4201,48.52,981,2022-05-27 14:50:00
74,48.495,48.495,48.41,48.41,503,2022-05-27 14:51:00
75,48.41,48.41,48.41,48.41,100,2022-05-27 14:52:00
76,48.41,48.535,48.41,48.514,827,2022-05-27 14:53:00
77,48.52,48.55,48.52,48.55,400,2022-05-27 14:54:00
78,48.6,48.62,48.565,48.62,500,2022-05-27 14:55:00
79,48.565,48.565,48.495,48.495,8302,2022-05-27 14:56:00
80,48.425,48.425,48.36,48.36,700,2022-05-27 14:57:00
81,48.22,48.22,48.22,48.22,562,2022-05-27 14:58:00
82,48.21,48.25,48.21,48.25,800,2022-05-27 15:00:00
83,48.24,48.33,48.24,48.33,1091,2022-05-27 15:01:00
84,48.345,48.345,48.3,48.3,200,2022-05-27 15:02:00
85,48.23,48.245,48.19,48.245,708,2022-05-27 15:03:00
86,48.245,48.245,48.245,48.245,100,2022-05-27 15:04:00
87,48.29,48.36,48.29,48.36,700,2022-05-27 15:05:00
88,48.35,48.35,48.35,48.35,100,2022-05-27 15:06:00
89,48.37,48.46,48.37,48.46,300,2022-05-27 15:08:00
90,48.4,48.4,48.37,48.37,854,2022-05-27 15:10:00
91,48.47,48.47,48.45,48.45,600,2022-05-27 15:12:00
92,48.39,48.4,48.31,48.31,700,2022-05-27 15:13:00
93,48.24,48.245,48.155,48.155,8395,2022-05-27 15:14:00
94,48.23,48.26,48.205,48.23,700,2022-05-27 15:15:00
95,48.23,48.26,48.2,48.235,1443,2022-05-27 15:16:00
96,48.235,48.235,48.16,48.16,1682,2022-05-27 15:17:00
97,48.235,48.235,48.235,48.235,100,2022-05-27 15:18:00
98,48.235,48.235,48.235,48.235,300,2022-05-27 15:19:00
99,48.23,48.23,48.165,48.21,1381,2022-05-27 15:20:00
100,48.22,48.22,48.22,48.22,100,2022-05-27 15:21:00
101,48.215,48.25,48.175,48.2,749,2022-05-27 15:22:00
102,48.24,48.26,48.24,48.26,500,2022-05-27 15:23:00
103,48.24,48.25,48.23,48.25,1000,2022-05-27 15:24:00
104,48.25,48.28,48.195,48.25,1983,2022-05-27 15:25:00
105,48.31,48.31,48.23,48.245,1460,2022-05-27 15:26:00
106,48.25,48.25,48.2404,48.25,300,2022-05-27 15:27:00
107,48.23,48.25,48.23,48.25,300,2022-05-27 15:28:00
108,48.27,48.28,48.245,48.28,800,2022-05-27 15:29:00
109,48.3,48.33,48.3,48.3,573,2022-05-27 15:30:00
110,48.29,48.31,48.29,48.31,300,2022-05-27 15:32:00
111,48.33,48.33,48.33,48.33,200,2022-05-27 15:33:00
112,48.29,48.29,48.245,48.245,700,2022-05-27 15:34:00
113,48.21,48.21,48.16,48.16,740,2022-05-27 15:35:00
114,48.19,48.21,48.131,48.16,678,2022-05-27 15:36:00
115,48.2,48.26,48.17,48.26,1000,2022-05-27 15:37:00
116,48.24,48.28,48.24,48.25,1000,2022-05-27 15:38:00
117,48.31,48.36,48.31,48.36,600,2022-05-27 15:39:00
118,48.35,48.35,48.3,48.35,544,2022-05-27 15:42:00
119,48.25,48.25,48.25,48.25,200,2022-05-27 15:44:00
120,48.32,48.34,48.29,48.3,600,2022-05-27 15:45:00
121,48.35,48.402,48.295,48.402,1500,2022-05-27 15:46:00
122,48.22,48.22,48.22,48.22,300,2022-05-27 15:47:00
123,48.28,48.29,48.28,48.28,500,2022-05-27 15:48:00
124,48.29,48.29,48.27,48.27,300,2022-05-27 15:50:00
125,48.29,48.29,48.29,48.29,200,2022-05-27 15:51:00
126,48.29,48.29,48.29,48.29,216,2022-05-27 15:52:00
127,48.28,48.28,48.28,48.28,100,2022-05-27 15:53:00
128,48.29,48.29,48.29,48.29,100,2022-05-27 15:54:00
129,48.29,48.352,48.29,48.305,1327,2022-05-27 15:55:00
130,48.295,48.295,48.295,48.295,200,2022-05-27 15:57:00
131,48.29,48.29,48.25,48.25,469,2022-05-27 15:58:00
132,48.3,48.3,48.3,48.3,100,2022-05-27 15:59:00
133,48.27,48.27,48.27,48.27,100,2022-05-27 16:00:00
134,48.33,48.33,48.33,48.33,200,2022-05-27 16:01:00
135,48.33,48.33,48.33,48.33,100,2022-05-27 16:02:00
136,48.33,48.37,48.33,48.37,1073,2022-05-27 16:05:00
137,48.4,48.4,48.39,48.39,434,2022-05-27 16:06:00
138,48.395,48.395,48.395,48.395,100,2022-05-27 16:07:00
139,48.385,48.385,48.385,48.385,100,2022-05-27 16:10:00
140,48.34,48.34,48.235,48.235,500,2022-05-27 16:11:00
141,48.21,48.215,48.205,48.215,972,2022-05-27 16:12:00
142,48.22,48.25,48.22,48.25,300,2022-05-27 16:13:00
143,48.25,48.25,48.25,48.25,100,2022-05-27 16:14:00
144,48.25,48.25,48.21,48.22,1254,2022-05-27 16:15:00
145,48.26,48.31,48.26,48.31,700,2022-05-27 16:16:00
146,48.345,48.345,48.33,48.33,422,2022-05-27 16:17:00
147,48.32,48.39,48.315,48.39,1382,2022-05-27 16:19:00
148,48.38,48.38,48.37,48.37,400,2022-05-27 16:20:00
149,48.38,48.38,48.38,48.38,100,2022-05-27 16:21:00
150,48.42,48.42,48.3801,48.3801,200,2022-05-27 16:23:00
151,48.38,48.38,48.37,48.38,576,2022-05-27 16:24:00
152,48.36,48.37,48.34,48.34,680,2022-05-27 16:29:00
153,48.305,48.305,48.305,48.305,100,2022-05-27 16:30:00
154,48.33,48.34,48.3001,48.3001,300,2022-05-27 16:31:00
155,48.3,48.3,48.26,48.26,200,2022-05-27 16:32:00
156,48.26,48.26,48.23,48.23,800,2022-05-27 16:33:00
157,48.26,48.28,48.25,48.25,500,2022-05-27 16:34:00
158,48.235,48.235,48.235,48.235,100,2022-05-27 16:35:00
159,48.225,48.27,48.225,48.27,841,2022-05-27 16:36:00
160,48.29,48.31,48.29,48.31,404,2022-05-27 16:37:00
161,48.23,48.29,48.23,48.29,900,2022-05-27 16:40:00
162,48.32,48.32,48.26,48.26,697,2022-05-27 16:44:00
163,48.26,48.3,48.26,48.29,400,2022-05-27 16:46:00
164,48.31,48.31,48.31,48.31,100,2022-05-27 16:47:00
165,48.25,48.26,48.215,48.215,600,2022-05-27 16:48:00
166,48.215,48.23,48.18,48.21,1289,2022-05-27 16:49:00
167,48.24,48.24,48.18,48.22,800,2022-05-27 16:50:00
168,48.22,48.26,48.22,48.26,1693,2022-05-27 16:51:00
169,48.3,48.33,48.3,48.33,300,2022-05-27 16:52:00
170,48.29,48.32,48.29,48.32,300,2022-05-27 16:53:00
171,48.34,48.34,48.34,48.34,200,2022-05-27 16:54:00
172,48.32,48.32,48.32,48.32,300,2022-05-27 16:55:00
173,48.3,48.34,48.3,48.34,415,2022-05-27 16:56:00
174,48.38,48.38,48.38,48.38,100,2022-05-27 16:57:00
175,48.31,48.31,48.31,48.31,100,2022-05-27 17:00:00
176,48.35,48.35,48.35,48.35,200,2022-05-27 17:01:00
177,48.4,48.4,48.4,48.4,100,2022-05-27 17:02:00
178,48.34,48.34,48.34,48.34,600,2022-05-27 17:03:00
179,48.305,48.37,48.305,48.35,2707,2022-05-27 17:04:00
180,48.3,48.3,48.24,48.2601,618,2022-05-27 17:06:00
181,48.3,48.3,48.265,48.265,200,2022-05-27 17:07:00
182,48.31,48.32,48.31,48.32,318,2022-05-27 17:08:00
183,48.29,48.36,48.29,48.36,400,2022-05-27 17:09:00
184,48.34,48.36,48.34,48.345,900,2022-05-27 17:13:00
185,48.31,48.31,48.31,48.31,289,2022-05-27 17:14:00
186,48.25,48.25,48.23,48.23,700,2022-05-27 17:15:00
187,48.225,48.23,48.225,48.23,200,2022-05-27 17:17:00
188,48.23,48.28,48.23,48.27,500,2022-05-27 17:19:00
189,48.3,48.3,48.3,48.3,100,2022-05-27 17:20:00
190,48.29,48.29,48.28,48.29,400,2022-05-27 17:21:00
191,48.25,48.26,48.22,48.26,1858,2022-05-27 17:23:00
192,48.26,48.29,48.26,48.29,800,2022-05-27 17:24:00
193,48.35,48.35,48.345,48.345,200,2022-05-27 17:25:00
194,48.305,48.305,48.305,48.305,100,2022-05-27 17:29:00
195,48.26,48.26,48.15,48.15,1000,2022-05-27 17:31:00
196,48.155,48.21,48.155,48.21,563,2022-05-27 17:32:00
197,48.2,48.23,48.17,48.17,600,2022-05-27 17:33:00
198,48.23,48.23,48.23,48.23,200,2022-05-27 17:34:00
199,48.1949,48.225,48.18,48.2,1844,2022-05-27 17:35:00
200,48.195,48.24,48.195,48.24,350,2022-05-27 17:36:00
201,48.24,48.25,48.24,48.25,200,2022-05-27 17:37:00
202,48.215,48.25,48.2,48.24,1997,2022-05-27 17:38:00
203,48.27,48.33,48.27,48.33,400,2022-05-27 17:39:00
204,48.4,48.4,48.4,48.4,100,2022-05-27 17:41:00
205,48.35,48.35,48.31,48.31,400,2022-05-27 17:43:00
206,48.35,48.35,48.32,48.32,200,2022-05-27 17:45:00
207,48.32,48.32,48.32,48.32,100,2022-05-27 17:46:00
208,48.305,48.32,48.305,48.32,200,2022-05-27 17:49:00
209,48.3,48.3,48.26,48.26,800,2022-05-27 17:50:00
210,48.3,48.34,48.25,48.25,800,2022-05-27 17:51:00
211,48.265,48.265,48.23,48.23,400,2022-05-27 17:53:00
212,48.23,48.23,48.23,48.23,200,2022-05-27 17:54:00
213,48.285,48.285,48.285,48.285,100,2022-05-27 17:55:00
214,48.319,48.319,48.319,48.319,100,2022-05-27 17:56:00
215,48.24,48.24,48.24,48.24,100,2022-05-27 17:57:00
216,48.23,48.25,48.215,48.235,5400,2022-05-27 17:58:00
217,48.24,48.24,48.24,48.24,300,2022-05-27 17:59:00
218,48.245,48.25,48.2,48.25,1708,2022-05-27 18:00:00
219,48.235,48.235,48.235,48.235,100,2022-05-27 18:01:00
220,48.26,48.28,48.24,48.25,1806,2022-05-27 18:03:00
221,48.24,48.3,48.24,48.25,2500,2022-05-27 18:04:00
222,48.24,48.24,48.24,48.24,100,2022-05-27 18:05:00
223,48.23,48.26,48.185,48.245,3979,2022-05-27 18:06:00
224,48.27,48.27,48.2,48.21,1548,2022-05-27 18:07:00
225,48.215,48.215,48.19,48.19,300,2022-05-27 18:08:00
226,48.19,48.24,48.19,48.24,687,2022-05-27 18:09:00
227,48.26,48.27,48.25,48.25,700,2022-05-27 18:11:00
228,48.2704,48.2704,48.18,48.18,1209,2022-05-27 18:12:00
229,48.175,48.23,48.175,48.23,900,2022-05-27 18:13:00
230,48.29,48.29,48.29,48.29,250,2022-05-27 18:15:00
231,48.28,48.28,48.28,48.28,200,2022-05-27 18:16:00
232,48.28,48.34,48.28,48.32,756,2022-05-27 18:17:00
233,48.31,48.31,48.31,48.31,300,2022-05-27 18:20:00
234,48.285,48.285,48.285,48.285,200,2022-05-27 18:21:00
235,48.3,48.33,48.3,48.305,300,2022-05-27 18:24:00
236,48.27,48.27,48.18,48.2,10288,2022-05-27 18:26:00
237,48.23,48.235,48.23,48.235,200,2022-05-27 18:27:00
238,48.23,48.23,48.21,48.23,500,2022-05-27 18:28:00
239,48.23,48.23,48.23,48.23,100,2022-05-27 18:29:00
240,48.235,48.26,48.22,48.25,801,2022-05-27 18:30:00
241,48.25,48.25,48.19,48.19,599,2022-05-27 18:31:00
242,48.175,48.18,48.175,48.18,600,2022-05-27 18:32:00
243,48.17,48.185,48.17,48.185,600,2022-05-27 18:33:00
244,48.185,48.29,48.185,48.25,2026,2022-05-27 18:34:00
245,48.245,48.26,48.245,48.26,200,2022-05-27 18:35:00
246,48.29,48.29,48.29,48.29,100,2022-05-27 18:36:00
247,48.295,48.32,48.295,48.295,700,2022-05-27 18:37:00
248,48.27,48.27,48.23,48.23,300,2022-05-27 18:38:00
249,48.225,48.26,48.225,48.26,300,2022-05-27 18:39:00
250,48.24,48.24,48.24,48.24,200,2022-05-27 18:40:00
251,48.22,48.22,48.16,48.205,2169,2022-05-27 18:41:00
252,48.23,48.23,48.205,48.21,500,2022-05-27 18:42:00
253,48.18,48.22,48.18,48.22,1300,2022-05-27 18:43:00
254,48.225,48.25,48.225,48.25,600,2022-05-27 18:44:00
255,48.25,48.25,48.25,48.25,837,2022-05-27 18:45:00
256,48.25,48.25,48.23,48.23,300,2022-05-27 18:46:00
257,48.21,48.23,48.21,48.23,600,2022-05-27 18:47:00
258,48.19,48.2,48.19,48.2,302,2022-05-27 18:48:00
259,48.2,48.2,48.2,48.2,600,2022-05-27 18:49:00
260,48.2,48.24,48.2,48.23,3445,2022-05-27 18:52:00
261,48.25,48.25,48.22,48.22,400,2022-05-27 18:53:00
262,48.21,48.21,48.21,48.21,300,2022-05-27 18:54:00
263,48.26,48.26,48.26,48.26,300,2022-05-27 18:55:00
264,48.27,48.27,48.255,48.255,412,2022-05-27 18:56:00
265,48.27,48.295,48.27,48.295,1200,2022-05-27 18:57:00
266,48.27,48.3,48.27,48.28,1139,2022-05-27 18:59:00
267,48.27,48.27,48.26,48.26,400,2022-05-27 19:00:00
268,48.3,48.3,48.3,48.3,200,2022-05-27 19:01:00
269,48.24,48.24,48.21,48.21,300,2022-05-27 19:02:00
270,48.245,48.3,48.245,48.29,1000,2022-05-27 19:05:00
271,48.3,48.31,48.3,48.31,300,2022-05-27 19:06:00
